Date,Open,High,Low,Close,Volume
2021-03-15 01:30:51,4.3,4.35,4.29,4.29,177279
2021-03-15 01:30:52,4.3,4.3,4.18,4.2488,188041
2021-03-15 01:30:53,4.24,4.25,4.1,4.2211,242318
2021-03-15 01:30:54,4.2211,4.25,4.2,4.215,119777
2021-03-15 01:30:55,4.2089,4.2494,4.2,4.2399,96769
2021-03-15 01:30:56,4.2132,4.25,4.21,4.2495,86836
2021-03-15 01:30:57,4.25,4.27,4.21,4.26,108986
2021-03-15 01:30:58,4.27,4.28,4.23,4.235,61755
2021-03-15 01:30:59,4.24,4.2685,4.23,4.24,84853
2021-03-15 01:31:00,4.235,4.24,4.21,4.21,70155
2021-03-15 01:31:01,4.2,4.2101,4.05,4.09,234040
2021-03-15 01:31:02,4.06,4.1,4.05,4.1,143196
2021-03-15 01:31:03,4.09,4.1,4.06,4.1,105550
2021-03-15 01:31:04,4.1,4.14,4.09,4.1306,78361
2021-03-15 01:31:05,4.13,4.15,4.13,4.1499,82937
2021-03-15 01:31:06,4.1481,4.15,4.12,4.12,69565
2021-03-15 01:31:07,4.1295,4.16,4.11,4.1182,94864
2021-03-15 01:31:08,4.12,4.14,4.09,4.125,73569
2021-03-15 01:31:09,4.1222,4.1222,4.08,4.0811,41548
2021-03-15 01:31:10,4.08,4.09,4.06,4.09,136438
2021-03-15 01:31:11,4.0611,4.08,4.05,4.07,73199
2021-03-15 01:31:12,4.07,4.08,4.05,4.05,101657
2021-03-15 01:31:13,4.055,4.08,4.05,4.0622,93179
2021-03-15 01:31:14,4.08,4.09,4.06,4.0806,69371
2021-03-15 01:31:15,4.08,4.14,4.08,4.13,126815
2021-03-15 01:31:16,4.139,4.17,4.1222,4.15,50550
2021-03-15 01:31:17,4.1578,4.18,4.13,4.165,143886
2021-03-15 01:31:18,4.1689,4.19,4.14,4.19,54853
2021-03-15 01:31:19,4.185,4.2,4.18,4.18,77877
2021-03-15 01:31:20,4.19,4.19,4.16,4.17,61158
2021-03-15 01:31:21,4.185,4.19,4.17,4.1896,42381
2021-03-15 01:31:22,4.1701,4.19,4.15,4.155,49688
2021-03-15 01:31:23,4.1502,4.18,4.14,4.16,45128
2021-03-15 01:31:24,4.15,4.16,4.11,4.12,66071
2021-03-15 01:31:25,4.1111,4.16,4.11,4.1502,40513
2021-03-15 01:31:26,4.16,4.16,4.13,4.133,32381
2021-03-15 01:31:27,4.13,4.16,4.1,4.1,53260
2021-03-15 01:31:28,4.11,4.14,4.1,4.12,64649
2021-03-15 01:31:29,4.14,4.14,4.13,4.1339,36576
2021-03-15 01:31:30,4.135,4.16,4.13,4.1596,49367
2021-03-15 01:31:31,4.155,4.16,4.14,4.15,68119
2021-03-15 01:31:32,4.1556,4.17,4.14,4.1595,47546
2021-03-15 01:31:33,4.16,4.19,4.15,4.1899,36359
2021-03-15 01:31:34,4.1875,4.19,4.15,4.18,135188
2021-03-15 01:31:35,4.1811,4.1989,4.17,4.1989,37185
2021-03-15 01:31:36,4.2,4.2,4.18,4.1889,83119
2021-03-15 01:31:37,4.19,4.2,4.18,4.185,45325
2021-03-15 01:31:38,4.19,4.19,4.16,4.1689,77111
2021-03-15 01:31:39,4.1694,4.1806,4.15,4.1777,44035
2021-03-15 01:31:40,4.16,4.18,4.15,4.17,29716
2021-03-15 01:31:41,4.17,4.18,4.15,4.151,44915
2021-03-15 01:31:42,4.15,4.16,4.15,4.15,33325
2021-03-15 01:31:43,4.15,4.16,4.15,4.15,70813
2021-03-15 01:31:44,4.155,4.155,4.1,4.105,144033
2021-03-15 01:31:45,4.105,4.13,4.1,4.12,109138
2021-03-15 01:31:46,4.11,4.17,4.11,4.15,67893
2021-03-15 01:31:47,4.1401,4.17,4.13,4.1505,41240
2021-03-15 01:31:48,4.1689,4.185,4.14,4.185,50226
2021-03-15 01:31:49,4.185,4.19,4.17,4.17,50468
2021-03-15 01:31:50,4.1799,4.2,4.17,4.2,36085
2021-03-15 01:31:51,4.2,4.2,4.125,4.2,56917
2021-03-15 01:31:52,4.2,4.22,4.19,4.215,156916
2021-03-15 01:31:53,4.2189,4.24,4.21,4.2201,81624
2021-03-15 01:31:54,4.2324,4.25,4.22,4.22,119935
2021-03-15 01:31:55,4.225,4.25,4.22,4.2319,89714
2021-03-15 01:31:56,4.23,4.24,4.21,4.2389,77183
2021-03-15 01:31:57,4.235,4.24,4.2,4.2099,61047
2021-03-15 01:31:58,4.209,4.23,4.2,4.2211,45759
2021-03-15 01:31:59,4.23,4.2315,4.21,4.22,54083
2021-03-15 01:32:00,4.22,4.23,4.205,4.225,54611
2021-03-15 01:32:01,4.22,4.235,4.22,4.235,76769
2021-03-15 01:32:02,4.2306,4.29,4.23,4.29,121686
2021-03-15 01:32:03,4.29,4.31,4.28,4.309,125194
2021-03-15 01:32:04,4.31,4.32,4.29,4.31,108407
2021-03-15 01:32:05,4.32,4.33,4.3,4.325,94287
2021-03-15 01:32:06,4.3201,4.33,4.31,4.3201,81556
2021-03-15 01:32:07,4.32,4.36,4.31,4.3403,127495
2021-03-15 01:32:08,4.35,4.36,4.32,4.36,121435
2021-03-15 01:32:09,4.3578,4.36,4.34,4.36,74512
2021-03-15 01:32:10,4.351,4.39,4.35,4.36,152731
2021-03-15 01:32:11,4.361,4.4,4.36,4.4,157925
2021-03-15 01:32:12,4.4,4.42,4.39,4.415,166310
2021-03-15 01:32:13,4.415,4.44,4.41,4.42,120182
2021-03-15 01:32:14,4.4201,4.45,4.41,4.44,131832
2021-03-15 01:32:15,4.4402,4.45,4.42,4.44,241569
2021-03-15 01:32:16,4.44,4.45,4.4,4.42,178402
2021-03-15 01:32:17,4.4009,4.42,4.4,4.4197,119263
2021-03-15 01:32:18,4.4197,4.42,4.36,4.365,132667
2021-03-15 01:32:19,4.3606,4.38,4.34,4.34,119972
2021-03-15 01:32:20,4.34,4.36,4.33,4.3316,126955
2021-03-15 01:32:21,4.34,4.36,4.33,4.35,80348
2021-03-15 01:32:22,4.35,4.38,4.33,4.36,72671
2021-03-15 01:32:23,4.37,4.4,4.36,4.3899,86968
2021-03-15 01:32:24,4.39,4.4,4.37,4.375,90351
2021-03-15 01:32:25,4.375,4.38,4.35,4.3587,86947
2021-03-15 01:32:26,4.3503,4.37,4.34,4.36,78317
2021-03-15 01:32:27,4.3682,4.3812,4.35,4.36,68036
2021-03-15 01:32:28,4.369,4.39,4.36,4.385,56064
2021-03-15 01:32:29,4.38,4.4,4.38,4.4,73702
2021-03-15 01:32:30,4.3989,4.4,4.38,4.4,79714
2021-03-15 01:32:31,4.395,4.43,4.3901,4.42,129800
2021-03-15 01:32:32,4.427,4.44,4.42,4.4301,68282
2021-03-15 01:32:33,4.44,4.44,4.4,4.4099,104911
2021-03-15 01:32:34,4.4,4.42,4.38,4.39,169217
2021-03-15 01:32:35,4.395,4.41,4.38,4.39,59986
2021-03-15 01:32:36,4.39,4.39,4.37,4.39,70442
2021-03-15 01:32:37,4.391,4.4,4.38,4.4,92058
2021-03-15 01:32:38,4.3901,4.42,4.39,4.4,59233
2021-03-15 01:32:39,4.39,4.43,4.38,4.4,78143
2021-03-15 01:32:40,4.4,4.41,4.39,4.39,57031
2021-03-15 01:32:41,4.4,4.4098,4.39,4.395,39714
2021-03-15 01:32:42,4.39,4.4,4.38,4.39,109263
2021-03-15 01:32:43,4.39,4.39,4.37,4.375,95146
2021-03-15 01:32:44,4.3711,4.38,4.35,4.3589,139100
2021-03-15 01:32:45,4.355,4.36,4.33,4.335,124208
2021-03-15 01:32:46,4.33,4.36,4.3,4.32,132858
2021-03-15 01:32:47,4.32,4.35,4.3001,4.34,96804
2021-03-15 01:32:48,4.33,4.36,4.31,4.31,80751
2021-03-15 01:32:49,4.32,4.33,4.31,4.315,53231
2021-03-15 01:32:50,4.3199,4.36,4.31,4.31,69982
2021-03-15 01:32:51,4.31,4.32,4.3,4.305,86603
2021-03-15 01:32:52,4.31,4.32,4.26,4.2601,108548
2021-03-15 01:32:53,4.26,4.27,4.22,4.23,92508
2021-03-15 01:32:54,4.23,4.24,4.2,4.2106,112742
2021-03-15 01:32:55,4.2106,4.23,4.21,4.2201,79094
2021-03-15 01:32:56,4.23,4.24,4.21,4.2311,55908
2021-03-15 01:32:57,4.23,4.25,4.21,4.24,54902
2021-03-15 01:32:58,4.24,4.25,4.2,4.2,70193
2021-03-15 01:32:59,4.21,4.22,4.2,4.2,56754
2021-03-15 01:33:00,4.21,4.21,4.16,4.16,150486
2021-03-15 01:33:01,4.17,4.17,4.15,4.1511,130551
2021-03-15 01:33:02,4.15,4.17,4.15,4.155,131689
2021-03-15 01:33:03,4.15,4.16,4.15,4.1511,78604
2021-03-15 01:33:04,4.1599,4.16,4.13,4.15,90061
2021-03-15 01:33:05,4.15,4.15,4.12,4.13,73995
2021-03-15 01:33:06,4.1399,4.147,4.12,4.12,88252
2021-03-15 01:33:07,4.11,4.12,4.1,4.11,135908
2021-03-15 01:33:08,4.105,4.11,4.1,4.1,102753
2021-03-15 01:33:09,4.101,4.11,4.07,4.07,105536
2021-03-15 01:33:10,4.08,4.09,4.07,4.08,56353
2021-03-15 01:33:11,4.0716,4.08,4.06,4.073,106150
2021-03-15 01:33:12,4.0701,4.085,4.06,4.0711,68917
2021-03-15 01:33:13,4.07,4.13,4.07,4.13,94655
2021-03-15 01:33:14,4.125,4.16,4.12,4.1499,97505
2021-03-15 01:33:15,4.1499,4.15,4.13,4.13,48061
2021-03-15 01:33:16,4.13,4.14,4.12,4.1399,36359
2021-03-15 01:33:17,4.135,4.18,4.1,4.17,64368
2021-03-15 01:33:18,4.18,4.18,4.16,4.165,33886
2021-03-15 01:33:19,4.16,4.199,4.16,4.199,29839
2021-03-15 01:33:20,4.2,4.2,4.18,4.19,47830
2021-03-15 01:33:21,4.185,4.21,4.18,4.19,157790
2021-03-15 01:33:22,4.195,4.25,4.19,4.2494,103358
2021-03-15 01:33:23,4.2495,4.2495,4.2,4.2,88263
2021-03-15 01:33:24,4.203,4.23,4.2,4.2001,65283
2021-03-15 01:33:25,4.2178,4.22,4.2,4.2099,32052
