Date,Open,High,Low,Close,Volume
2021-03-15 01:30:51,2.035,2.035,2.035,2.035,215
2021-03-15 01:30:52,2.0399,2.04,2.0377,2.0377,4380
2021-03-15 01:30:53,2.04,2.08,2.04,2.0731,8642
2021-03-15 01:30:54,2.06,2.07,2.06,2.07,512
2021-03-15 01:30:55,2.061,2.08,2.061,2.0741,9265
2021-03-15 01:30:56,2.068,2.09,2.065,2.0847,5884
2021-03-15 01:30:57,2.09,2.12,2.09,2.1,25909
2021-03-15 01:30:58,2.11,2.13,2.1,2.115,8696
2021-03-15 01:30:59,2.1101,2.1257,2.1101,2.12,15740
2021-03-15 01:31:00,2.12,2.1299,2.1121,2.1296,2510
2021-03-15 01:31:01,2.1101,2.13,2.1101,2.12,7600
2021-03-15 01:31:02,2.11,2.11,2.1,2.1,9458
2021-03-15 01:31:03,2.1,2.11,2.09,2.09,15958
2021-03-15 01:31:04,2.0801,2.0975,2.0801,2.0975,7526
2021-03-15 01:31:05,2.09,2.1,2.03,2.06,38431
2021-03-15 01:31:06,2.041,2.06,2.04,2.059,2988
2021-03-15 01:31:07,2.06,2.06,2.041,2.06,2076
2021-03-15 01:31:08,2.05,2.06,2.0476,2.06,1387
2021-03-15 01:31:09,2.05,2.06,2.05,2.05,1437
2021-03-15 01:31:10,2.06,2.09,2.06,2.084,13100
2021-03-15 01:31:11,2.075,2.09,2.075,2.09,1172
2021-03-15 01:31:12,2.08,2.0998,2.07,2.07,8972
2021-03-15 01:31:13,2.085,2.085,2.07,2.072,2941
2021-03-15 01:31:14,2.08,2.08,2.0681,2.0681,998
2021-03-15 01:31:15,2.072,2.0761,2.0681,2.0761,3569
2021-03-15 01:31:16,2.0401,2.08,2.04,2.08,6147
2021-03-15 01:31:17,2.07,2.08,2.07,2.08,1412
2021-03-15 01:31:18,2.07,2.08,2.07,2.0799,12428
2021-03-15 01:31:19,2.0799,2.09,2.06,2.09,4751
2021-03-15 01:31:20,2.1,2.1,2.07,2.07,8990
2021-03-15 01:31:21,2.1,2.12,2.07,2.12,12330
2021-03-15 01:31:22,2.095,2.104,2.08,2.104,4056
2021-03-15 01:31:23,2.11,2.128,2.11,2.128,1000
2021-03-15 01:31:24,2.0901,2.14,2.0901,2.13,17496
2021-03-15 01:31:25,2.13,2.18,2.13,2.141,13969
2021-03-15 01:31:26,2.14,2.15,2.1044,2.1468,10062
2021-03-15 01:31:27,2.13,2.18,2.13,2.18,12675
2021-03-15 01:31:28,2.18,2.18,2.13,2.18,10974
2021-03-15 01:31:29,2.1606,2.1606,2.13,2.14,629
2021-03-15 01:31:30,2.1361,2.16,2.1361,2.1597,2486
2021-03-15 01:31:31,2.16,2.16,2.13,2.13,3780
2021-03-15 01:31:32,2.13,2.1599,2.13,2.1568,8623
2021-03-15 01:31:33,2.16,2.16,2.08,2.14,30096
2021-03-15 01:31:34,2.14,2.14,2.12,2.1249,2239
2021-03-15 01:31:35,2.14,2.14,2.13,2.14,1831
2021-03-15 01:31:36,2.1227,2.15,2.1227,2.1495,4298
2021-03-15 01:31:37,2.1489,2.15,2.14,2.15,620
2021-03-15 01:31:38,2.1434,2.15,2.13,2.15,4205
2021-03-15 01:31:39,2.135,2.1371,2.135,2.1371,554
2021-03-15 01:31:40,2.13,2.13,2.12,2.12,1452
2021-03-15 01:31:41,2.1342,2.14,2.1101,2.14,19255
2021-03-15 01:31:42,2.1284,2.1391,2.11,2.135,11814
2021-03-15 01:31:43,2.13,2.14,2.1,2.1227,11036
2021-03-15 01:31:44,2.12,2.13,2.1,2.1285,9504
2021-03-15 01:31:45,2.1274,2.1274,2.1,2.101,6833
2021-03-15 01:31:46,2.13,2.13,2.13,2.13,220
2021-03-15 01:31:47,2.13,2.13,2.1,2.127,5418
2021-03-15 01:31:48,2.1189,2.13,2.1,2.1298,8599
2021-03-15 01:31:49,2.12,2.12,2.1,2.1199,5312
2021-03-15 01:31:50,2.11,2.12,2.1,2.1,1475
2021-03-15 01:31:51,2.1,2.1178,2.1,2.1178,10192
2021-03-15 01:31:52,2.11,2.12,2.1001,2.12,3699
2021-03-15 01:31:53,2.12,2.12,2.1,2.1,3123
