Date,Open,High,Low,Close,Volume
2021-03-15 01:30:51,1.31,1.31,1.3,1.3,2641
2021-03-15 01:30:52,1.3318,1.3318,1.3,1.3,1214
2021-03-15 01:30:53,1.34,1.35,1.3,1.3,23464
2021-03-15 01:30:54,1.31,1.31,1.3,1.3,5424
2021-03-15 01:30:55,1.31,1.31,1.31,1.31,1114
2021-03-15 01:30:56,1.3374,1.3374,1.3,1.3,12046
2021-03-15 01:30:57,1.3323,1.3323,1.3,1.3,2589
2021-03-15 01:30:58,1.3359,1.3359,1.3,1.3,2106
2021-03-15 01:30:59,1.31,1.34,1.31,1.34,854
2021-03-15 01:31:00,1.31,1.31,1.31,1.31,1000
2021-03-15 01:31:01,1.3337,1.3337,1.31,1.325,4600
2021-03-15 01:31:02,1.3119,1.3278,1.3119,1.3122,2278
2021-03-15 01:31:03,1.3211,1.3373,1.3211,1.3373,3983
2021-03-15 01:31:04,1.3222,1.3249,1.3222,1.3249,1344
2021-03-15 01:31:05,1.338,1.34,1.32,1.32,8556
2021-03-15 01:31:06,1.34,1.34,1.34,1.34,1605
2021-03-15 01:31:07,1.3249,1.3378,1.3208,1.3208,4366
2021-03-15 01:31:08,1.3351,1.3351,1.3351,1.3351,160
2021-03-15 01:31:09,1.3222,1.3384,1.32,1.3372,6130
2021-03-15 01:31:11,1.3336,1.3336,1.3336,1.3336,5449
2021-03-15 01:31:12,1.3389,1.3389,1.3301,1.3327,6538
2021-03-15 01:31:13,1.3311,1.3311,1.3307,1.3307,6056
2021-03-15 01:31:14,1.3311,1.35,1.3311,1.35,12286
2021-03-15 01:31:15,1.3311,1.3411,1.3309,1.3411,4096
2021-03-15 01:31:16,1.3411,1.3411,1.3411,1.3411,303
2021-03-15 01:31:17,1.3411,1.35,1.3,1.3073,112786
2021-03-15 01:31:19,1.3059,1.35,1.3059,1.35,7175
2021-03-15 01:31:20,1.344,1.35,1.34,1.34,40311
2021-03-15 01:31:21,1.3047,1.3351,1.3047,1.3351,2415
2021-03-15 01:31:22,1.3399,1.3399,1.3073,1.3303,5504
2021-03-15 01:31:23,1.3353,1.3353,1.3028,1.3028,6490
2021-03-15 01:31:24,1.3003,1.3074,1.3003,1.3074,31837
2021-03-15 01:31:25,1.3099,1.3372,1.3099,1.3372,4156
2021-03-15 01:31:26,1.3149,1.3149,1.3149,1.3149,143
2021-03-15 01:31:27,1.3356,1.338,1.3123,1.338,4358
2021-03-15 01:31:28,1.34,1.34,1.34,1.34,10031
2021-03-15 01:31:29,1.3175,1.34,1.3137,1.3137,4435
2021-03-15 01:31:30,1.3378,1.3378,1.3378,1.3378,161
