Date,Open,High,Low,Close,Volume
2021-03-15 01:30:51,5.175,5.19,5.16,5.16,868
2021-03-15 01:30:52,5.1896,5.19,5.15,5.15,2010
2021-03-15 01:30:53,5.15,5.155,5.15,5.155,342
2021-03-15 01:30:54,5.155,5.16,5.15,5.15,1758
2021-03-15 01:30:55,5.1537,5.16,5.15,5.1501,1710
2021-03-15 01:30:56,5.16,5.16,5.15,5.15,3159
2021-03-15 01:30:57,5.1568,5.1568,5.14,5.14,1275
2021-03-15 01:30:58,5.1226,5.1226,5.1226,5.1226,4076
2021-03-15 01:30:59,5.13,5.15,5.12,5.12,2250
2021-03-15 01:31:00,5.12,5.1411,5.12,5.135,3912
2021-03-15 01:31:01,5.15,5.15,5.12,5.15,14120
2021-03-15 01:31:02,5.12,5.1203,5.09,5.11,16625
2021-03-15 01:31:03,5.09,5.11,5.03,5.03,16223
2021-03-15 01:31:04,5.0347,5.0347,5,5,11031
2021-03-15 01:31:05,5.015,5.015,5,5,4409
2021-03-15 01:31:06,5.03,5.03,4.95,4.95,16387
2021-03-15 01:31:07,4.9558,4.9558,4.9558,4.9558,600
2021-03-15 01:31:08,4.95,5.01,4.95,5.0062,1552
2021-03-15 01:31:09,4.95,4.9999,4.95,4.9999,1054
2021-03-15 01:31:10,4.97,5,4.9506,4.9506,960
2021-03-15 01:31:11,4.9501,4.98,4.95,4.95,6600
2021-03-15 01:31:12,4.96,4.965,4.95,4.9514,1403
2021-03-15 01:31:13,4.9529,4.9529,4.95,4.95,2450
2021-03-15 01:31:14,4.98,4.9999,4.97,4.9999,2886
2021-03-15 01:31:15,4.97,4.97,4.9495,4.9495,3611
2021-03-15 01:31:16,4.93,4.978,4.9,4.92,6551
2021-03-15 01:31:17,5,5,4.91,4.9101,2576
2021-03-15 01:31:18,4.94,4.9899,4.9,4.92,11077
2021-03-15 01:31:19,4.92,4.92,4.9,4.91,2601
2021-03-15 01:31:20,4.9,4.9499,4.9,4.9436,4166
2021-03-15 01:31:21,4.915,4.915,4.915,4.915,345
2021-03-15 01:31:22,4.95,4.95,4.925,4.925,945
2021-03-15 01:31:23,4.925,4.99,4.9,4.97,7713
2021-03-15 01:31:24,4.93,4.95,4.9,4.9,2305
2021-03-15 01:31:25,4.94,4.94,4.931,4.931,395
2021-03-15 01:31:26,4.9,4.9006,4.9,4.9001,1289
2021-03-15 01:31:27,4.94,4.99,4.91,4.91,11405
2021-03-15 01:31:28,4.91,4.95,4.91,4.91,2491
2021-03-15 01:31:29,4.91,4.9694,4.91,4.91,4400
2021-03-15 01:31:31,4.98,4.98,4.91,4.93,2178
2021-03-15 01:31:32,4.93,4.9595,4.92,4.9595,1103
2021-03-15 01:31:33,4.92,4.92,4.92,4.92,1500
2021-03-15 01:31:34,4.955,4.955,4.92,4.92,1400
2021-03-15 01:31:35,4.92,4.9899,4.92,4.955,1935
2021-03-15 01:31:36,4.93,4.9526,4.92,4.9526,561
2021-03-15 01:31:37,4.96,4.96,4.955,4.955,750
2021-03-15 01:31:38,4.96,4.98,4.955,4.98,5259
2021-03-15 01:31:39,4.9654,4.97,4.9654,4.97,1100
2021-03-15 01:31:40,4.99,4.99,4.9899,4.9899,5200
2021-03-15 01:31:41,4.9899,4.9899,4.9899,4.9899,614
2021-03-15 01:31:42,4.97,5.01,4.96,4.96,4851
2021-03-15 01:31:43,5.02,5.0699,5,5,4830
2021-03-15 01:31:44,5.01,5.02,4.99,5,1780
2021-03-15 01:31:45,5,5,4.96,4.9635,2786
2021-03-15 01:31:46,5,5.0399,4.95,5.0002,7900
2021-03-15 01:31:47,5.02,5.02,5,5,250
2021-03-15 01:31:48,5,5.0061,4.97,5,1728
2021-03-15 01:31:49,4.9994,4.9994,4.9994,4.9994,102
2021-03-15 01:31:50,4.9998,4.9998,4.97,4.97,1414
2021-03-15 01:31:51,4.97,5.02,4.96,5.02,4269
2021-03-15 01:31:52,5.02,5.02,4.96,4.96,2235
2021-03-15 01:31:53,4.965,4.9933,4.965,4.9933,445
2021-03-15 01:31:54,4.9999,5,4.975,4.975,2433
2021-03-15 01:31:55,4.95,5.0699,4.95,5.0699,5625
2021-03-15 01:31:56,5.06,5.07,5.02,5.07,4390
2021-03-15 01:31:57,5.02,5.03,5.02,5.03,755
2021-03-15 01:31:58,5.1,5.15,5.0601,5.15,2569
2021-03-15 01:31:59,5.13,5.17,5.13,5.17,4295
2021-03-15 01:32:00,5.14,5.2,5.14,5.1899,6155
2021-03-15 01:32:01,5.17,5.19,5.162,5.1899,5700
2021-03-15 01:32:02,5.19,5.2,5.1501,5.2,8827
2021-03-15 01:32:03,5.1884,5.19,5.14,5.14,12293
2021-03-15 01:32:04,5.15,5.1599,5.13,5.15,7011
2021-03-15 01:32:05,5.13,5.19,5.05,5.19,15648
2021-03-15 01:32:06,5.18,5.2,5.18,5.19,1025
2021-03-15 01:32:07,5.19,5.28,5.11,5.19,73497
2021-03-15 01:32:08,5.1899,5.2,5.11,5.1784,106223
2021-03-15 01:32:09,5.2,5.35,5.2,5.29,38923
2021-03-15 01:32:10,5.32,5.38,5.31,5.3301,28342
2021-03-15 01:32:11,5.36,5.38,5.3101,5.33,34242
2021-03-15 01:32:12,5.355,5.38,5.3,5.3294,29822
2021-03-15 01:32:13,5.35,5.38,5.3,5.3699,36219
2021-03-15 01:32:14,5.37,5.38,5.3,5.3,25599
2021-03-15 01:32:15,5.31,5.38,5.27,5.32,32277
2021-03-15 01:32:16,5.34,5.37,5.28,5.32,17766
2021-03-15 01:32:17,5.3329,5.34,5.3,5.3,15067
2021-03-15 01:32:18,5.3399,5.3399,5.27,5.27,13660
2021-03-15 01:32:19,5.27,5.32,5.24,5.26,15673
2021-03-15 01:32:20,5.3299,5.33,5.23,5.2306,21250
2021-03-15 01:32:21,5.29,5.3299,5.23,5.3299,11451
2021-03-15 01:32:22,5.3299,5.33,5.28,5.3299,7851
2021-03-15 01:32:23,5.3,5.33,5.29,5.33,15367
2021-03-15 01:32:24,5.3226,5.33,5.28,5.3056,9999
2021-03-15 01:32:25,5.3288,5.33,5.29,5.3292,23254
2021-03-15 01:32:26,5.3299,5.33,5.29,5.31,15621
2021-03-15 01:32:27,5.3022,5.32,5.27,5.32,13937
2021-03-15 01:32:28,5.318,5.32,5.23,5.25,12693
2021-03-15 01:32:29,5.2742,5.2912,5.23,5.265,12999
2021-03-15 01:32:30,5.2825,5.29,5.2,5.2,11895
2021-03-15 01:32:31,5.2281,5.2281,5.1301,5.2,8053
2021-03-15 01:32:32,5.16,5.23,5.15,5.2294,8036
2021-03-15 01:32:33,5.2,5.25,5.2,5.2322,10552
2021-03-15 01:32:34,5.23,5.26,5.23,5.24,2885
2021-03-15 01:32:35,5.25,5.28,5.23,5.2374,12057
2021-03-15 01:32:36,5.28,5.28,5.25,5.28,7364
2021-03-15 01:32:37,5.26,5.28,5.2576,5.2596,6209
2021-03-15 01:32:38,5.2799,5.28,5.2401,5.2401,3785
2021-03-15 01:32:39,5.28,5.28,5.24,5.24,7214
2021-03-15 01:32:40,5.2702,5.2702,5.25,5.26,5160
2021-03-15 01:32:41,5.2408,5.26,5.24,5.24,1878
2021-03-15 01:32:42,5.245,5.25,5.2,5.2,11215
2021-03-15 01:32:43,5.22,5.22,5.15,5.15,6187
2021-03-15 01:32:44,5.17,5.1899,5.13,5.16,14871
2021-03-15 01:32:45,5.16,5.18,5.12,5.1308,10318
2021-03-15 01:32:46,5.13,5.18,5.11,5.1105,26971
2021-03-15 01:32:47,5.1126,5.18,5.11,5.145,15225
2021-03-15 01:32:48,5.1499,5.15,5.1153,5.13,6364
2021-03-15 01:32:49,5.1499,5.18,5.12,5.15,9850
2021-03-15 01:32:50,5.15,5.18,5.12,5.12,9084
2021-03-15 01:32:51,5.16,5.1699,5.145,5.1649,6093
2021-03-15 01:32:52,5.17,5.18,5.15,5.1501,11834
2021-03-15 01:32:53,5.19,5.22,5.15,5.2188,20328
2021-03-15 01:32:54,5.22,5.24,5.1901,5.1901,6617
2021-03-15 01:32:55,5.2399,5.24,5.2101,5.23,4183
2021-03-15 01:32:56,5.24,5.25,5.2201,5.25,6078
2021-03-15 01:32:57,5.25,5.25,5.21,5.2399,13179
2021-03-15 01:32:58,5.2399,5.25,5.2101,5.25,5840
2021-03-15 01:32:59,5.26,5.26,5.23,5.258,7591
2021-03-15 01:33:00,5.26,5.28,5.26,5.28,6260
2021-03-15 01:33:01,5.27,5.29,5.27,5.28,20483
2021-03-15 01:33:02,5.289,5.3,5.28,5.285,10978
2021-03-15 01:33:03,5.31,5.38,5.28,5.38,29756
2021-03-15 01:33:04,5.38,5.45,5.36,5.45,50878
2021-03-15 01:33:05,5.45,5.45,5.4004,5.45,26334
2021-03-15 01:33:06,5.45,5.45,5.36,5.4,26795
2021-03-15 01:33:07,5.38,5.43,5.37,5.4195,12644
2021-03-15 01:33:08,5.3701,5.4299,5.37,5.3701,10251
2021-03-15 01:33:09,5.3774,5.42,5.37,5.39,9796
2021-03-15 01:33:10,5.405,5.43,5.399,5.415,22864
2021-03-15 01:33:11,5.4,5.44,5.39,5.44,8931
2021-03-15 01:33:12,5.42,5.45,5.4,5.4248,29306
2021-03-15 01:33:13,5.4357,5.45,5.43,5.443,21071
2021-03-15 01:33:14,5.4489,5.5,5.44,5.5,25064
2021-03-15 01:33:15,5.5,5.54,5.45,5.54,38160
2021-03-15 01:33:16,5.49,5.51,5.46,5.4658,22646
2021-03-15 01:33:17,5.4601,5.55,5.46,5.54,33277
2021-03-15 01:33:18,5.57,5.6,5.51,5.5692,23658
2021-03-15 01:33:19,5.565,5.59,5.5101,5.5699,19603
2021-03-15 01:33:20,5.527,5.58,5.52,5.5692,26360
2021-03-15 01:33:21,5.53,5.57,5.51,5.528,29687
2021-03-15 01:33:22,5.54,5.58,5.51,5.525,19705
2021-03-15 01:33:23,5.51,5.56,5.51,5.5519,24638
2021-03-15 01:33:24,5.54,5.56,5.46,5.535,41691
2021-03-15 01:33:25,5.5,5.56,5.45,5.47,27528
2021-03-15 01:33:26,5.47,5.51,5.45,5.45,15696
2021-03-15 01:33:27,5.4528,5.4685,5.4467,5.4685,5653
2021-03-15 01:33:28,5.45,5.49,5.44,5.4697,6203
2021-03-15 01:33:29,5.4601,5.51,5.4601,5.47,10444
2021-03-15 01:33:30,5.4633,5.51,5.4631,5.51,13189
2021-03-15 01:33:31,5.47,5.51,5.47,5.5099,9171
2021-03-15 01:33:32,5.498,5.51,5.47,5.5031,5071
2021-03-15 01:33:33,5.49,5.51,5.47,5.5047,9456
2021-03-15 01:33:34,5.5,5.5,5.47,5.495,9790
2021-03-15 01:33:35,5.49,5.5,5.46,5.46,15825
2021-03-15 01:33:36,5.46,5.4999,5.4595,5.47,10198
2021-03-15 01:33:37,5.45,5.5,5.45,5.5,12156
2021-03-15 01:33:38,5.48,5.5,5.45,5.4994,15931
2021-03-15 01:33:39,5.4701,5.51,5.45,5.4999,23500
2021-03-15 01:33:40,5.49,5.54,5.49,5.515,15047
2021-03-15 01:33:41,5.4997,5.54,5.46,5.52,15911
2021-03-15 01:33:42,5.5399,5.54,5.49,5.4903,11845
2021-03-15 01:33:43,5.5,5.54,5.4911,5.5377,11452
2021-03-15 01:33:44,5.53,5.54,5.51,5.51,3608
2021-03-15 01:33:45,5.55,5.6,5.5339,5.6,28692
2021-03-15 01:33:46,5.5999,5.64,5.59,5.6221,18674
2021-03-15 01:33:47,5.64,5.71,5.62,5.68,44250
