Date,Open,High,Low,Close,Volume
2021-03-16 01:38:32,5.4,5.4,5.4,5.4,9460
2021-03-16 01:38:33,5.44,5.45,5.43,5.45,1074
2021-03-16 01:38:35,5.4349,5.44,5.43,5.43,1200
2021-03-16 01:38:36,5.45,5.46,5.45,5.46,1090
2021-03-16 01:38:37,5.47,5.47,5.47,5.47,565
2021-03-16 01:38:38,5.4727,5.475,5.4727,5.475,420
2021-03-16 01:38:39,5.48,5.4999,5.4797,5.4934,2700
2021-03-16 01:38:40,5.4792,5.52,5.4792,5.52,2705
2021-03-16 01:38:41,5.495,5.52,5.495,5.5112,950
2021-03-16 01:38:42,5.52,5.52,5.5142,5.5142,720
2021-03-16 01:38:43,5.52,5.5311,5.5196,5.5311,2305
2021-03-16 01:38:44,5.5,5.5208,5.5,5.5208,1200
2021-03-16 01:38:45,5.52,5.5235,5.52,5.52,8487
2021-03-16 01:38:46,5.5,5.5,5.5,5.5,736
2021-03-16 01:38:47,5.52,5.52,5.5,5.5,300
2021-03-16 01:38:48,5.54,5.54,5.501,5.54,3600
2021-03-16 01:38:49,5.52,5.52,5.5187,5.52,1769
2021-03-16 01:38:50,5.5399,5.5399,5.5399,5.5399,141
2021-03-16 01:38:52,5.533,5.59,5.5,5.5,8270
2021-03-16 01:38:53,5.5,5.58,5.5,5.565,3150
2021-03-16 01:38:54,5.54,5.545,5.5,5.53,2892
2021-03-16 01:38:55,5.5821,5.59,5.5009,5.555,3369
2021-03-16 01:38:56,5.5623,5.5623,5.5623,5.5623,1048
2021-03-16 01:38:57,5.52,5.59,5.52,5.55,5689
2021-03-16 01:38:58,5.51,5.525,5.51,5.525,210
2021-03-16 01:38:59,5.52,5.52,5.511,5.511,2500
2021-03-16 01:39:00,5.54,5.57,5.52,5.55,8879
2021-03-16 01:39:01,5.54,5.54,5.54,5.54,592
2021-03-16 01:39:03,5.57,5.57,5.55,5.55,400
2021-03-16 01:39:04,5.55,5.58,5.55,5.5785,2041
2021-03-16 01:39:05,5.5501,5.5789,5.55,5.5504,6665
2021-03-16 01:39:06,5.59,5.59,5.5,5.59,4210
2021-03-16 01:39:08,5.51,5.5277,5.5,5.5277,5593
2021-03-16 01:39:09,5.5604,5.5604,5.5,5.5027,670
2021-03-16 01:39:10,5.57,5.57,5.5,5.5,1726
2021-03-16 01:39:11,5.5,5.5,5.5,5.5,203
2021-03-16 01:39:12,5.5,5.5308,5.5,5.5308,1120
2021-03-16 01:39:13,5.5,5.5,5.4827,5.5,9213
2021-03-16 01:39:14,5.46,5.4957,5.45,5.4957,5579
2021-03-16 01:39:15,5.45,5.475,5.45,5.475,326
