Date,Open,High,Low,Close,Volume
2021-03-16 01:38:32,4.6501,4.67,4.6501,4.6501,9903
2021-03-16 01:38:33,4.65,4.6501,4.62,4.62,13529
2021-03-16 01:38:34,4.62,4.65,4.62,4.625,25954
2021-03-16 01:38:35,4.62,4.6211,4.6,4.6022,18466
2021-03-16 01:38:36,4.6199,4.6199,4.6,4.605,7697
2021-03-16 01:38:37,4.6081,4.61,4.593,4.61,9225
2021-03-16 01:38:38,4.6011,4.6094,4.6,4.6043,8924
2021-03-16 01:38:39,4.5973,4.62,4.59,4.5999,22892
2021-03-16 01:38:40,4.6058,4.6099,4.583,4.583,6397
2021-03-16 01:38:41,4.6099,4.6353,4.56,4.615,9849
2021-03-16 01:38:42,4.5901,4.615,4.5901,4.615,3979
2021-03-16 01:38:43,4.62,4.65,4.5898,4.5898,5482
2021-03-16 01:38:44,4.57,4.64,4.57,4.64,6789
2021-03-16 01:38:45,4.62,4.62,4.6,4.62,1795
2021-03-16 01:38:46,4.62,4.64,4.6,4.6,1368
2021-03-16 01:38:47,4.6399,4.6399,4.6,4.6,6939
2021-03-16 01:38:48,4.6189,4.6189,4.6,4.6,636
2021-03-16 01:38:49,4.61,4.64,4.61,4.6282,7474
2021-03-16 01:38:50,4.6373,4.6399,4.62,4.6222,5516
2021-03-16 01:38:51,4.64,4.64,4.62,4.62,8356
2021-03-16 01:38:52,4.6399,4.64,4.61,4.62,3410
2021-03-16 01:38:53,4.62,4.64,4.61,4.6376,12503
2021-03-16 01:38:54,4.64,4.64,4.62,4.623,6077
2021-03-16 01:38:55,4.6356,4.6356,4.62,4.6301,2235
2021-03-16 01:38:56,4.621,4.622,4.621,4.622,601
2021-03-16 01:38:57,4.62,4.64,4.62,4.6389,4976
2021-03-16 01:38:58,4.6317,4.6317,4.62,4.63,4151
2021-03-16 01:38:59,4.64,4.65,4.63,4.65,21196
2021-03-16 01:39:00,4.648,4.6591,4.64,4.64,14682
2021-03-16 01:39:01,4.64,4.6526,4.64,4.65,1902
2021-03-16 01:39:02,4.66,4.68,4.66,4.66,24768
2021-03-16 01:39:03,4.68,4.7,4.65,4.69,26879
2021-03-16 01:39:04,4.6999,4.7,4.68,4.69,6648
2021-03-16 01:39:05,4.68,4.7099,4.68,4.69,11100
2021-03-16 01:39:06,4.7027,4.71,4.68,4.7,11055
2021-03-16 01:39:07,4.71,4.71,4.68,4.68,9645
2021-03-16 01:39:08,4.6999,4.71,4.69,4.6911,5966
2021-03-16 01:39:09,4.69,4.7,4.69,4.69,15428
2021-03-16 01:39:10,4.7,4.7,4.65,4.665,15421
2021-03-16 01:39:11,4.67,4.69,4.67,4.6807,8375
2021-03-16 01:39:12,4.68,4.6999,4.68,4.6999,4017
2021-03-16 01:39:13,4.6822,4.7,4.6822,4.69,4470
