Date,Open,High,Low,Close,Volume
2021-03-16 01:38:32,3.97,3.97,3.97,3.97,128
2021-03-16 01:38:33,3.97,3.992,3.96,3.967,11798
2021-03-16 01:38:34,3.96,3.96,3.96,3.96,101
2021-03-16 01:38:37,3.97,4.04,3.9699,4.04,5645
2021-03-16 01:38:39,4.04,4.04,4.0054,4.0054,7638
2021-03-16 01:38:41,4.0112,4.0112,4.0112,4.0112,151
2021-03-16 01:38:42,4.0323,4.0323,4.0323,4.0323,205
2021-03-16 01:38:43,4.033,4.033,4.033,4.033,304
2021-03-16 01:38:44,4,4,4,4,160
2021-03-16 01:38:45,4,4.009,4,4.009,900
2021-03-16 01:38:48,4.0003,4.0003,4.0003,4.0003,2000
2021-03-16 01:38:50,4,4,4,4,150
2021-03-16 01:38:51,4.0101,4.0101,4.0101,4.0101,1000
2021-03-16 01:38:54,4.0399,4.0399,4.0399,4.0399,278
2021-03-16 01:38:56,4.04,4.04,4.025,4.025,720
2021-03-16 01:38:57,4.01,4.025,4.01,4.025,1851
2021-03-16 01:38:59,4.011,4.011,4.01,4.01,2744
2021-03-16 01:39:00,4,4,4,4,359
2021-03-16 01:39:02,3.9947,3.9947,3.9947,3.9947,151
2021-03-16 01:39:07,4.01,4.01,4.01,4.01,105
2021-03-16 01:39:08,4.0199,4.0199,4.0199,4.0199,150
2021-03-16 01:39:09,4.02,4.02,4.01,4.01,550
2021-03-16 01:39:10,4,4,4,4,2710
2021-03-16 01:39:11,4.01,4.0197,4.01,4.0197,1200
2021-03-16 01:39:12,4.02,4.02,4.0198,4.0198,3754
2021-03-16 01:39:13,4.01,4.0199,4.01,4.01,1002
2021-03-16 01:39:14,4.01,4.0101,4,4,1217
2021-03-16 01:39:16,4.0183,4.0183,4.0183,4.0183,130
2021-03-16 01:39:17,4.02,4.03,4.02,4.03,2767
2021-03-16 01:39:19,4.0299,4.0299,4.0299,4.0299,7065
2021-03-16 01:39:21,4.03,4.03,4.0296,4.0296,2310
2021-03-16 01:39:22,4.0252,4.03,4.0252,4.03,1110
2021-03-16 01:39:23,4.02,4.0219,4.02,4.0219,300
2021-03-16 01:39:24,4.02,4.02,4.02,4.02,2000
2021-03-16 01:39:25,4.02,4.02,4.02,4.02,484
2021-03-16 01:39:26,4.01,4.01,4.01,4.01,125
2021-03-16 01:39:28,4.015,4.02,4.015,4.02,378
2021-03-16 01:39:30,4.02,4.02,4.0199,4.0199,520
2021-03-16 01:39:31,4.02,4.02,4.0195,4.0195,1752
2021-03-16 01:39:32,4.02,4.02,4.02,4.02,1405
2021-03-16 01:39:34,4.02,4.02,4.02,4.02,10010
2021-03-16 01:39:35,4.03,4.03,4.03,4.03,194
2021-03-16 01:39:36,4.02,4.02,4,4.01,3010
2021-03-16 01:39:39,4.0014,4.0014,4.0014,4.0014,476
2021-03-16 01:39:40,4,4.005,4,4.005,730
2021-03-16 01:39:42,4,4,4,4,237
2021-03-16 01:39:44,4.0081,4.0081,4,4,16133
2021-03-16 01:39:45,4,4,4,4,522
2021-03-16 01:39:46,4.0008,4.01,4,4.01,1505
2021-03-16 01:39:47,4,4.0002,4,4.0001,4400
2021-03-16 01:39:50,4.0014,4.0014,4.0014,4.0014,400
2021-03-16 01:39:51,4,4.0001,3.96,3.9677,6765
2021-03-16 01:39:53,3.96,3.96,3.96,3.96,110
2021-03-16 01:39:54,3.9701,3.9701,3.9701,3.9701,490
2021-03-16 01:39:55,4,4,3.99,4,2069
2021-03-16 01:39:56,3.9746,4,3.9746,3.9999,2605
2021-03-16 01:39:58,3.985,3.985,3.97,3.97,300
2021-03-16 01:39:59,3.985,3.985,3.985,3.985,300
2021-03-16 01:40:00,4,4,4,4,5000
2021-03-16 01:40:01,4,4,4,4,1974
2021-03-16 01:40:02,4,4,4,4,470
2021-03-16 01:40:07,3.9809,3.9809,3.9809,3.9809,1300
2021-03-16 01:40:08,4,4.01,3.9999,3.9999,3548
2021-03-16 01:40:09,4.005,4.005,4.0026,4.0026,3426
2021-03-16 01:40:11,4.01,4.0174,4.01,4.0174,25104
2021-03-16 01:40:12,4.01,4.03,4.01,4.0199,3074
2021-03-16 01:40:13,4.03,4.03,4.0279,4.0279,2045
2021-03-16 01:40:14,4.016,4.03,4.016,4.03,2641
2021-03-16 01:40:15,4.04,4.05,4.04,4.045,6926
