Date,Open,High,Low,Close,Volume
2021-03-16 01:38:32,4.74,4.74,4.74,4.74,400
2021-03-16 01:38:33,4.75,4.75,4.75,4.75,3901
2021-03-16 01:38:35,4.79,4.79,4.79,4.79,320
2021-03-16 01:38:37,4.8,4.82,4.7999,4.82,3077
2021-03-16 01:38:38,4.84,4.84,4.84,4.84,550
2021-03-16 01:38:39,4.8201,4.8499,4.8201,4.8499,6400
2021-03-16 01:38:40,4.8201,4.8201,4.8201,4.8201,500
2021-03-16 01:38:41,4.82,4.82,4.82,4.82,100
2021-03-16 01:38:43,4.85,4.88,4.85,4.86,1150
2021-03-16 01:38:44,4.88,4.88,4.865,4.865,700
2021-03-16 01:38:45,4.865,4.865,4.85,4.85,1100
2021-03-16 01:38:46,4.8509,4.87,4.845,4.85,1493
2021-03-16 01:38:47,4.85,4.87,4.85,4.855,2700
2021-03-16 01:38:48,4.83,4.83,4.83,4.83,100
2021-03-16 01:38:50,4.8648,4.8648,4.82,4.835,625
2021-03-16 01:38:51,4.8482,4.8482,4.8482,4.8482,553
2021-03-16 01:38:52,4.8201,4.8201,4.8201,4.8201,599
2021-03-16 01:38:53,4.85,4.85,4.8,4.8,5520
2021-03-16 01:38:54,4.82,4.82,4.82,4.82,125
2021-03-16 01:38:55,4.82,4.82,4.8,4.8199,1644
2021-03-16 01:38:56,4.85,4.85,4.82,4.83,2199
2021-03-16 01:38:58,4.835,4.87,4.835,4.8644,1132
2021-03-16 01:38:59,4.83,4.8699,4.83,4.8699,621
2021-03-16 01:39:00,4.83,4.83,4.83,4.83,319
2021-03-16 01:39:01,4.85,4.86,4.83,4.83,800
2021-03-16 01:39:03,4.87,4.87,4.87,4.87,2000
2021-03-16 01:39:05,4.87,4.87,4.83,4.83,3392
2021-03-16 01:39:07,4.8699,4.88,4.8699,4.88,3793
2021-03-16 01:39:08,4.9,4.9,4.89,4.9,8236
2021-03-16 01:39:09,4.89,4.9199,4.86,4.9199,4593
2021-03-16 01:39:10,4.905,4.92,4.905,4.92,2250
2021-03-16 01:39:11,4.92,4.92,4.89,4.9194,4063
2021-03-16 01:39:12,4.92,4.9301,4.9147,4.9301,3342
2021-03-16 01:39:13,4.9399,4.94,4.92,4.92,1900
2021-03-16 01:39:14,4.94,4.94,4.94,4.94,1311
2021-03-16 01:39:15,4.925,4.98,4.925,4.98,5170
2021-03-16 01:39:16,4.97,4.9799,4.96,4.9799,1204
2021-03-16 01:39:17,4.95,4.955,4.9303,4.955,4295
2021-03-16 01:39:18,4.98,4.98,4.97,4.97,5142
2021-03-16 01:39:19,4.985,4.985,4.97,4.97,563
2021-03-16 01:39:20,4.96,4.97,4.95,4.9699,3080
2021-03-16 01:39:21,4.952,4.99,4.93,4.93,7882
2021-03-16 01:39:22,4.942,4.942,4.93,4.93,1947
2021-03-16 01:39:23,4.95,4.97,4.95,4.965,1070
2021-03-16 01:39:24,4.975,4.98,4.975,4.98,1010
2021-03-16 01:39:25,4.98,4.98,4.98,4.98,160
2021-03-16 01:39:26,4.9722,4.9722,4.9722,4.9722,293
2021-03-16 01:39:27,4.9886,4.9886,4.9886,4.9886,2000
2021-03-16 01:39:28,4.98,4.98,4.97,4.97,443
2021-03-16 01:39:29,4.975,4.99,4.97,4.97,10926
2021-03-16 01:39:30,4.9816,4.9816,4.9816,4.9816,303
2021-03-16 01:39:31,4.98,4.99,4.98,4.99,4866
2021-03-16 01:39:32,4.99,4.99,4.9898,4.9898,272
2021-03-16 01:39:33,5,5,4.992,5,5075
2021-03-16 01:39:34,5,5.09,5,5.0756,5859
2021-03-16 01:39:35,5.075,5.075,5.03,5.03,1522
