Date,Open,High,Low,Close,Volume
2021-03-16 01:38:32,4.36,4.37,4.35,4.3695,5705
2021-03-16 01:38:33,4.37,4.37,4.33,4.36,23346
2021-03-16 01:38:34,4.34,4.355,4.29,4.31,49337
2021-03-16 01:38:35,4.3097,4.31,4.29,4.31,16354
2021-03-16 01:38:36,4.3,4.31,4.29,4.31,17552
2021-03-16 01:38:37,4.29,4.32,4.29,4.3001,13665
2021-03-16 01:38:38,4.3,4.32,4.3,4.31,4363
2021-03-16 01:38:39,4.31,4.31,4.3,4.31,2707
2021-03-16 01:38:40,4.305,4.31,4.29,4.2901,8767
2021-03-16 01:38:41,4.285,4.29,4.26,4.29,13111
2021-03-16 01:38:42,4.3,4.3199,4.3,4.3,10572
2021-03-16 01:38:43,4.315,4.32,4.31,4.31,5377
2021-03-16 01:38:44,4.31,4.32,4.31,4.31,4274
2021-03-16 01:38:45,4.31,4.32,4.3,4.32,9185
2021-03-16 01:38:46,4.3,4.3009,4.25,4.25,12271
2021-03-16 01:38:47,4.2501,4.27,4.2501,4.2589,7931
2021-03-16 01:38:48,4.255,4.2799,4.25,4.27,3699
2021-03-16 01:38:49,4.27,4.28,4.25,4.28,14893
2021-03-16 01:38:50,4.28,4.32,4.28,4.2877,25329
2021-03-16 01:38:51,4.28,4.31,4.28,4.29,10237
2021-03-16 01:38:52,4.29,4.31,4.29,4.3,7196
2021-03-16 01:38:53,4.3001,4.31,4.3,4.3,8082
2021-03-16 01:38:54,4.3089,4.31,4.3,4.3052,8844
2021-03-16 01:38:55,4.303,4.32,4.3,4.319,5448
2021-03-16 01:38:56,4.315,4.32,4.31,4.32,31136
2021-03-16 01:38:57,4.32,4.34,4.31,4.33,16103
2021-03-16 01:38:58,4.35,4.37,4.3388,4.3543,18780
2021-03-16 01:38:59,4.37,4.41,4.36,4.41,49560
2021-03-16 01:39:00,4.4001,4.43,4.3918,4.3918,38643
2021-03-16 01:39:01,4.42,4.42,4.37,4.3994,36323
2021-03-16 01:39:02,4.39,4.3999,4.37,4.37,27299
2021-03-16 01:39:03,4.37,4.38,4.31,4.32,30607
2021-03-16 01:39:04,4.32,4.34,4.31,4.33,23436
2021-03-16 01:39:05,4.35,4.38,4.335,4.36,12182
2021-03-16 01:39:06,4.377,4.377,4.34,4.341,14853
2021-03-16 01:39:07,4.355,4.37,4.34,4.35,14069
2021-03-16 01:39:08,4.35,4.37,4.33,4.35,15647
2021-03-16 01:39:09,4.34,4.38,4.34,4.37,23833
2021-03-16 01:39:10,4.37,4.38,4.37,4.37,6512
2021-03-16 01:39:11,4.37,4.38,4.36,4.37,10880
2021-03-16 01:39:12,4.3701,4.38,4.35,4.3704,36908
2021-03-16 01:39:13,4.3601,4.38,4.35,4.37,31165
2021-03-16 01:39:14,4.37,4.39,4.36,4.39,11776
2021-03-16 01:39:15,4.38,4.4,4.361,4.361,43266
2021-03-16 01:39:16,4.39,4.4,4.31,4.36,54260
2021-03-16 01:39:17,4.37,4.41,4.37,4.41,29738
2021-03-16 01:39:18,4.4,4.43,4.39,4.42,62169
2021-03-16 01:39:19,4.41,4.43,4.4,4.4,56591
2021-03-16 01:39:20,4.4,4.43,4.35,4.36,49294
2021-03-16 01:39:21,4.36,4.38,4.3,4.3367,34720
2021-03-16 01:39:22,4.32,4.3388,4.24,4.29,70122
2021-03-16 01:39:23,4.265,4.31,4.25,4.31,26197
2021-03-16 01:39:24,4.31,4.3111,4.25,4.26,30376
2021-03-16 01:39:25,4.2601,4.28,4.26,4.26,18216
2021-03-16 01:39:26,4.265,4.3,4.265,4.28,18659
2021-03-16 01:39:27,4.2988,4.36,4.28,4.34,26450
2021-03-16 01:39:28,4.33,4.35,4.31,4.32,14499
2021-03-16 01:39:29,4.31,4.33,4.306,4.306,9754
2021-03-16 01:39:30,4.3001,4.3113,4.3,4.3,5893
2021-03-16 01:39:31,4.305,4.33,4.29,4.31,18582
2021-03-16 01:39:32,4.3,4.32,4.3,4.3156,9149
2021-03-16 01:39:33,4.31,4.34,4.31,4.33,4401
2021-03-16 01:39:34,4.34,4.36,4.33,4.36,17592
2021-03-16 01:39:35,4.36,4.36,4.35,4.36,6717
2021-03-16 01:39:36,4.36,4.36,4.34,4.3401,8767
2021-03-16 01:39:37,4.345,4.36,4.33,4.34,15884
2021-03-16 01:39:38,4.32,4.34,4.32,4.32,3460
2021-03-16 01:39:39,4.33,4.33,4.3,4.32,11415
2021-03-16 01:39:40,4.309,4.3299,4.3,4.3,8842
2021-03-16 01:39:41,4.3,4.32,4.3,4.319,8163
2021-03-16 01:39:42,4.3038,4.35,4.3,4.33,21217
2021-03-16 01:39:43,4.349,4.35,4.32,4.34,11981
2021-03-16 01:39:44,4.3301,4.35,4.33,4.34,6219
2021-03-16 01:39:45,4.34,4.35,4.32,4.3401,14532
2021-03-16 01:39:46,4.34,4.35,4.3212,4.35,5841
2021-03-16 01:39:47,4.33,4.3501,4.33,4.35,22181
2021-03-16 01:39:48,4.34,4.3641,4.34,4.355,6668
2021-03-16 01:39:49,4.35,4.36,4.34,4.35,11012
2021-03-16 01:39:50,4.34,4.36,4.34,4.34,5417
2021-03-16 01:39:51,4.35,4.36,4.34,4.34,7063
2021-03-16 01:39:52,4.331,4.35,4.33,4.33,4981
