Date,Open,High,Low,Close,Volume
2021-03-16 01:38:32,4.95,5,4.95,4.995,2666
2021-03-16 01:38:33,4.97,4.97,4.97,4.97,1305
2021-03-16 01:38:34,4.9571,4.99,4.9501,4.99,1268
2021-03-16 01:38:35,4.9511,4.9511,4.9511,4.9511,324
2021-03-16 01:38:36,4.99,4.99,4.95,4.99,2659
2021-03-16 01:38:37,4.99,4.99,4.9696,4.97,4449
2021-03-16 01:38:38,4.97,4.97,4.97,4.97,130
2021-03-16 01:38:39,4.95,4.98,4.95,4.98,1400
2021-03-16 01:38:40,4.96,4.96,4.96,4.96,136
2021-03-16 01:38:42,4.97,4.98,4.966,4.966,1183
2021-03-16 01:38:43,4.97,4.97,4.95,4.965,1346
2021-03-16 01:38:44,4.965,4.965,4.965,4.965,310
2021-03-16 01:38:45,4.98,5,4.96,4.97,12029
2021-03-16 01:38:46,4.97,4.97,4.95,4.95,1130
2021-03-16 01:38:47,4.9933,4.9933,4.96,4.965,3403
2021-03-16 01:38:49,4.95,4.98,4.95,4.9781,1451
2021-03-16 01:38:50,4.9799,4.9799,4.9799,4.9799,402
2021-03-16 01:38:51,4.97,4.97,4.97,4.97,431
2021-03-16 01:38:52,4.97,4.97,4.95,4.97,2325
2021-03-16 01:38:54,4.9753,4.9753,4.9753,4.9753,165
2021-03-16 01:38:56,4.97,4.97,4.97,4.97,554
2021-03-16 01:38:59,4.97,4.97,4.97,4.97,1529
2021-03-16 01:39:00,4.97,4.97,4.97,4.97,100
2021-03-16 01:39:01,4.97,4.97,4.9699,4.9699,899
2021-03-16 01:39:02,4.9698,4.9698,4.95,4.95,709
2021-03-16 01:39:05,4.96,4.96,4.96,4.96,490
2021-03-16 01:39:06,4.96,4.96,4.95,4.95,2480
2021-03-16 01:39:07,4.9678,4.9678,4.95,4.95,1872
2021-03-16 01:39:08,4.9425,4.9425,4.9425,4.9425,107
2021-03-16 01:39:09,4.95,4.95,4.93,4.935,4146
2021-03-16 01:39:10,4.93,4.965,4.93,4.9301,1600
2021-03-16 01:39:11,4.9371,4.964,4.93,4.964,848
2021-03-16 01:39:12,4.93,4.9317,4.9,4.9067,13042
2021-03-16 01:39:13,4.9,4.9,4.9,4.9,596
2021-03-16 01:39:14,4.8701,4.885,4.87,4.8832,3665
2021-03-16 01:39:15,4.872,4.895,4.87,4.87,5698
2021-03-16 01:39:16,4.885,4.885,4.87,4.87,730
2021-03-16 01:39:17,4.9,4.9004,4.9,4.9,3222
2021-03-16 01:39:18,4.92,4.92,4.92,4.92,170
2021-03-16 01:39:19,4.9,4.9,4.88,4.88,1475
2021-03-16 01:39:21,4.8978,4.8988,4.88,4.89,1774
2021-03-16 01:39:23,4.8801,4.8801,4.8801,4.8801,119
2021-03-16 01:39:25,4.885,4.885,4.885,4.885,100
2021-03-16 01:39:26,4.8947,4.8947,4.885,4.885,290
2021-03-16 01:39:28,4.87,4.87,4.87,4.87,726
2021-03-16 01:39:29,4.88,4.88,4.87,4.87,200
2021-03-16 01:39:30,4.89,4.89,4.8601,4.8601,1760
2021-03-16 01:39:31,4.89,4.89,4.8601,4.8601,3918
2021-03-16 01:39:32,4.86,4.861,4.86,4.86,1335
2021-03-16 01:39:33,4.8709,4.8709,4.8709,4.8709,100
2021-03-16 01:39:35,4.86,4.864,4.86,4.8611,769
2021-03-16 01:39:37,4.875,4.875,4.86,4.86,600
2021-03-16 01:39:38,4.86,4.8844,4.86,4.8769,737
2021-03-16 01:39:41,4.86,4.86,4.86,4.86,1183
2021-03-16 01:39:42,4.89,4.94,4.89,4.94,2328
2021-03-16 01:39:44,4.86,4.86,4.86,4.86,200
2021-03-16 01:39:45,4.93,4.93,4.93,4.93,200
2021-03-16 01:39:47,4.94,4.95,4.9235,4.95,6920
2021-03-16 01:39:49,4.95,4.95,4.95,4.95,403
2021-03-16 01:39:50,4.94,4.94,4.94,4.94,127
2021-03-16 01:39:51,4.94,4.94,4.94,4.94,355
2021-03-16 01:39:53,4.95,4.95,4.95,4.95,100
2021-03-16 01:39:54,4.955,4.955,4.94,4.94,2024
2021-03-16 01:39:56,4.9429,4.97,4.91,4.91,425
2021-03-16 01:39:58,4.95,4.95,4.95,4.95,115
2021-03-16 01:40:02,4.91,4.91,4.91,4.91,650
2021-03-16 01:40:03,4.94,4.94,4.92,4.92,1306
2021-03-16 01:40:04,4.91,4.91,4.9,4.9,300
2021-03-16 01:40:10,4.91,4.91,4.91,4.91,1000
2021-03-16 01:40:11,4.9178,4.9178,4.9178,4.9178,100
2021-03-16 01:40:12,4.9,4.92,4.9,4.918,729
2021-03-16 01:40:14,4.9178,4.92,4.9178,4.92,1061
2021-03-16 01:40:15,4.91,4.91,4.91,4.91,305
2021-03-16 01:40:17,4.91,4.91,4.91,4.91,142
2021-03-16 01:40:18,4.9,4.91,4.9,4.9,315
2021-03-16 01:40:19,4.9,4.9,4.88,4.88,1627
2021-03-16 01:40:21,4.89,4.89,4.89,4.89,100
2021-03-16 01:40:22,4.92,4.92,4.92,4.92,603
2021-03-16 01:40:23,4.91,4.91,4.91,4.91,300
2021-03-16 01:40:24,4.885,4.93,4.885,4.93,2316
2021-03-16 01:40:26,4.89,4.9199,4.89,4.9199,282
2021-03-16 01:40:28,4.89,4.89,4.89,4.89,150
2021-03-16 01:40:30,4.9,4.9108,4.85,4.8589,991
2021-03-16 01:40:31,4.9034,4.9034,4.9034,4.9034,301
2021-03-16 01:40:32,4.91,4.91,4.91,4.91,1010
2021-03-16 01:40:34,4.91,4.91,4.86,4.8601,1978
2021-03-16 01:40:35,4.875,4.875,4.7704,4.7801,17328
2021-03-16 01:40:36,4.7735,4.85,4.77,4.8,7940
2021-03-16 01:40:37,4.82,4.82,4.82,4.82,998
2021-03-16 01:40:43,4.84,4.85,4.84,4.85,360
2021-03-16 01:40:45,4.83,4.83,4.83,4.83,500
2021-03-16 01:40:46,4.85,4.85,4.81,4.85,1538
2021-03-16 01:40:47,4.87,4.92,4.87,4.92,4626
2021-03-16 01:40:48,4.865,4.865,4.825,4.85,1200
2021-03-16 01:40:50,4.9,4.9,4.9,4.9,512
2021-03-16 01:40:52,4.8578,4.8578,4.8578,4.8578,106
2021-03-16 01:40:53,4.852,4.852,4.852,4.852,101
