Date,Open,High,Low,Close,Volume
2021-03-17 01:30:50,5.0792,5.08,5.0701,5.0795,5867
2021-03-17 01:30:51,5.0795,5.0795,5.07,5.07,6492
2021-03-17 01:30:52,5.075,5.0794,5.075,5.0794,545
2021-03-17 01:30:53,5.0701,5.08,5.0701,5.075,1560
2021-03-17 01:30:54,5.0796,5.08,5.07,5.08,2973
2021-03-17 01:30:55,5.075,5.075,5.075,5.075,13741
2021-03-17 01:30:56,5.08,5.08,5.01,5.019,37159
2021-03-17 01:30:57,5.02,5.02,5.01,5.01,3537
2021-03-17 01:30:58,5.02,5.02,5.01,5.0101,10334
2021-03-17 01:30:59,5.01,5.015,5.01,5.015,15506
2021-03-17 01:31:00,5.0107,5.0107,5,5.01,14700
2021-03-17 01:31:01,5.005,5.005,4.92,4.92,24542
2021-03-17 01:31:02,4.92,4.925,4.9,4.9,28434
2021-03-17 01:31:03,4.905,4.9099,4.89,4.9,15995
2021-03-17 01:31:04,4.89,4.89,4.86,4.87,4321
2021-03-17 01:31:05,4.87,4.87,4.86,4.865,21278
2021-03-17 01:31:06,4.87,4.87,4.86,4.865,17436
2021-03-17 01:31:07,4.87,4.87,4.86,4.86,8077
2021-03-17 01:31:08,4.865,4.88,4.86,4.86,46263
2021-03-17 01:31:09,4.87,4.88,4.85,4.88,26125
2021-03-17 01:31:10,4.885,4.89,4.875,4.8801,8484
2021-03-17 01:31:11,4.8957,4.9,4.88,4.9,2344
2021-03-17 01:31:12,4.8901,4.8994,4.89,4.8901,3341
2021-03-17 01:31:13,4.8999,4.9,4.89,4.8998,23394
2021-03-17 01:31:14,4.899,4.92,4.899,4.9178,11480
2021-03-17 01:31:15,4.91,4.92,4.91,4.92,9376
2021-03-17 01:31:16,4.9101,4.93,4.9101,4.93,9400
2021-03-17 01:31:17,4.9291,4.9291,4.92,4.9201,3002
2021-03-17 01:31:18,4.9289,4.95,4.925,4.949,8556
2021-03-17 01:31:19,4.93,4.95,4.93,4.95,7396
2021-03-17 01:31:20,4.9592,4.96,4.95,4.95,1454
2021-03-17 01:31:21,4.94,4.9495,4.93,4.93,8882
