Date,Open,High,Low,Close,Volume
2021-03-19 01:30:07,6.465,6.5,6.43,6.4987,61567
2021-03-19 01:30:08,6.4999,6.53,6.4844,6.53,155081
2021-03-19 01:30:09,6.53,6.57,6.5,6.5573,52405
2021-03-19 01:30:10,6.56,6.58,6.517,6.5745,105963
2021-03-19 01:30:11,6.5642,6.58,6.36,6.5731,62860
2021-03-19 01:30:12,6.56,6.57,6.5198,6.57,62319
2021-03-19 01:30:13,6.56,6.5694,6.5106,6.55,13799
2021-03-19 01:30:14,6.55,6.56,6.36,6.52,50253
2021-03-19 01:30:15,6.521,6.57,6.52,6.532,39473
2021-03-19 01:30:16,6.536,6.56,6.5201,6.5384,26349
2021-03-19 01:30:17,6.54,6.5694,6.5201,6.554,19841
2021-03-19 01:30:18,6.56,6.5686,6.5201,6.56,16145
2021-03-19 01:30:19,6.545,6.5636,6.53,6.5636,10323
2021-03-19 01:30:20,6.57,6.58,6.5465,6.56,13773
2021-03-19 01:30:21,6.56,6.57,6.55,6.56,12054
2021-03-19 01:30:22,6.56,6.58,6.54,6.5701,36106
2021-03-19 01:30:23,6.575,6.58,6.56,6.579,51487
2021-03-19 01:30:24,6.5753,6.59,6.57,6.5832,28478
2021-03-19 01:30:25,6.59,6.61,6.5829,6.6099,123724
2021-03-19 01:30:26,6.6157,6.64,6.6083,6.622,28191
2021-03-19 01:30:27,6.64,6.66,6.6266,6.66,54241
2021-03-19 01:30:28,6.6452,6.68,6.63,6.66,37679
2021-03-19 01:30:29,6.64,6.665,6.62,6.6203,29820
2021-03-19 01:30:30,6.63,6.64,6.61,6.6239,36812
2021-03-19 01:30:31,6.62,6.64,6.56,6.58,47965
2021-03-19 01:30:32,6.57,6.62,6.53,6.5641,30856
2021-03-19 01:30:33,6.54,6.57,6.53,6.55,33505
2021-03-19 01:30:34,6.56,6.57,6.52,6.53,35126
2021-03-19 01:30:35,6.54,6.5727,6.53,6.5727,9541
2021-03-19 01:30:36,6.57,6.61,6.57,6.61,15525
2021-03-19 01:30:37,6.595,6.61,6.57,6.5966,24376
2021-03-19 01:30:38,6.5989,6.61,6.5793,6.5793,8469
2021-03-19 01:30:39,6.58,6.6,6.5782,6.59,18283
2021-03-19 01:30:40,6.58,6.61,6.58,6.5876,21517
2021-03-19 01:30:41,6.5856,6.59,6.574,6.58,16152
2021-03-19 01:30:42,6.58,6.58,6.55,6.55,20664
2021-03-19 01:30:43,6.56,6.57,6.52,6.54,37864
2021-03-19 01:30:44,6.5455,6.56,6.53,6.5446,30331
2021-03-19 01:30:45,6.54,6.57,6.54,6.545,20027
2021-03-19 01:30:46,6.541,6.555,6.54,6.55,10284
2021-03-19 01:30:47,6.5469,6.549,6.54,6.5433,7734
2021-03-19 01:30:48,6.544,6.55,6.53,6.54,6640
2021-03-19 01:30:49,6.5452,6.5651,6.53,6.5617,18307
2021-03-19 01:30:50,6.57,6.57,6.54,6.5504,9386
2021-03-19 01:30:51,6.5523,6.5839,6.5523,6.5839,22277
2021-03-19 01:30:52,6.574,6.65,6.57,6.6394,39323
2021-03-19 01:30:53,6.615,6.65,6.6014,6.65,50171
2021-03-19 01:30:54,6.6382,6.65,6.6101,6.6106,48400
2021-03-19 01:30:55,6.6195,6.64,6.6,6.6284,35249
2021-03-19 01:30:56,6.61,6.66,6.61,6.66,24992
2021-03-19 01:30:57,6.6681,6.68,6.642,6.6646,15834
2021-03-19 01:30:58,6.6518,6.67,6.61,6.615,31482
2021-03-19 01:30:59,6.6289,6.67,6.625,6.6547,48900
2021-03-19 01:31:00,6.66,6.66,6.63,6.63,23365
2021-03-19 01:31:01,6.6221,6.65,6.6201,6.6466,15238
2021-03-19 01:31:02,6.64,6.65,6.64,6.64,15587
2021-03-19 01:31:03,6.639,6.66,6.63,6.6452,25623
2021-03-19 01:31:04,6.6487,6.6699,6.64,6.6442,25997
2021-03-19 01:31:05,6.6463,6.66,6.63,6.64,34283
2021-03-19 01:31:06,6.6401,6.68,6.64,6.6678,18713
2021-03-19 01:31:07,6.67,6.71,6.66,6.69,76589
2021-03-19 01:31:08,6.7,6.71,6.69,6.71,71990
2021-03-19 01:31:09,6.71,6.75,6.7013,6.7301,79524
2021-03-19 01:31:10,6.7461,6.75,6.72,6.7272,49372
2021-03-19 01:31:11,6.7272,6.76,6.72,6.7301,39011
2021-03-19 01:31:12,6.74,6.75,6.71,6.7396,44987
2021-03-19 01:31:13,6.75,6.8,6.7464,6.775,73412
2021-03-19 01:31:14,6.79,6.8,6.762,6.7994,33062
2021-03-19 01:31:15,6.79,6.8,6.76,6.7763,63448
2021-03-19 01:31:16,6.76,6.83,6.76,6.805,40777
2021-03-19 01:31:17,6.805,6.81,6.75,6.8,45237
2021-03-19 01:31:18,6.7701,6.83,6.74,6.8293,38334
2021-03-19 01:31:19,6.8,6.82,6.79,6.8055,25475
2021-03-19 01:31:20,6.81,6.82,6.79,6.8091,29301
2021-03-19 01:31:21,6.805,6.82,6.79,6.82,34593
2021-03-19 01:31:22,6.7999,6.81,6.75,6.78,34501
2021-03-19 01:31:23,6.76,6.78,6.72,6.7379,63622
2021-03-19 01:31:24,6.7519,6.76,6.72,6.7303,29471
2021-03-19 01:31:25,6.73,6.76,6.71,6.715,31191
2021-03-19 01:31:26,6.73,6.73,6.68,6.6948,47055
2021-03-19 01:31:27,6.72,6.7254,6.68,6.6801,46536
2021-03-19 01:31:28,6.68,6.7,6.68,6.687,21159
2021-03-19 01:31:29,6.6947,6.7,6.66,6.6943,22168
2021-03-19 01:31:30,6.69,6.71,6.6801,6.6801,30692
2021-03-19 01:31:31,6.7049,6.71,6.68,6.685,18637
2021-03-19 01:31:32,6.6844,6.71,6.68,6.6905,24499
2021-03-19 01:31:33,6.7,6.71,6.69,6.7098,7042
2021-03-19 01:31:34,6.7199,6.74,6.6901,6.74,18803
2021-03-19 01:31:35,6.74,6.75,6.72,6.73,12430
2021-03-19 01:31:36,6.745,6.76,6.73,6.7401,26841
2021-03-19 01:31:37,6.7401,6.76,6.725,6.7278,18419
2021-03-19 01:31:38,6.73,6.74,6.72,6.7201,16044
2021-03-19 01:31:39,6.7274,6.74,6.71,6.73,26265
2021-03-19 01:31:40,6.739,6.74,6.72,6.74,20801
2021-03-19 01:31:41,6.74,6.747,6.7,6.725,47497
2021-03-19 01:31:42,6.7262,6.7599,6.7262,6.7447,15080
2021-03-19 01:31:43,6.745,6.76,6.7401,6.7501,59823
2021-03-19 01:31:44,6.7506,6.76,6.7417,6.76,83240
2021-03-19 01:31:45,6.75,6.76,6.74,6.74,15563
2021-03-19 01:31:46,6.74,6.76,6.7301,6.7316,20963
2021-03-19 01:31:47,6.75,6.82,6.73,6.7901,111263
2021-03-19 01:31:48,6.7772,6.82,6.75,6.8194,51328
2021-03-19 01:31:49,6.79,6.82,6.77,6.8162,26739
2021-03-19 01:31:50,6.7956,6.81,6.78,6.78,26743
2021-03-19 01:31:51,6.7762,6.81,6.77,6.8089,26470
2021-03-19 01:31:52,6.8001,6.8199,6.79,6.795,23851
2021-03-19 01:31:53,6.79,6.82,6.78,6.8001,14789
2021-03-19 01:31:54,6.81,6.83,6.79,6.83,20272
2021-03-19 01:31:55,6.81,6.82,6.8,6.81,19287
2021-03-19 01:31:56,6.82,6.83,6.7822,6.7883,34201
2021-03-19 01:31:57,6.8,6.83,6.7805,6.81,29882
2021-03-19 01:31:58,6.82,6.83,6.79,6.8299,11835
2021-03-19 01:31:59,6.8299,6.85,6.8017,6.8017,39187
2021-03-19 01:32:00,6.8078,6.85,6.8,6.835,32904
2021-03-19 01:32:01,6.83,6.8404,6.82,6.83,26846
2021-03-19 01:32:02,6.82,6.83,6.77,6.77,41272
2021-03-19 01:32:03,6.77,6.78,6.74,6.7494,46281
2021-03-19 01:32:04,6.75,6.77,6.72,6.74,36214
2021-03-19 01:32:05,6.72,6.74,6.68,6.6801,36755
2021-03-19 01:32:06,6.6999,6.6999,6.65,6.6501,29325
2021-03-19 01:32:07,6.665,6.71,6.65,6.6962,26156
2021-03-19 01:32:08,6.6999,6.74,6.6701,6.74,35196
2021-03-19 01:32:09,6.7321,6.77,6.6994,6.75,25873
2021-03-19 01:32:10,6.74,6.76,6.725,6.73,23647
2021-03-19 01:32:11,6.722,6.75,6.722,6.7494,21302
2021-03-19 01:32:12,6.75,6.76,6.71,6.71,20519
2021-03-19 01:32:13,6.72,6.73,6.71,6.7279,11678
2021-03-19 01:32:14,6.728,6.7299,6.7,6.7199,15856
2021-03-19 01:32:15,6.71,6.73,6.7,6.714,16648
2021-03-19 01:32:16,6.7,6.71,6.689,6.689,12685
2021-03-19 01:32:17,6.6899,6.7784,6.68,6.74,56254
2021-03-19 01:32:18,6.74,6.77,6.72,6.7352,17741
2021-03-19 01:32:19,6.75,6.769,6.73,6.7392,14960
2021-03-19 01:32:20,6.7301,6.75,6.73,6.7499,9650
2021-03-19 01:32:21,6.745,6.745,6.7201,6.735,17001
2021-03-19 01:32:22,6.735,6.74,6.73,6.7325,16604
2021-03-19 01:32:23,6.7325,6.7399,6.71,6.71,20768
2021-03-19 01:32:24,6.7188,6.7361,6.71,6.73,7557
2021-03-19 01:32:25,6.73,6.73,6.71,6.7176,19773
2021-03-19 01:32:26,6.715,6.72,6.7,6.71,26678
2021-03-19 01:32:27,6.71,6.725,6.7,6.7201,28748
2021-03-19 01:32:28,6.725,6.77,6.725,6.7607,41480
2021-03-19 01:32:29,6.7609,6.77,6.745,6.75,15091
2021-03-19 01:32:30,6.75,6.76,6.72,6.76,43765
2021-03-19 01:32:31,6.755,6.77,6.73,6.755,9430
2021-03-19 01:32:32,6.7468,6.7699,6.74,6.7699,3309
2021-03-19 01:32:33,6.76,6.77,6.75,6.77,3644
2021-03-19 01:32:34,6.75,6.77,6.74,6.77,17099
2021-03-19 01:32:35,6.765,6.77,6.75,6.755,18075
2021-03-19 01:32:36,6.75,6.76,6.72,6.7344,20898
2021-03-19 01:32:37,6.73,6.74,6.72,6.72,7825
2021-03-19 01:32:38,6.73,6.74,6.72,6.73,2467
2021-03-19 01:32:39,6.737,6.737,6.7,6.705,15631
2021-03-19 01:32:40,6.7069,6.725,6.69,6.7206,12738
2021-03-19 01:32:41,6.7232,6.7232,6.7,6.7099,27398
2021-03-19 01:32:42,6.7078,6.72,6.696,6.7199,7805
2021-03-19 01:32:43,6.7101,6.72,6.6937,6.7,12125
2021-03-19 01:32:44,6.7199,6.72,6.6901,6.7133,19067
2021-03-19 01:32:45,6.71,6.71,6.6976,6.7001,7916
2021-03-19 01:32:46,6.7093,6.71,6.6922,6.7,17132
2021-03-19 01:32:47,6.6992,6.7,6.69,6.69,26902
2021-03-19 01:32:48,6.6901,6.6901,6.65,6.6572,22221
2021-03-19 01:32:49,6.6656,6.69,6.64,6.6574,18563
2021-03-19 01:32:50,6.6556,6.6799,6.64,6.65,9901
