Date,Open,High,Low,Close,Volume
2021-03-19 01:30:07,2.92,2.95,2.9,2.945,31319
2021-03-19 01:30:08,2.91,3.01,2.9,2.91,29155
2021-03-19 01:30:09,2.909,2.92,2.9,2.9002,6671
2021-03-19 01:30:10,2.91,2.93,2.9,2.91,11354
2021-03-19 01:30:11,2.905,2.9131,2.88,2.89,48223
2021-03-19 01:30:12,2.89,2.93,2.88,2.93,9341
2021-03-19 01:30:13,2.925,2.94,2.91,2.91,7091
2021-03-19 01:30:14,2.905,2.94,2.89,2.94,24185
2021-03-19 01:30:15,2.931,2.9541,2.93,2.95,15621
2021-03-19 01:30:16,2.9485,2.95,2.94,2.945,7611
2021-03-19 01:30:17,2.9465,2.95,2.9405,2.9499,9577
2021-03-19 01:30:18,2.9489,2.95,2.941,2.9482,6260
2021-03-19 01:30:19,2.95,3.02,2.9407,2.9598,22016
2021-03-19 01:30:20,2.955,3.03,2.95,3.03,10296
2021-03-19 01:30:21,3.026,3.04,3.0199,3.0286,21106
2021-03-19 01:30:22,3.0201,3.0399,3.02,3.0399,8738
2021-03-19 01:30:23,3.03,3.04,3.03,3.038,14149
2021-03-19 01:30:24,3.0399,3.04,3.03,3.0384,3604
2021-03-19 01:30:25,3.0393,3.04,3.035,3.04,6191
2021-03-19 01:30:26,3.0399,3.04,2.97,2.9878,26083
2021-03-19 01:30:27,2.98,2.98,2.97,2.9799,6833
2021-03-19 01:30:28,2.97,2.98,2.97,2.9799,3663
2021-03-19 01:30:29,2.98,2.98,2.975,2.9757,16629
2021-03-19 01:30:30,2.9723,2.98,2.9723,2.9799,4057
2021-03-19 01:30:31,2.9799,2.9799,2.975,2.9799,2560
2021-03-19 01:30:32,2.9782,2.98,2.9707,2.9707,5190
2021-03-19 01:30:33,2.98,2.98,2.97,2.9793,18423
2021-03-19 01:30:34,2.98,2.98,2.9762,2.9799,2842
2021-03-19 01:30:35,2.97,2.97,2.91,2.91,23954
2021-03-19 01:30:36,2.93,2.93,2.9,2.9214,43589
2021-03-19 01:30:37,2.9214,2.96,2.92,2.96,16953
2021-03-19 01:30:38,2.9593,2.96,2.95,2.9599,6634
2021-03-19 01:30:39,2.955,2.98,2.95,2.98,15575
2021-03-19 01:30:40,2.97,2.98,2.965,2.977,21961
2021-03-19 01:30:41,2.9764,2.9764,2.96,2.97,3840
