Date,Open,High,Low,Close,Volume
2021-03-19 01:30:07,2.88,2.92,2.88,2.89,47846
2021-03-19 01:30:08,2.898,2.92,2.89,2.9,48302
2021-03-19 01:30:09,2.8935,2.91,2.88,2.91,24542
2021-03-19 01:30:10,2.91,2.95,2.91,2.9495,58748
2021-03-19 01:30:11,2.9299,2.95,2.9299,2.95,45374
2021-03-19 01:30:12,2.945,2.95,2.94,2.945,55056
2021-03-19 01:30:13,2.94,2.95,2.94,2.95,45821
2021-03-19 01:30:14,2.945,2.95,2.92,2.925,39003
2021-03-19 01:30:15,2.927,2.927,2.88,2.8803,70794
2021-03-19 01:30:16,2.88,2.916,2.88,2.88,40049
2021-03-19 01:30:17,2.885,2.8865,2.85,2.85,83869
2021-03-19 01:30:18,2.8517,2.86,2.85,2.8584,27085
2021-03-19 01:30:19,2.8502,2.9,2.85,2.8996,35331
2021-03-19 01:30:20,2.9,2.9,2.85,2.8779,33363
2021-03-19 01:30:21,2.88,2.89,2.8695,2.875,24083
2021-03-19 01:30:22,2.88,2.88,2.87,2.875,14919
2021-03-19 01:30:23,2.879,2.8899,2.87,2.875,27235
2021-03-19 01:30:24,2.8799,2.885,2.87,2.875,20971
2021-03-19 01:30:25,2.8769,2.8769,2.85,2.855,35025
2021-03-19 01:30:26,2.855,2.859,2.83,2.83,42578
2021-03-19 01:30:27,2.83,2.84,2.83,2.8316,31857
2021-03-19 01:30:28,2.838,2.9,2.83,2.88,39143
2021-03-19 01:30:29,2.89,2.9,2.84,2.8913,27954
2021-03-19 01:30:30,2.89,2.91,2.86,2.8882,33321
2021-03-19 01:30:31,2.88,2.928,2.83,2.83,60156
2021-03-19 01:30:32,2.845,2.87,2.84,2.86,47325
2021-03-19 01:30:33,2.84,2.85,2.8318,2.8387,27785
2021-03-19 01:30:34,2.84,2.84,2.83,2.83,53579
2021-03-19 01:30:35,2.8387,2.84,2.83,2.83,34435
2021-03-19 01:30:36,2.825,2.8499,2.82,2.83,83101
2021-03-19 01:30:37,2.82,2.84,2.82,2.825,28226
2021-03-19 01:30:38,2.8296,2.84,2.82,2.83,13548
2021-03-19 01:30:39,2.84,2.87,2.82,2.8392,35051
2021-03-19 01:30:40,2.84,2.85,2.8301,2.845,28624
2021-03-19 01:30:41,2.85,2.89,2.845,2.8899,43254
2021-03-19 01:30:42,2.88,2.9,2.88,2.89,28799
2021-03-19 01:30:43,2.89,2.9,2.88,2.8885,47211
2021-03-19 01:30:44,2.88,2.8999,2.87,2.885,48165
2021-03-19 01:30:45,2.89,2.9,2.8808,2.8901,21202
2021-03-19 01:30:46,2.895,2.9,2.895,2.9,10337
2021-03-19 01:30:47,2.8985,2.9,2.89,2.9,8085
2021-03-19 01:30:48,2.895,2.9,2.89,2.8999,35341
2021-03-19 01:30:49,2.9,2.9,2.89,2.89,60955
2021-03-19 01:30:50,2.8953,2.9,2.89,2.9,35132
2021-03-19 01:30:51,2.9,2.94,2.8906,2.93,58830
2021-03-19 01:30:52,2.93,2.94,2.91,2.9384,55155
2021-03-19 01:30:53,2.939,2.95,2.92,2.95,46467
2021-03-19 01:30:54,2.9414,2.95,2.94,2.95,32492
2021-03-19 01:30:55,2.9482,2.95,2.85,2.93,334019
2021-03-19 01:30:56,2.94,2.94,2.9,2.92,89366
2021-03-19 01:30:57,2.9,2.91,2.85,2.91,20494
2021-03-19 01:30:58,2.9,2.9,2.84,2.85,26070
2021-03-19 01:30:59,2.84,2.84,2.83,2.835,32878
2021-03-19 01:31:00,2.83,2.84,2.81,2.81,59732
2021-03-19 01:31:01,2.81,2.82,2.81,2.8103,59208
2021-03-19 01:31:02,2.8189,2.8189,2.71,2.7103,296119
2021-03-19 01:31:03,2.71,2.72,2.71,2.71,171953
2021-03-19 01:31:04,2.72,2.74,2.71,2.72,51769
2021-03-19 01:31:05,2.725,2.74,2.72,2.725,85832
2021-03-19 01:31:06,2.73,2.75,2.72,2.73,64825
2021-03-19 01:31:07,2.73,2.74,2.72,2.725,35785
2021-03-19 01:31:08,2.73,2.73,2.71,2.7114,68711
2021-03-19 01:31:09,2.7118,2.72,2.71,2.7198,42366
2021-03-19 01:31:10,2.725,2.7376,2.71,2.7309,49071
2021-03-19 01:31:11,2.735,2.735,2.71,2.72,67258
2021-03-19 01:31:12,2.72,2.73,2.71,2.71,83534
2021-03-19 01:31:13,2.7196,2.73,2.71,2.7201,30839
2021-03-19 01:31:14,2.725,2.73,2.7,2.7,108822
2021-03-19 01:31:15,2.7,2.71,2.7,2.7,54254
2021-03-19 01:31:16,2.7,2.7099,2.67,2.69,73635
2021-03-19 01:31:17,2.685,2.69,2.67,2.68,65926
2021-03-19 01:31:18,2.685,2.69,2.67,2.68,51480
2021-03-19 01:31:19,2.6759,2.7,2.67,2.69,47683
2021-03-19 01:31:20,2.68,2.69,2.67,2.69,55353
2021-03-19 01:31:21,2.69,2.7,2.68,2.695,63371
2021-03-19 01:31:22,2.6998,2.7,2.69,2.695,41950
2021-03-19 01:31:23,2.69,2.71,2.69,2.71,39435
2021-03-19 01:31:24,2.72,2.73,2.71,2.72,38644
2021-03-19 01:31:25,2.72,2.74,2.71,2.7354,68158
2021-03-19 01:31:26,2.735,2.74,2.72,2.7299,83356
2021-03-19 01:31:27,2.7341,2.74,2.71,2.73,45713
2021-03-19 01:31:28,2.725,2.73,2.71,2.7218,31251
2021-03-19 01:31:29,2.73,2.73,2.71,2.715,29918
2021-03-19 01:31:30,2.715,2.73,2.71,2.71,35047
2021-03-19 01:31:31,2.72,2.72,2.7,2.7002,43708
2021-03-19 01:31:32,2.71,2.72,2.705,2.72,34811
2021-03-19 01:31:33,2.7104,2.72,2.7,2.71,47898
2021-03-19 01:31:34,2.715,2.72,2.7,2.7,32009
2021-03-19 01:31:35,2.7,2.71,2.7,2.7097,22348
2021-03-19 01:31:36,2.705,2.71,2.7,2.7,28950
2021-03-19 01:31:37,2.71,2.71,2.68,2.685,62510
2021-03-19 01:31:38,2.68,2.69,2.67,2.67,40459
2021-03-19 01:31:39,2.675,2.69,2.67,2.6829,34777
2021-03-19 01:31:40,2.6885,2.69,2.68,2.6899,39068
2021-03-19 01:31:41,2.68,2.69,2.68,2.6851,8783
2021-03-19 01:31:42,2.68,2.6901,2.68,2.68,16037
2021-03-19 01:31:43,2.69,2.7,2.6801,2.7,30811
2021-03-19 01:31:44,2.69,2.7,2.69,2.7,48292
