Date,Open,High,Low,Close,Volume
2021-03-22 02:55:00,6.6,6.6,6.6,6.6,151
2021-03-22 02:55:02,6.61,6.61,6.61,6.61,500
2021-03-22 02:55:05,6.6189,6.6189,6.6189,6.6189,1510
2021-03-22 02:55:06,6.61,6.61,6.605,6.605,300
2021-03-22 02:55:09,6.61,6.62,6.61,6.62,500
2021-03-22 02:55:10,6.62,6.62,6.62,6.62,373
2021-03-22 02:55:13,6.61,6.61,6.6,6.6,370
2021-03-22 02:55:16,6.6001,6.61,6.6001,6.61,3200
2021-03-22 02:55:18,6.61,6.61,6.61,6.61,150
2021-03-22 02:55:21,6.62,6.62,6.61,6.61,900
2021-03-22 02:55:23,6.61,6.61,6.61,6.61,110
2021-03-22 02:55:24,6.61,6.61,6.61,6.61,410
2021-03-22 02:55:25,6.6,6.6,6.58,6.6,2944
2021-03-22 02:55:26,6.61,6.61,6.61,6.61,800
2021-03-22 02:55:28,6.61,6.61,6.61,6.61,300
2021-03-22 02:55:30,6.62,6.62,6.62,6.62,100
2021-03-22 02:55:31,6.58,6.6232,6.58,6.6232,600
2021-03-22 02:55:35,6.62,6.62,6.6,6.6,500
2021-03-22 02:55:36,6.63,6.63,6.63,6.63,222
2021-03-22 02:55:37,6.6,6.6,6.6,6.6,231
2021-03-22 02:55:39,6.615,6.615,6.6083,6.6083,700
2021-03-22 02:55:41,6.63,6.63,6.63,6.63,100
2021-03-22 02:55:42,6.6116,6.6116,6.6116,6.6116,100
2021-03-22 02:55:43,6.6257,6.6257,6.615,6.615,500
2021-03-22 02:55:46,6.63,6.66,6.63,6.66,1435
2021-03-22 02:55:50,6.65,6.65,6.65,6.65,490
2021-03-22 02:55:51,6.6451,6.6451,6.6451,6.6451,1000
2021-03-22 02:55:53,6.65,6.65,6.65,6.65,500
2021-03-22 02:55:57,6.6491,6.6491,6.6491,6.6491,100
2021-03-22 02:55:58,6.64,6.64,6.63,6.63,452
2021-03-22 02:55:59,6.63,6.6304,6.63,6.6304,1168
2021-03-22 02:56:00,6.62,6.6203,6.6103,6.6103,2643
2021-03-22 02:56:02,6.618,6.618,6.618,6.618,1089
2021-03-22 02:56:08,6.6091,6.6091,6.6091,6.6091,425
2021-03-22 02:56:09,6.6,6.6,6.6,6.6,500
2021-03-22 02:56:11,6.6,6.6,6.6,6.6,500
