Date,Open,High,Low,Close,Volume
2021-03-22 02:54:57,2.945,2.9499,2.945,2.9484,1800
2021-03-22 02:55:01,2.95,2.95,2.9488,2.9488,1236
2021-03-22 02:55:06,2.945,2.945,2.945,2.945,2050
2021-03-22 02:55:08,2.95,2.95,2.95,2.95,168
2021-03-22 02:55:09,2.945,2.9498,2.945,2.945,1217
2021-03-22 02:55:13,2.94,2.9401,2.94,2.94,980
2021-03-22 02:55:14,2.94,2.94,2.94,2.94,200
2021-03-22 02:55:17,2.9398,2.94,2.9397,2.9399,14400
2021-03-22 02:55:18,2.9308,2.9308,2.9308,2.9308,2500
2021-03-22 02:55:19,2.94,2.94,2.94,2.94,275
2021-03-22 02:55:20,2.939,2.94,2.939,2.94,340
2021-03-22 02:55:21,2.94,2.94,2.94,2.94,2500
2021-03-22 02:55:22,2.9485,2.9485,2.945,2.945,1000
2021-03-22 02:55:26,2.94,2.94,2.94,2.94,2500
2021-03-22 02:55:27,2.9488,2.9488,2.9488,2.9488,1000
2021-03-22 02:55:28,2.9413,2.9413,2.9413,2.9413,625
2021-03-22 02:55:30,2.9499,2.9499,2.945,2.945,5255
2021-03-22 02:55:31,2.947,2.947,2.94,2.94,1000
2021-03-22 02:55:33,2.94,2.945,2.94,2.945,1850
2021-03-22 02:55:35,2.945,2.945,2.945,2.945,1000
2021-03-22 02:55:38,2.95,2.95,2.95,2.95,448
2021-03-22 02:55:39,2.949,2.949,2.949,2.949,104
2021-03-22 02:55:42,2.9477,2.95,2.9477,2.95,312
2021-03-22 02:55:43,2.95,2.95,2.94,2.95,2305
2021-03-22 02:55:44,2.9491,2.9491,2.9491,2.9491,1500
2021-03-22 02:55:45,2.945,2.95,2.945,2.95,1732
2021-03-22 02:55:48,2.9488,2.9488,2.94,2.94,1100
2021-03-22 02:55:49,2.95,2.95,2.95,2.95,500
2021-03-22 02:55:51,2.944,2.95,2.94,2.95,1911
2021-03-22 02:55:52,2.95,2.95,2.95,2.95,575
2021-03-22 02:55:53,2.9499,2.9499,2.9478,2.9478,300
2021-03-22 02:55:54,2.9475,2.9475,2.9475,2.9475,300
2021-03-22 02:56:02,2.9401,2.945,2.9401,2.945,4300
2021-03-22 02:56:07,2.945,2.945,2.945,2.945,505
2021-03-22 02:56:08,2.9421,2.9421,2.9421,2.9421,105
2021-03-22 02:56:10,2.94,2.95,2.94,2.95,2100
2021-03-22 02:56:11,2.94,2.94,2.94,2.94,884
2021-03-22 02:56:12,2.948,2.948,2.94,2.94,2427
2021-03-22 02:56:13,2.93,2.935,2.93,2.93,850
2021-03-22 02:56:14,2.9385,2.9385,2.9385,2.9385,300
2021-03-22 02:56:15,2.93,2.93,2.93,2.93,4332
2021-03-22 02:56:16,2.9291,2.9291,2.9209,2.9209,2232
2021-03-22 02:56:17,2.92,2.925,2.92,2.9201,10470
2021-03-22 02:56:21,2.92,2.92,2.92,2.92,200
2021-03-22 02:56:22,2.92,2.92,2.92,2.92,100
2021-03-22 02:56:24,2.925,2.925,2.925,2.925,1000
2021-03-22 02:56:25,2.929,2.929,2.929,2.929,1000
2021-03-22 02:56:26,2.92,2.92,2.92,2.92,262
2021-03-22 02:56:30,2.92,2.92,2.92,2.92,7102
2021-03-22 02:56:35,2.91,2.9115,2.91,2.9115,5961
2021-03-22 02:56:36,2.9105,2.9105,2.9105,2.9105,2050
2021-03-22 02:56:37,2.91,2.91,2.91,2.91,200
2021-03-22 02:56:38,2.91,2.91,2.91,2.91,6928
2021-03-22 02:56:39,2.91,2.9101,2.91,2.9101,1500
2021-03-22 02:56:41,2.91,2.91,2.91,2.91,5608
2021-03-22 02:56:42,2.91,2.91,2.9009,2.9009,3195
2021-03-22 02:56:43,2.91,2.91,2.91,2.91,147
2021-03-22 02:56:44,2.91,2.91,2.9,2.9,11794
2021-03-22 02:56:45,2.9,2.9001,2.89,2.89,26661
2021-03-22 02:56:46,2.8999,2.8999,2.89,2.8903,1578
2021-03-22 02:56:47,2.89,2.89,2.89,2.89,645
2021-03-22 02:56:48,2.89,2.8909,2.89,2.89,1306
2021-03-22 02:56:49,2.89,2.8901,2.88,2.887,8541
2021-03-22 02:56:50,2.88,2.885,2.88,2.885,17110
2021-03-22 02:56:51,2.88,2.88,2.88,2.88,201
2021-03-22 02:56:53,2.88,2.8801,2.87,2.87,11761
2021-03-22 02:56:54,2.87,2.8711,2.87,2.8701,600
2021-03-22 02:56:55,2.87,2.87,2.87,2.87,526
2021-03-22 02:56:56,2.8799,2.8799,2.8799,2.8799,2050
2021-03-22 02:56:57,2.8799,2.8799,2.87,2.87,5508
2021-03-22 02:56:58,2.8701,2.877,2.87,2.877,7329
2021-03-22 02:56:59,2.8781,2.89,2.8781,2.88,20422
