Date,Open,High,Low,Close,Volume
2021-03-23 01:30:58,6.9,6.94,6.89,6.92,10437
2021-03-23 01:30:59,6.9201,6.99,6.9201,6.99,7403
2021-03-23 01:31:00,6.98,7,6.96,7,15524
2021-03-23 01:31:01,6.985,7,6.9701,6.9723,6082
2021-03-23 01:31:02,6.985,7,6.96,6.96,5456
2021-03-23 01:31:03,6.96,6.99,6.92,6.92,5650
2021-03-23 01:31:04,6.93,6.97,6.92,6.9485,5129
2021-03-23 01:31:05,6.9304,6.96,6.92,6.94,5031
2021-03-23 01:31:06,6.9763,6.99,6.94,6.99,4321
2021-03-23 01:31:07,6.97,7,6.95,7,18132
2021-03-23 01:31:08,6.99,7.07,6.9739,7.02,38613
2021-03-23 01:31:09,6.98,7.0499,6.98,7.025,5800
2021-03-23 01:31:10,7.02,7.07,7,7.0001,25270
2021-03-23 01:31:11,7.025,7.05,7,7.035,14801
2021-03-23 01:31:12,7.0499,7.05,7.021,7.03,5794
2021-03-23 01:31:13,7.04,7.04,6.9,6.9,21572
2021-03-23 01:31:14,6.91,6.95,6.9001,6.95,10087
2021-03-23 01:31:15,6.96,6.98,6.91,6.91,6488
2021-03-23 01:31:16,6.9294,6.96,6.91,6.9598,9373
2021-03-23 01:31:17,6.95,6.97,6.9488,6.9488,2932
2021-03-23 01:31:18,6.95,6.96,6.93,6.934,3690
2021-03-23 01:31:19,6.93,6.95,6.93,6.94,3398
2021-03-23 01:31:20,6.95,6.9679,6.93,6.9679,24945
2021-03-23 01:31:21,6.9679,7,6.9679,6.97,8144
2021-03-23 01:31:22,6.98,7,6.96,6.99,10473
2021-03-23 01:31:23,6.975,7,6.96,6.998,7203
2021-03-23 01:31:24,7,7.04,6.9859,7.03,22177
2021-03-23 01:31:25,7.04,7.05,7.02,7.05,13446
2021-03-23 01:31:26,7.05,7.1,7.05,7.1,14113
2021-03-23 01:31:27,7.09,7.13,7.05,7.07,19879
2021-03-23 01:31:28,7.08,7.13,7.0798,7.09,25186
2021-03-23 01:31:29,7.1095,7.13,7.07,7.11,19783
2021-03-23 01:31:30,7.12,7.17,7.07,7.1682,24960
2021-03-23 01:31:31,7.17,7.17,7.1204,7.15,61160
2021-03-23 01:31:32,7.17,7.17,7.12,7.14,45963
2021-03-23 01:31:33,7.13,7.1305,7.051,7.0799,18529
2021-03-23 01:31:34,7.0514,7.08,7.01,7.0299,25945
2021-03-23 01:31:35,7.01,7.03,7,7.03,13275
2021-03-23 01:31:36,7.03,7.05,6.95,6.9516,22645
2021-03-23 01:31:37,6.95,6.976,6.95,6.9601,18337
2021-03-23 01:31:38,6.96,6.9661,6.9,6.92,29834
2021-03-23 01:31:39,6.935,6.939,6.9003,6.939,6376
2021-03-23 01:31:40,6.94,6.98,6.92,6.96,11097
2021-03-23 01:31:41,6.95,7.11,6.95,7.09,31779
2021-03-23 01:31:42,7.09,7.11,7.0688,7.085,9738
2021-03-23 01:31:43,7.06,7.11,7.05,7.07,5428
2021-03-23 01:31:44,7.03,7.06,7.0005,7.0005,2272
2021-03-23 01:31:45,7.01,7.07,7,7.07,5397
2021-03-23 01:31:46,7.07,7.07,7.02,7.0301,5397
2021-03-23 01:31:47,7.02,7.05,7.02,7.03,8269
2021-03-23 01:31:48,7.022,7.04,7,7,8927
2021-03-23 01:31:49,7,7,6.92,6.97,10255
2021-03-23 01:31:50,6.96,7,6.96,6.96,14458
2021-03-23 01:31:51,6.97,7.08,6.96,7.06,7414
2021-03-23 01:31:52,7.06,7.08,7,7.0066,8609
2021-03-23 01:31:53,7,7.03,7,7,4093
2021-03-23 01:31:54,7.01,7.03,7.01,7.02,2245
2021-03-23 01:31:55,7.01,7.0497,7.01,7.04,5446
2021-03-23 01:31:56,7.034,7.06,7.02,7.0599,11273
2021-03-23 01:31:57,7.04,7.07,7.04,7.0665,4385
2021-03-23 01:31:58,7.07,7.11,7.06,7.1091,14639
2021-03-23 01:31:59,7.1,7.12,7.0901,7.11,8509
2021-03-23 01:32:00,7.117,7.14,7.1,7.12,16513
2021-03-23 01:32:01,7.12,7.15,7.01,7.01,47550
2021-03-23 01:32:02,7.03,7.04,7,7.03,20548
2021-03-23 01:32:03,7.03,7.07,7.02,7.03,9964
2021-03-23 01:32:04,7.05,7.08,7.03,7.0688,12466
2021-03-23 01:32:05,7.07,7.13,7.06,7.121,9157
2021-03-23 01:32:06,7.115,7.13,7.09,7.125,5013
2021-03-23 01:32:07,7.12,7.13,7.1,7.11,7894
2021-03-23 01:32:08,7.12,7.12,7.09,7.09,19356
2021-03-23 01:32:09,7.092,7.1,7.07,7.0795,12778
2021-03-23 01:32:10,7.07,7.07,7.07,7.07,2142
2021-03-23 01:32:11,7.07,7.0701,7.01,7.0234,24293
2021-03-23 01:32:12,7.02,7.07,7.01,7.02,8794
2021-03-23 01:32:13,7.0299,7.03,7,7,4378
2021-03-23 01:32:14,7,7.02,7,7.0176,4857
2021-03-23 01:32:15,7.0184,7.04,7,7.034,6202
2021-03-23 01:32:16,7.04,7.1,7.035,7.0997,12675
2021-03-23 01:32:17,7.08,7.118,7.08,7.118,9580
2021-03-23 01:32:18,7.107,7.12,7.1,7.12,3498
2021-03-23 01:32:19,7.11,7.13,7.1,7.12,6666
2021-03-23 01:32:20,7.0801,7.13,7.0801,7.115,14801
2021-03-23 01:32:21,7.115,7.13,7.08,7.08,8042
2021-03-23 01:32:22,7.1029,7.12,7.06,7.105,10279
2021-03-23 01:32:23,7.12,7.12,7.09,7.11,4871
2021-03-23 01:32:24,7.11,7.12,7.08,7.109,5263
2021-03-23 01:32:25,7.0999,7.115,7.08,7.115,1547
2021-03-23 01:32:26,7.12,7.13,7.08,7.13,18402
2021-03-23 01:32:27,7.13,7.1499,7.11,7.13,21076
2021-03-23 01:32:28,7.13,7.17,7.13,7.17,22286
2021-03-23 01:32:29,7.17,7.19,7.16,7.19,36058
2021-03-23 01:32:30,7.1899,7.2,7.17,7.2,51880
2021-03-23 01:32:31,7.2,7.2,7.16,7.17,27931
2021-03-23 01:32:32,7.16,7.18,7.15,7.165,24506
2021-03-23 01:32:33,7.1501,7.2,7.15,7.18,22224
2021-03-23 01:32:34,7.18,7.27,7.17,7.27,43580
2021-03-23 01:32:35,7.27,7.28,7.25,7.28,28815
2021-03-23 01:32:36,7.28,7.28,7.2301,7.27,30829
2021-03-23 01:32:37,7.27,7.28,7.25,7.2506,22428
2021-03-23 01:32:38,7.265,7.29,7.15,7.1799,63271
2021-03-23 01:32:39,7.1799,7.24,7.16,7.23,11312
2021-03-23 01:32:40,7.25,7.25,7.18,7.22,10401
2021-03-23 01:32:41,7.2,7.2179,7.15,7.16,30406
2021-03-23 01:32:42,7.16,7.22,7.15,7.22,17468
2021-03-23 01:32:43,7.22,7.22,7.16,7.18,18113
2021-03-23 01:32:44,7.2,7.25,7.2,7.2331,18198
2021-03-23 01:32:45,7.2403,7.25,7.2,7.24,23962
2021-03-23 01:32:46,7.21,7.25,7.21,7.24,5853
2021-03-23 01:32:47,7.23,7.25,7.22,7.235,10969
2021-03-23 01:32:48,7.25,7.25,7.22,7.23,11995
2021-03-23 01:32:49,7.2298,7.27,7.2285,7.2479,11203
2021-03-23 01:32:50,7.23,7.27,7.23,7.26,12705
2021-03-23 01:32:51,7.26,7.3,7.2502,7.26,60025
2021-03-23 01:32:52,7.265,7.3,7.251,7.2999,21449
2021-03-23 01:32:53,7.28,7.35,7.28,7.35,29023
2021-03-23 01:32:54,7.35,7.39,7.29,7.3701,59940
2021-03-23 01:32:55,7.38,7.39,7.35,7.38,24018
2021-03-23 01:32:56,7.38,7.4,7.35,7.385,32619
2021-03-23 01:32:57,7.395,7.4,7.36,7.38,17986
2021-03-23 01:32:58,7.384,7.4,7.34,7.3403,56840
2021-03-23 01:32:59,7.34,7.37,7.3,7.335,24490
2021-03-23 01:33:00,7.33,7.35,7.28,7.29,23577
2021-03-23 01:33:01,7.3,7.3,7.25,7.25,13807
2021-03-23 01:33:02,7.25,7.25,7.15,7.16,66983
2021-03-23 01:33:03,7.165,7.18,7.07,7.09,52922
2021-03-23 01:33:04,7.13,7.225,7.09,7.225,26187
2021-03-23 01:33:05,7.23,7.25,7.19,7.22,15196
2021-03-23 01:33:06,7.22,7.22,7.18,7.2,18071
