Date,Open,High,Low,Close,Volume
2021-03-23 01:30:59,1.2493,1.2493,1.2493,1.2493,1000
2021-03-23 01:31:01,1.25,1.25,1.24,1.24,2100
2021-03-23 01:31:02,1.2412,1.25,1.2412,1.25,18900
2021-03-23 01:31:04,1.245,1.245,1.245,1.245,200
2021-03-23 01:31:09,1.2451,1.2451,1.2451,1.2451,100
2021-03-23 01:31:10,1.25,1.25,1.25,1.25,1918
2021-03-23 01:31:14,1.242,1.242,1.242,1.242,774
2021-03-23 01:31:16,1.24,1.24,1.24,1.24,3000
2021-03-23 01:31:17,1.2498,1.26,1.2498,1.25,26549
2021-03-23 01:31:18,1.26,1.26,1.26,1.26,10000
2021-03-23 01:31:19,1.26,1.26,1.25,1.25,1304
2021-03-23 01:31:20,1.2504,1.2504,1.2504,1.2504,5025
2021-03-23 01:31:22,1.2505,1.2505,1.2505,1.2505,2000
2021-03-23 01:31:25,1.2565,1.2565,1.2565,1.2565,751
2021-03-23 01:31:26,1.25,1.25,1.24,1.25,5624
2021-03-23 01:31:27,1.2391,1.2391,1.2391,1.2391,300
2021-03-23 01:31:28,1.2373,1.24,1.235,1.235,2500
2021-03-23 01:31:30,1.239,1.239,1.2343,1.2343,500
2021-03-23 01:31:33,1.23,1.23,1.23,1.23,773
2021-03-23 01:31:34,1.24,1.24,1.24,1.24,300
2021-03-23 01:31:36,1.24,1.24,1.24,1.24,9997
2021-03-23 01:31:38,1.2462,1.25,1.24,1.2489,6033
2021-03-23 01:31:40,1.2406,1.2406,1.2406,1.2406,1403
2021-03-23 01:31:43,1.241,1.241,1.241,1.241,278
2021-03-23 01:31:44,1.24,1.2433,1.24,1.24,1270
2021-03-23 01:31:45,1.25,1.25,1.25,1.25,200
2021-03-23 01:31:50,1.25,1.25,1.25,1.25,750
2021-03-23 01:31:51,1.24,1.24,1.24,1.24,100
2021-03-23 01:31:55,1.2493,1.2493,1.2493,1.2493,500
2021-03-23 01:31:58,1.25,1.25,1.24,1.24,4423
2021-03-23 01:31:59,1.2472,1.2472,1.2472,1.2472,100
2021-03-23 01:32:03,1.25,1.25,1.2462,1.2462,1236
2021-03-23 01:32:07,1.249,1.25,1.249,1.25,1476
2021-03-23 01:32:08,1.24,1.24,1.24,1.24,101
2021-03-23 01:32:09,1.245,1.25,1.24,1.249,5300
2021-03-23 01:32:11,1.24,1.24,1.24,1.24,1000
2021-03-23 01:32:18,1.25,1.25,1.25,1.25,100
2021-03-23 01:32:23,1.245,1.245,1.24,1.24,15463
2021-03-23 01:32:26,1.2398,1.2398,1.2398,1.2398,1000
2021-03-23 01:32:28,1.2301,1.2301,1.2301,1.2301,2006
2021-03-23 01:32:30,1.24,1.24,1.24,1.24,220
2021-03-23 01:32:31,1.23,1.23,1.22,1.23,21484
2021-03-23 01:32:33,1.24,1.24,1.2362,1.24,3704
2021-03-23 01:32:35,1.235,1.235,1.2302,1.2302,200
2021-03-23 01:32:37,1.23,1.23,1.23,1.23,1630
2021-03-23 01:32:38,1.23,1.23,1.23,1.23,930
2021-03-23 01:32:42,1.2262,1.2262,1.2262,1.2262,1433
2021-03-23 01:32:43,1.22,1.22,1.22,1.22,105
2021-03-23 01:32:44,1.2201,1.2201,1.2201,1.2201,500
2021-03-23 01:32:45,1.22,1.2238,1.22,1.22,1100
2021-03-23 01:32:49,1.23,1.23,1.23,1.23,4464
2021-03-23 01:32:50,1.2202,1.23,1.22,1.2205,3321
2021-03-23 01:32:51,1.23,1.23,1.23,1.23,1544
2021-03-23 01:32:59,1.23,1.23,1.23,1.23,3000
2021-03-23 01:33:00,1.2262,1.24,1.2262,1.24,3791
2021-03-23 01:33:01,1.23,1.23,1.23,1.23,1029
2021-03-23 01:33:04,1.23,1.23,1.23,1.23,3528
2021-03-23 01:33:07,1.22,1.22,1.22,1.22,1054
2021-03-23 01:33:08,1.22,1.2207,1.22,1.22,1000
2021-03-23 01:33:10,1.22,1.22,1.22,1.22,10100
2021-03-23 01:33:11,1.22,1.22,1.22,1.22,1500
2021-03-23 01:33:13,1.22,1.22,1.22,1.22,437
2021-03-23 01:33:15,1.22,1.22,1.22,1.22,214
2021-03-23 01:33:18,1.2201,1.2201,1.2201,1.2201,4042
2021-03-23 01:33:19,1.2273,1.2273,1.2273,1.2273,403
2021-03-23 01:33:20,1.225,1.225,1.225,1.225,279
2021-03-23 01:33:22,1.22,1.22,1.22,1.22,100
2021-03-23 01:33:25,1.22,1.22,1.22,1.22,200
2021-03-23 01:33:26,1.2206,1.2206,1.2206,1.2206,825
2021-03-23 01:33:29,1.227,1.227,1.227,1.227,2500
2021-03-23 01:33:33,1.22,1.23,1.22,1.23,645
2021-03-23 01:33:37,1.22,1.23,1.22,1.2281,2600
2021-03-23 01:33:40,1.221,1.221,1.221,1.221,780
2021-03-23 01:33:42,1.23,1.23,1.23,1.23,1608
2021-03-23 01:33:43,1.23,1.23,1.23,1.23,154
2021-03-23 01:33:48,1.23,1.23,1.23,1.23,100
2021-03-23 01:33:56,1.23,1.23,1.23,1.23,100
2021-03-23 01:33:57,1.22,1.22,1.22,1.22,280
2021-03-23 01:34:00,1.229,1.229,1.229,1.229,1000
2021-03-23 01:34:02,1.23,1.23,1.23,1.23,5915
2021-03-23 01:34:05,1.23,1.23,1.23,1.23,150
2021-03-23 01:34:06,1.23,1.23,1.23,1.23,3131
2021-03-23 01:34:07,1.2389,1.2389,1.2389,1.2389,2459
2021-03-23 01:34:10,1.24,1.24,1.2385,1.24,3109
2021-03-23 01:34:16,1.24,1.25,1.24,1.24,9437
2021-03-23 01:34:18,1.2444,1.2444,1.2444,1.2444,500
