Date,Open,High,Low,Close,Volume
2021-03-23 01:30:58,2.9,2.93,2.9,2.93,24701
2021-03-23 01:30:59,2.92,2.92,2.9003,2.9005,7161
2021-03-23 01:31:00,2.92,2.92,2.9,2.9121,6495
2021-03-23 01:31:01,2.9,2.93,2.9,2.92,13081
2021-03-23 01:31:02,2.9101,2.94,2.91,2.94,18002
2021-03-23 01:31:03,2.92,2.9399,2.92,2.93,8100
2021-03-23 01:31:04,2.93,2.93,2.9,2.905,15096
2021-03-23 01:31:05,2.9101,2.9199,2.9,2.91,12876
2021-03-23 01:31:06,2.9082,2.91,2.9,2.9001,17546
2021-03-23 01:31:07,2.905,2.908,2.9,2.9,15267
2021-03-23 01:31:08,2.9,2.91,2.88,2.88,14469
2021-03-23 01:31:09,2.8899,2.89,2.8801,2.89,1828
2021-03-23 01:31:10,2.8808,2.89,2.88,2.88,9178
2021-03-23 01:31:11,2.89,2.89,2.88,2.89,9235
2021-03-23 01:31:12,2.88,2.89,2.88,2.8899,3242
2021-03-23 01:31:13,2.89,2.89,2.88,2.89,5569
2021-03-23 01:31:14,2.884,2.89,2.88,2.8894,4562
2021-03-23 01:31:15,2.885,2.89,2.88,2.89,10175
2021-03-23 01:31:16,2.885,2.89,2.88,2.88,2459
2021-03-23 01:31:17,2.89,2.89,2.88,2.8884,7175
2021-03-23 01:31:18,2.89,2.9,2.88,2.9,49331
2021-03-23 01:31:19,2.9,2.9,2.8907,2.9,9419
2021-03-23 01:31:20,2.9,2.9151,2.895,2.905,8995
2021-03-23 01:31:21,2.907,2.92,2.907,2.92,1679
2021-03-23 01:31:22,2.9199,2.92,2.9,2.9,12208
2021-03-23 01:31:23,2.9089,2.92,2.89,2.91,17549
2021-03-23 01:31:24,2.91,2.92,2.9,2.905,4389
2021-03-23 01:31:25,2.905,2.905,2.9,2.9,5484
2021-03-23 01:31:26,2.91,2.9299,2.905,2.9207,17714
2021-03-23 01:31:27,2.9293,2.9299,2.91,2.9259,2229
2021-03-23 01:31:28,2.9298,2.95,2.92,2.945,30392
2021-03-23 01:31:29,2.9424,2.95,2.94,2.95,16932
2021-03-23 01:31:30,2.95,2.9501,2.92,2.9266,26433
2021-03-23 01:31:31,2.921,2.93,2.92,2.9249,6571
2021-03-23 01:31:32,2.9269,2.9299,2.92,2.9291,7934
2021-03-23 01:31:33,2.9292,2.94,2.92,2.9301,13928
2021-03-23 01:31:34,2.93,2.94,2.92,2.94,1721
2021-03-23 01:31:35,2.9395,2.96,2.93,2.94,9312
2021-03-23 01:31:36,2.94,2.94,2.9399,2.9399,2070
2021-03-23 01:31:37,2.94,2.94,2.92,2.92,5791
2021-03-23 01:31:38,2.9288,2.93,2.92,2.92,7182
