Date,Open,High,Low,Close,Volume
2021-03-23 01:30:58,3.2801,3.29,3.28,3.28,8534
2021-03-23 01:31:00,3.284,3.29,3.284,3.2897,6203
2021-03-23 01:31:01,3.285,3.289,3.28,3.28,4001
2021-03-23 01:31:02,3.29,3.295,3.285,3.295,4219
2021-03-23 01:31:03,3.3,3.319,3.2999,3.319,4732
2021-03-23 01:31:04,3.32,3.34,3.32,3.3302,6452
2021-03-23 01:31:05,3.335,3.349,3.335,3.345,3558
2021-03-23 01:31:06,3.349,3.349,3.32,3.32,11643
2021-03-23 01:31:07,3.33,3.34,3.33,3.33,4761
2021-03-23 01:31:08,3.3398,3.34,3.3398,3.3399,1570
2021-03-23 01:31:09,3.3202,3.34,3.3202,3.33,1421
2021-03-23 01:31:10,3.3382,3.3382,3.3,3.3,5798
2021-03-23 01:31:11,3.32,3.34,3.32,3.34,4528
2021-03-23 01:31:12,3.339,3.34,3.321,3.34,15650
2021-03-23 01:31:13,3.34,3.34,3.3377,3.3379,3347
2021-03-23 01:31:14,3.34,3.36,3.34,3.3599,3776
2021-03-23 01:31:15,3.35,3.36,3.35,3.36,3019
2021-03-23 01:31:16,3.355,3.36,3.35,3.3501,1081
2021-03-23 01:31:17,3.3563,3.37,3.3563,3.37,2155
2021-03-23 01:31:18,3.36,3.36,3.33,3.35,9049
2021-03-23 01:31:19,3.34,3.36,3.34,3.36,2600
2021-03-23 01:31:20,3.36,3.36,3.3599,3.36,530
2021-03-23 01:31:21,3.365,3.365,3.35,3.3602,4900
2021-03-23 01:31:22,3.3605,3.37,3.34,3.34,11795
2021-03-23 01:31:23,3.3599,3.3599,3.35,3.355,696
2021-03-23 01:31:25,3.355,3.36,3.355,3.3594,2198
2021-03-23 01:31:26,3.36,3.37,3.3598,3.365,1681
2021-03-23 01:31:27,3.37,3.37,3.36,3.37,1848
2021-03-23 01:31:28,3.37,3.37,3.3601,3.37,861
2021-03-23 01:31:29,3.37,3.37,3.36,3.36,2240
2021-03-23 01:31:30,3.37,3.38,3.37,3.3773,1410
2021-03-23 01:31:31,3.38,3.38,3.375,3.38,16819
2021-03-23 01:31:32,3.38,3.39,3.376,3.39,2897
2021-03-23 01:31:33,3.3899,3.3899,3.3899,3.3899,164
2021-03-23 01:31:34,3.385,3.39,3.375,3.375,1991
2021-03-23 01:31:35,3.3799,3.3799,3.36,3.36,2234
2021-03-23 01:31:36,3.37,3.37,3.35,3.35,3419
2021-03-23 01:31:37,3.36,3.38,3.36,3.37,12838
2021-03-23 01:31:38,3.36,3.38,3.36,3.38,916
2021-03-23 01:31:39,3.38,3.38,3.36,3.38,6724
2021-03-23 01:31:40,3.3691,3.38,3.3691,3.38,1051
2021-03-23 01:31:41,3.38,3.38,3.3782,3.3782,3529
2021-03-23 01:31:42,3.3701,3.38,3.3701,3.3798,3239
2021-03-23 01:31:43,3.37,3.39,3.37,3.3801,7081
2021-03-23 01:31:44,3.39,3.39,3.39,3.39,1115
2021-03-23 01:31:45,3.38,3.39,3.37,3.373,14607
2021-03-23 01:31:46,3.37,3.38,3.37,3.37,716
2021-03-23 01:31:47,3.37,3.37,3.35,3.35,2375
2021-03-23 01:31:48,3.36,3.36,3.35,3.35,1919
2021-03-23 01:31:49,3.36,3.37,3.35,3.35,4696
2021-03-23 01:31:50,3.38,3.38,3.38,3.38,551
2021-03-23 01:31:51,3.365,3.3747,3.365,3.3747,737
2021-03-23 01:31:53,3.3699,3.37,3.3699,3.37,292
2021-03-23 01:31:54,3.37,3.38,3.35,3.38,2084
2021-03-23 01:31:55,3.3768,3.3768,3.3768,3.3768,1021
2021-03-23 01:31:56,3.37,3.3701,3.37,3.3701,1370
2021-03-23 01:31:57,3.365,3.365,3.35,3.3598,4265
2021-03-23 01:31:58,3.365,3.365,3.36,3.36,350
2021-03-23 01:31:59,3.3688,3.3688,3.3688,3.3688,537
2021-03-23 01:32:00,3.37,3.37,3.36,3.36,1426
2021-03-23 01:32:01,3.35,3.36,3.31,3.31,10818
2021-03-23 01:32:02,3.32,3.32,3.319,3.32,819
2021-03-23 01:32:03,3.31,3.32,3.31,3.32,3476
2021-03-23 01:32:04,3.32,3.32,3.31,3.31,1646
2021-03-23 01:32:05,3.32,3.32,3.31,3.31,2699
2021-03-23 01:32:06,3.3168,3.33,3.315,3.325,10575
2021-03-23 01:32:07,3.32,3.32,3.32,3.32,541
2021-03-23 01:32:08,3.3266,3.3266,3.3266,3.3266,160
2021-03-23 01:32:09,3.32,3.32,3.24,3.26,17899
2021-03-23 01:32:11,3.26,3.2784,3.26,3.2784,900
2021-03-23 01:32:12,3.2601,3.27,3.26,3.27,4333
2021-03-23 01:32:13,3.27,3.2706,3.26,3.265,1680
2021-03-23 01:32:14,3.265,3.265,3.265,3.265,600
2021-03-23 01:32:15,3.27,3.27,3.23,3.23,2317
2021-03-23 01:32:16,3.23,3.25,3.23,3.25,1984
2021-03-23 01:32:17,3.23,3.23,3.23,3.23,201
2021-03-23 01:32:18,3.24,3.25,3.2301,3.2478,2195
2021-03-23 01:32:19,3.25,3.25,3.25,3.25,1090
2021-03-23 01:32:20,3.25,3.25,3.23,3.2301,6746
2021-03-23 01:32:21,3.23,3.235,3.23,3.235,2735
2021-03-23 01:32:22,3.225,3.2273,3.225,3.2273,975
2021-03-23 01:32:23,3.23,3.23,3.225,3.23,1378
2021-03-23 01:32:24,3.23,3.23,3.2201,3.2201,4202
2021-03-23 01:32:25,3.22,3.22,3.21,3.21,4852
2021-03-23 01:32:26,3.2,3.2,3.11,3.11,45525
2021-03-23 01:32:27,3.125,3.139,3.11,3.1388,6098
2021-03-23 01:32:28,3.131,3.14,3.131,3.139,3048
2021-03-23 01:32:29,3.125,3.125,3.11,3.1117,19461
2021-03-23 01:32:30,3.11,3.12,3.11,3.11,9248
2021-03-23 01:32:31,3.11,3.1101,3.11,3.1101,1600
2021-03-23 01:32:32,3.115,3.115,3.111,3.111,2737
2021-03-23 01:32:33,3.11,3.11,3.109,3.11,4486
2021-03-23 01:32:34,3.1,3.1198,3.1,3.1198,2855
2021-03-23 01:32:35,3.1,3.119,3.1,3.1,1795
2021-03-23 01:32:36,3.1,3.12,3.1,3.1165,5946
2021-03-23 01:32:37,3.12,3.13,3.1165,3.1299,9610
2021-03-23 01:32:38,3.11,3.116,3.11,3.116,2200
2021-03-23 01:32:39,3.13,3.13,3.13,3.13,1118
2021-03-23 01:32:40,3.13,3.15,3.12,3.1299,3941
2021-03-23 01:32:41,3.13,3.15,3.13,3.15,2101
2021-03-23 01:32:42,3.15,3.15,3.15,3.15,2101
2021-03-23 01:32:43,3.15,3.16,3.15,3.15,5000
2021-03-23 01:32:44,3.15,3.175,3.15,3.17,3663
2021-03-23 01:32:45,3.17,3.18,3.16,3.16,1215
2021-03-23 01:32:46,3.15,3.165,3.1,3.117,6498
2021-03-23 01:32:47,3.12,3.15,3.115,3.1499,5152
2021-03-23 01:32:48,3.145,3.15,3.145,3.15,1050
