Date,Open,High,Low,Close,Volume
2021-03-24 01:30:07,3.15,3.19,3.15,3.1799,4901
2021-03-24 01:30:08,3.19,3.19,3.16,3.16,2981
2021-03-24 01:30:09,3.1799,3.18,3.15,3.15,5327
2021-03-24 01:30:10,3.17,3.18,3.16,3.18,2104
2021-03-24 01:30:11,3.17,3.17,3.15,3.17,18300
2021-03-24 01:30:12,3.17,3.18,3.16,3.1799,31988
2021-03-24 01:30:13,3.1757,3.1799,3.15,3.17,7038
2021-03-24 01:30:14,3.16,3.17,3.16,3.16,652
2021-03-24 01:30:15,3.1663,3.17,3.15,3.1675,3810
2021-03-24 01:30:16,3.17,3.17,3.1679,3.17,600
2021-03-24 01:30:17,3.17,3.17,3.16,3.17,5444
2021-03-24 01:30:18,3.1726,3.1726,3.15,3.15,3239
2021-03-24 01:30:19,3.15,3.17,3.15,3.15,4760
2021-03-24 01:30:20,3.15,3.1519,3.12,3.12,18696
2021-03-24 01:30:21,3.13,3.13,3.0806,3.0806,14927
2021-03-24 01:30:22,3.08,3.09,3.07,3.09,4920
2021-03-24 01:30:23,3.09,3.14,3.0701,3.1301,28654
2021-03-24 01:30:24,3.15,3.2,3.12,3.18,33209
2021-03-24 01:30:25,3.18,3.19,3.18,3.18,8950
2021-03-24 01:30:26,3.18,3.19,3.17,3.172,5461
2021-03-24 01:30:27,3.19,3.19,3.17,3.19,2800
2021-03-24 01:30:28,3.18,3.19,3.1799,3.19,7306
2021-03-24 01:30:29,3.1895,3.1997,3.17,3.19,4145
2021-03-24 01:30:30,3.2,3.2,3.17,3.195,3501
2021-03-24 01:30:31,3.185,3.1999,3.185,3.1967,2103
2021-03-24 01:30:32,3.19,3.19,3.17,3.17,1100
2021-03-24 01:30:33,3.19,3.19,3.17,3.1883,5663
2021-03-24 01:30:34,3.189,3.19,3.179,3.1816,5403
2021-03-24 01:30:35,3.1787,3.18,3.17,3.17,1171
2021-03-24 01:30:36,3.17,3.19,3.17,3.18,312
2021-03-24 01:30:37,3.17,3.17,3.17,3.17,368
2021-03-24 01:30:38,3.1699,3.1699,3.1699,3.1699,150
2021-03-24 01:30:39,3.161,3.161,3.16,3.16,2554
2021-03-24 01:30:40,3.1675,3.17,3.1675,3.1698,8628
2021-03-24 01:30:41,3.1751,3.1751,3.1751,3.1751,1105
2021-03-24 01:30:42,3.18,3.19,3.17,3.19,8170
2021-03-24 01:30:43,3.18,3.19,3.1714,3.176,2315
2021-03-24 01:30:44,3.18,3.19,3.1701,3.1701,4194
2021-03-24 01:30:45,3.18,3.19,3.1742,3.18,4619
2021-03-24 01:30:46,3.18,3.2,3.18,3.19,29815
2021-03-24 01:30:47,3.19,3.2,3.18,3.18,4668
2021-03-24 01:30:48,3.1878,3.2,3.18,3.18,4733
2021-03-24 01:30:49,3.2,3.2,3.18,3.1899,2045
2021-03-24 01:30:50,3.19,3.1999,3.18,3.18,9333
2021-03-24 01:30:51,3.18,3.19,3.1796,3.189,6895
2021-03-24 01:30:52,3.17,3.17,3.17,3.17,5980
2021-03-24 01:30:53,3.1701,3.18,3.1698,3.1698,8140
2021-03-24 01:30:54,3.18,3.18,3.1601,3.1703,4149
2021-03-24 01:30:55,3.17,3.17,3.17,3.17,2100
2021-03-24 01:30:56,3.17,3.17,3.14,3.15,12661
2021-03-24 01:30:57,3.15,3.15,3.12,3.12,2800
2021-03-24 01:30:58,3.12,3.14,3.11,3.1399,28075
2021-03-24 01:30:59,3.12,3.12,3.11,3.11,20934
2021-03-24 01:31:00,3.1127,3.129,3.1127,3.129,1613
2021-03-24 01:31:01,3.12,3.13,3.12,3.1297,1415
2021-03-24 01:31:02,3.12,3.13,3.11,3.11,6539
2021-03-24 01:31:03,3.11,3.1193,3.11,3.1193,1285
2021-03-24 01:31:04,3.11,3.1117,3.08,3.09,20522
2021-03-24 01:31:05,3.09,3.15,3.09,3.15,5725
2021-03-24 01:31:08,3.129,3.129,3.11,3.11,5435
2021-03-24 01:31:09,3.09,3.11,3.08,3.08,8999
2021-03-24 01:31:10,3.08,3.13,3.08,3.13,3530
2021-03-24 01:31:11,3.14,3.14,3.12,3.12,11270
2021-03-24 01:31:12,3.12,3.12,3.1199,3.1199,5673
2021-03-24 01:31:13,3.12,3.12,3.1198,3.12,5727
2021-03-24 01:31:14,3.12,3.12,3.12,3.12,5700
2021-03-24 01:31:15,3.12,3.12,3.1182,3.1199,4221
2021-03-24 01:31:16,3.12,3.12,3.12,3.12,1221
2021-03-24 01:31:17,3.12,3.12,3.11,3.1198,4932
2021-03-24 01:31:18,3.12,3.12,3.1198,3.12,32200
2021-03-24 01:31:19,3.12,3.1297,3.11,3.12,43776
2021-03-24 01:31:20,3.11,3.12,3.11,3.1195,5944
2021-03-24 01:31:21,3.12,3.13,3.11,3.13,31732
2021-03-24 01:31:23,3.1382,3.14,3.13,3.135,1666
2021-03-24 01:31:24,3.14,3.15,3.14,3.1498,2200
2021-03-24 01:31:25,3.15,3.15,3.1182,3.12,26023
2021-03-24 01:31:26,3.12,3.12,3.11,3.11,6625
2021-03-24 01:31:27,3.11,3.11,3.11,3.11,154
2021-03-24 01:31:29,3.11,3.11,3.08,3.0999,5869
2021-03-24 01:31:30,3.09,3.11,3.07,3.11,18494
2021-03-24 01:31:31,3.12,3.12,3.11,3.12,7611
2021-03-24 01:31:32,3.12,3.12,3.115,3.12,2500
2021-03-24 01:31:33,3.12,3.12,3.12,3.12,8360
2021-03-24 01:31:34,3.12,3.12,3.11,3.115,23547
