Date,Open,High,Low,Close,Volume
2021-03-24 01:30:07,5.27,5.27,5.23,5.2595,33452
2021-03-24 01:30:08,5.25,5.27,5.24,5.27,3639
2021-03-24 01:30:09,5.25,5.27,5.25,5.265,4957
2021-03-24 01:30:10,5.25,5.26,5.25,5.26,1148
2021-03-24 01:30:11,5.26,5.26,5.24,5.24,4693
2021-03-24 01:30:12,5.25,5.26,5.23,5.24,23814
2021-03-24 01:30:13,5.24,5.245,5.22,5.22,5500
2021-03-24 01:30:14,5.22,5.245,5.21,5.22,9598
2021-03-24 01:30:15,5.22,5.229,5.21,5.22,11840
2021-03-24 01:30:16,5.22,5.23,5.21,5.22,14965
2021-03-24 01:30:17,5.22,5.2296,5.2,5.2296,38916
2021-03-24 01:30:18,5.225,5.23,5.21,5.22,10769
2021-03-24 01:30:19,5.22,5.24,5.22,5.22,3556
2021-03-24 01:30:20,5.22,5.23,5.22,5.225,2314
2021-03-24 01:30:21,5.225,5.25,5.2154,5.25,14923
2021-03-24 01:30:22,5.24,5.265,5.225,5.265,4764
2021-03-24 01:30:23,5.26,5.265,5.21,5.2495,8406
2021-03-24 01:30:24,5.25,5.25,5.22,5.235,6248
2021-03-24 01:30:25,5.2169,5.24,5.2,5.21,3745
2021-03-24 01:30:26,5.23,5.24,5.21,5.21,8350
2021-03-24 01:30:27,5.2399,5.2399,5.23,5.23,702
2021-03-24 01:30:28,5.23,5.25,5.22,5.2397,5985
2021-03-24 01:30:29,5.22,5.25,5.21,5.24,9750
2021-03-24 01:30:30,5.24,5.255,5.24,5.2405,2404
2021-03-24 01:30:31,5.25,5.26,5.24,5.255,2521
2021-03-24 01:30:32,5.255,5.2595,5.25,5.255,1450
2021-03-24 01:30:33,5.2565,5.2565,5.24,5.24,3412
2021-03-24 01:30:34,5.24,5.2447,5.24,5.2447,476
2021-03-24 01:30:35,5.24,5.24,5.22,5.22,2801
2021-03-24 01:30:36,5.22,5.24,5.22,5.22,3508
2021-03-24 01:30:37,5.22,5.24,5.22,5.2203,6298
2021-03-24 01:30:38,5.23,5.23,5.225,5.23,1610
2021-03-24 01:30:39,5.22,5.22,5.22,5.22,500
2021-03-24 01:30:40,5.2,5.21,5.1905,5.2,5903
2021-03-24 01:30:41,5.215,5.2189,5.19,5.21,11106
2021-03-24 01:30:42,5.21,5.21,5.1819,5.1819,14429
2021-03-24 01:30:43,5.18,5.19,5.18,5.19,5618
2021-03-24 01:30:44,5.1999,5.2,5.18,5.2,1136
2021-03-24 01:30:45,5.19,5.19,5.18,5.19,3796
2021-03-24 01:30:46,5.19,5.2,5.18,5.18,1876
2021-03-24 01:30:47,5.18,5.2,5.18,5.18,2177
2021-03-24 01:30:49,5.18,5.19,5.18,5.185,3500
2021-03-24 01:30:50,5.185,5.19,5.18,5.1873,3586
2021-03-24 01:30:51,5.185,5.185,5.18,5.18,4284
2021-03-24 01:30:52,5.19,5.19,5.18,5.185,662
2021-03-24 01:30:53,5.18,5.18,5.18,5.18,260
2021-03-24 01:30:54,5.18,5.19,5.18,5.1838,3933
2021-03-24 01:30:55,5.185,5.2,5.18,5.1899,21455
2021-03-24 01:30:56,5.18,5.19,5.18,5.18,1800
2021-03-24 01:30:57,5.1891,5.1891,5.18,5.18,477
2021-03-24 01:30:58,5.185,5.2,5.18,5.18,4366
2021-03-24 01:30:59,5.19,5.1944,5.185,5.19,1055
2021-03-24 01:31:00,5.19,5.191,5.17,5.18,7258
2021-03-24 01:31:01,5.175,5.19,5.17,5.1701,7017
2021-03-24 01:31:02,5.17,5.18,5.16,5.16,10297
2021-03-24 01:31:03,5.1649,5.17,5.1649,5.165,3407
2021-03-24 01:31:04,5.16,5.1667,5.15,5.16,11473
2021-03-24 01:31:05,5.15,5.155,5.15,5.15,3471
2021-03-24 01:31:06,5.155,5.16,5.15,5.1592,2304
2021-03-24 01:31:07,5.16,5.16,5.15,5.1522,1404
2021-03-24 01:31:08,5.155,5.165,5.155,5.165,2790
2021-03-24 01:31:09,5.17,5.1799,5.165,5.17,5077
2021-03-24 01:31:10,5.17,5.175,5.15,5.16,17919
2021-03-24 01:31:11,5.17,5.18,5.16,5.17,1602
2021-03-24 01:31:12,5.16,5.18,5.16,5.1711,951
2021-03-24 01:31:13,5.17,5.18,5.16,5.18,6046
2021-03-24 01:31:14,5.19,5.21,5.18,5.21,8977
2021-03-24 01:31:15,5.2,5.22,5.2,5.22,3853
2021-03-24 01:31:16,5.22,5.25,5.22,5.25,5630
2021-03-24 01:31:17,5.25,5.28,5.245,5.2774,11766
2021-03-24 01:31:18,5.29,5.31,5.27,5.29,25828
2021-03-24 01:31:19,5.31,5.34,5.3,5.33,27906
2021-03-24 01:31:20,5.325,5.4,5.325,5.39,20634
2021-03-24 01:31:21,5.3899,5.42,5.37,5.3916,62716
2021-03-24 01:31:22,5.42,5.45,5.3996,5.45,44278
2021-03-24 01:31:23,5.44,5.45,5.4,5.4398,23905
2021-03-24 01:31:24,5.45,5.45,5.42,5.4352,25067
2021-03-24 01:31:25,5.42,5.43,5.4,5.4,11480
2021-03-24 01:31:26,5.43,5.45,5.39,5.4,16334
2021-03-24 01:31:27,5.39,5.42,5.37,5.37,11350
2021-03-24 01:31:28,5.38,5.4,5.37,5.4,7068
2021-03-24 01:31:29,5.402,5.41,5.39,5.4,5159
2021-03-24 01:31:30,5.39,5.4,5.38,5.38,13001
2021-03-24 01:31:31,5.378,5.38,5.35,5.35,4453
2021-03-24 01:31:32,5.35,5.3794,5.35,5.36,3266
2021-03-24 01:31:33,5.37,5.4,5.33,5.33,26340
2021-03-24 01:31:34,5.34,5.34,5.33,5.335,5941
2021-03-24 01:31:35,5.335,5.3382,5.33,5.3382,2510
2021-03-24 01:31:36,5.335,5.37,5.33,5.3506,7239
2021-03-24 01:31:37,5.3668,5.38,5.35,5.38,10692
2021-03-24 01:31:38,5.37,5.39,5.36,5.375,10545
2021-03-24 01:31:39,5.3799,5.38,5.36,5.38,6046
2021-03-24 01:31:40,5.3799,5.39,5.37,5.39,6017
2021-03-24 01:31:41,5.385,5.41,5.38,5.4,10089
2021-03-24 01:31:42,5.4,5.44,5.39,5.43,10887
2021-03-24 01:31:43,5.4107,5.45,5.41,5.45,15677
2021-03-24 01:31:44,5.445,5.45,5.44,5.45,37305
2021-03-24 01:31:45,5.4538,5.5,5.4527,5.495,33495
2021-03-24 01:31:46,5.495,5.6,5.48,5.58,111458
2021-03-24 01:31:47,5.5837,5.6,5.57,5.58,68245
2021-03-24 01:31:48,5.5843,5.63,5.58,5.6,36347
2021-03-24 01:31:49,5.61,5.65,5.58,5.625,58396
2021-03-24 01:31:50,5.6107,5.64,5.59,5.6095,9489
2021-03-24 01:31:51,5.59,5.61,5.58,5.61,41971
2021-03-24 01:31:52,5.6,5.61,5.58,5.59,12220
2021-03-24 01:31:53,5.5842,5.6,5.56,5.58,21466
2021-03-24 01:31:54,5.57,5.59,5.54,5.55,26238
2021-03-24 01:31:55,5.545,5.58,5.52,5.55,55557
2021-03-24 01:31:56,5.57,5.58,5.53,5.565,5273
2021-03-24 01:31:57,5.56,5.57,5.55,5.57,8391
2021-03-24 01:31:58,5.565,5.58,5.555,5.58,9001
2021-03-24 01:31:59,5.58,5.6,5.56,5.57,19460
2021-03-24 01:32:00,5.5606,5.6,5.5606,5.5999,13596
2021-03-24 01:32:01,5.57,5.6,5.57,5.58,8841
2021-03-24 01:32:02,5.58,5.6,5.57,5.595,18443
2021-03-24 01:32:03,5.59,5.63,5.58,5.63,33186
2021-03-24 01:32:04,5.625,5.68,5.62,5.68,45661
2021-03-24 01:32:05,5.67,5.7,5.66,5.7,28275
2021-03-24 01:32:06,5.6973,5.7,5.6406,5.6745,42405
2021-03-24 01:32:07,5.67,5.69,5.6405,5.66,26759
2021-03-24 01:32:08,5.67,5.67,5.62,5.6207,25910
2021-03-24 01:32:09,5.65,5.67,5.61,5.644,23990
2021-03-24 01:32:10,5.635,5.6799,5.61,5.67,15889
2021-03-24 01:32:11,5.67,5.69,5.66,5.67,21118
2021-03-24 01:32:12,5.67,5.69,5.67,5.68,12961
2021-03-24 01:32:13,5.675,5.69,5.675,5.68,16081
2021-03-24 01:32:14,5.68,5.69,5.67,5.67,11033
2021-03-24 01:32:15,5.69,5.69,5.65,5.68,12870
2021-03-24 01:32:16,5.6573,5.68,5.6104,5.62,21313
2021-03-24 01:32:17,5.61,5.63,5.58,5.59,28964
2021-03-24 01:32:18,5.58,5.58,5.51,5.55,31056
2021-03-24 01:32:19,5.58,5.65,5.5501,5.5999,18941
2021-03-24 01:32:20,5.5635,5.6,5.56,5.58,3612
2021-03-24 01:32:21,5.5811,5.5848,5.52,5.52,20050
2021-03-24 01:32:22,5.54,5.66,5.52,5.6494,26842
2021-03-24 01:32:23,5.64,5.66,5.57,5.587,10494
2021-03-24 01:32:24,5.59,5.6,5.5703,5.59,4224
2021-03-24 01:32:25,5.57,5.58,5.55,5.56,11008
2021-03-24 01:32:26,5.57,5.58,5.52,5.52,10370
2021-03-24 01:32:27,5.5399,5.54,5.52,5.54,14265
2021-03-24 01:32:28,5.53,5.53,5.47,5.49,28220
