Date,Open,High,Low,Close,Volume
2021-03-24 01:30:07,3.69,3.69,3.69,3.69,698
2021-03-24 01:30:08,3.69,3.72,3.69,3.72,14098
2021-03-24 01:30:10,3.72,3.72,3.72,3.72,202
2021-03-24 01:30:11,3.72,3.73,3.72,3.73,4205
2021-03-24 01:30:12,3.7499,3.7499,3.73,3.7499,3583
2021-03-24 01:30:13,3.75,3.75,3.735,3.7447,2319
2021-03-24 01:30:14,3.72,3.7437,3.72,3.7437,1256
2021-03-24 01:30:15,3.75,3.75,3.73,3.7495,6305
2021-03-24 01:30:16,3.74,3.74,3.73,3.73,680
2021-03-24 01:30:17,3.7401,3.75,3.74,3.7463,2377
2021-03-24 01:30:18,3.72,3.75,3.72,3.75,2875
2021-03-24 01:30:19,3.755,3.76,3.755,3.76,1293
2021-03-24 01:30:20,3.775,3.775,3.7701,3.7701,1100
2021-03-24 01:30:21,3.78,3.7998,3.78,3.7998,3476
2021-03-24 01:30:22,3.7999,3.7999,3.7999,3.7999,269
2021-03-24 01:30:23,3.7999,3.7999,3.79,3.79,976
2021-03-24 01:30:24,3.8,3.82,3.7901,3.82,9639
2021-03-24 01:30:25,3.8238,3.8288,3.82,3.8288,1355
2021-03-24 01:30:26,3.8194,3.8299,3.8194,3.8299,9108
2021-03-24 01:30:27,3.82,3.82,3.82,3.82,215
2021-03-24 01:30:28,3.81,3.82,3.81,3.82,622
2021-03-24 01:30:29,3.815,3.83,3.815,3.815,3672
2021-03-24 01:30:30,3.8299,3.8299,3.8299,3.8299,9001
2021-03-24 01:30:31,3.82,3.83,3.82,3.82,3879
2021-03-24 01:30:32,3.82,3.82,3.82,3.82,851
2021-03-24 01:30:33,3.8193,3.82,3.8159,3.82,1613
2021-03-24 01:30:34,3.8299,3.83,3.82,3.8292,11211
2021-03-24 01:30:35,3.83,3.83,3.83,3.83,2026
2021-03-24 01:30:36,3.83,3.84,3.8201,3.84,10104
2021-03-24 01:30:37,3.85,3.91,3.85,3.91,16282
2021-03-24 01:30:38,3.92,3.93,3.8956,3.93,15412
2021-03-24 01:30:39,3.93,3.93,3.89,3.9201,4858
2021-03-24 01:30:40,3.93,3.94,3.93,3.94,3618
2021-03-24 01:30:41,3.935,3.95,3.9301,3.9442,19444
2021-03-24 01:30:42,3.9499,3.96,3.945,3.96,5886
2021-03-24 01:30:43,3.965,3.9694,3.9601,3.965,2946
2021-03-24 01:30:44,3.965,3.965,3.965,3.965,316
2021-03-24 01:30:45,3.9601,3.98,3.9601,3.98,3234
2021-03-24 01:30:46,3.9707,4,3.9707,3.9908,47576
2021-03-24 01:30:47,4,4,3.99,3.995,3633
2021-03-24 01:30:48,4,4,3.9601,3.9663,19519
2021-03-24 01:30:49,3.9899,3.99,3.96,3.9689,5794
2021-03-24 01:30:50,3.965,3.975,3.965,3.975,14261
2021-03-24 01:30:51,3.9678,3.9799,3.96,3.9699,11466
2021-03-24 01:30:52,3.9567,3.9567,3.9501,3.9501,2524
2021-03-24 01:30:53,3.9501,3.98,3.95,3.9697,31385
2021-03-24 01:30:54,3.9501,3.965,3.95,3.9501,2796
2021-03-24 01:30:55,3.965,3.97,3.95,3.95,26844
2021-03-24 01:30:56,3.95,3.9681,3.95,3.9681,3747
2021-03-24 01:30:57,3.96,3.96,3.9501,3.957,5246
2021-03-24 01:30:58,3.97,3.9765,3.97,3.9765,750
2021-03-24 01:30:59,3.96,3.9682,3.95,3.96,6694
2021-03-24 01:31:00,3.9501,3.9699,3.94,3.94,5613
2021-03-24 01:31:01,3.93,3.93,3.88,3.8968,5778
2021-03-24 01:31:02,3.894,3.9,3.88,3.88,2614
2021-03-24 01:31:03,3.883,3.91,3.88,3.88,2898
2021-03-24 01:31:04,3.88,3.88,3.88,3.88,352
2021-03-24 01:31:05,3.86,3.8607,3.84,3.86,4095
2021-03-24 01:31:06,3.85,3.93,3.8401,3.88,14350
2021-03-24 01:31:07,3.9001,3.93,3.9,3.9041,1401
2021-03-24 01:31:09,3.9001,3.9001,3.9001,3.9001,858
2021-03-24 01:31:10,3.915,3.915,3.9001,3.9001,2368
2021-03-24 01:31:11,3.915,3.915,3.915,3.915,1213
2021-03-24 01:31:12,3.93,3.93,3.9001,3.915,2609
2021-03-24 01:31:13,3.9001,3.9271,3.9001,3.91,3205
2021-03-24 01:31:14,3.9,3.91,3.9,3.9082,1855
2021-03-24 01:31:15,3.9,3.945,3.9,3.9407,2581
2021-03-24 01:31:16,3.94,3.95,3.9395,3.9496,2051
2021-03-24 01:31:17,3.9301,3.95,3.9301,3.95,5756
2021-03-24 01:31:18,3.9485,3.95,3.938,3.949,3464
2021-03-24 01:31:19,3.94,3.96,3.93,3.96,8399
2021-03-24 01:31:20,3.9592,3.965,3.95,3.965,13413
2021-03-24 01:31:21,3.97,3.97,3.9502,3.97,3451
2021-03-24 01:31:22,3.97,3.97,3.9501,3.955,3134
2021-03-24 01:31:23,3.955,3.9551,3.9501,3.9501,4287
2021-03-24 01:31:24,3.955,3.97,3.955,3.9601,3637
2021-03-24 01:31:25,3.96,3.96,3.94,3.94,7696
2021-03-24 01:31:26,3.95,3.95,3.9308,3.9308,11069
2021-03-24 01:31:27,3.94,3.94,3.9301,3.94,3765
2021-03-24 01:31:28,3.9378,3.96,3.93,3.96,5434
2021-03-24 01:31:29,3.9497,3.9512,3.9301,3.945,10930
2021-03-24 01:31:30,3.9569,3.9569,3.92,3.93,7424
2021-03-24 01:31:31,3.9201,3.93,3.9,3.9006,4365
2021-03-24 01:31:32,3.9,3.9,3.8812,3.8812,3726
2021-03-24 01:31:33,3.8892,3.9054,3.88,3.9054,10933
2021-03-24 01:31:34,3.8802,3.8999,3.8802,3.899,2408
2021-03-24 01:31:35,3.8996,3.9,3.88,3.88,788
2021-03-24 01:31:36,3.8801,3.8801,3.8801,3.8801,781
2021-03-24 01:31:37,3.89,3.89,3.88,3.88,1494
2021-03-24 01:31:38,3.9,3.9,3.8982,3.9,1039
2021-03-24 01:31:39,3.88,3.88,3.88,3.88,1200
2021-03-24 01:31:40,3.9,3.9,3.88,3.88,652
2021-03-24 01:31:41,3.8899,3.8899,3.85,3.86,2853
2021-03-24 01:31:42,3.8501,3.8777,3.85,3.859,3525
2021-03-24 01:31:43,3.86,3.93,3.86,3.9,14464
2021-03-24 01:31:44,3.9261,3.9261,3.8777,3.8777,12617
2021-03-24 01:31:45,3.86,3.86,3.86,3.86,377
2021-03-24 01:31:46,3.8501,3.87,3.84,3.87,13491
2021-03-24 01:31:47,3.879,3.88,3.86,3.88,2217
2021-03-24 01:31:48,3.86,3.86,3.83,3.86,5532
2021-03-24 01:31:49,3.84,3.85,3.83,3.83,8150
