Date,Open,High,Low,Close,Volume
2021-03-24 01:30:07,4.68,4.7,4.68,4.6875,4690
2021-03-24 01:30:08,4.69,4.7,4.65,4.69,4044
2021-03-24 01:30:09,4.695,4.695,4.67,4.694,1869
2021-03-24 01:30:10,4.66,4.66,4.66,4.66,566
2021-03-24 01:30:11,4.66,4.69,4.65,4.69,1177
2021-03-24 01:30:12,4.6999,4.6999,4.64,4.64,4324
2021-03-24 01:30:13,4.6435,4.65,4.64,4.642,625
2021-03-24 01:30:14,4.6403,4.65,4.64,4.64,2577
2021-03-24 01:30:15,4.666,4.666,4.64,4.6446,2417
2021-03-24 01:30:17,4.64,4.64,4.62,4.62,6501
2021-03-24 01:30:18,4.62,4.62,4.6,4.6,8429
2021-03-24 01:30:20,4.6,4.6542,4.59,4.6,4534
2021-03-24 01:30:21,4.6,4.6,4.57,4.57,12021
2021-03-24 01:30:22,4.6,4.6053,4.57,4.6053,3523
2021-03-24 01:30:23,4.57,4.63,4.55,4.63,6629
2021-03-24 01:30:25,4.59,4.59,4.59,4.59,198
2021-03-24 01:30:26,4.54,4.542,4.53,4.542,2587
2021-03-24 01:30:27,4.53,4.5618,4.53,4.53,3612
2021-03-24 01:30:28,4.54,4.54,4.52,4.52,7462
2021-03-24 01:30:29,4.57,4.5712,4.57,4.5712,2100
2021-03-24 01:30:31,4.56,4.5697,4.56,4.5697,2005
2021-03-24 01:30:32,4.53,4.5697,4.53,4.535,3700
2021-03-24 01:30:33,4.5308,4.563,4.5308,4.563,600
2021-03-24 01:30:34,4.53,4.54,4.52,4.52,1867
2021-03-24 01:30:35,4.54,4.54,4.51,4.54,400
2021-03-24 01:30:36,4.51,4.5299,4.51,4.5299,2220
2021-03-24 01:30:38,4.5152,4.5152,4.48,4.48,16151
2021-03-24 01:30:39,4.48,4.4812,4.46,4.46,6124
2021-03-24 01:30:40,4.4667,4.509,4.45,4.45,8596
2021-03-24 01:30:41,4.47,4.47,4.47,4.47,229
