Date,Open,High,Low,Close,Volume
2021-03-24 01:30:07,1.895,1.9,1.89,1.9,12567
2021-03-24 01:30:08,1.88,1.88,1.85,1.86,203330
2021-03-24 01:30:09,1.8727,1.8799,1.87,1.879,3678
2021-03-24 01:30:10,1.8709,1.89,1.8709,1.89,16026
2021-03-24 01:30:11,1.89,1.9,1.89,1.8993,9698
2021-03-24 01:30:12,1.89,1.9,1.89,1.895,21123
2021-03-24 01:30:13,1.8999,1.9,1.89,1.9,23491
2021-03-24 01:30:14,1.891,1.9,1.8909,1.9,11148
2021-03-24 01:30:15,1.9,1.91,1.8999,1.91,107359
2021-03-24 01:30:16,1.9096,1.92,1.9,1.92,63696
2021-03-24 01:30:17,1.918,1.9197,1.91,1.91,9805
2021-03-24 01:30:18,1.91,1.92,1.91,1.91,9867
2021-03-24 01:30:19,1.91,1.91,1.89,1.8999,17449
2021-03-24 01:30:20,1.8999,1.9,1.89,1.89,3496
2021-03-24 01:30:21,1.8999,1.9,1.89,1.895,8427
2021-03-24 01:30:22,1.895,1.8994,1.89,1.89,4991
2021-03-24 01:30:23,1.895,1.895,1.89,1.89,2497
2021-03-24 01:30:24,1.88,1.89,1.87,1.8896,66434
2021-03-24 01:30:25,1.885,1.8897,1.88,1.88,23363
2021-03-24 01:30:26,1.8806,1.89,1.8806,1.8888,2248
2021-03-24 01:30:27,1.8899,1.8899,1.88,1.8805,12650
2021-03-24 01:30:28,1.88,1.89,1.88,1.89,32748
2021-03-24 01:30:29,1.8827,1.8827,1.8701,1.8745,18287
2021-03-24 01:30:30,1.8709,1.88,1.87,1.8775,25140
2021-03-24 01:30:31,1.88,1.88,1.875,1.875,382
2021-03-24 01:30:32,1.8799,1.88,1.8789,1.8794,13062
2021-03-24 01:30:33,1.8787,1.8787,1.8787,1.8787,1141
2021-03-24 01:30:34,1.8788,1.88,1.87,1.88,5159
2021-03-24 01:30:35,1.8711,1.8779,1.87,1.875,8588
2021-03-24 01:30:36,1.87,1.8727,1.863,1.863,37044
2021-03-24 01:30:37,1.86,1.87,1.86,1.86,8014
2021-03-24 01:30:38,1.86,1.87,1.8512,1.87,25927
2021-03-24 01:30:39,1.88,1.88,1.86,1.8701,22655
2021-03-24 01:30:40,1.88,1.88,1.87,1.8701,15276
2021-03-24 01:30:41,1.87,1.8728,1.86,1.86,19613
2021-03-24 01:30:42,1.869,1.8699,1.86,1.8697,21792
2021-03-24 01:30:43,1.87,1.87,1.86,1.8695,1702
2021-03-24 01:30:44,1.87,1.87,1.86,1.86,4450
2021-03-24 01:30:45,1.86,1.8699,1.86,1.8693,13156
2021-03-24 01:30:46,1.86,1.87,1.86,1.87,3666
2021-03-24 01:30:47,1.87,1.87,1.865,1.8699,2193
