Date,Open,High,Low,Close,Volume
2021-03-24 01:30:07,7.27,7.33,7.22,7.33,72477
2021-03-24 01:30:08,7.33,7.33,7.26,7.33,63081
2021-03-24 01:30:09,7.315,7.33,7.25,7.2899,38610
2021-03-24 01:30:10,7.28,7.31,7.2689,7.31,23509
2021-03-24 01:30:11,7.32,7.33,7.3052,7.3293,32901
2021-03-24 01:30:12,7.33,7.35,7.3101,7.34,36537
2021-03-24 01:30:13,7.3318,7.38,7.3248,7.375,101538
2021-03-24 01:30:14,7.38,7.41,7.369,7.4,147930
2021-03-24 01:30:15,7.3978,7.426,7.387,7.405,101161
2021-03-24 01:30:16,7.405,7.44,7.4,7.401,61009
2021-03-24 01:30:17,7.415,7.42,7.31,7.3499,131086
2021-03-24 01:30:18,7.3429,7.37,7.32,7.3278,129363
2021-03-24 01:30:19,7.327,7.34,7.27,7.28,72974
2021-03-24 01:30:20,7.27,7.2999,7.26,7.285,52221
2021-03-24 01:30:21,7.2899,7.2899,7.2,7.24,142094
2021-03-24 01:30:22,7.2107,7.22,7.1799,7.18,55325
2021-03-24 01:30:23,7.1701,7.1701,7.1,7.115,90703
2021-03-24 01:30:24,7.1107,7.12,7.08,7.0989,72009
2021-03-24 01:30:25,7.09,7.1,7.08,7.08,30329
2021-03-24 01:30:26,7.09,7.09,7.0718,7.076,38013
2021-03-24 01:30:27,7.08,7.08,7.06,7.065,31928
2021-03-24 01:30:28,7.065,7.07,7.05,7.05,35820
2021-03-24 01:30:29,7.05,7.06,7.02,7.0365,88354
2021-03-24 01:30:30,7.04,7.05,7.02,7.035,38662
2021-03-24 01:30:31,7.03,7.05,7.02,7.05,32931
2021-03-24 01:30:32,7.055,7.09,7.04,7.09,40875
2021-03-24 01:30:33,7.085,7.1,7.07,7.0901,51104
2021-03-24 01:30:34,7.0911,7.13,7.09,7.1045,31938
2021-03-24 01:30:35,7.115,7.16,7.11,7.135,42108
2021-03-24 01:30:36,7.14,7.16,7.1201,7.15,37338
2021-03-24 01:30:37,7.14,7.16,7.14,7.1508,27732
2021-03-24 01:30:38,7.15,7.19,7.1401,7.18,45578
2021-03-24 01:30:39,7.1612,7.19,7.1601,7.18,20383
2021-03-24 01:30:40,7.1887,7.22,7.17,7.21,37088
2021-03-24 01:30:41,7.21,7.22,7.19,7.2,39603
2021-03-24 01:30:42,7.19,7.26,7.19,7.23,45277
2021-03-24 01:30:43,7.25,7.28,7.23,7.2799,56015
2021-03-24 01:30:44,7.2701,7.31,7.27,7.3,56595
2021-03-24 01:30:45,7.3,7.35,7.2906,7.33,57848
2021-03-24 01:30:46,7.34,7.4,7.33,7.39,50897
2021-03-24 01:30:47,7.39,7.4,7.25,7.36,257472
2021-03-24 01:30:48,7.341,7.36,7.3,7.3001,43092
2021-03-24 01:30:49,7.305,7.32,7.25,7.29,32334
2021-03-24 01:30:50,7.29,7.31,7.26,7.29,42200
2021-03-24 01:30:51,7.29,7.29,7.25,7.275,31884
2021-03-24 01:30:52,7.275,7.3015,7.27,7.2977,67400
2021-03-24 01:30:53,7.3,7.3,7.26,7.28,21908
2021-03-24 01:30:54,7.28,7.3,7.23,7.245,34870
2021-03-24 01:30:55,7.26,7.26,7.23,7.25,16961
2021-03-24 01:30:56,7.25,7.27,7.23,7.27,15890
2021-03-24 01:30:57,7.265,7.27,7.2,7.22,58001
2021-03-24 01:30:58,7.2105,7.2432,7.2,7.21,38648
2021-03-24 01:30:59,7.2174,7.25,7.2,7.215,49800
2021-03-24 01:31:00,7.215,7.23,7.2,7.215,25542
2021-03-24 01:31:01,7.2,7.24,7.14,7.17,88767
2021-03-24 01:31:02,7.16,7.19,7.1,7.1171,69311
2021-03-24 01:31:03,7.13,7.14,7.02,7.05,128704
2021-03-24 01:31:04,7.0499,7.06,7.02,7.03,48001
2021-03-24 01:31:05,7.04,7.05,7.01,7.025,33225
2021-03-24 01:31:06,7.02,7.03,7,7.01,165982
2021-03-24 01:31:07,7.01,7.02,7,7.0078,176878
2021-03-24 01:31:08,7,7.01,6.96,6.9688,58462
2021-03-24 01:31:09,6.96,6.97,6.95,6.96,66140
2021-03-24 01:31:10,6.96,6.97,6.95,6.9516,45772
2021-03-24 01:31:11,6.955,6.96,6.95,6.9582,47102
2021-03-24 01:31:12,6.95,6.96,6.92,6.92,40117
2021-03-24 01:31:13,6.92,6.93,6.9,6.9098,58237
2021-03-24 01:31:14,6.9,6.93,6.9,6.9001,40848
2021-03-24 01:31:15,6.9194,6.95,6.9,6.935,39922
2021-03-24 01:31:16,6.93,6.965,6.93,6.955,61175
2021-03-24 01:31:17,6.95,6.98,6.95,6.97,42021
2021-03-24 01:31:18,6.97,6.99,6.96,6.97,35424
2021-03-24 01:31:19,6.9794,6.99,6.9763,6.9898,28860
2021-03-24 01:31:20,6.99,7,6.98,6.9976,35324
2021-03-24 01:31:21,6.99,7,6.97,6.99,61505
2021-03-24 01:31:22,6.9981,7,6.97,6.97,28625
2021-03-24 01:31:23,6.98,7,6.97,6.98,34258
2021-03-24 01:31:24,6.98,7.04,6.98,7.0301,29635
2021-03-24 01:31:25,7.04,7.04,6.97,6.975,69957
2021-03-24 01:31:26,6.979,6.98,6.96,6.98,49831
2021-03-24 01:31:27,6.97,6.98,6.95,6.9601,50073
2021-03-24 01:31:28,6.9777,6.9777,6.91,6.92,61323
2021-03-24 01:31:29,6.92,6.9384,6.9,6.92,46584
2021-03-24 01:31:30,6.925,6.94,6.9,6.905,48853
2021-03-24 01:31:31,6.9,6.96,6.9,6.9,54586
2021-03-24 01:31:32,6.9055,6.94,6.9,6.91,45771
2021-03-24 01:31:33,6.91,6.9301,6.9,6.92,28077
2021-03-24 01:31:34,6.92,6.97,6.92,6.9401,18926
2021-03-24 01:31:35,6.945,6.97,6.94,6.96,13233
2021-03-24 01:31:36,6.9501,6.96,6.9494,6.9494,12511
2021-03-24 01:31:37,6.9401,6.96,6.93,6.93,25526
2021-03-24 01:31:38,6.931,6.96,6.93,6.9406,17978
2021-03-24 01:31:39,6.9401,6.96,6.93,6.93,21626
2021-03-24 01:31:40,6.9301,6.95,6.93,6.95,19179
2021-03-24 01:31:41,6.95,6.95,6.93,6.9401,11406
2021-03-24 01:31:42,6.9492,6.96,6.94,6.95,21017
2021-03-24 01:31:43,6.9401,6.96,6.94,6.9599,26551
2021-03-24 01:31:44,6.9593,6.9686,6.9402,6.968,14435
2021-03-24 01:31:45,6.965,6.99,6.9601,6.99,24351
2021-03-24 01:31:46,6.99,7,6.98,6.99,21433
2021-03-24 01:31:47,6.9901,7,6.96,6.96,20410
2021-03-24 01:31:48,6.97,6.98,6.95,6.955,38617
2021-03-24 01:31:49,6.96,6.97,6.95,6.96,25585
2021-03-24 01:31:50,6.9569,6.96,6.95,6.96,15439
2021-03-24 01:31:51,6.9501,6.96,6.95,6.955,21528
2021-03-24 01:31:52,6.955,6.9694,6.95,6.96,17334
2021-03-24 01:31:53,6.961,6.97,6.96,6.97,38536
2021-03-24 01:31:54,6.97,6.98,6.96,6.9647,13253
2021-03-24 01:31:55,6.96,6.98,6.96,6.97,14073
2021-03-24 01:31:56,6.9767,6.99,6.9701,6.9868,16397
2021-03-24 01:31:57,6.98,7.04,6.98,7.04,49029
2021-03-24 01:31:58,7.0364,7.04,7,7.01,34028
2021-03-24 01:31:59,7.01,7.02,7,7.0092,13805
2021-03-24 01:32:00,7.005,7.01,6.99,6.995,13932
2021-03-24 01:32:01,6.9999,6.9999,6.98,6.9899,15569
2021-03-24 01:32:02,6.9801,6.99,6.98,6.981,19517
2021-03-24 01:32:03,6.9899,7,6.98,6.9901,20922
2021-03-24 01:32:04,6.9943,7.05,6.99,7.045,51341
2021-03-24 01:32:05,7.0499,7.05,7.01,7.0392,37273
2021-03-24 01:32:06,7.0392,7.05,7.03,7.045,22314
2021-03-24 01:32:07,7.045,7.07,7.03,7.04,25827
2021-03-24 01:32:08,7.0399,7.04,7.01,7.02,22752
