Date,Open,High,Low,Close,Volume
2021-03-25 01:30:24,4.13,4.13,4.13,4.13,293
2021-03-25 01:30:25,4.18,4.18,4.16,4.16,2100
2021-03-25 01:30:26,4.16,4.16,4.16,4.16,155
2021-03-25 01:30:27,4.1301,4.1301,4.1301,4.1301,570
2021-03-25 01:30:29,4.13,4.1338,4.13,4.13,946
2021-03-25 01:30:31,4.13,4.1599,4.13,4.1599,310
2021-03-25 01:30:32,4.1413,4.1413,4.1413,4.1413,100
2021-03-25 01:30:33,4.1599,4.16,4.11,4.15,6095
2021-03-25 01:30:35,4.1439,4.1499,4.14,4.1499,1500
2021-03-25 01:30:38,4.135,4.135,4.135,4.135,219
2021-03-25 01:30:42,4.14,4.14,4.13,4.13,2100
2021-03-25 01:30:44,4.13,4.14,4.13,4.14,477
2021-03-25 01:30:45,4.13,4.13,4.13,4.13,324
2021-03-25 01:30:47,4.1201,4.1201,4.1201,4.1201,1243
2021-03-25 01:30:50,4.12,4.12,4.12,4.12,3587
2021-03-25 01:30:51,4.13,4.17,4.13,4.17,1613
2021-03-25 01:30:52,4.1799,4.1799,4.14,4.14,620
2021-03-25 01:30:54,4.18,4.18,4.14,4.18,2051
2021-03-25 01:30:55,4.165,4.1799,4.15,4.1799,1619
2021-03-25 01:30:56,4.15,4.15,4.15,4.15,708
2021-03-25 01:30:59,4.165,4.165,4.165,4.165,100
2021-03-25 01:31:02,4.17,4.1799,4.17,4.1799,614
2021-03-25 01:31:03,4.1762,4.18,4.15,4.15,2934
2021-03-25 01:31:04,4.15,4.15,4.15,4.15,693
2021-03-25 01:31:05,4.1488,4.1488,4.1488,4.1488,405
2021-03-25 01:31:06,4.14,4.15,4.14,4.1433,5136
2021-03-25 01:31:07,4.149,4.149,4.14,4.14,716
2021-03-25 01:31:08,4.1499,4.15,4.1449,4.1449,1305
2021-03-25 01:31:09,4.135,4.135,4.135,4.135,462
2021-03-25 01:31:10,4.13,4.16,4.13,4.16,5228
2021-03-25 01:31:11,4.12,4.13,4.12,4.13,3906
2021-03-25 01:31:12,4.12,4.125,4.11,4.11,1051
2021-03-25 01:31:13,4.11,4.12,4.09,4.1,6071
2021-03-25 01:31:17,4.065,4.065,4.042,4.05,3125
2021-03-25 01:31:20,4.0301,4.04,4.0301,4.04,1394
2021-03-25 01:31:21,4.035,4.035,4.035,4.035,3050
2021-03-25 01:31:24,4.03,4.04,4.03,4.04,307
2021-03-25 01:31:25,4.04,4.04,4.04,4.04,295
2021-03-25 01:31:26,4.03,4.05,4.02,4.03,2055
2021-03-25 01:31:29,4.0401,4.0401,4.0401,4.0401,5013
2021-03-25 01:31:30,4.0799,4.0799,4.0796,4.0796,2127
