Date,Open,High,Low,Close,Volume
2021-03-25 01:30:24,5.21,5.21,5.21,5.21,900
2021-03-25 01:30:25,5.2107,5.2107,5.2107,5.2107,181
2021-03-25 01:30:30,5.21,5.21,5.21,5.21,2556
2021-03-25 01:30:32,5.215,5.215,5.215,5.215,151
2021-03-25 01:30:34,5.2148,5.2148,5.21,5.21,350
2021-03-25 01:30:35,5.21,5.21,5.21,5.21,2500
2021-03-25 01:30:37,5.22,5.22,5.22,5.22,100
2021-03-25 01:30:38,5.2196,5.2196,5.2196,5.2196,800
2021-03-25 01:30:39,5.215,5.215,5.211,5.211,202
2021-03-25 01:30:41,5.215,5.215,5.21,5.21,240
2021-03-25 01:30:42,5.215,5.215,5.215,5.215,100
2021-03-25 01:30:45,5.22,5.22,5.2181,5.22,1414
2021-03-25 01:30:46,5.215,5.215,5.215,5.215,101
2021-03-25 01:30:47,5.21,5.21,5.21,5.21,160
2021-03-25 01:30:49,5.211,5.211,5.211,5.211,100
2021-03-25 01:30:51,5.2184,5.2184,5.21,5.21,750
2021-03-25 01:30:52,5.215,5.215,5.215,5.215,370
2021-03-25 01:30:57,5.215,5.215,5.215,5.215,200
2021-03-25 01:30:58,5.21,5.2196,5.21,5.2196,497
2021-03-25 01:31:00,5.215,5.215,5.215,5.215,132
2021-03-25 01:31:01,5.21,5.21,5.21,5.21,781
2021-03-25 01:31:05,5.21,5.21,5.21,5.21,1096
2021-03-25 01:31:06,5.215,5.2199,5.21,5.21,1595
2021-03-25 01:31:11,5.22,5.22,5.22,5.22,313
2021-03-25 01:31:12,5.23,5.24,5.23,5.239,1000
2021-03-25 01:31:13,5.23,5.23,5.23,5.23,1010
2021-03-25 01:31:15,5.23,5.2375,5.22,5.2375,1470
2021-03-25 01:31:17,5.24,5.24,5.24,5.24,206
2021-03-25 01:31:19,5.24,5.24,5.24,5.24,614
2021-03-25 01:31:21,5.2362,5.24,5.2362,5.24,1900
2021-03-25 01:31:23,5.2218,5.2378,5.2218,5.2378,700
2021-03-25 01:31:24,5.23,5.23,5.21,5.21,7833
2021-03-25 01:31:29,5.2122,5.2122,5.2122,5.2122,150
2021-03-25 01:31:31,5.23,5.23,5.23,5.23,5068
2021-03-25 01:31:34,5.2283,5.2283,5.2283,5.2283,100
2021-03-25 01:31:36,5.2108,5.2108,5.2108,5.2108,1400
2021-03-25 01:31:37,5.2122,5.2122,5.2122,5.2122,117
2021-03-25 01:31:38,5.23,5.23,5.22,5.23,1600
2021-03-25 01:31:44,5.215,5.215,5.21,5.21,503
2021-03-25 01:31:46,5.215,5.215,5.21,5.215,500
2021-03-25 01:31:47,5.21,5.21,5.21,5.21,1300
2021-03-25 01:31:49,5.2106,5.213,5.2106,5.213,1424
2021-03-25 01:31:51,5.215,5.215,5.21,5.21,3300
2021-03-25 01:31:53,5.2173,5.2173,5.21,5.21,1320
2021-03-25 01:31:55,5.219,5.219,5.21,5.21,820
2021-03-25 01:31:57,5.21,5.215,5.21,5.215,300
2021-03-25 01:32:00,5.213,5.2173,5.213,5.2173,684
2021-03-25 01:32:02,5.21,5.21,5.21,5.21,1900
2021-03-25 01:32:11,5.22,5.22,5.22,5.22,100
2021-03-25 01:32:12,5.22,5.22,5.22,5.22,2311
2021-03-25 01:32:13,5.249,5.249,5.24,5.24,300
2021-03-25 01:32:14,5.249,5.249,5.22,5.22,632
2021-03-25 01:32:16,5.22,5.22,5.22,5.22,1000
2021-03-25 01:32:19,5.22,5.22,5.22,5.22,110
2021-03-25 01:32:25,5.24,5.24,5.24,5.24,941
2021-03-25 01:32:27,5.2475,5.2475,5.2475,5.2475,400
2021-03-25 01:32:29,5.25,5.25,5.22,5.241,2756
2021-03-25 01:32:30,5.235,5.235,5.235,5.235,500
2021-03-25 01:32:31,5.25,5.25,5.25,5.25,2166
2021-03-25 01:32:33,5.235,5.235,5.235,5.235,1011
2021-03-25 01:32:34,5.22,5.22,5.22,5.22,100
2021-03-25 01:32:36,5.235,5.235,5.235,5.235,150
2021-03-25 01:32:44,5.24,5.24,5.24,5.24,1300
2021-03-25 01:32:49,5.23,5.23,5.2206,5.2206,1912
2021-03-25 01:32:52,5.235,5.235,5.235,5.235,858
2021-03-25 01:32:57,5.22,5.22,5.22,5.22,1000
2021-03-25 01:32:58,5.22,5.22,5.22,5.22,2500
2021-03-25 01:33:02,5.22,5.22,5.22,5.22,439
2021-03-25 01:33:03,5.2378,5.2378,5.2378,5.2378,100
2021-03-25 01:33:04,5.2399,5.2399,5.2399,5.2399,100
2021-03-25 01:33:05,5.22,5.22,5.22,5.22,151
2021-03-25 01:33:09,5.24,5.24,5.24,5.24,296
2021-03-25 01:33:14,5.2253,5.2253,5.2253,5.2253,150
2021-03-25 01:33:17,5.2429,5.2429,5.2429,5.2429,100
2021-03-25 01:33:20,5.23,5.23,5.23,5.23,100
2021-03-25 01:33:21,5.237,5.237,5.2319,5.2319,1380
2021-03-25 01:33:22,5.249,5.25,5.249,5.25,1726
2021-03-25 01:33:23,5.24,5.24,5.23,5.23,3000
2021-03-25 01:33:25,5.245,5.245,5.2304,5.2325,3118
2021-03-25 01:33:26,5.23,5.237,5.23,5.237,521
2021-03-25 01:33:29,5.24,5.24,5.24,5.24,100
2021-03-25 01:33:31,5.24,5.25,5.24,5.25,1059
2021-03-25 01:33:36,5.25,5.25,5.25,5.25,1685
2021-03-25 01:33:39,5.249,5.249,5.243,5.243,462
2021-03-25 01:33:42,5.24,5.2402,5.24,5.2402,601
2021-03-25 01:33:45,5.25,5.25,5.25,5.25,474
2021-03-25 01:33:46,5.25,5.25,5.25,5.25,102
2021-03-25 01:33:56,5.245,5.245,5.245,5.245,1023
2021-03-25 01:33:59,5.25,5.25,5.25,5.25,850
2021-03-25 01:34:00,5.2401,5.2401,5.2401,5.2401,3930
2021-03-25 01:34:03,5.2493,5.2497,5.2493,5.2497,1000
2021-03-25 01:34:04,5.25,5.25,5.25,5.25,500
2021-03-25 01:34:05,5.24,5.24,5.24,5.24,190
2021-03-25 01:34:08,5.25,5.25,5.25,5.25,1000
2021-03-25 01:34:10,5.24,5.25,5.24,5.25,10048
2021-03-25 01:34:13,5.25,5.25,5.24,5.24,3500
2021-03-25 01:34:14,5.25,5.25,5.239,5.239,3317
2021-03-25 01:34:16,5.24,5.24,5.24,5.24,489
2021-03-25 01:34:18,5.25,5.25,5.25,5.25,600
2021-03-25 01:34:19,5.25,5.25,5.25,5.25,150
2021-03-25 01:34:20,5.25,5.25,5.25,5.25,46050
2021-03-25 01:34:21,5.26,5.27,5.26,5.27,10132
2021-03-25 01:34:22,5.27,5.27,5.2696,5.27,4575
2021-03-25 01:34:23,5.27,5.28,5.27,5.28,3325
2021-03-25 01:34:26,5.28,5.28,5.28,5.28,410
2021-03-25 01:34:27,5.2799,5.2799,5.2799,5.2799,268
2021-03-25 01:34:28,5.27,5.27,5.27,5.27,2517
2021-03-25 01:34:29,5.26,5.2699,5.26,5.2699,475
2021-03-25 01:34:31,5.2699,5.2699,5.2699,5.2699,184
2021-03-25 01:34:32,5.27,5.27,5.267,5.267,400
2021-03-25 01:34:33,5.26,5.26,5.26,5.26,202
2021-03-25 01:34:34,5.27,5.27,5.27,5.27,175
2021-03-25 01:34:37,5.26,5.26,5.26,5.26,120
2021-03-25 01:34:38,5.265,5.265,5.265,5.265,100
2021-03-25 01:34:41,5.267,5.267,5.267,5.267,274
2021-03-25 01:34:45,5.267,5.267,5.267,5.267,100
2021-03-25 01:34:49,5.265,5.27,5.265,5.27,275
2021-03-25 01:34:51,5.265,5.265,5.24,5.265,3892
2021-03-25 01:34:53,5.25,5.25,5.2422,5.2422,497
2021-03-25 01:34:54,5.24,5.24,5.24,5.24,449
2021-03-25 01:34:55,5.2589,5.2589,5.24,5.24,2633
2021-03-25 01:34:56,5.2401,5.2401,5.2401,5.2401,2014
2021-03-25 01:34:57,5.2401,5.2401,5.2401,5.2401,2000
2021-03-25 01:34:58,5.25,5.25,5.25,5.25,150
2021-03-25 01:35:02,5.258,5.26,5.254,5.26,401
2021-03-25 01:35:03,5.26,5.26,5.24,5.24,1025
2021-03-25 01:35:04,5.25,5.2508,5.25,5.2508,215
2021-03-25 01:35:05,5.26,5.26,5.2596,5.2596,360
2021-03-25 01:35:07,5.25,5.25,5.24,5.24,446
2021-03-25 01:35:14,5.2411,5.2411,5.2411,5.2411,500
2021-03-25 01:35:15,5.25,5.25,5.2499,5.2499,2000
2021-03-25 01:35:17,5.25,5.25,5.25,5.25,1072
2021-03-25 01:35:19,5.245,5.245,5.24,5.24,2039
2021-03-25 01:35:20,5.245,5.25,5.245,5.2489,1006
2021-03-25 01:35:25,5.25,5.25,5.25,5.25,5000
2021-03-25 01:35:26,5.245,5.245,5.245,5.245,1000
2021-03-25 01:35:27,5.25,5.25,5.25,5.25,1267
2021-03-25 01:35:31,5.245,5.245,5.24,5.245,1429
2021-03-25 01:35:32,5.24,5.24,5.24,5.24,300
2021-03-25 01:35:33,5.24,5.24,5.24,5.24,1007
2021-03-25 01:35:37,5.235,5.235,5.235,5.235,220
2021-03-25 01:35:38,5.24,5.24,5.24,5.24,1010
