Date,Open,High,Low,Close,Volume
2021-03-26 01:30:19,4.5185,4.52,4.5185,4.52,3545
2021-03-26 01:30:20,4.55,4.64,4.55,4.6284,11897
2021-03-26 01:30:21,4.62,4.65,4.62,4.6499,4400
2021-03-26 01:30:23,4.632,4.64,4.632,4.64,3400
2021-03-26 01:30:24,4.6098,4.6098,4.6098,4.6098,500
2021-03-26 01:30:25,4.62,4.62,4.62,4.62,121
2021-03-26 01:30:26,4.61,4.61,4.58,4.58,2050
2021-03-26 01:30:28,4.6399,4.6399,4.6399,4.6399,500
2021-03-26 01:30:29,4.61,4.64,4.61,4.61,606
2021-03-26 01:30:30,4.64,4.64,4.63,4.63,779
2021-03-26 01:30:31,4.615,4.6255,4.615,4.6194,1840
2021-03-26 01:30:34,4.58,4.5801,4.58,4.5801,5500
2021-03-26 01:30:35,4.6,4.6,4.6,4.6,1203
2021-03-26 01:30:36,4.616,4.616,4.616,4.616,211
2021-03-26 01:30:37,4.6065,4.6396,4.6,4.62,12300
2021-03-26 01:30:38,4.6384,4.6384,4.6329,4.6329,2000
2021-03-26 01:30:39,4.6384,4.6384,4.6384,4.6384,100
2021-03-26 01:30:40,4.6191,4.6399,4.6191,4.6399,1380
2021-03-26 01:30:41,4.6375,4.6382,4.61,4.61,5200
2021-03-26 01:30:42,4.6,4.61,4.6,4.61,1300
2021-03-26 01:30:43,4.6149,4.6149,4.6133,4.6133,480
2021-03-26 01:30:46,4.5875,4.64,4.5875,4.64,1100
2021-03-26 01:30:51,4.6101,4.64,4.6101,4.64,1650
2021-03-26 01:30:52,4.64,4.64,4.64,4.64,430
2021-03-26 01:30:53,4.63,4.635,4.63,4.635,801
2021-03-26 01:30:54,4.64,4.64,4.635,4.64,1676
2021-03-26 01:30:56,4.65,4.65,4.645,4.65,1908
2021-03-26 01:30:58,4.642,4.65,4.642,4.6499,760
2021-03-26 01:30:59,4.65,4.66,4.6498,4.66,3029
2021-03-26 01:31:01,4.656,4.67,4.656,4.67,1302
2021-03-26 01:31:02,4.67,4.68,4.6698,4.67,5086
2021-03-26 01:31:03,4.68,4.7,4.6785,4.7,1872
2021-03-26 01:31:04,4.7,4.7,4.67,4.69,11839
2021-03-26 01:31:05,4.68,4.7,4.6726,4.684,6175
2021-03-26 01:31:06,4.7,4.7,4.69,4.69,200
2021-03-26 01:31:07,4.69,4.7,4.69,4.7,6923
2021-03-26 01:31:08,4.7,4.7,4.69,4.6913,3000
2021-03-26 01:31:09,4.7,4.7,4.6995,4.6995,2062
2021-03-26 01:31:10,4.7,4.7,4.6999,4.7,2116
2021-03-26 01:31:11,4.6901,4.7099,4.6901,4.7099,7589
2021-03-26 01:31:12,4.71,4.71,4.7085,4.71,3550
2021-03-26 01:31:13,4.71,4.71,4.7082,4.71,4342
2021-03-26 01:31:15,4.71,4.71,4.71,4.71,667
2021-03-26 01:31:16,4.72,4.72,4.72,4.72,502
2021-03-26 01:31:17,4.72,4.73,4.71,4.71,9345
2021-03-26 01:31:18,4.73,4.73,4.72,4.7295,12390
2021-03-26 01:31:19,4.73,4.73,4.73,4.73,216
2021-03-26 01:31:20,4.73,4.73,4.7201,4.73,5470
2021-03-26 01:31:21,4.725,4.73,4.725,4.7282,3510
2021-03-26 01:31:22,4.73,4.73,4.725,4.725,5255
2021-03-26 01:31:23,4.73,4.73,4.7216,4.73,3052
2021-03-26 01:31:24,4.73,4.73,4.72,4.73,5598
2021-03-26 01:31:25,4.72,4.72,4.72,4.72,125
2021-03-26 01:31:26,4.7245,4.73,4.7228,4.73,2202
2021-03-26 01:31:27,4.73,4.73,4.73,4.73,112
2021-03-26 01:31:29,4.73,4.73,4.73,4.73,5316
2021-03-26 01:31:30,4.725,4.73,4.725,4.73,2960
2021-03-26 01:31:31,4.73,4.73,4.725,4.725,1716
2021-03-26 01:31:33,4.73,4.74,4.7261,4.74,2346
2021-03-26 01:31:34,4.74,4.77,4.74,4.77,4877
2021-03-26 01:31:35,4.76,4.79,4.76,4.79,1211
2021-03-26 01:31:36,4.79,4.79,4.78,4.78,5780
2021-03-26 01:31:37,4.785,4.8,4.785,4.785,7722
2021-03-26 01:31:38,4.8,4.8,4.7978,4.7978,1550
2021-03-26 01:31:39,4.8,4.8,4.795,4.8,1656
2021-03-26 01:31:40,4.8,4.82,4.795,4.81,6569
2021-03-26 01:31:41,4.82,4.83,4.81,4.83,450
2021-03-26 01:31:42,4.826,4.826,4.826,4.826,564
2021-03-26 01:31:43,4.83,4.83,4.82,4.8225,1502
2021-03-26 01:31:44,4.8203,4.9,4.8203,4.8601,29621
2021-03-26 01:31:45,4.8798,4.9,4.8605,4.9,4631
2021-03-26 01:31:46,4.9,4.9,4.87,4.8999,3413
2021-03-26 01:31:47,4.89,4.8994,4.87,4.88,1112
2021-03-26 01:31:48,4.88,4.88,4.85,4.86,9997
2021-03-26 01:31:49,4.85,4.87,4.84,4.84,3847
2021-03-26 01:31:50,4.85,4.85,4.8201,4.8201,5821
2021-03-26 01:31:51,4.85,4.85,4.835,4.85,2109
2021-03-26 01:31:52,4.82,4.84,4.82,4.8245,5432
2021-03-26 01:31:53,4.8206,4.83,4.82,4.82,990
2021-03-26 01:31:54,4.8,4.81,4.7911,4.7911,4027
2021-03-26 01:31:55,4.79,4.7901,4.75,4.75,10300
2021-03-26 01:31:56,4.77,4.7865,4.77,4.7801,1997
2021-03-26 01:31:57,4.78,4.88,4.78,4.85,13500
2021-03-26 01:31:58,4.83,4.98,4.83,4.87,32182
2021-03-26 01:31:59,4.95,4.95,4.889,4.95,1921
2021-03-26 01:32:00,4.93,4.9494,4.89,4.909,1462
2021-03-26 01:32:01,4.89,4.89,4.85,4.8799,5435
2021-03-26 01:32:02,4.855,4.88,4.855,4.88,2949
2021-03-26 01:32:03,4.87,4.94,4.83,4.8677,7760
2021-03-26 01:32:04,4.9,4.915,4.9,4.915,1133
2021-03-26 01:32:05,4.9351,4.9351,4.91,4.93,8640
2021-03-26 01:32:06,4.929,4.929,4.9,4.9,1300
2021-03-26 01:32:07,4.915,4.915,4.9039,4.9039,9973
2021-03-26 01:32:08,4.9,4.93,4.9,4.9251,1328
2021-03-26 01:32:09,4.93,4.93,4.915,4.93,900
2021-03-26 01:32:10,4.9,4.93,4.9,4.9,2939
2021-03-26 01:32:11,4.91,4.9191,4.9,4.9,2634
2021-03-26 01:32:12,4.9001,4.92,4.89,4.9,6043
2021-03-26 01:32:13,4.895,4.92,4.89,4.89,8987
2021-03-26 01:32:14,4.92,4.92,4.9,4.9,1235
2021-03-26 01:32:15,4.89,4.92,4.89,4.89,2070
2021-03-26 01:32:16,4.9,4.9,4.89,4.89,6863
2021-03-26 01:32:17,4.9,4.905,4.9,4.9,1311
2021-03-26 01:32:18,4.9001,4.91,4.9,4.9,982
2021-03-26 01:32:19,4.91,4.92,4.89,4.92,6328
2021-03-26 01:32:20,4.905,4.92,4.905,4.92,3919
2021-03-26 01:32:21,4.9187,4.92,4.891,4.9,2250
2021-03-26 01:32:22,4.92,4.93,4.9187,4.9187,933
2021-03-26 01:32:23,4.92,4.9399,4.92,4.9398,5600
2021-03-26 01:32:24,4.9399,4.9399,4.92,4.93,805
2021-03-26 01:32:25,4.9399,4.9399,4.9201,4.93,550
2021-03-26 01:32:26,4.9399,4.9399,4.93,4.93,1814
2021-03-26 01:32:27,4.939,4.95,4.9295,4.95,3614
2021-03-26 01:32:28,4.95,4.96,4.93,4.9554,1446
2021-03-26 01:32:29,4.96,4.99,4.93,4.99,12449
2021-03-26 01:32:30,4.99,5,4.97,4.9899,14697
2021-03-26 01:32:31,4.99,5.03,4.99,5.0274,27229
2021-03-26 01:32:32,5.025,5.03,5.02,5.03,7434
2021-03-26 01:32:33,5.03,5.05,5.01,5.05,14406
2021-03-26 01:32:34,5.045,5.06,5.02,5.06,3808
2021-03-26 01:32:35,5.045,5.08,5.03,5.065,4722
2021-03-26 01:32:36,5.08,5.08,5.03,5.062,4021
2021-03-26 01:32:37,5.07,5.08,5.0556,5.0556,14674
2021-03-26 01:32:38,5.08,5.08,5.049,5.0782,7266
2021-03-26 01:32:39,5.08,5.2,5.08,5.1996,16078
2021-03-26 01:32:40,5.19,5.2,5.08,5.1601,5049
2021-03-26 01:32:41,5.17,5.2,5.16,5.16,5935
2021-03-26 01:32:42,5.15,5.17,5.1266,5.17,3702
2021-03-26 01:32:43,5.17,5.17,5.1001,5.16,6796
2021-03-26 01:32:44,5.135,5.17,5.135,5.16,2254
2021-03-26 01:32:45,5.13,5.16,5.1001,5.15,4801
2021-03-26 01:32:46,5.125,5.16,5.1105,5.1105,5010
2021-03-26 01:32:47,5.115,5.15,5.11,5.11,2748
2021-03-26 01:32:48,5.11,5.15,5.11,5.1254,4657
2021-03-26 01:32:49,5.1201,5.1211,5.08,5.09,3676
2021-03-26 01:32:50,5.0885,5.12,5.08,5.1199,3289
2021-03-26 01:32:51,5.12,5.15,5.1,5.14,6300
2021-03-26 01:32:52,5.1499,5.15,5.12,5.12,6368
2021-03-26 01:32:53,5.12,5.12,5.08,5.09,3352
2021-03-26 01:32:54,5.1149,5.15,5.0903,5.12,6920
2021-03-26 01:32:55,5.0981,5.15,5.09,5.12,5357
2021-03-26 01:32:56,5.0901,5.1432,5.0901,5.12,1860
2021-03-26 01:32:57,5.1161,5.1161,5.1,5.1,2626
2021-03-26 01:32:58,5.085,5.12,5.05,5.09,29262
2021-03-26 01:32:59,5.05,5.11,5.02,5.1,3326
2021-03-26 01:33:00,5.07,5.0943,5.02,5.02,7324
2021-03-26 01:33:01,5.0845,5.09,5.01,5.01,4242
2021-03-26 01:33:02,5.0799,5.0799,4.95,5,7501
2021-03-26 01:33:03,4.9576,5.015,4.93,4.93,3926
2021-03-26 01:33:04,4.9301,4.9898,4.93,4.93,4815
2021-03-26 01:33:05,4.93,4.93,4.89,4.89,5160
2021-03-26 01:33:06,4.89,4.9294,4.89,4.9294,6133
2021-03-26 01:33:07,4.915,4.93,4.89,4.895,6128
2021-03-26 01:33:08,4.91,4.93,4.895,4.91,2525
2021-03-26 01:33:09,4.93,4.93,4.89,4.91,2900
2021-03-26 01:33:10,4.93,4.98,4.9,4.9,3340
2021-03-26 01:33:11,4.925,4.98,4.925,4.93,4955
2021-03-26 01:33:12,4.9854,4.9854,4.93,4.93,520
2021-03-26 01:33:13,4.97,4.99,4.959,4.9899,3039
2021-03-26 01:33:14,4.94,4.94,4.92,4.92,2653
2021-03-26 01:33:15,4.9665,4.9899,4.89,4.89,6318
2021-03-26 01:33:16,4.89,4.945,4.89,4.945,510
2021-03-26 01:33:18,4.965,4.965,4.965,4.965,2128
