Date,Open,High,Low,Close,Volume
2021-03-26 01:30:19,1.27,1.27,1.27,1.27,6771
2021-03-26 01:30:20,1.27,1.27,1.27,1.27,3325
2021-03-26 01:30:21,1.27,1.2799,1.27,1.2799,8600
2021-03-26 01:30:22,1.2725,1.275,1.27,1.27,9450
2021-03-26 01:30:23,1.27,1.275,1.27,1.27,25401
2021-03-26 01:30:24,1.27,1.28,1.27,1.27,12510
2021-03-26 01:30:25,1.27,1.275,1.27,1.27,12929
2021-03-26 01:30:26,1.27,1.27,1.24,1.24,97202
2021-03-26 01:30:27,1.245,1.25,1.24,1.2492,18718
2021-03-26 01:30:28,1.24,1.2499,1.24,1.24,4603
2021-03-26 01:30:29,1.2499,1.2499,1.2499,1.2499,100
2021-03-26 01:30:30,1.2461,1.255,1.2461,1.25,9172
2021-03-26 01:30:31,1.2599,1.2599,1.2599,1.2599,472
2021-03-26 01:30:33,1.255,1.255,1.25,1.25,518
2021-03-26 01:30:34,1.25,1.2599,1.25,1.259,2693
2021-03-26 01:30:35,1.255,1.27,1.24,1.24,74301
2021-03-26 01:30:36,1.2499,1.2499,1.24,1.24,15061
2021-03-26 01:30:37,1.2499,1.2499,1.24,1.245,2100
2021-03-26 01:30:38,1.2492,1.2492,1.2492,1.2492,335
2021-03-26 01:30:39,1.245,1.25,1.245,1.25,800
2021-03-26 01:30:41,1.245,1.25,1.245,1.2482,700
2021-03-26 01:30:42,1.245,1.25,1.245,1.25,881
2021-03-26 01:30:43,1.245,1.25,1.245,1.25,1900
2021-03-26 01:30:44,1.24,1.25,1.24,1.25,1250
2021-03-26 01:30:45,1.245,1.255,1.245,1.25,14856
2021-03-26 01:30:46,1.255,1.255,1.255,1.255,102
2021-03-26 01:30:47,1.2521,1.2557,1.2521,1.2522,497
2021-03-26 01:30:49,1.2599,1.2599,1.255,1.255,2217
2021-03-26 01:30:50,1.2585,1.2585,1.255,1.255,1341
2021-03-26 01:30:51,1.25,1.25,1.25,1.25,1102
2021-03-26 01:30:52,1.25,1.26,1.25,1.25,7930
2021-03-26 01:30:53,1.25,1.2502,1.25,1.2502,1000
2021-03-26 01:30:54,1.25,1.2598,1.24,1.24,26344
2021-03-26 01:30:55,1.25,1.25,1.25,1.25,407
2021-03-26 01:30:56,1.245,1.245,1.245,1.245,500
2021-03-26 01:30:59,1.245,1.25,1.24,1.245,8031
2021-03-26 01:31:00,1.2499,1.25,1.24,1.24,17130
2021-03-26 01:31:01,1.2462,1.2462,1.24,1.24,10385
2021-03-26 01:31:02,1.24,1.245,1.23,1.23,14152
2021-03-26 01:31:03,1.2389,1.2389,1.23,1.23,2350
2021-03-26 01:31:04,1.23,1.23,1.23,1.23,420
2021-03-26 01:31:05,1.2302,1.235,1.23,1.23,5300
2021-03-26 01:31:06,1.2389,1.2389,1.23,1.23,11127
2021-03-26 01:31:07,1.235,1.235,1.23,1.23,5400
2021-03-26 01:31:08,1.23,1.23,1.23,1.23,400
2021-03-26 01:31:09,1.23,1.23,1.23,1.23,100
2021-03-26 01:31:10,1.23,1.231,1.23,1.23,5781
2021-03-26 01:31:11,1.23,1.2399,1.23,1.23,700
2021-03-26 01:31:12,1.23,1.23,1.23,1.23,7700
2021-03-26 01:31:13,1.23,1.235,1.23,1.23,317
2021-03-26 01:31:14,1.23,1.2399,1.23,1.2399,2805
2021-03-26 01:31:15,1.23,1.24,1.23,1.23,23178
2021-03-26 01:31:16,1.23,1.23,1.23,1.23,305
2021-03-26 01:31:17,1.23,1.23,1.23,1.23,6000
2021-03-26 01:31:18,1.23,1.23,1.23,1.23,1100
2021-03-26 01:31:19,1.23,1.24,1.23,1.24,1510
2021-03-26 01:31:20,1.24,1.24,1.235,1.235,208
2021-03-26 01:31:21,1.2335,1.2335,1.23,1.23,1714
2021-03-26 01:31:22,1.23,1.23,1.23,1.23,5767
2021-03-26 01:31:23,1.2312,1.2312,1.23,1.23,1186
2021-03-26 01:31:24,1.23,1.23,1.23,1.23,1100
2021-03-26 01:31:25,1.23,1.23,1.23,1.23,100
2021-03-26 01:31:26,1.23,1.23,1.23,1.23,246
2021-03-26 01:31:27,1.23,1.24,1.23,1.23,8381
2021-03-26 01:31:28,1.23,1.23,1.23,1.23,1101
2021-03-26 01:31:29,1.23,1.23,1.23,1.23,1870
2021-03-26 01:31:30,1.23,1.23,1.23,1.23,200
2021-03-26 01:31:31,1.2377,1.2377,1.23,1.23,9272
2021-03-26 01:31:32,1.23,1.23,1.23,1.23,100
2021-03-26 01:31:33,1.23,1.23,1.22,1.22,6851
2021-03-26 01:31:34,1.225,1.225,1.22,1.22,299
2021-03-26 01:31:35,1.2291,1.2291,1.22,1.22,3525
2021-03-26 01:31:36,1.22,1.2261,1.22,1.2261,509
2021-03-26 01:31:37,1.22,1.22,1.22,1.22,1100
2021-03-26 01:31:38,1.22,1.22,1.22,1.22,7200
2021-03-26 01:31:39,1.22,1.22,1.22,1.22,1350
2021-03-26 01:31:40,1.22,1.22,1.22,1.22,3357
2021-03-26 01:31:41,1.22,1.22,1.22,1.22,700
2021-03-26 01:31:42,1.23,1.23,1.21,1.21,45385
2021-03-26 01:31:43,1.22,1.22,1.22,1.22,369
2021-03-26 01:31:44,1.21,1.21,1.21,1.21,1877
2021-03-26 01:31:45,1.2113,1.2113,1.2113,1.2113,260
