Date,Open,High,Low,Close,Volume
2021-03-26 01:30:19,2.3801,2.3801,2.3801,2.3801,380
2021-03-26 01:30:20,2.3804,2.39,2.3801,2.385,21206
2021-03-26 01:30:24,2.3899,2.3899,2.3899,2.3899,3003
2021-03-26 01:30:25,2.385,2.39,2.385,2.39,1200
2021-03-26 01:30:26,2.39,2.39,2.38,2.38,770
2021-03-26 01:30:27,2.381,2.385,2.381,2.385,1401
2021-03-26 01:30:32,2.385,2.385,2.385,2.385,130
2021-03-26 01:30:33,2.3899,2.3899,2.3893,2.3893,3080
2021-03-26 01:30:36,2.3801,2.385,2.3801,2.385,491
2021-03-26 01:30:37,2.3801,2.3801,2.3801,2.3801,100
2021-03-26 01:30:39,2.3887,2.3887,2.3887,2.3887,850
2021-03-26 01:30:40,2.38,2.39,2.37,2.37,18184
2021-03-26 01:30:41,2.379,2.379,2.37,2.37,2192
2021-03-26 01:30:42,2.3799,2.3799,2.3799,2.3799,500
2021-03-26 01:30:43,2.36,2.361,2.35,2.35,7778
2021-03-26 01:30:44,2.35,2.35,2.35,2.35,122
2021-03-26 01:30:46,2.35,2.35,2.35,2.35,1500
2021-03-26 01:30:47,2.35,2.35,2.34,2.34,5288
2021-03-26 01:30:48,2.33,2.33,2.33,2.33,3854
2021-03-26 01:30:49,2.34,2.34,2.335,2.34,908
2021-03-26 01:30:50,2.3301,2.3399,2.3301,2.3399,480
2021-03-26 01:30:51,2.33,2.33,2.33,2.33,1260
2021-03-26 01:30:52,2.33,2.3399,2.32,2.325,5310
2021-03-26 01:30:53,2.3283,2.3283,2.3283,2.3283,150
2021-03-26 01:30:54,2.3299,2.3299,2.321,2.321,1110
2021-03-26 01:30:55,2.3299,2.3299,2.3299,2.3299,342
2021-03-26 01:30:56,2.325,2.325,2.32,2.32,2000
2021-03-26 01:30:57,2.32,2.325,2.32,2.325,717
2021-03-26 01:30:59,2.3201,2.33,2.31,2.31,9349
2021-03-26 01:31:00,2.31,2.31,2.31,2.31,395
2021-03-26 01:31:01,2.32,2.32,2.31,2.31,11225
2021-03-26 01:31:02,2.3122,2.3122,2.3101,2.3101,1500
2021-03-26 01:31:04,2.319,2.319,2.3101,2.311,2769
2021-03-26 01:31:07,2.3119,2.3138,2.31,2.3101,5079
2021-03-26 01:31:08,2.315,2.32,2.315,2.32,700
2021-03-26 01:31:09,2.315,2.315,2.31,2.31,1193
2021-03-26 01:31:10,2.32,2.32,2.32,2.32,111
2021-03-26 01:31:11,2.315,2.3199,2.31,2.31,1360
2021-03-26 01:31:12,2.315,2.32,2.31,2.3187,8345
2021-03-26 01:31:13,2.3101,2.3199,2.3101,2.3199,1118
2021-03-26 01:31:14,2.31,2.3101,2.31,2.3101,600
2021-03-26 01:31:15,2.315,2.315,2.31,2.315,3835
2021-03-26 01:31:17,2.3123,2.32,2.3101,2.3101,4849
2021-03-26 01:31:18,2.315,2.315,2.3101,2.3101,1042
2021-03-26 01:31:19,2.3119,2.3119,2.3119,2.3119,448
2021-03-26 01:31:22,2.3199,2.3199,2.3199,2.3199,510
2021-03-26 01:31:23,2.3199,2.3199,2.3199,2.3199,2510
2021-03-26 01:31:24,2.315,2.32,2.31,2.32,20687
2021-03-26 01:31:25,2.32,2.32,2.3101,2.3101,1700
2021-03-26 01:31:26,2.3101,2.3194,2.3101,2.3101,5620
2021-03-26 01:31:27,2.315,2.32,2.315,2.315,3673
2021-03-26 01:31:28,2.315,2.3188,2.315,2.3188,1460
2021-03-26 01:31:29,2.315,2.3199,2.315,2.3199,700
2021-03-26 01:31:31,2.3191,2.3191,2.315,2.315,3527
2021-03-26 01:31:32,2.3101,2.3101,2.3101,2.3101,1011
2021-03-26 01:31:33,2.3101,2.3101,2.3101,2.3101,100
2021-03-26 01:31:34,2.3101,2.315,2.3101,2.315,2000
2021-03-26 01:31:35,2.315,2.315,2.31,2.315,448
2021-03-26 01:31:36,2.3199,2.3199,2.31,2.31,8210
2021-03-26 01:31:39,2.3101,2.315,2.31,2.3101,740
2021-03-26 01:31:40,2.3101,2.3101,2.3101,2.3101,350
2021-03-26 01:31:41,2.3199,2.3199,2.31,2.315,3040
2021-03-26 01:31:42,2.3106,2.315,2.31,2.3101,10602
2021-03-26 01:31:44,2.315,2.3192,2.315,2.3192,2459
2021-03-26 01:31:45,2.3113,2.3113,2.3113,2.3113,879
2021-03-26 01:31:47,2.315,2.315,2.315,2.315,503
2021-03-26 01:31:48,2.31,2.3127,2.31,2.31,3016
2021-03-26 01:31:49,2.32,2.32,2.31,2.31,13010
2021-03-26 01:31:50,2.31,2.32,2.31,2.3127,9917
2021-03-26 01:31:51,2.31,2.31,2.31,2.31,997
2021-03-26 01:31:52,2.32,2.32,2.3101,2.315,1300
2021-03-26 01:31:53,2.315,2.315,2.31,2.31,5000
2021-03-26 01:31:54,2.3105,2.3105,2.31,2.31,205
2021-03-26 01:31:55,2.31,2.3101,2.31,2.31,4700
2021-03-26 01:31:56,2.31,2.3101,2.31,2.31,10100
2021-03-26 01:31:57,2.315,2.32,2.315,2.32,1005
2021-03-26 01:31:59,2.319,2.319,2.31,2.31,2100
2021-03-26 01:32:00,2.315,2.315,2.315,2.315,600
2021-03-26 01:32:01,2.3101,2.3101,2.31,2.31,3700
2021-03-26 01:32:02,2.315,2.315,2.315,2.315,180
2021-03-26 01:32:03,2.32,2.32,2.3102,2.3102,2030
2021-03-26 01:32:04,2.315,2.315,2.3125,2.3125,400
2021-03-26 01:32:07,2.3101,2.313,2.3101,2.313,951
2021-03-26 01:32:08,2.315,2.315,2.31,2.315,3266
2021-03-26 01:32:09,2.31,2.31,2.31,2.31,1000
2021-03-26 01:32:11,2.315,2.315,2.31,2.31,2244
2021-03-26 01:32:12,2.32,2.32,2.315,2.315,500
2021-03-26 01:32:14,2.31,2.31,2.31,2.31,1540
2021-03-26 01:32:15,2.31,2.31,2.31,2.31,8284
2021-03-26 01:32:16,2.31,2.31,2.3,2.3,8360
2021-03-26 01:32:17,2.31,2.31,2.3,2.3,6080
2021-03-26 01:32:18,2.3,2.307,2.3,2.307,2400
2021-03-26 01:32:20,2.3,2.3,2.29,2.3,13036
2021-03-26 01:32:21,2.3,2.3,2.28,2.2801,11830
2021-03-26 01:32:22,2.28,2.285,2.28,2.285,2400
2021-03-26 01:32:23,2.29,2.29,2.275,2.275,23512
2021-03-26 01:32:24,2.28,2.28,2.28,2.28,503
2021-03-26 01:32:25,2.27,2.28,2.27,2.27,7104
2021-03-26 01:32:26,2.28,2.28,2.28,2.28,661
2021-03-26 01:32:27,2.28,2.28,2.27,2.27,23598
2021-03-26 01:32:29,2.27,2.27,2.27,2.27,567
2021-03-26 01:32:31,2.27,2.2799,2.27,2.27,6292
2021-03-26 01:32:32,2.27,2.27,2.27,2.27,500
2021-03-26 01:32:33,2.2701,2.2701,2.27,2.27,1124
2021-03-26 01:32:34,2.2701,2.2701,2.27,2.27,500
2021-03-26 01:32:35,2.275,2.275,2.27,2.27,1515
2021-03-26 01:32:37,2.275,2.2773,2.27,2.27,5265
2021-03-26 01:32:38,2.27,2.2701,2.27,2.27,4840
2021-03-26 01:32:39,2.27,2.28,2.27,2.27,2243
2021-03-26 01:32:40,2.26,2.27,2.26,2.27,3050
2021-03-26 01:32:41,2.2699,2.27,2.26,2.26,1707
2021-03-26 01:32:43,2.2699,2.27,2.26,2.2601,5498
2021-03-26 01:32:44,2.26,2.26,2.25,2.255,11740
2021-03-26 01:32:46,2.255,2.26,2.255,2.26,21040
2021-03-26 01:32:47,2.26,2.2701,2.26,2.2701,38200
2021-03-26 01:32:48,2.28,2.29,2.26,2.29,36762
2021-03-26 01:32:49,2.2863,2.29,2.28,2.29,5725
2021-03-26 01:32:50,2.29,2.295,2.29,2.29,3000
2021-03-26 01:32:51,2.2916,2.2916,2.29,2.29,1400
2021-03-26 01:32:52,2.298,2.298,2.2901,2.2901,784
2021-03-26 01:32:53,2.293,2.2999,2.29,2.29,6775
2021-03-26 01:32:54,2.29,2.29,2.29,2.29,1096
2021-03-26 01:32:55,2.2832,2.2832,2.28,2.28,2200
2021-03-26 01:32:57,2.29,2.29,2.285,2.2899,3000
2021-03-26 01:32:58,2.28,2.2886,2.28,2.2886,1461
2021-03-26 01:32:59,2.29,2.29,2.2899,2.2899,4005
2021-03-26 01:33:00,2.2801,2.29,2.2801,2.29,13119
2021-03-26 01:33:01,2.3,2.3,2.3,2.3,3223
2021-03-26 01:33:02,2.295,2.3,2.295,2.3,10010
2021-03-26 01:33:03,2.3,2.3,2.2976,2.299,1081
2021-03-26 01:33:04,2.295,2.3,2.2901,2.3,2807
2021-03-26 01:33:05,2.295,2.295,2.295,2.295,808
2021-03-26 01:33:06,2.3,2.3099,2.3,2.305,8281
2021-03-26 01:33:07,2.31,2.31,2.3001,2.3089,5168
2021-03-26 01:33:08,2.31,2.31,2.3001,2.31,12722
2021-03-26 01:33:09,2.3001,2.31,2.3001,2.3082,12003
2021-03-26 01:33:10,2.3,2.31,2.3,2.31,3984
2021-03-26 01:33:11,2.3,2.31,2.3,2.3082,7000
2021-03-26 01:33:12,2.31,2.31,2.3075,2.3099,12500
2021-03-26 01:33:13,2.3058,2.31,2.3,2.3,18397
2021-03-26 01:33:14,2.31,2.31,2.3078,2.3099,8075
2021-03-26 01:33:15,2.31,2.31,2.3001,2.31,3608
2021-03-26 01:33:16,2.3001,2.3001,2.3001,2.3001,3132
2021-03-26 01:33:17,2.31,2.31,2.3001,2.31,6300
2021-03-26 01:33:18,2.31,2.31,2.3098,2.3099,10630
2021-03-26 01:33:19,2.31,2.31,2.3082,2.3082,10953
2021-03-26 01:33:20,2.31,2.31,2.31,2.31,1314
2021-03-26 01:33:21,2.3014,2.31,2.3,2.3,5077
2021-03-26 01:33:22,2.3001,2.3001,2.3,2.3,2500
2021-03-26 01:33:23,2.3,2.307,2.3,2.3001,11065
2021-03-26 01:33:24,2.305,2.31,2.3001,2.3043,3820
2021-03-26 01:33:25,2.3006,2.31,2.3006,2.31,9530
2021-03-26 01:33:26,2.31,2.31,2.3001,2.3001,1571
2021-03-26 01:33:27,2.31,2.31,2.3086,2.3086,11900
2021-03-26 01:33:28,2.31,2.31,2.3005,2.3005,2802
2021-03-26 01:33:29,2.31,2.31,2.3098,2.3098,634
2021-03-26 01:33:30,2.3001,2.3001,2.3,2.3,5928
2021-03-26 01:33:31,2.3058,2.31,2.3001,2.3099,10140
2021-03-26 01:33:32,2.3001,2.31,2.3001,2.31,1185
2021-03-26 01:33:34,2.31,2.31,2.3058,2.31,747
2021-03-26 01:33:36,2.3001,2.31,2.3001,2.31,505
2021-03-26 01:33:38,2.3001,2.305,2.29,2.29,15757
2021-03-26 01:33:39,2.299,2.3,2.2901,2.2901,3535
2021-03-26 01:33:40,2.2901,2.2978,2.29,2.29,17100
2021-03-26 01:33:41,2.2901,2.295,2.29,2.2901,12905
2021-03-26 01:33:42,2.29,2.29,2.28,2.28,21900
2021-03-26 01:33:43,2.28,2.28,2.27,2.27,12930
2021-03-26 01:33:44,2.273,2.275,2.26,2.2603,4201
2021-03-26 01:33:46,2.265,2.27,2.26,2.26,5430
2021-03-26 01:33:47,2.2601,2.2601,2.2601,2.2601,1000
2021-03-26 01:33:48,2.2601,2.2601,2.26,2.26,1063
2021-03-26 01:33:49,2.26,2.26,2.26,2.26,291
2021-03-26 01:33:50,2.26,2.265,2.26,2.265,1010
2021-03-26 01:33:51,2.26,2.26,2.26,2.26,615
2021-03-26 01:33:53,2.265,2.265,2.265,2.265,806
2021-03-26 01:33:54,2.2692,2.2697,2.26,2.26,4910
2021-03-26 01:33:55,2.265,2.27,2.265,2.27,5175
2021-03-26 01:33:56,2.2641,2.2641,2.2601,2.2601,516
2021-03-26 01:33:57,2.2601,2.27,2.2601,2.27,720
2021-03-26 01:33:58,2.27,2.27,2.265,2.27,5482
2021-03-26 01:33:59,2.27,2.27,2.27,2.27,2320
2021-03-26 01:34:00,2.2799,2.2799,2.27,2.27,1150
2021-03-26 01:34:01,2.28,2.28,2.275,2.275,7349
2021-03-26 01:34:02,2.28,2.3,2.28,2.2831,46425
2021-03-26 01:34:03,2.296,2.296,2.296,2.296,200
2021-03-26 01:34:05,2.29,2.29,2.2802,2.29,650
2021-03-26 01:34:06,2.295,2.2999,2.295,2.2999,800
2021-03-26 01:34:07,2.29,2.29,2.29,2.29,110
2021-03-26 01:34:08,2.2901,2.3,2.29,2.3,7276
2021-03-26 01:34:09,2.295,2.295,2.295,2.295,4400
2021-03-26 01:34:10,2.2999,2.2999,2.2999,2.2999,100
2021-03-26 01:34:13,2.2901,2.3,2.2901,2.2901,6877
2021-03-26 01:34:14,2.2901,2.2901,2.2901,2.2901,500
2021-03-26 01:34:15,2.3,2.3,2.29,2.3,2303
2021-03-26 01:34:16,2.295,2.3,2.2901,2.2998,5100
2021-03-26 01:34:17,2.2923,2.295,2.2923,2.295,400
2021-03-26 01:34:18,2.3,2.3,2.2902,2.2902,400
2021-03-26 01:34:23,2.2901,2.2901,2.2901,2.2901,507
2021-03-26 01:34:25,2.29,2.29,2.29,2.29,131
2021-03-26 01:34:26,2.295,2.295,2.295,2.295,1307
2021-03-26 01:34:27,2.3,2.3,2.2997,2.2997,405
2021-03-26 01:34:28,2.2901,2.2901,2.2901,2.2901,330
