Date,Open,High,Low,Close,Volume
2021-03-30 01:30:45,6.3,6.3,6.28,6.3,2609
2021-03-30 01:30:46,6.2905,6.31,6.2464,6.2464,2566
2021-03-30 01:30:48,6.276,6.276,6.2401,6.2401,985
2021-03-30 01:30:51,6.28,6.28,6.2709,6.2709,201
2021-03-30 01:30:52,6.28,6.28,6.2715,6.2715,679
2021-03-30 01:30:53,6.27,6.28,6.2005,6.2005,900
2021-03-30 01:30:55,6.2088,6.22,6.2088,6.22,437
2021-03-30 01:30:57,6.28,6.28,6.28,6.28,200
2021-03-30 01:30:58,6.2718,6.2718,6.2718,6.2718,502
2021-03-30 01:30:59,6.256,6.256,6.256,6.256,525
2021-03-30 01:31:00,6.239,6.239,6.239,6.239,100
2021-03-30 01:31:01,6.2105,6.2105,6.2105,6.2105,420
2021-03-30 01:31:02,6.25,6.25,6.25,6.25,209
2021-03-30 01:31:03,6.24,6.24,6.23,6.23,3170
2021-03-30 01:31:04,6.2201,6.2201,6.2201,6.2201,867
2021-03-30 01:31:05,6.24,6.24,6.24,6.24,150
2021-03-30 01:31:07,6.21,6.21,6.21,6.21,3034
2021-03-30 01:31:08,6.218,6.23,6.218,6.23,427
2021-03-30 01:31:09,6.235,6.235,6.235,6.235,1052
2021-03-30 01:31:11,6.2101,6.215,6.2101,6.215,1100
2021-03-30 01:31:13,6.2101,6.2101,6.2101,6.2101,569
2021-03-30 01:31:14,6.22,6.23,6.2101,6.2101,3985
2021-03-30 01:31:15,6.2175,6.23,6.2175,6.2215,1121
2021-03-30 01:31:16,6.2215,6.2215,6.2215,6.2215,100
2021-03-30 01:31:17,6.225,6.2294,6.21,6.21,1337
2021-03-30 01:31:18,6.2105,6.23,6.2105,6.23,1020
2021-03-30 01:31:20,6.25,6.26,6.25,6.26,1140
2021-03-30 01:31:21,6.3,6.3,6.3,6.3,1089
2021-03-30 01:31:22,6.3,6.3,6.3,6.3,866
2021-03-30 01:31:23,6.309,6.33,6.3,6.33,1564
2021-03-30 01:31:24,6.2601,6.33,6.2601,6.33,3094
2021-03-30 01:31:26,6.33,6.33,6.32,6.3294,900
2021-03-30 01:31:28,6.2601,6.2601,6.2601,6.2601,2041
2021-03-30 01:31:29,6.295,6.295,6.295,6.295,302
2021-03-30 01:31:31,6.295,6.3,6.295,6.2955,553
2021-03-30 01:31:32,6.2701,6.28,6.2701,6.28,300
2021-03-30 01:31:34,6.29,6.29,6.2701,6.28,2176
2021-03-30 01:31:35,6.27,6.27,6.26,6.26,750
2021-03-30 01:31:36,6.25,6.2984,6.25,6.2984,1558
2021-03-30 01:31:40,6.3,6.3,6.3,6.3,160
2021-03-30 01:31:42,6.2501,6.2501,6.2501,6.2501,100
2021-03-30 01:31:43,6.255,6.255,6.255,6.255,1176
2021-03-30 01:31:44,6.28,6.29,6.25,6.25,1750
2021-03-30 01:31:45,6.3,6.3,6.29,6.3,8070
2021-03-30 01:31:48,6.3,6.3,6.3,6.3,126
2021-03-30 01:31:50,6.3,6.3,6.26,6.26,6222
2021-03-30 01:31:51,6.2952,6.2952,6.2952,6.2952,151
2021-03-30 01:31:52,6.2601,6.2601,6.2601,6.2601,121
2021-03-30 01:31:54,6.265,6.265,6.265,6.265,1033
2021-03-30 01:31:57,6.26,6.27,6.26,6.27,1791
2021-03-30 01:31:58,6.26,6.26,6.26,6.26,508
2021-03-30 01:31:59,6.26,6.265,6.233,6.265,1840
2021-03-30 01:32:00,6.26,6.26,6.26,6.26,725
2021-03-30 01:32:02,6.28,6.28,6.26,6.26,531
2021-03-30 01:32:03,6.2507,6.2507,6.2507,6.2507,1042
2021-03-30 01:32:04,6.2488,6.2488,6.2488,6.2488,498
2021-03-30 01:32:05,6.27,6.29,6.2405,6.29,1059
2021-03-30 01:32:13,6.29,6.29,6.29,6.29,334
