Date,Open,High,Low,Close,Volume
2021-03-30 01:30:45,4.63,4.64,4.62,4.6237,14485
2021-03-30 01:30:46,4.64,4.65,4.63,4.64,25270
2021-03-30 01:30:47,4.6499,4.66,4.645,4.6599,24589
2021-03-30 01:30:48,4.65,4.67,4.64,4.6599,22862
2021-03-30 01:30:49,4.65,4.66,4.63,4.63,13169
2021-03-30 01:30:50,4.64,4.6563,4.63,4.635,11581
2021-03-30 01:30:51,4.6379,4.65,4.62,4.62,11767
2021-03-30 01:30:52,4.61,4.64,4.61,4.61,12960
2021-03-30 01:30:53,4.62,4.6475,4.6,4.63,10252
2021-03-30 01:30:54,4.6299,4.6299,4.57,4.57,34000
2021-03-30 01:30:55,4.58,4.5878,4.56,4.56,17238
2021-03-30 01:30:56,4.56,4.57,4.56,4.56,14225
2021-03-30 01:30:57,4.56,4.58,4.55,4.5789,6342
2021-03-30 01:30:58,4.56,4.57,4.55,4.57,3621
2021-03-30 01:30:59,4.5799,4.58,4.56,4.58,12719
2021-03-30 01:31:00,4.575,4.6,4.57,4.6,13094
2021-03-30 01:31:01,4.59,4.6,4.58,4.5996,8833
2021-03-30 01:31:02,4.6,4.6,4.59,4.5997,10593
2021-03-30 01:31:03,4.59,4.6,4.5764,4.58,49311
2021-03-30 01:31:04,4.57,4.593,4.55,4.5699,19919
2021-03-30 01:31:05,4.55,4.58,4.54,4.55,21525
2021-03-30 01:31:06,4.55,4.5637,4.54,4.56,14211
2021-03-30 01:31:07,4.55,4.57,4.55,4.56,16738
2021-03-30 01:31:08,4.56,4.56,4.55,4.555,5601
2021-03-30 01:31:09,4.5501,4.5585,4.54,4.555,6537
2021-03-30 01:31:10,4.56,4.56,4.55,4.55,1972
2021-03-30 01:31:11,4.555,4.56,4.49,4.49,56102
2021-03-30 01:31:12,4.49,4.5076,4.46,4.4811,19318
2021-03-30 01:31:13,4.4805,4.53,4.46,4.4701,25067
2021-03-30 01:31:14,4.479,4.5,4.47,4.48,16248
2021-03-30 01:31:15,4.48,4.5,4.455,4.489,19559
2021-03-30 01:31:16,4.4819,4.49,4.48,4.49,2866
2021-03-30 01:31:17,4.495,4.54,4.49,4.54,10120
2021-03-30 01:31:18,4.55,4.55,4.53,4.5394,6503
2021-03-30 01:31:19,4.5362,4.54,4.5001,4.5001,15546
2021-03-30 01:31:20,4.5199,4.52,4.5,4.51,3493
2021-03-30 01:31:21,4.52,4.55,4.5172,4.55,34062
2021-03-30 01:31:22,4.557,4.58,4.551,4.56,16612
2021-03-30 01:31:23,4.565,4.59,4.56,4.59,27741
2021-03-30 01:31:24,4.5899,4.63,4.58,4.63,33397
2021-03-30 01:31:25,4.63,4.66,4.62,4.66,25712
2021-03-30 01:31:26,4.6504,4.67,4.65,4.6681,25496
2021-03-30 01:31:27,4.67,4.7,4.6601,4.7,102995
2021-03-30 01:31:28,4.6978,4.74,4.69,4.7,115519
2021-03-30 01:31:29,4.7,4.75,4.7,4.7184,50476
2021-03-30 01:31:30,4.73,4.73,4.68,4.69,19454
2021-03-30 01:31:31,4.69,4.71,4.67,4.6802,27958
2021-03-30 01:31:32,4.68,4.69,4.66,4.67,14899
2021-03-30 01:31:33,4.6762,4.6888,4.65,4.66,42917
2021-03-30 01:31:34,4.68,4.68,4.65,4.66,16560
2021-03-30 01:31:35,4.6799,4.68,4.65,4.65,13949
2021-03-30 01:31:36,4.6541,4.6671,4.65,4.65,10612
2021-03-30 01:31:37,4.65,4.6563,4.64,4.64,16140
2021-03-30 01:31:38,4.64,4.65,4.63,4.64,5881
2021-03-30 01:31:39,4.64,4.6499,4.63,4.63,13803
2021-03-30 01:31:40,4.63,4.66,4.63,4.65,37404
2021-03-30 01:31:41,4.65,4.7199,4.65,4.71,29540
2021-03-30 01:31:42,4.7,4.73,4.651,4.73,20797
2021-03-30 01:31:43,4.72,4.73,4.69,4.7294,43351
2021-03-30 01:31:44,4.73,4.73,4.69,4.73,35444
2021-03-30 01:31:45,4.72,4.74,4.72,4.7301,51546
2021-03-30 01:31:46,4.74,4.75,4.71,4.7499,52516
2021-03-30 01:31:47,4.74,4.77,4.74,4.7611,55012
2021-03-30 01:31:48,4.76,4.77,4.7101,4.72,82274
2021-03-30 01:31:49,4.7295,4.74,4.67,4.68,54581
2021-03-30 01:31:50,4.6822,4.7,4.65,4.66,40661
2021-03-30 01:31:51,4.6691,4.686,4.66,4.685,11336
2021-03-30 01:31:52,4.69,4.72,4.68,4.71,46647
2021-03-30 01:31:53,4.72,4.72,4.7,4.705,25356
2021-03-30 01:31:54,4.7038,4.72,4.67,4.68,32595
2021-03-30 01:31:55,4.686,4.7037,4.67,4.685,11067
2021-03-30 01:31:56,4.68,4.7,4.68,4.69,23449
2021-03-30 01:31:57,4.6999,4.71,4.68,4.7,12154
2021-03-30 01:31:58,4.7,4.71,4.69,4.7,13335
2021-03-30 01:31:59,4.71,4.71,4.69,4.7,23821
2021-03-30 01:32:00,4.69,4.7,4.68,4.68,20165
2021-03-30 01:32:01,4.68,4.69,4.67,4.68,31683
2021-03-30 01:32:02,4.6803,4.69,4.66,4.66,28040
2021-03-30 01:32:03,4.68,4.68,4.66,4.6688,13443
2021-03-30 01:32:04,4.67,4.67,4.65,4.6502,17691
2021-03-30 01:32:05,4.65,4.6587,4.56,4.589,64190
2021-03-30 01:32:06,4.56,4.65,4.56,4.65,59246
2021-03-30 01:32:07,4.63,4.65,4.61,4.64,19755
2021-03-30 01:32:08,4.63,4.64,4.62,4.64,16371
2021-03-30 01:32:09,4.64,4.66,4.62,4.62,20921
2021-03-30 01:32:10,4.62,4.64,4.62,4.6392,7075
2021-03-30 01:32:11,4.64,4.64,4.61,4.63,15261
2021-03-30 01:32:12,4.63,4.64,4.62,4.621,16376
2021-03-30 01:32:13,4.6378,4.7,4.62,4.6892,68812
2021-03-30 01:32:14,4.6873,4.69,4.66,4.6899,12645
2021-03-30 01:32:15,4.6702,4.69,4.66,4.6779,18889
2021-03-30 01:32:16,4.67,4.68,4.66,4.67,8161
2021-03-30 01:32:17,4.6701,4.69,4.6701,4.68,6367
2021-03-30 01:32:18,4.6899,4.69,4.68,4.69,7626
2021-03-30 01:32:19,4.7,4.7,4.66,4.69,58768
2021-03-30 01:32:20,4.69,4.69,4.66,4.67,11956
2021-03-30 01:32:21,4.661,4.67,4.65,4.65,8972
2021-03-30 01:32:22,4.66,4.66,4.65,4.6599,6756
