Date,Open,High,Low,Close,Volume
2021-03-30 01:30:45,1.83,1.83,1.83,1.83,429
2021-03-30 01:30:46,1.83,1.83,1.83,1.83,582
2021-03-30 01:30:49,1.82,1.8201,1.82,1.8201,6590
2021-03-30 01:30:50,1.82,1.82,1.82,1.82,100
2021-03-30 01:30:51,1.829,1.829,1.829,1.829,170
2021-03-30 01:30:53,1.83,1.83,1.83,1.83,6456
2021-03-30 01:30:54,1.83,1.83,1.8297,1.8297,12350
2021-03-30 01:30:55,1.82,1.83,1.82,1.8297,7546
2021-03-30 01:30:56,1.83,1.83,1.8297,1.8297,2889
2021-03-30 01:30:58,1.83,1.83,1.82,1.82,1925
2021-03-30 01:31:00,1.8238,1.8238,1.8238,1.8238,100
2021-03-30 01:31:01,1.8286,1.8286,1.825,1.825,1301
2021-03-30 01:31:02,1.83,1.83,1.8205,1.83,3548
2021-03-30 01:31:03,1.83,1.83,1.829,1.83,7200
2021-03-30 01:31:04,1.829,1.829,1.82,1.8262,3339
2021-03-30 01:31:08,1.83,1.83,1.83,1.83,346
2021-03-30 01:31:09,1.83,1.83,1.83,1.83,5698
2021-03-30 01:31:10,1.83,1.83,1.8291,1.8291,1100
2021-03-30 01:31:13,1.829,1.829,1.829,1.829,501
2021-03-30 01:31:15,1.83,1.84,1.83,1.83,5982
2021-03-30 01:31:17,1.82,1.84,1.82,1.83,3302
2021-03-30 01:31:18,1.83,1.83,1.8239,1.8295,13824
2021-03-30 01:31:19,1.8243,1.83,1.8243,1.83,2700
2021-03-30 01:31:20,1.83,1.83,1.825,1.825,7000
2021-03-30 01:31:21,1.8261,1.83,1.82,1.82,897
2021-03-30 01:31:23,1.829,1.829,1.829,1.829,450
2021-03-30 01:31:24,1.83,1.83,1.8299,1.8299,8856
2021-03-30 01:31:25,1.83,1.83,1.8285,1.83,5871
2021-03-30 01:31:26,1.83,1.83,1.823,1.83,13010
2021-03-30 01:31:28,1.83,1.83,1.8299,1.8299,8000
2021-03-30 01:31:29,1.82,1.82,1.82,1.82,300
2021-03-30 01:31:31,1.8201,1.83,1.8201,1.825,5696
2021-03-30 01:31:32,1.8299,1.8299,1.82,1.8205,2652
2021-03-30 01:31:35,1.8259,1.829,1.821,1.821,379
2021-03-30 01:31:36,1.83,1.83,1.83,1.83,10700
2021-03-30 01:31:37,1.83,1.83,1.8297,1.83,5519
2021-03-30 01:31:38,1.83,1.83,1.8277,1.8277,3351
2021-03-30 01:31:39,1.8297,1.8297,1.8297,1.8297,3020
2021-03-30 01:31:40,1.821,1.821,1.821,1.821,600
2021-03-30 01:31:41,1.825,1.825,1.825,1.825,200
2021-03-30 01:31:43,1.83,1.83,1.82,1.82,1401
2021-03-30 01:31:44,1.83,1.83,1.83,1.83,3810
2021-03-30 01:31:45,1.83,1.83,1.83,1.83,400
2021-03-30 01:31:46,1.8258,1.8258,1.8258,1.8258,100
