Date,Open,High,Low,Close,Volume
2021-03-30 01:30:45,6.89,6.9,6.86,6.9,9230
2021-03-30 01:30:46,6.86,6.9,6.8,6.8534,15822
2021-03-30 01:30:47,6.88,6.9094,6.8506,6.89,5621
2021-03-30 01:30:48,6.89,6.9,6.85,6.89,5936
2021-03-30 01:30:49,6.89,6.89,6.8,6.845,6546
2021-03-30 01:30:50,6.8899,6.8899,6.84,6.85,4888
2021-03-30 01:30:51,6.8896,6.89,6.84,6.88,5490
2021-03-30 01:30:52,6.85,6.8896,6.85,6.8888,3666
2021-03-30 01:30:53,6.88,6.91,6.8416,6.91,15841
2021-03-30 01:30:54,6.9042,6.92,6.8803,6.9144,1990
2021-03-30 01:30:55,6.9,7,6.9,6.975,7671
2021-03-30 01:30:56,6.98,7,6.97,6.9932,17770
2021-03-30 01:30:57,7,7,6.97,6.98,10743
2021-03-30 01:30:58,6.98,6.98,6.93,6.955,10609
2021-03-30 01:30:59,6.955,6.97,6.94,6.9401,12527
2021-03-30 01:31:00,6.97,6.99,6.93,6.99,4675
2021-03-30 01:31:01,6.9897,6.99,6.94,6.9559,8068
2021-03-30 01:31:02,6.98,7.0599,6.9544,7.0599,12834
2021-03-30 01:31:03,7.04,7.21,7.04,7.17,15373
2021-03-30 01:31:04,7.21,7.25,7.1,7.16,13302
2021-03-30 01:31:05,7.06,7.09,7.02,7.06,9829
2021-03-30 01:31:06,7.03,7.05,7,7,5223
2021-03-30 01:31:07,7,7.02,6.9,6.94,10889
2021-03-30 01:31:08,6.9,6.94,6.9,6.9,5116
2021-03-30 01:31:09,6.94,6.9401,6.9,6.901,15643
2021-03-30 01:31:10,6.9,6.96,6.9,6.93,3971
2021-03-30 01:31:11,6.93,6.93,6.92,6.92,2172
2021-03-30 01:31:12,6.93,6.96,6.9,6.9599,7997
2021-03-30 01:31:13,6.93,6.93,6.9255,6.93,1990
2021-03-30 01:31:14,6.96,6.97,6.95,6.97,5322
2021-03-30 01:31:15,6.96,6.99,6.9554,6.96,2717
2021-03-30 01:31:16,6.94,6.95,6.89,6.8936,8175
2021-03-30 01:31:17,6.89,6.93,6.86,6.88,6515
2021-03-30 01:31:18,6.86,6.8794,6.81,6.81,7805
2021-03-30 01:31:19,6.86,6.86,6.75,6.86,10376
2021-03-30 01:31:20,6.81,6.81,6.74,6.78,10034
2021-03-30 01:31:21,6.8,6.8,6.751,6.77,2556
2021-03-30 01:31:22,6.78,6.81,6.7506,6.77,6555
2021-03-30 01:31:23,6.7729,6.85,6.7729,6.85,4431
2021-03-30 01:31:24,6.835,6.9,6.835,6.88,6211
2021-03-30 01:31:25,6.87,6.9,6.87,6.8701,673
2021-03-30 01:31:26,6.9,6.9,6.8503,6.8503,6899
2021-03-30 01:31:27,6.8994,6.9,6.875,6.8965,3235
2021-03-30 01:31:28,6.89,6.89,6.86,6.8606,590
2021-03-30 01:31:29,6.86,6.91,6.86,6.91,4963
2021-03-30 01:31:30,6.88,6.9441,6.88,6.9,6699
2021-03-30 01:31:31,6.97,6.97,6.9327,6.96,5102
2021-03-30 01:31:32,6.9101,6.96,6.9101,6.96,1010
2021-03-30 01:31:33,6.93,6.97,6.91,6.935,6170
2021-03-30 01:31:34,6.92,6.96,6.88,6.96,3516
2021-03-30 01:31:35,6.9135,6.9135,6.88,6.9,1497
2021-03-30 01:31:36,6.91,6.94,6.91,6.93,620
2021-03-30 01:31:37,6.94,6.95,6.92,6.92,567
2021-03-30 01:31:38,6.92,6.92,6.89,6.9065,1650
2021-03-30 01:31:39,6.9,6.92,6.89,6.92,1250
2021-03-30 01:31:40,6.91,6.96,6.87,6.9,5488
2021-03-30 01:31:41,6.9,6.9,6.88,6.9,2822
2021-03-30 01:31:42,6.87,6.88,6.85,6.8755,3335
2021-03-30 01:31:43,6.85,6.88,6.84,6.88,1280
2021-03-30 01:31:44,6.872,6.88,6.81,6.8708,5162
2021-03-30 01:31:45,6.88,6.88,6.81,6.84,3461
2021-03-30 01:31:46,6.8237,6.857,6.81,6.8442,4231
2021-03-30 01:31:47,6.835,6.85,6.81,6.82,1122
2021-03-30 01:31:48,6.84,6.85,6.84,6.84,365
