Date,Open,High,Low,Close,Volume
2021-03-31 01:30:30,7.34,7.37,7.34,7.36,350
2021-03-31 01:30:32,7.3259,7.3259,7.3201,7.3201,5100
2021-03-31 01:30:33,7.36,7.43,7.36,7.43,4037
2021-03-31 01:30:34,7.34,7.385,7.34,7.385,1600
2021-03-31 01:30:35,7.427,7.43,7.39,7.43,3084
2021-03-31 01:30:36,7.4218,7.4299,7.3735,7.3735,977
2021-03-31 01:30:37,7.39,7.39,7.39,7.39,231
2021-03-31 01:30:38,7.39,7.39,7.39,7.39,660
2021-03-31 01:30:39,7.4,7.41,7.39,7.39,4601
2021-03-31 01:30:41,7.4,7.4,7.4,7.4,331
2021-03-31 01:30:42,7.4,7.4,7.4,7.4,150
2021-03-31 01:30:44,7.4118,7.4118,7.4118,7.4118,601
2021-03-31 01:30:45,7.39,7.421,7.39,7.421,5467
2021-03-31 01:30:46,7.415,7.415,7.4141,7.4141,1030
2021-03-31 01:30:47,7.4027,7.4027,7.37,7.37,812
2021-03-31 01:30:48,7.375,7.375,7.375,7.375,149
2021-03-31 01:30:49,7.39,7.39,7.33,7.33,350
2021-03-31 01:30:50,7.36,7.36,7.32,7.3201,617
2021-03-31 01:30:51,7.32,7.32,7.3,7.3,3590
2021-03-31 01:30:53,7.3,7.31,7.3,7.3005,1125
2021-03-31 01:30:54,7.33,7.35,7.33,7.35,3763
2021-03-31 01:30:55,7.38,7.43,7.38,7.43,2249
2021-03-31 01:30:56,7.43,7.43,7.43,7.43,200
2021-03-31 01:30:57,7.3821,7.3821,7.3821,7.3821,101
2021-03-31 01:30:59,7.41,7.42,7.41,7.42,300
2021-03-31 01:31:00,7.4,7.4,7.38,7.38,1706
2021-03-31 01:31:02,7.3823,7.39,7.3823,7.39,607
2021-03-31 01:31:03,7.38,7.38,7.38,7.38,125
2021-03-31 01:31:07,7.36,7.36,7.36,7.36,375
2021-03-31 01:31:08,7.3699,7.37,7.36,7.37,1000
2021-03-31 01:31:09,7.36,7.368,7.36,7.36,2100
2021-03-31 01:31:10,7.37,7.37,7.37,7.37,298
2021-03-31 01:31:11,7.37,7.37,7.37,7.37,501
2021-03-31 01:31:12,7.37,7.37,7.37,7.37,136
2021-03-31 01:31:13,7.35,7.35,7.35,7.35,108
2021-03-31 01:31:14,7.35,7.3516,7.35,7.35,1400
2021-03-31 01:31:15,7.35,7.35,7.327,7.327,1924
2021-03-31 01:31:16,7.3206,7.33,7.3206,7.33,273
2021-03-31 01:31:17,7.359,7.359,7.32,7.3494,827
2021-03-31 01:31:18,7.32,7.32,7.31,7.31,300
2021-03-31 01:31:19,7.334,7.34,7.33,7.33,1467
2021-03-31 01:31:20,7.31,7.31,7.31,7.31,211
2021-03-31 01:31:21,7.31,7.31,7.31,7.31,4029
2021-03-31 01:31:22,7.31,7.31,7.31,7.31,863
2021-03-31 01:31:23,7.31,7.31,7.3,7.3,1364
2021-03-31 01:31:24,7.31,7.31,7.26,7.26,3900
2021-03-31 01:31:25,7.26,7.26,7.26,7.26,500
2021-03-31 01:31:26,7.26,7.2902,7.26,7.26,300
2021-03-31 01:31:28,7.26,7.27,7.26,7.26,3000
2021-03-31 01:31:29,7.26,7.27,7.21,7.22,11306
2021-03-31 01:31:30,7.21,7.22,7.21,7.22,2075
2021-03-31 01:31:31,7.21,7.27,7.21,7.21,1324
2021-03-31 01:31:33,7.2542,7.2542,7.2542,7.2542,1001
2021-03-31 01:31:35,7.25,7.2799,7.24,7.24,447
2021-03-31 01:31:36,7.22,7.25,7.22,7.25,4130
2021-03-31 01:31:37,7.25,7.25,7.232,7.232,600
2021-03-31 01:31:39,7.23,7.23,7.22,7.22,2526
2021-03-31 01:31:40,7.24,7.25,7.24,7.25,1277
2021-03-31 01:31:42,7.23,7.25,7.22,7.25,680
2021-03-31 01:31:44,7.28,7.28,7.28,7.28,2450
2021-03-31 01:31:46,7.265,7.28,7.265,7.28,800
2021-03-31 01:31:47,7.28,7.28,7.28,7.28,303
2021-03-31 01:31:48,7.28,7.28,7.25,7.25,2700
2021-03-31 01:31:49,7.275,7.275,7.275,7.275,100
2021-03-31 01:31:50,7.25,7.25,7.22,7.22,2700
2021-03-31 01:31:51,7.2999,7.2999,7.2999,7.2999,100
2021-03-31 01:31:53,7.23,7.23,7.23,7.23,510
2021-03-31 01:31:54,7.23,7.2999,7.23,7.2999,818
2021-03-31 01:31:56,7.23,7.29,7.23,7.29,1200
2021-03-31 01:31:57,7.3,7.3,7.3,7.3,1000
2021-03-31 01:32:02,7.29,7.3,7.29,7.3,330
2021-03-31 01:32:04,7.2965,7.382,7.2965,7.382,1821
2021-03-31 01:32:06,7.3899,7.3899,7.3899,7.3899,200
2021-03-31 01:32:07,7.39,7.4,7.37,7.39,3175
2021-03-31 01:32:09,7.37,7.39,7.37,7.38,2133
2021-03-31 01:32:11,7.3678,7.3678,7.3678,7.3678,200
2021-03-31 01:32:16,7.345,7.345,7.345,7.345,525
2021-03-31 01:32:17,7.33,7.33,7.3037,7.3037,250
2021-03-31 01:32:18,7.32,7.32,7.29,7.29,541
2021-03-31 01:32:19,7.3137,7.3137,7.29,7.3,1816
2021-03-31 01:32:21,7.3,7.3139,7.27,7.3139,1854
2021-03-31 01:32:23,7.3,7.31,7.3,7.31,434
2021-03-31 01:32:25,7.345,7.345,7.345,7.345,130
2021-03-31 01:32:27,7.31,7.31,7.31,7.31,100
2021-03-31 01:32:30,7.37,7.37,7.37,7.37,120
2021-03-31 01:32:33,7.35,7.35,7.35,7.35,1040
2021-03-31 01:32:36,7.27,7.27,7.27,7.27,1015
2021-03-31 01:32:37,7.3,7.3,7.3,7.3,970
2021-03-31 01:32:39,7.2848,7.2848,7.27,7.27,650
2021-03-31 01:32:41,7.34,7.34,7.34,7.34,105
2021-03-31 01:32:42,7.27,7.27,7.27,7.27,305
2021-03-31 01:32:45,7.3025,7.35,7.3025,7.34,1482
2021-03-31 01:32:48,7.34,7.37,7.34,7.37,590
2021-03-31 01:32:49,7.37,7.3786,7.37,7.3786,550
2021-03-31 01:32:50,7.34,7.34,7.34,7.34,1000
2021-03-31 01:32:51,7.38,7.38,7.38,7.38,197
2021-03-31 01:32:52,7.34,7.34,7.31,7.31,400
2021-03-31 01:32:55,7.33,7.349,7.33,7.34,520
2021-03-31 01:32:56,7.3499,7.3499,7.3499,7.3499,515
2021-03-31 01:32:57,7.315,7.3229,7.315,7.3229,2090
2021-03-31 01:32:59,7.335,7.36,7.335,7.36,1667
2021-03-31 01:33:03,7.35,7.35,7.3406,7.3406,300
2021-03-31 01:33:06,7.359,7.359,7.359,7.359,109
2021-03-31 01:33:07,7.361,7.361,7.339,7.339,1250
2021-03-31 01:33:08,7.3108,7.3108,7.3108,7.3108,573
2021-03-31 01:33:09,7.3399,7.34,7.3399,7.34,600
2021-03-31 01:33:10,7.38,7.38,7.38,7.38,100
2021-03-31 01:33:11,7.339,7.372,7.327,7.3394,1007
2021-03-31 01:33:13,7.32,7.32,7.32,7.32,500
2021-03-31 01:33:14,7.32,7.32,7.32,7.32,551
2021-03-31 01:33:16,7.32,7.32,7.32,7.32,410
2021-03-31 01:33:17,7.3462,7.38,7.3462,7.36,5367
