Date,Open,High,Low,Close,Volume
2021-03-31 01:30:30,3.9992,3.9999,3.9992,3.9999,3601
2021-03-31 01:30:31,3.9801,4,3.9801,4,1432
2021-03-31 01:30:32,3.99,3.99,3.99,3.99,259
2021-03-31 01:30:33,3.99,3.99,3.99,3.99,442
2021-03-31 01:30:34,3.99,3.99,3.9806,3.9899,3770
2021-03-31 01:30:35,3.99,3.99,3.9801,3.9801,2800
2021-03-31 01:30:36,3.9899,3.9899,3.9899,3.9899,147
2021-03-31 01:30:37,3.985,4.02,3.985,3.99,12155
2021-03-31 01:30:38,4,4,4,4,400
2021-03-31 01:30:39,4.02,4.03,4,4,4211
2021-03-31 01:30:40,4.029,4.03,4,4.0111,6245
2021-03-31 01:30:41,4.01,4.0217,4.01,4.0217,451
2021-03-31 01:30:42,4.0299,4.0299,4.01,4.0122,1347
2021-03-31 01:30:43,4.03,4.03,4.01,4.01,2407
2021-03-31 01:30:44,4,4,3.9905,3.9999,2042
2021-03-31 01:30:45,3.9995,3.9995,3.9945,3.9945,1684
2021-03-31 01:30:46,3.995,3.9987,3.98,3.9812,2976
2021-03-31 01:30:47,3.9806,3.999,3.9806,3.999,2696
2021-03-31 01:30:48,3.9885,4,3.9885,4,946
2021-03-31 01:30:49,4,4.01,4,4.01,2032
2021-03-31 01:30:50,4,4,4,4,622
2021-03-31 01:30:52,4.0027,4.0027,4,4,840
2021-03-31 01:30:53,4,4,4,4,2476
2021-03-31 01:30:54,4.0016,4.0016,4.0016,4.0016,190
2021-03-31 01:30:55,4,4.002,3.99,3.9999,3867
2021-03-31 01:30:56,3.9902,3.9902,3.9899,3.9899,1320
2021-03-31 01:30:57,3.985,3.9949,3.98,3.9816,1483
2021-03-31 01:30:58,3.98,3.98,3.98,3.98,177
2021-03-31 01:30:59,3.9997,3.9997,3.9997,3.9997,361
2021-03-31 01:31:00,3.985,3.985,3.985,3.985,100
2021-03-31 01:31:01,3.985,3.99,3.9816,3.989,1755
2021-03-31 01:31:02,3.9896,3.99,3.9801,3.9801,1409
2021-03-31 01:31:03,3.98,3.98,3.92,3.9216,16643
2021-03-31 01:31:04,3.9201,3.935,3.92,3.92,700
2021-03-31 01:31:05,3.91,3.9299,3.91,3.9275,8428
