Date,Open,High,Low,Close,Volume
2021-04-01 01:30:42,7.948,7.96,7.93,7.9301,13830
2021-04-01 01:30:43,7.94,7.959,7.93,7.94,9326
2021-04-01 01:30:44,7.93,7.94,7.88,7.8801,24079
2021-04-01 01:30:45,7.89,7.91,7.86,7.87,38242
2021-04-01 01:30:46,7.86,7.9,7.8502,7.881,29752
2021-04-01 01:30:47,7.89,7.95,7.88,7.9201,36822
2021-04-01 01:30:48,7.93,7.95,7.92,7.93,8682
2021-04-01 01:30:49,7.92,8,7.92,7.97,41106
2021-04-01 01:30:50,7.9735,7.99,7.94,7.955,32597
2021-04-01 01:30:51,7.9408,7.9699,7.91,7.91,26576
2021-04-01 01:30:52,7.93,7.97,7.89,7.9299,39787
2021-04-01 01:30:53,7.915,7.96,7.915,7.95,14494
2021-04-01 01:30:54,7.9401,7.96,7.94,7.96,12543
2021-04-01 01:30:55,7.9615,7.98,7.93,7.9699,35480
2021-04-01 01:30:56,7.97,7.98,7.93,7.9581,17809
2021-04-01 01:30:57,7.94,7.97,7.94,7.95,24717
2021-04-01 01:30:58,7.9499,7.9588,7.91,7.925,15177
2021-04-01 01:30:59,7.92,7.9299,7.9,7.9194,15723
2021-04-01 01:31:00,7.9077,7.9193,7.9,7.9099,18169
2021-04-01 01:31:01,7.9,7.9,7.86,7.881,43098
2021-04-01 01:31:02,7.8899,7.8899,7.82,7.83,46133
2021-04-01 01:31:03,7.8499,7.87,7.82,7.8681,29349
2021-04-01 01:31:04,7.8682,7.88,7.85,7.8724,21759
2021-04-01 01:31:05,7.875,7.92,7.87,7.9101,38126
2021-04-01 01:31:06,7.91,7.91,7.88,7.9,33417
2021-04-01 01:31:07,7.88,7.88,7.83,7.83,21195
2021-04-01 01:31:08,7.845,7.89,7.83,7.86,24797
2021-04-01 01:31:09,7.85,7.9,7.83,7.88,42172
2021-04-01 01:31:10,7.8799,7.9,7.82,7.88,54659
2021-04-01 01:31:11,7.8888,7.94,7.85,7.9,49798
2021-04-01 01:31:12,7.893,7.94,7.893,7.9101,25419
