Date,Open,High,Low,Close,Volume
2021-04-01 01:30:42,3.3409,3.35,3.32,3.33,36045
2021-04-01 01:30:43,3.34,3.3461,3.33,3.335,15461
2021-04-01 01:30:44,3.33,3.345,3.33,3.34,6524
2021-04-01 01:30:45,3.3407,3.3492,3.34,3.3492,15614
2021-04-01 01:30:46,3.3455,3.3494,3.3301,3.3301,15973
2021-04-01 01:30:47,3.3394,3.34,3.32,3.3207,17954
2021-04-01 01:30:48,3.32,3.33,3.31,3.3167,66564
2021-04-01 01:30:49,3.3108,3.3108,3.2701,3.2701,184054
2021-04-01 01:30:50,3.27,3.2863,3.26,3.265,37207
2021-04-01 01:30:51,3.2614,3.2622,3.2601,3.2622,984
2021-04-01 01:30:52,3.265,3.29,3.265,3.2809,17782
2021-04-01 01:30:53,3.28,3.29,3.28,3.29,9142
2021-04-01 01:30:54,3.28,3.29,3.28,3.285,10142
2021-04-01 01:30:55,3.285,3.29,3.28,3.2801,14469
2021-04-01 01:30:56,3.2808,3.29,3.27,3.2818,17500
2021-04-01 01:30:57,3.285,3.29,3.28,3.285,9841
2021-04-01 01:30:58,3.285,3.3,3.285,3.2906,11116
2021-04-01 01:30:59,3.29,3.3,3.29,3.29,16612
2021-04-01 01:31:00,3.29,3.2905,3.28,3.29,18775
2021-04-01 01:31:01,3.2806,3.3,3.28,3.3,9846
2021-04-01 01:31:02,3.295,3.3,3.29,3.2977,52884
2021-04-01 01:31:03,3.29,3.3,3.29,3.2965,12007
2021-04-01 01:31:04,3.295,3.31,3.28,3.28,28422
2021-04-01 01:31:05,3.2899,3.3,3.2801,3.3,17096
2021-04-01 01:31:06,3.29,3.31,3.29,3.3,10978
2021-04-01 01:31:07,3.295,3.295,3.29,3.291,35939
2021-04-01 01:31:08,3.295,3.3,3.2902,3.295,8875
2021-04-01 01:31:09,3.2962,3.2962,3.2901,3.2901,3874
2021-04-01 01:31:10,3.295,3.3,3.29,3.2901,7144
2021-04-01 01:31:11,3.29,3.31,3.285,3.3,38752
2021-04-01 01:31:12,3.2983,3.3,3.2901,3.295,6050
2021-04-01 01:31:13,3.2902,3.3,3.2901,3.2901,14650
2021-04-01 01:31:14,3.3,3.31,3.295,3.31,25983
2021-04-01 01:31:15,3.305,3.31,3.29,3.295,30250
2021-04-01 01:31:16,3.295,3.31,3.27,3.29,74669
2021-04-01 01:31:17,3.281,3.29,3.28,3.28,31816
2021-04-01 01:31:18,3.2895,3.29,3.28,3.285,12473
2021-04-01 01:31:19,3.2895,3.29,3.28,3.29,7291
2021-04-01 01:31:20,3.29,3.29,3.28,3.28,19975
2021-04-01 01:31:21,3.29,3.29,3.28,3.29,4002
2021-04-01 01:31:22,3.28,3.3,3.28,3.295,26267
2021-04-01 01:31:23,3.2988,3.2989,3.285,3.2989,9000
2021-04-01 01:31:24,3.2989,3.3,3.29,3.2919,5222
2021-04-01 01:31:25,3.295,3.2992,3.29,3.2916,2795
2021-04-01 01:31:26,3.2994,3.2994,3.291,3.291,4002
2021-04-01 01:31:27,3.2989,3.2995,3.29,3.2991,10527
2021-04-01 01:31:28,3.2916,3.305,3.29,3.3011,10840
2021-04-01 01:31:29,3.3001,3.31,3.3,3.3,13241
2021-04-01 01:31:30,3.305,3.31,3.3,3.31,5582
2021-04-01 01:31:31,3.3018,3.31,3.3,3.31,18836
2021-04-01 01:31:32,3.315,3.315,3.29,3.2918,12647
2021-04-01 01:31:33,3.2914,3.3,3.2913,3.3,3895
2021-04-01 01:31:34,3.3,3.3,3.2901,3.2999,6288
2021-04-01 01:31:35,3.2991,3.2991,3.2901,3.2912,1984
2021-04-01 01:31:36,3.2919,3.2919,3.2919,3.2919,249
2021-04-01 01:31:37,3.299,3.3,3.29,3.2901,14630
2021-04-01 01:31:38,3.3,3.3,3.29,3.3,5088
2021-04-01 01:31:39,3.2909,3.3,3.2901,3.3,2537
2021-04-01 01:31:40,3.295,3.2999,3.29,3.299,3091
2021-04-01 01:31:41,3.2999,3.305,3.29,3.2999,34127
2021-04-01 01:31:42,3.291,3.2999,3.2908,3.295,2258
2021-04-01 01:31:43,3.29,3.295,3.289,3.29,11243
2021-04-01 01:31:44,3.28,3.2899,3.28,3.2899,11228
2021-04-01 01:31:45,3.285,3.2899,3.27,3.28,43968
2021-04-01 01:31:46,3.2734,3.29,3.2734,3.2801,5126
2021-04-01 01:31:47,3.285,3.285,3.26,3.28,51536
2021-04-01 01:31:48,3.28,3.28,3.2701,3.2799,8686
2021-04-01 01:31:49,3.272,3.28,3.2718,3.28,15810
2021-04-01 01:31:50,3.28,3.28,3.27,3.2799,5498
2021-04-01 01:31:51,3.271,3.2799,3.27,3.27,9567
2021-04-01 01:31:52,3.2711,3.2795,3.27,3.275,3988
2021-04-01 01:31:53,3.27,3.2899,3.27,3.285,21826
2021-04-01 01:31:54,3.28,3.28,3.27,3.2799,2608
2021-04-01 01:31:55,3.2716,3.28,3.27,3.27,5955
2021-04-01 01:31:56,3.2799,3.28,3.27,3.2719,5011
2021-04-01 01:31:57,3.27,3.28,3.27,3.275,3356
2021-04-01 01:31:58,3.275,3.29,3.275,3.29,9936
2021-04-01 01:31:59,3.285,3.3,3.285,3.29,18999
2021-04-01 01:32:00,3.3,3.31,3.3,3.3005,24191
2021-04-01 01:32:01,3.3,3.3,3.2901,3.2901,15333
2021-04-01 01:32:02,3.2999,3.3,3.297,3.3,527
2021-04-01 01:32:03,3.291,3.295,3.29,3.295,8645
2021-04-01 01:32:04,3.29,3.2999,3.29,3.295,5939
2021-04-01 01:32:05,3.291,3.2988,3.2909,3.295,3466
2021-04-01 01:32:06,3.295,3.2977,3.291,3.2918,2137
2021-04-01 01:32:07,3.3,3.3,3.29,3.29,5127
2021-04-01 01:32:08,3.29,3.2984,3.285,3.2905,23639
2021-04-01 01:32:09,3.29,3.2985,3.273,3.28,107693
2021-04-01 01:32:10,3.2882,3.2882,3.285,3.285,577
2021-04-01 01:32:11,3.285,3.29,3.28,3.28,1386
2021-04-01 01:32:12,3.286,3.29,3.2812,3.285,2769
2021-04-01 01:32:13,3.285,3.29,3.2819,3.29,2920
2021-04-01 01:32:14,3.29,3.29,3.281,3.285,5269
2021-04-01 01:32:15,3.28,3.29,3.27,3.2781,51490
2021-04-01 01:32:16,3.2799,3.2799,3.2799,3.2799,10011
2021-04-01 01:32:17,3.2794,3.28,3.26,3.2682,24484
2021-04-01 01:32:18,3.2626,3.269,3.2626,3.265,3346
2021-04-01 01:32:19,3.2601,3.27,3.25,3.25,69136
2021-04-01 01:32:20,3.255,3.27,3.23,3.2396,250763
2021-04-01 01:32:21,3.235,3.24,3.23,3.24,6123
2021-04-01 01:32:22,3.2301,3.2301,3.21,3.21,77953
2021-04-01 01:32:23,3.2199,3.23,3.21,3.23,14683
2021-04-01 01:32:24,3.225,3.2293,3.21,3.2245,26921
2021-04-01 01:32:25,3.2298,3.2298,3.21,3.2117,32823
2021-04-01 01:32:26,3.22,3.22,3.2101,3.215,6982
2021-04-01 01:32:27,3.2118,3.23,3.21,3.2209,14758
2021-04-01 01:32:28,3.2273,3.24,3.22,3.225,19849
2021-04-01 01:32:29,3.2214,3.23,3.2214,3.2224,6397
2021-04-01 01:32:30,3.23,3.24,3.2298,3.24,41732
2021-04-01 01:32:31,3.235,3.2488,3.23,3.24,46588
2021-04-01 01:32:32,3.23,3.24,3.23,3.24,4548
2021-04-01 01:32:33,3.2313,3.24,3.23,3.2382,8754
2021-04-01 01:32:34,3.235,3.24,3.23,3.2319,7699
2021-04-01 01:32:35,3.239,3.24,3.2308,3.24,5648
2021-04-01 01:32:36,3.24,3.2478,3.23,3.245,6514
2021-04-01 01:32:37,3.2408,3.245,3.24,3.245,1382
2021-04-01 01:32:38,3.245,3.25,3.24,3.249,3023
2021-04-01 01:32:39,3.2419,3.245,3.24,3.2401,1452
2021-04-01 01:32:40,3.2411,3.245,3.24,3.24,4876
2021-04-01 01:32:41,3.248,3.2492,3.245,3.245,671
2021-04-01 01:32:42,3.2409,3.248,3.24,3.24,26623
2021-04-01 01:32:43,3.245,3.25,3.2406,3.2471,5595
2021-04-01 01:32:44,3.2401,3.249,3.24,3.24,13200
2021-04-01 01:32:45,3.24,3.2488,3.24,3.24,3582
2021-04-01 01:32:46,3.2488,3.25,3.241,3.241,92201
2021-04-01 01:32:47,3.24,3.245,3.23,3.24,37256
2021-04-01 01:32:48,3.235,3.245,3.23,3.2399,28091
2021-04-01 01:32:49,3.24,3.24,3.235,3.24,2052
2021-04-01 01:32:50,3.235,3.2399,3.23,3.2399,5980
2021-04-01 01:32:51,3.235,3.2396,3.23,3.235,5899
2021-04-01 01:32:52,3.24,3.24,3.23,3.23,9799
2021-04-01 01:32:53,3.24,3.24,3.235,3.235,7530
2021-04-01 01:32:54,3.2399,3.24,3.23,3.24,19282
2021-04-01 01:32:55,3.24,3.24,3.2386,3.24,13816
2021-04-01 01:32:56,3.24,3.24,3.23,3.2321,1034
2021-04-01 01:32:57,3.235,3.24,3.23,3.2399,5890
2021-04-01 01:32:58,3.235,3.24,3.23,3.235,9846
2021-04-01 01:32:59,3.235,3.24,3.2301,3.24,6416
2021-04-01 01:33:00,3.2399,3.24,3.23,3.235,24272
2021-04-01 01:33:01,3.2309,3.24,3.23,3.231,8358
2021-04-01 01:33:02,3.235,3.24,3.23,3.23,18916
2021-04-01 01:33:03,3.2399,3.245,3.2323,3.245,11201
2021-04-01 01:33:04,3.245,3.25,3.24,3.245,11595
2021-04-01 01:33:05,3.245,3.25,3.24,3.2495,11995
2021-04-01 01:33:06,3.24,3.25,3.24,3.2481,7010
2021-04-01 01:33:07,3.25,3.25,3.24,3.245,3361
2021-04-01 01:33:08,3.2482,3.25,3.245,3.25,3005
2021-04-01 01:33:09,3.25,3.26,3.2494,3.26,13311
2021-04-01 01:33:10,3.26,3.26,3.25,3.26,3804
2021-04-01 01:33:11,3.2516,3.26,3.2516,3.26,17558
2021-04-01 01:33:12,3.26,3.27,3.26,3.27,31721
2021-04-01 01:33:13,3.26,3.28,3.26,3.278,13737
2021-04-01 01:33:14,3.275,3.28,3.2701,3.2777,6447
2021-04-01 01:33:15,3.2773,3.2773,3.25,3.255,16315
2021-04-01 01:33:16,3.255,3.26,3.25,3.26,5727
2021-04-01 01:33:17,3.26,3.27,3.2556,3.259,4534
2021-04-01 01:33:18,3.25,3.26,3.25,3.2512,4292
2021-04-01 01:33:19,3.26,3.26,3.255,3.255,4366
2021-04-01 01:33:20,3.255,3.255,3.25,3.25,1958
2021-04-01 01:33:21,3.25,3.27,3.25,3.265,10737
2021-04-01 01:33:22,3.26,3.26,3.25,3.25,1965
2021-04-01 01:33:23,3.255,3.26,3.245,3.2477,45527
2021-04-01 01:33:24,3.2494,3.28,3.2412,3.28,137410
2021-04-01 01:33:25,3.27,3.27,3.26,3.2612,19745
2021-04-01 01:33:26,3.265,3.265,3.2601,3.263,7620
2021-04-01 01:33:27,3.265,3.27,3.265,3.27,4699
2021-04-01 01:33:28,3.2699,3.27,3.2602,3.27,6049
2021-04-01 01:33:29,3.2621,3.27,3.2621,3.27,2064
2021-04-01 01:33:30,3.27,3.27,3.261,3.27,1135
2021-04-01 01:33:31,3.27,3.28,3.2601,3.28,18826
2021-04-01 01:33:32,3.272,3.28,3.27,3.2701,20831
2021-04-01 01:33:33,3.27,3.27,3.26,3.2698,27618
2021-04-01 01:33:34,3.26,3.27,3.26,3.27,6085
2021-04-01 01:33:35,3.265,3.27,3.26,3.27,10613
2021-04-01 01:33:36,3.2799,3.2799,3.2799,3.2799,5201
2021-04-01 01:33:37,3.28,3.28,3.2701,3.275,3879
2021-04-01 01:33:38,3.27,3.2766,3.27,3.275,4339
