Date,Open,High,Low,Close,Volume
2021-04-01 01:30:42,5.338,5.34,5.33,5.34,5810
2021-04-01 01:30:43,5.34,5.34,5.33,5.33,8842
2021-04-01 01:30:44,5.34,5.38,5.338,5.3794,11857
2021-04-01 01:30:45,5.38,5.39,5.37,5.39,3905
2021-04-01 01:30:46,5.37,5.41,5.37,5.4074,9167
2021-04-01 01:30:47,5.4099,5.41,5.3906,5.407,18931
2021-04-01 01:30:48,5.405,5.41,5.38,5.41,10369
2021-04-01 01:30:49,5.41,5.41,5.4,5.4088,3847
2021-04-01 01:30:50,5.41,5.41,5.39,5.4099,10515
2021-04-01 01:30:51,5.41,5.41,5.36,5.39,9561
2021-04-01 01:30:52,5.36,5.39,5.35,5.35,7917
2021-04-01 01:30:53,5.36,5.36,5.3,5.3326,9502
2021-04-01 01:30:54,5.32,5.34,5.3,5.3003,18437
2021-04-01 01:30:55,5.31,5.34,5.3091,5.3091,5331
2021-04-01 01:30:56,5.34,5.38,5.34,5.36,12475
2021-04-01 01:30:57,5.3597,5.36,5.33,5.33,4313
2021-04-01 01:30:58,5.345,5.345,5.315,5.3195,4123
2021-04-01 01:30:59,5.31,5.33,5.31,5.32,3260
2021-04-01 01:31:00,5.3,5.32,5.3,5.32,5068
2021-04-01 01:31:01,5.3,5.33,5.3,5.33,13555
2021-04-01 01:31:02,5.32,5.34,5.32,5.34,9098
2021-04-01 01:31:03,5.33,5.36,5.33,5.345,2785
2021-04-01 01:31:04,5.36,5.36,5.33,5.3599,11753
2021-04-01 01:31:05,5.36,5.36,5.3201,5.3374,4661
2021-04-01 01:31:06,5.3465,5.37,5.3301,5.37,11900
2021-04-01 01:31:07,5.37,5.41,5.37,5.41,13657
2021-04-01 01:31:08,5.41,5.43,5.405,5.43,8086
2021-04-01 01:31:09,5.43,5.4699,5.42,5.4698,16291
2021-04-01 01:31:10,5.4676,5.48,5.43,5.445,18842
2021-04-01 01:31:11,5.45,5.48,5.449,5.4691,16717
2021-04-01 01:31:12,5.469,5.47,5.4101,5.42,17105
2021-04-01 01:31:13,5.43,5.44,5.4,5.43,12884
2021-04-01 01:31:14,5.43,5.43,5.4,5.4,4473
2021-04-01 01:31:15,5.4299,5.43,5.41,5.43,3488
2021-04-01 01:31:16,5.4101,5.44,5.41,5.4331,7961
2021-04-01 01:31:17,5.4311,5.44,5.42,5.4398,5989
2021-04-01 01:31:18,5.44,5.44,5.42,5.44,5593
2021-04-01 01:31:19,5.44,5.45,5.44,5.44,3314
2021-04-01 01:31:20,5.4499,5.4777,5.44,5.4777,11085
2021-04-01 01:31:21,5.4777,5.5,5.45,5.495,21838
2021-04-01 01:31:22,5.495,5.53,5.49,5.5199,31430
2021-04-01 01:31:23,5.52,5.57,5.49,5.57,107402
2021-04-01 01:31:24,5.57,5.61,5.57,5.59,40501
2021-04-01 01:31:25,5.5999,5.64,5.59,5.629,51602
2021-04-01 01:31:26,5.63,5.64,5.61,5.6399,18538
2021-04-01 01:31:27,5.62,5.64,5.6,5.62,36107
2021-04-01 01:31:28,5.64,5.64,5.61,5.61,17858
2021-04-01 01:31:29,5.6,5.62,5.59,5.605,20403
2021-04-01 01:31:30,5.603,5.62,5.59,5.61,15792
2021-04-01 01:31:31,5.59,5.6,5.55,5.5501,32621
2021-04-01 01:31:32,5.56,5.6,5.55,5.56,31903
2021-04-01 01:31:33,5.58,5.59,5.55,5.59,10978
2021-04-01 01:31:34,5.585,5.59,5.57,5.585,11231
2021-04-01 01:31:35,5.59,5.63,5.5778,5.63,37617
2021-04-01 01:31:36,5.6,5.64,5.6,5.62,16072
2021-04-01 01:31:37,5.63,5.66,5.6,5.6299,38117
2021-04-01 01:31:38,5.61,5.63,5.61,5.6201,20707
2021-04-01 01:31:39,5.63,5.63,5.61,5.63,10603
2021-04-01 01:31:40,5.62,5.62,5.55,5.585,14687
2021-04-01 01:31:41,5.6,5.62,5.5706,5.6,19122
2021-04-01 01:31:42,5.6,5.61,5.5985,5.6,10177
2021-04-01 01:31:43,5.595,5.6,5.59,5.595,12707
2021-04-01 01:31:44,5.5905,5.6,5.58,5.58,8258
2021-04-01 01:31:45,5.57,5.6,5.57,5.5726,7891
2021-04-01 01:31:46,5.581,5.6,5.57,5.5716,24156
2021-04-01 01:31:47,5.5703,5.59,5.56,5.56,12507
2021-04-01 01:31:48,5.56,5.5799,5.55,5.55,8278
2021-04-01 01:31:49,5.5794,5.5794,5.55,5.55,21835
2021-04-01 01:31:50,5.55,5.55,5.47,5.5,26534
2021-04-01 01:31:51,5.479,5.49,5.46,5.47,13392
2021-04-01 01:31:52,5.48,5.53,5.46,5.53,17308
2021-04-01 01:31:53,5.54,5.57,5.53,5.5555,18700
2021-04-01 01:31:54,5.5406,5.58,5.54,5.5408,11131
2021-04-01 01:31:55,5.54,5.58,5.53,5.571,9978
2021-04-01 01:31:56,5.58,5.58,5.54,5.5752,5856
2021-04-01 01:31:57,5.55,5.57,5.53,5.543,7342
2021-04-01 01:31:58,5.54,5.55,5.53,5.5377,7001
2021-04-01 01:31:59,5.55,5.55,5.53,5.54,3335
2021-04-01 01:32:00,5.54,5.54,5.5296,5.5301,5153
2021-04-01 01:32:01,5.535,5.5481,5.52,5.5481,8117
2021-04-01 01:32:02,5.54,5.55,5.52,5.52,13797
2021-04-01 01:32:03,5.525,5.53,5.52,5.52,14711
2021-04-01 01:32:04,5.529,5.53,5.5,5.52,18215
2021-04-01 01:32:05,5.5019,5.53,5.5,5.5,14222
2021-04-01 01:32:06,5.5,5.53,5.48,5.5,19098
2021-04-01 01:32:07,5.5,5.56,5.49,5.4999,26365
2021-04-01 01:32:08,5.5,5.56,5.48,5.54,11480
2021-04-01 01:32:09,5.5584,5.56,5.54,5.55,7159
2021-04-01 01:32:10,5.5599,5.58,5.55,5.57,16465
2021-04-01 01:32:11,5.56,5.58,5.56,5.5738,17741
2021-04-01 01:32:12,5.5747,5.6,5.573,5.59,26476
2021-04-01 01:32:13,5.6,5.63,5.59,5.63,31889
2021-04-01 01:32:14,5.63,5.65,5.6049,5.63,25846
2021-04-01 01:32:15,5.63,5.65,5.61,5.6479,20798
2021-04-01 01:32:16,5.63,5.63,5.606,5.61,19810
2021-04-01 01:32:17,5.62,5.66,5.6,5.625,32520
2021-04-01 01:32:18,5.64,5.66,5.62,5.65,11764
2021-04-01 01:32:19,5.64,5.65,5.625,5.625,4492
2021-04-01 01:32:20,5.63,5.65,5.6216,5.6351,11485
2021-04-01 01:32:21,5.64,5.66,5.63,5.64,24145
2021-04-01 01:32:22,5.64,5.66,5.63,5.66,12089
2021-04-01 01:32:23,5.65,5.6695,5.65,5.6695,21229
2021-04-01 01:32:24,5.66,5.7,5.66,5.67,31082
2021-04-01 01:32:25,5.68,5.71,5.67,5.7,44860
2021-04-01 01:32:26,5.71,5.73,5.69,5.7091,23312
2021-04-01 01:32:27,5.709,5.73,5.67,5.685,19663
2021-04-01 01:32:28,5.6889,5.72,5.67,5.72,26080
2021-04-01 01:32:29,5.7,5.73,5.68,5.68,13980
2021-04-01 01:32:30,5.71,5.75,5.68,5.741,40333
2021-04-01 01:32:31,5.75,5.77,5.735,5.7501,26186
2021-04-01 01:32:32,5.768,5.78,5.75,5.77,30618
2021-04-01 01:32:33,5.76,5.79,5.75,5.75,27303
2021-04-01 01:32:34,5.78,5.79,5.75,5.75,28570
2021-04-01 01:32:35,5.7629,5.7809,5.75,5.7809,11535
2021-04-01 01:32:36,5.78,5.78,5.74,5.76,23427
2021-04-01 01:32:37,5.77,5.77,5.74,5.75,28108
2021-04-01 01:32:38,5.75,5.79,5.74,5.772,56799
2021-04-01 01:32:39,5.77,5.7899,5.75,5.75,15577
2021-04-01 01:32:40,5.77,5.77,5.74,5.7599,7762
2021-04-01 01:32:41,5.7581,5.77,5.7537,5.76,14026
2021-04-01 01:32:42,5.7501,5.77,5.75,5.77,11635
2021-04-01 01:32:43,5.77,5.77,5.75,5.77,9094
2021-04-01 01:32:44,5.77,5.79,5.76,5.7899,47616
2021-04-01 01:32:45,5.78,5.79,5.77,5.79,10402
2021-04-01 01:32:46,5.79,5.79,5.77,5.79,20630
2021-04-01 01:32:47,5.78,5.79,5.77,5.775,27535
2021-04-01 01:32:48,5.775,5.78,5.76,5.7601,19186
2021-04-01 01:32:49,5.78,5.78,5.74,5.75,25766
2021-04-01 01:32:50,5.74,5.74,5.7,5.71,16939
2021-04-01 01:32:51,5.71,5.71,5.65,5.65,38848
