Date,Open,High,Low,Close,Volume
2021-04-05 01:30:46,9.985,10,9.92,9.9463,11877
2021-04-05 01:30:47,9.92,9.93,9.88,9.88,8986
2021-04-05 01:30:48,9.87,9.92,9.84,9.9199,12034
2021-04-05 01:30:49,9.9048,9.92,9.8301,9.851,17330
2021-04-05 01:30:50,9.85,9.85,9.66,9.72,66565
2021-04-05 01:30:51,9.66,9.77,9.66,9.7,30810
2021-04-05 01:30:52,9.69,9.7,9.63,9.64,17661
2021-04-05 01:30:53,9.63,9.68,9.52,9.57,34606
2021-04-05 01:30:54,9.5564,9.64,9.55,9.5834,17018
2021-04-05 01:30:55,9.59,9.68,9.58,9.67,23939
2021-04-05 01:30:56,9.6697,9.7,9.64,9.68,25214
2021-04-05 01:30:57,9.68,9.77,9.65,9.72,23289
2021-04-05 01:30:58,9.7299,9.73,9.6512,9.69,12299
2021-04-05 01:30:59,9.68,9.74,9.66,9.6701,15930
2021-04-05 01:31:00,9.69,9.699,9.33,9.36,61460
2021-04-05 01:31:01,9.33,9.46,9.3,9.46,35364
2021-04-05 01:31:02,9.46,9.6499,9.3203,9.6022,45069
2021-04-05 01:31:03,9.62,9.65,9.55,9.55,19137
2021-04-05 01:31:04,9.52,9.56,9.43,9.4699,11757
2021-04-05 01:31:05,9.47,9.53,9.39,9.48,17336
2021-04-05 01:31:06,9.48,9.48,9.4,9.47,7572
2021-04-05 01:31:07,9.45,9.5599,9.41,9.47,15429
2021-04-05 01:31:08,9.51,9.57,9.51,9.55,15642
2021-04-05 01:31:09,9.548,9.64,9.54,9.63,19442
2021-04-05 01:31:10,9.63,9.63,9.5,9.5387,11822
2021-04-05 01:31:11,9.54,9.57,9.5,9.55,8972
2021-04-05 01:31:12,9.5432,9.62,9.5306,9.62,8645
2021-04-05 01:31:13,9.63,9.63,9.5301,9.61,12859
2021-04-05 01:31:14,9.6065,9.61,9.5201,9.56,12361
2021-04-05 01:31:15,9.5651,9.6,9.56,9.5984,4019
2021-04-05 01:31:16,9.56,9.56,9.5,9.5,6153
2021-04-05 01:31:17,9.51,9.51,9.44,9.46,11290
2021-04-05 01:31:18,9.4451,9.4451,9.36,9.38,15716
2021-04-05 01:31:19,9.4,9.4942,9.39,9.47,20912
2021-04-05 01:31:20,9.48,9.53,9.46,9.53,14098
2021-04-05 01:31:21,9.52,9.5294,9.42,9.48,10399
2021-04-05 01:31:22,9.48,9.52,9.44,9.52,2947
2021-04-05 01:31:23,9.5129,9.53,9.49,9.51,5399
2021-04-05 01:31:24,9.53,9.53,9.45,9.45,8993
2021-04-05 01:31:25,9.5006,9.51,9.45,9.5,6085
2021-04-05 01:31:26,9.45,9.49,9.4,9.4,12754
2021-04-05 01:31:27,9.39,9.4167,9.35,9.36,11598
2021-04-05 01:31:28,9.37,9.42,9.35,9.38,13177
2021-04-05 01:31:29,9.38,9.45,9.22,9.22,48270
2021-04-05 01:31:30,9.22,9.27,9.02,9.06,69493
2021-04-05 01:31:31,9.03,9.21,9.0206,9.0439,31403
2021-04-05 01:31:32,9.04,9.2399,9.0301,9.17,15695
2021-04-05 01:31:33,9.16,9.24,9.08,9.09,20442
2021-04-05 01:31:34,9.09,9.18,9.09,9.13,23274
2021-04-05 01:31:35,9.15,9.27,9.1101,9.25,10989
2021-04-05 01:31:36,9.27,9.27,9.2,9.22,9532
2021-04-05 01:31:37,9.25,9.26,9.2,9.22,10338
2021-04-05 01:31:38,9.24,9.25,9.16,9.18,19298
2021-04-05 01:31:39,9.19,9.21,9.1206,9.1995,5730
2021-04-05 01:31:40,9.15,9.25,9.15,9.18,7835
2021-04-05 01:31:41,9.22,9.258,9.2064,9.2401,13933
2021-04-05 01:31:42,9.25,9.26,9.205,9.2058,5887
2021-04-05 01:31:43,9.239,9.37,9.22,9.35,11174
2021-04-05 01:31:44,9.36,9.37,9.289,9.37,10007
2021-04-05 01:31:45,9.37,9.37,9.28,9.3,4986
2021-04-05 01:31:46,9.3,9.3,9.27,9.27,3778
2021-04-05 01:31:47,9.27,9.29,9.24,9.29,5794
2021-04-05 01:31:48,9.27,9.31,9.2506,9.26,5819
2021-04-05 01:31:49,9.2633,9.33,9.2633,9.33,12180
2021-04-05 01:31:50,9.265,9.33,9.2,9.22,10692
2021-04-05 01:31:51,9.21,9.24,9.21,9.24,2733
2021-04-05 01:31:52,9.21,9.26,9.21,9.245,11074
2021-04-05 01:31:53,9.26,9.26,9.23,9.25,4495
2021-04-05 01:31:54,9.26,9.26,9.21,9.25,6968
2021-04-05 01:31:55,9.23,9.235,9.21,9.235,4949
2021-04-05 01:31:56,9.25,9.25,9.19,9.21,9643
2021-04-05 01:31:57,9.21,9.25,9.1731,9.25,13187
2021-04-05 01:31:58,9.25,9.26,9.22,9.26,4820
2021-04-05 01:31:59,9.26,9.27,9.2501,9.26,13075
2021-04-05 01:32:00,9.26,9.26,9.25,9.25,4934
2021-04-05 01:32:01,9.26,9.35,9.2591,9.32,12609
2021-04-05 01:32:02,9.3097,9.39,9.3052,9.39,15350
2021-04-05 01:32:03,9.39,9.43,9.38,9.4,17856
2021-04-05 01:32:04,9.42,9.43,9.35,9.36,16860
2021-04-05 01:32:05,9.37,9.37,9.2766,9.3311,14725
2021-04-05 01:32:06,9.27,9.34,9.27,9.3299,7705
2021-04-05 01:32:07,9.3299,9.33,9.25,9.33,3794
2021-04-05 01:32:08,9.28,9.35,9.2647,9.2647,7072
2021-04-05 01:32:09,9.3399,9.34,9.26,9.26,4574
2021-04-05 01:32:10,9.3354,9.3394,9.2901,9.3,9617
2021-04-05 01:32:11,9.3235,9.3235,9.26,9.269,4374
2021-04-05 01:32:12,9.2694,9.2694,9.16,9.16,11390
