Date,Open,High,Low,Close,Volume
2021-04-05 01:30:46,5.419,5.43,5.4143,5.43,30856
2021-04-05 01:30:47,5.4299,5.44,5.41,5.44,40917
2021-04-05 01:30:48,5.4356,5.46,5.43,5.46,3689
2021-04-05 01:30:49,5.46,5.47,5.45,5.46,15952
2021-04-05 01:30:50,5.46,5.46,5.45,5.46,8467
2021-04-05 01:30:51,5.4511,5.46,5.45,5.4582,8995
2021-04-05 01:30:52,5.46,5.46,5.44,5.44,15764
2021-04-05 01:30:53,5.4417,5.458,5.44,5.458,12802
2021-04-05 01:30:54,5.45,5.4583,5.44,5.44,9543
2021-04-05 01:30:55,5.4599,5.46,5.45,5.46,4381
2021-04-05 01:30:56,5.4529,5.46,5.45,5.46,2699
2021-04-05 01:30:57,5.45,5.46,5.45,5.4558,19039
2021-04-05 01:30:58,5.46,5.46,5.4529,5.46,10358
2021-04-05 01:30:59,5.46,5.46,5.45,5.45,5013
2021-04-05 01:31:00,5.45,5.46,5.45,5.45,3855
2021-04-05 01:31:01,5.45,5.46,5.38,5.387,38273
2021-04-05 01:31:02,5.39,5.39,5.36,5.3603,23683
2021-04-05 01:31:03,5.3603,5.37,5.34,5.3599,39297
2021-04-05 01:31:04,5.35,5.36,5.33,5.35,22265
2021-04-05 01:31:05,5.345,5.35,5.33,5.33,26390
2021-04-05 01:31:06,5.33,5.34,5.33,5.3301,18352
2021-04-05 01:31:07,5.33,5.34,5.32,5.33,33887
2021-04-05 01:31:08,5.33,5.34,5.32,5.3299,13769
2021-04-05 01:31:09,5.34,5.34,5.32,5.32,7977
2021-04-05 01:31:10,5.325,5.33,5.31,5.31,32380
2021-04-05 01:31:11,5.3111,5.315,5.27,5.27,65981
2021-04-05 01:31:12,5.271,5.32,5.27,5.305,28772
2021-04-05 01:31:13,5.3,5.32,5.28,5.285,32364
2021-04-05 01:31:14,5.29,5.3199,5.283,5.31,20710
2021-04-05 01:31:15,5.31,5.32,5.3,5.32,10903
2021-04-05 01:31:16,5.311,5.32,5.3,5.3121,35327
2021-04-05 01:31:17,5.317,5.32,5.3,5.3101,27751
2021-04-05 01:31:18,5.32,5.33,5.32,5.32,9128
2021-04-05 01:31:19,5.32,5.36,5.31,5.35,62670
2021-04-05 01:31:20,5.35,5.35,5.32,5.34,20569
2021-04-05 01:31:21,5.3311,5.34,5.32,5.34,13987
2021-04-05 01:31:22,5.34,5.34,5.32,5.33,12518
2021-04-05 01:31:23,5.33,5.33,5.32,5.3219,12555
2021-04-05 01:31:24,5.32,5.34,5.32,5.33,9529
2021-04-05 01:31:25,5.33,5.34,5.31,5.32,19543
2021-04-05 01:31:26,5.32,5.3283,5.32,5.325,2174
