Date,Open,High,Low,Close,Volume
2021-04-05 01:30:46,1.327,1.33,1.3205,1.33,14203
2021-04-05 01:30:47,1.33,1.33,1.323,1.33,10676
2021-04-05 01:30:48,1.3299,1.33,1.3268,1.3268,6050
2021-04-05 01:30:49,1.33,1.33,1.3208,1.3288,5000
2021-04-05 01:30:50,1.3296,1.33,1.32,1.33,11383
2021-04-05 01:30:51,1.32,1.33,1.32,1.325,14705
2021-04-05 01:30:52,1.33,1.33,1.32,1.33,21916
2021-04-05 01:30:53,1.33,1.34,1.3206,1.33,15209
2021-04-05 01:30:54,1.335,1.34,1.335,1.34,16986
2021-04-05 01:30:55,1.335,1.34,1.3301,1.3397,6697
2021-04-05 01:30:56,1.34,1.35,1.3399,1.35,11009
2021-04-05 01:30:57,1.34,1.35,1.34,1.35,500
2021-04-05 01:30:58,1.35,1.35,1.34,1.35,9077
2021-04-05 01:30:59,1.3464,1.35,1.3401,1.35,27360
2021-04-05 01:31:00,1.345,1.35,1.345,1.3499,2477
2021-04-05 01:31:01,1.35,1.35,1.34,1.35,25935
2021-04-05 01:31:02,1.35,1.35,1.345,1.35,22909
2021-04-05 01:31:03,1.35,1.35,1.3416,1.3499,28119
2021-04-05 01:31:04,1.35,1.35,1.3469,1.35,41862
2021-04-05 01:31:05,1.35,1.36,1.3485,1.35,46117
2021-04-05 01:31:06,1.349,1.35,1.34,1.35,16700
2021-04-05 01:31:07,1.35,1.35,1.34,1.35,35707
2021-04-05 01:31:08,1.345,1.35,1.34,1.34,24799
2021-04-05 01:31:09,1.33,1.34,1.33,1.34,11118
2021-04-05 01:31:10,1.34,1.34,1.33,1.3393,9349
2021-04-05 01:31:11,1.33,1.34,1.33,1.34,7202
2021-04-05 01:31:12,1.335,1.35,1.3301,1.35,7194
2021-04-05 01:31:13,1.34,1.345,1.34,1.345,477
2021-04-05 01:31:14,1.34,1.3499,1.34,1.345,6535
2021-04-05 01:31:15,1.345,1.35,1.3403,1.35,15422
