Date,Open,High,Low,Close,Volume
2021-04-06 01:30:04,8.355,8.355,8.33,8.345,5347
2021-04-06 01:30:05,8.34,8.355,8.33,8.33,6618
2021-04-06 01:30:06,8.33,8.34,8.33,8.335,6523
2021-04-06 01:30:07,8.34,8.3499,8.33,8.335,5842
2021-04-06 01:30:08,8.33,8.33,8.3,8.31,14455
2021-04-06 01:30:09,8.31,8.31,8.2,8.2,21792
2021-04-06 01:30:10,8.2,8.25,8.19,8.21,15192
2021-04-06 01:30:11,8.19,8.1901,8.16,8.16,9100
2021-04-06 01:30:12,8.16,8.19,8.16,8.17,10809
2021-04-06 01:30:13,8.18,8.315,8.16,8.17,16676
2021-04-06 01:30:14,8.17,8.18,8.16,8.16,6592
2021-04-06 01:30:15,8.1797,8.1797,8.16,8.1699,5208
2021-04-06 01:30:16,8.17,8.17,8.163,8.17,8670
2021-04-06 01:30:17,8.17,8.17,8.15,8.1561,16354
2021-04-06 01:30:18,8.16,8.16,8.11,8.14,23457
2021-04-06 01:30:19,8.12,8.1505,8.12,8.14,7539
2021-04-06 01:30:20,8.1301,8.1416,8.1,8.13,12259
2021-04-06 01:30:21,8.13,8.17,8.11,8.16,12638
2021-04-06 01:30:22,8.1682,8.18,8.13,8.16,24428
2021-04-06 01:30:23,8.17,8.18,8.165,8.17,3543
2021-04-06 01:30:24,8.17,8.18,8.17,8.18,9883
2021-04-06 01:30:25,8.18,8.18,8.17,8.18,12287
2021-04-06 01:30:26,8.18,8.2,8.1782,8.2,10839
2021-04-06 01:30:27,8.2,8.265,8.19,8.24,17618
2021-04-06 01:30:28,8.24,8.29,8.22,8.25,7244
2021-04-06 01:30:29,8.25,8.26,8.23,8.25,7748
2021-04-06 01:30:30,8.26,8.315,8.25,8.315,10010
2021-04-06 01:30:31,8.32,8.32,8.28,8.3086,10140
2021-04-06 01:30:32,8.3022,8.31,8.28,8.2801,15242
2021-04-06 01:30:33,8.31,8.35,8.3,8.35,14237
2021-04-06 01:30:34,8.35,8.37,8.33,8.33,12102
2021-04-06 01:30:35,8.3395,8.49,8.33,8.48,28088
2021-04-06 01:30:36,8.48,8.5,8.36,8.4905,25291
2021-04-06 01:30:37,8.51,8.52,8.4204,8.49,31554
2021-04-06 01:30:38,8.48,8.49,8.39,8.396,25698
2021-04-06 01:30:39,8.39,8.47,8.39,8.46,21160
2021-04-06 01:30:40,8.46,8.5,8.38,8.49,17485
2021-04-06 01:30:41,8.4917,8.53,8.47,8.505,18737
2021-04-06 01:30:42,8.49,8.5038,8.45,8.5,20735
2021-04-06 01:30:43,8.52,8.52,8.4296,8.4698,12704
2021-04-06 01:30:44,8.4482,8.48,8.43,8.44,17092
2021-04-06 01:30:45,8.45,8.47,8.44,8.44,15165
2021-04-06 01:30:46,8.45,8.45,8.36,8.37,15912
2021-04-06 01:30:47,8.37,8.37,8.33,8.33,30822
2021-04-06 01:30:48,8.33,8.36,8.26,8.26,12596
2021-04-06 01:30:49,8.26,8.31,8.19,8.19,23786
2021-04-06 01:30:50,8.19,8.28,8.19,8.2597,21203
2021-04-06 01:30:51,8.27,8.28,8.23,8.2399,24301
2021-04-06 01:30:52,8.2376,8.2376,8.21,8.2203,11846
2021-04-06 01:30:53,8.22,8.24,8.18,8.2,39752
2021-04-06 01:30:54,8.2,8.21,8.15,8.15,15689
2021-04-06 01:30:55,8.16,8.16,8.06,8.061,20611
2021-04-06 01:30:56,8.06,8.08,8.05,8.05,43117
2021-04-06 01:30:57,8.0499,8.23,8.04,8.19,27800
2021-04-06 01:30:58,8.22,8.24,8.16,8.17,12816
2021-04-06 01:30:59,8.16,8.17,8.11,8.11,18617
2021-04-06 01:31:00,8.11,8.16,8.09,8.16,6841
2021-04-06 01:31:01,8.17,8.17,8.1,8.13,7602
2021-04-06 01:31:02,8.1,8.11,8.0986,8.0986,6204
2021-04-06 01:31:03,8.1,8.16,8.09,8.14,18227
2021-04-06 01:31:04,8.12,8.12,8.09,8.1004,13890
2021-04-06 01:31:05,8.075,8.1104,8.07,8.08,22302
2021-04-06 01:31:06,8.09,8.09,8.06,8.06,17820
2021-04-06 01:31:07,8.05,8.06,8.04,8.06,13158
2021-04-06 01:31:08,8.06,8.0754,8.04,8.0754,15194
2021-04-06 01:31:09,8.06,8.08,8.06,8.08,5375
2021-04-06 01:31:10,8.06,8.08,8.05,8.0784,19425
2021-04-06 01:31:11,8.05,8.08,8.05,8.08,8583
2021-04-06 01:31:12,8.08,8.14,8.0706,8.14,17522
2021-04-06 01:31:13,8.12,8.14,8.11,8.13,3685
2021-04-06 01:31:14,8.1299,8.14,8.12,8.1297,16614
2021-04-06 01:31:15,8.13,8.15,8.1,8.15,19247
2021-04-06 01:31:16,8.145,8.18,8.143,8.1798,8858
2021-04-06 01:31:17,8.1748,8.21,8.17,8.2,10337
2021-04-06 01:31:18,8.2,8.23,8.18,8.1826,9494
2021-04-06 01:31:19,8.19,8.22,8.14,8.14,13511
2021-04-06 01:31:20,8.16,8.16,8.14,8.15,6255
2021-04-06 01:31:21,8.16,8.17,8.15,8.17,5904
2021-04-06 01:31:22,8.16,8.2,8.16,8.2,6704
2021-04-06 01:31:23,8.2,8.2,8.17,8.1999,6944
2021-04-06 01:31:24,8.2,8.2,8.16,8.16,5656
2021-04-06 01:31:25,8.16,8.16,8.15,8.15,4652
2021-04-06 01:31:26,8.16,8.1997,8.15,8.17,4444
2021-04-06 01:31:27,8.17,8.18,8.16,8.17,1252
2021-04-06 01:31:28,8.18,8.18,8.16,8.16,3655
2021-04-06 01:31:29,8.16,8.2199,8.16,8.2,14963
2021-04-06 01:31:30,8.2,8.23,8.18,8.2,8635
2021-04-06 01:31:31,8.1875,8.2499,8.1875,8.24,6223
2021-04-06 01:31:32,8.23,8.25,8.17,8.17,11859
2021-04-06 01:31:33,8.17,8.2394,8.1672,8.192,10332
2021-04-06 01:31:34,8.2109,8.23,8.15,8.19,9212
2021-04-06 01:31:35,8.1888,8.19,8.17,8.17,11937
2021-04-06 01:31:36,8.17,8.21,8.17,8.2047,8939
2021-04-06 01:31:37,8.2235,8.23,8.21,8.21,3954
2021-04-06 01:31:38,8.2007,8.21,8.18,8.21,4212
2021-04-06 01:31:39,8.2064,8.21,8.18,8.19,4096
2021-04-06 01:31:40,8.19,8.21,8.18,8.18,5859
2021-04-06 01:31:41,8.18,8.18,8.16,8.18,6548
2021-04-06 01:31:42,8.17,8.17,8.13,8.1303,8762
2021-04-06 01:31:43,8.15,8.15,8.11,8.15,13447
2021-04-06 01:31:44,8.14,8.19,8.11,8.1298,5118
2021-04-06 01:31:45,8.13,8.15,8.11,8.13,1662
2021-04-06 01:31:46,8.13,8.14,8.111,8.111,2725
2021-04-06 01:31:47,8.11,8.12,8.1,8.1049,12363
2021-04-06 01:31:48,8.1,8.12,8.1,8.1102,5779
2021-04-06 01:31:49,8.11,8.11,8.09,8.0982,13077
2021-04-06 01:31:50,8.1,8.1,8.05,8.06,28828
2021-04-06 01:31:51,8.051,8.06,8,8.01,38273
2021-04-06 01:31:52,8,8.03,7.97,7.97,42125
2021-04-06 01:31:53,7.97,8,7.96,7.97,27224
2021-04-06 01:31:54,7.98,8.015,7.98,8.015,14238
2021-04-06 01:31:55,8,8.03,7.99,8,29950
2021-04-06 01:31:56,7.995,8.03,7.99,8.01,10090
2021-04-06 01:31:57,8.0102,8.045,7.99,8.0016,37317
2021-04-06 01:31:58,8.008,8.03,8,8.015,8808
2021-04-06 01:31:59,8.0001,8.035,8.0001,8.0218,20392
2021-04-06 01:32:00,8.02,8.05,8,8.05,6923
2021-04-06 01:32:01,8.04,8.0599,8.03,8.0497,7396
2021-04-06 01:32:02,8.0592,8.09,8.05,8.09,8509
2021-04-06 01:32:03,8.09,8.1,8.07,8.075,10352
2021-04-06 01:32:04,8.08,8.08,8.03,8.05,19814
2021-04-06 01:32:05,8.0401,8.1,8.0401,8.08,5144
2021-04-06 01:32:06,8.08,8.09,8.06,8.09,4999
2021-04-06 01:32:07,8.08,8.0894,8.06,8.06,3807
2021-04-06 01:32:08,8.05,8.0698,8.05,8.05,5061
2021-04-06 01:32:09,8.051,8.07,8.05,8.06,2868
2021-04-06 01:32:10,8.06,8.06,8.06,8.06,1076
2021-04-06 01:32:11,8.0501,8.0699,8.05,8.05,1875
2021-04-06 01:32:12,8.06,8.0601,8.06,8.06,5047
2021-04-06 01:32:13,8.0652,8.07,8.06,8.07,2272
2021-04-06 01:32:14,8.07,8.07,8.06,8.0658,2085
2021-04-06 01:32:15,8.07,8.1,8.0699,8.1,4638
2021-04-06 01:32:16,8.0976,8.115,8.08,8.1101,7747
2021-04-06 01:32:17,8.11,8.15,8.1,8.133,7832
2021-04-06 01:32:18,8.13,8.15,8.12,8.13,9865
2021-04-06 01:32:19,8.1359,8.15,8.12,8.15,12041
2021-04-06 01:32:20,8.1346,8.15,8.12,8.14,5700
2021-04-06 01:32:21,8.144,8.15,8.12,8.12,4773
2021-04-06 01:32:22,8.1201,8.1201,8.11,8.11,4416
2021-04-06 01:32:23,8.11,8.13,8.11,8.1194,5640
2021-04-06 01:32:24,8.11,8.13,8.09,8.1299,8320
2021-04-06 01:32:25,8.12,8.1277,8.07,8.07,6892
2021-04-06 01:32:26,8.06,8.09,8.06,8.09,2349
2021-04-06 01:32:27,8.08,8.09,8.07,8.08,17913
2021-04-06 01:32:28,8.08,8.0899,8.07,8.08,4055
2021-04-06 01:32:29,8.07,8.09,8.07,8.08,4165
2021-04-06 01:32:30,8.085,8.085,8.08,8.08,363
2021-04-06 01:32:31,8.08,8.08,8.0401,8.0401,8841
2021-04-06 01:32:32,8.04,8.0403,8,8.01,26797
2021-04-06 01:32:33,8,8.02,7.9,7.9,41243
2021-04-06 01:32:34,7.9003,7.92,7.9,7.9003,9410
2021-04-06 01:32:35,7.9099,7.92,7.9,7.9,13876
2021-04-06 01:32:36,7.91,7.92,7.9,7.9104,9115
2021-04-06 01:32:37,7.9,7.94,7.9,7.92,16559
2021-04-06 01:32:38,7.92,7.9394,7.91,7.92,17480
2021-04-06 01:32:39,7.9299,7.94,7.9,7.9299,19195
2021-04-06 01:32:40,7.9299,7.94,7.9,7.9,12179
2021-04-06 01:32:41,7.9,7.92,7.9,7.92,10970
2021-04-06 01:32:42,7.9182,7.92,7.9,7.92,6948
2021-04-06 01:32:43,7.9,7.915,7.9,7.9,4651
2021-04-06 01:32:44,7.9,7.92,7.9,7.9,8739
2021-04-06 01:32:45,7.9,7.92,7.89,7.9016,4192
2021-04-06 01:32:46,7.9,7.93,7.9,7.93,6739
2021-04-06 01:32:47,7.94,7.94,7.92,7.93,7708
2021-04-06 01:32:48,7.94,7.94,7.93,7.93,7073
2021-04-06 01:32:49,7.94,7.98,7.94,7.9795,8704
2021-04-06 01:32:50,7.99,8,7.98,8,11674
2021-04-06 01:32:51,7.9973,8,7.97,7.985,15089
2021-04-06 01:32:52,7.97,8.03,7.94,7.96,13652
2021-04-06 01:32:53,7.9506,7.97,7.94,7.97,9286
2021-04-06 01:32:54,7.97,7.97,7.9601,7.9699,1326
2021-04-06 01:32:55,7.9607,8.0294,7.9607,8.0001,3902
2021-04-06 01:32:56,8.0003,8.03,8,8.02,3174
2021-04-06 01:32:57,8.0113,8.0299,8.01,8.0121,3284
2021-04-06 01:32:58,8.0299,8.0299,8,8.0001,5341
2021-04-06 01:32:59,8,8.0196,8,8.0004,3674
2021-04-06 01:33:00,8.019,8.019,8,8,4215
2021-04-06 01:33:01,8,8.01,8,8.005,3498
2021-04-06 01:33:02,8,8.01,8,8,6799
2021-04-06 01:33:03,8.0099,8.01,7.9962,8.009,4328
2021-04-06 01:33:04,8.01,8.03,8.005,8.0293,5808
2021-04-06 01:33:05,8.0258,8.05,8.01,8.03,8432
2021-04-06 01:33:06,8.0499,8.05,8.035,8.0457,6458
2021-04-06 01:33:07,8.04,8.05,8.03,8.04,6784
2021-04-06 01:33:08,8.04,8.05,8.0367,8.05,4917
2021-04-06 01:33:09,8.05,8.05,8.04,8.0499,3901
2021-04-06 01:33:10,8.05,8.05,8.0408,8.05,6012
2021-04-06 01:33:11,8.0493,8.05,8.0406,8.05,2689
2021-04-06 01:33:12,8.05,8.05,8.04,8.04,3071
2021-04-06 01:33:13,8.04,8.05,8.03,8.04,19433
2021-04-06 01:33:14,8.05,8.05,8.03,8.0399,6218
2021-04-06 01:33:15,8.04,8.04,8.01,8.01,6631
2021-04-06 01:33:16,8.01,8.03,8.01,8.01,3362
2021-04-06 01:33:17,8.0299,8.0299,8.02,8.0208,2132
2021-04-06 01:33:18,8.01,8.04,8.01,8.04,4998
2021-04-06 01:33:19,8.02,8.0377,8.02,8.0201,4287
2021-04-06 01:33:20,8.025,8.09,8.025,8.09,8275
2021-04-06 01:33:21,8.09,8.1,8.08,8.09,3089
2021-04-06 01:33:22,8.1,8.13,8.05,8.07,17480
2021-04-06 01:33:23,8.07,8.0701,8.0148,8.0148,7798
2021-04-06 01:33:24,8.02,8.08,8.02,8.08,4450
2021-04-06 01:33:25,8.06,8.08,8.06,8.06,3354
2021-04-06 01:33:26,8.06,8.0699,8.06,8.0699,2413
2021-04-06 01:33:27,8.06,8.1,8.06,8.1,2545
2021-04-06 01:33:28,8.09,8.1,8.06,8.08,4816
2021-04-06 01:33:29,8.07,8.0801,8.07,8.0801,473
2021-04-06 01:33:30,8.0801,8.1,8.07,8.1,7046
2021-04-06 01:33:31,8.1,8.1,8.08,8.08,6036
