Date,Open,High,Low,Close,Volume
2021-04-06 01:30:04,1.82,1.85,1.82,1.83,591
2021-04-06 01:30:05,1.835,1.835,1.835,1.835,1000
2021-04-06 01:30:06,1.85,1.8684,1.84,1.85,2402
2021-04-06 01:30:07,1.85,1.85,1.85,1.85,549
2021-04-06 01:30:09,1.85,1.85,1.8435,1.85,1000
2021-04-06 01:30:10,1.85,1.85,1.841,1.841,4449
2021-04-06 01:30:11,1.85,1.8965,1.8465,1.865,6200
2021-04-06 01:30:12,1.8432,1.865,1.8432,1.865,306
2021-04-06 01:30:13,1.875,1.875,1.875,1.875,100
2021-04-06 01:30:15,1.875,1.875,1.85,1.85,5200
2021-04-06 01:30:16,1.895,1.895,1.89,1.89,1250
2021-04-06 01:30:18,1.865,1.8794,1.8306,1.8306,1000
2021-04-06 01:30:19,1.83,1.83,1.83,1.83,300
2021-04-06 01:30:23,1.87,1.89,1.87,1.8896,5800
2021-04-06 01:30:25,1.865,1.865,1.85,1.85,5850
2021-04-06 01:30:26,1.855,1.855,1.855,1.855,100
2021-04-06 01:30:27,1.83,1.85,1.83,1.85,1320
2021-04-06 01:30:28,1.8699,1.8699,1.83,1.83,350
2021-04-06 01:30:29,1.87,1.87,1.87,1.87,1250
2021-04-06 01:30:31,1.8699,1.8699,1.8699,1.8699,1000
2021-04-06 01:30:32,1.85,1.85,1.85,1.85,800
2021-04-06 01:30:34,1.86,1.87,1.86,1.8699,2500
2021-04-06 01:30:35,1.85,1.85,1.85,1.85,100
2021-04-06 01:30:37,1.85,1.85,1.85,1.85,800
2021-04-06 01:30:38,1.85,1.85,1.85,1.85,300
2021-04-06 01:30:42,1.855,1.855,1.855,1.855,100
2021-04-06 01:30:46,1.87,1.87,1.87,1.87,2000
2021-04-06 01:30:47,1.855,1.855,1.8401,1.8401,1241
2021-04-06 01:30:53,1.86,1.86,1.8505,1.8505,238
2021-04-06 01:30:54,1.85,1.85,1.8,1.8,14633
2021-04-06 01:30:57,1.795,1.795,1.795,1.795,2433
2021-04-06 01:30:59,1.79,1.7901,1.79,1.79,3074
2021-04-06 01:31:01,1.79,1.79,1.79,1.79,300
2021-04-06 01:31:02,1.8,1.8,1.77,1.7999,7164
2021-04-06 01:31:04,1.785,1.785,1.785,1.785,113
2021-04-06 01:31:07,1.78,1.7835,1.78,1.7835,2000
2021-04-06 01:31:09,1.785,1.785,1.785,1.785,537
2021-04-06 01:31:10,1.77,1.77,1.75,1.75,6202
2021-04-06 01:31:12,1.7401,1.745,1.7401,1.745,320
2021-04-06 01:31:14,1.74,1.74,1.74,1.74,300
2021-04-06 01:31:15,1.745,1.745,1.74,1.74,500
2021-04-06 01:31:17,1.74,1.74,1.74,1.74,100
2021-04-06 01:31:18,1.74,1.7403,1.735,1.735,3771
2021-04-06 01:31:19,1.74,1.74,1.74,1.74,1000
2021-04-06 01:31:20,1.74,1.74,1.73,1.735,2100
2021-04-06 01:31:21,1.74,1.74,1.74,1.74,700
2021-04-06 01:31:23,1.74,1.74,1.7,1.7,26608
2021-04-06 01:31:25,1.7,1.74,1.7,1.74,24127
2021-04-06 01:31:27,1.745,1.75,1.745,1.75,600
2021-04-06 01:31:29,1.74,1.74,1.74,1.74,1000
2021-04-06 01:31:30,1.72,1.73,1.72,1.73,780
2021-04-06 01:31:32,1.73,1.75,1.73,1.75,770
2021-04-06 01:31:33,1.74,1.75,1.74,1.75,400
2021-04-06 01:31:34,1.74,1.75,1.74,1.75,3200
2021-04-06 01:31:35,1.7301,1.7301,1.7301,1.7301,300
2021-04-06 01:31:36,1.74,1.8,1.74,1.8,7700
2021-04-06 01:31:37,1.8,1.8001,1.8,1.8,5200
2021-04-06 01:31:39,1.8,1.8,1.8,1.8,800
2021-04-06 01:31:40,1.775,1.775,1.775,1.775,100
2021-04-06 01:31:41,1.775,1.9,1.775,1.8,15100
2021-04-06 01:31:43,1.815,1.815,1.815,1.815,1000
2021-04-06 01:31:48,1.825,1.825,1.825,1.825,350
2021-04-06 01:31:50,1.805,1.805,1.805,1.805,1050
2021-04-06 01:31:51,1.805,1.8491,1.805,1.8491,485
2021-04-06 01:31:52,1.805,1.805,1.805,1.805,260
2021-04-06 01:31:54,1.805,1.84,1.805,1.84,850
2021-04-06 01:31:55,1.84,1.84,1.84,1.84,4400
2021-04-06 01:31:56,1.84,1.84,1.84,1.84,300
2021-04-06 01:31:57,1.82,1.82,1.82,1.82,105
2021-04-06 01:31:59,1.826,1.826,1.826,1.826,330
2021-04-06 01:32:00,1.8459,1.8459,1.8459,1.8459,1000
2021-04-06 01:32:02,1.812,1.812,1.812,1.812,400
2021-04-06 01:32:04,1.82,1.82,1.82,1.82,100
2021-04-06 01:32:06,1.8,1.8,1.8,1.8,3020
2021-04-06 01:32:07,1.825,1.825,1.825,1.825,1000
2021-04-06 01:32:09,1.825,1.825,1.825,1.825,850
2021-04-06 01:32:11,1.825,1.825,1.825,1.825,100
2021-04-06 01:32:12,1.81,1.81,1.81,1.81,700
2021-04-06 01:32:13,1.825,1.84,1.825,1.8395,7400
2021-04-06 01:32:14,1.81,1.81,1.77,1.77,9900
2021-04-06 01:32:20,1.8,1.8,1.8,1.8,300
2021-04-06 01:32:26,1.8,1.8,1.8,1.8,175
2021-04-06 01:32:31,1.805,1.8094,1.805,1.8094,900
2021-04-06 01:32:33,1.8,1.8,1.8,1.8,1098
2021-04-06 01:32:38,1.79,1.7956,1.78,1.78,1247
2021-04-06 01:32:39,1.79,1.79,1.79,1.79,1000
2021-04-06 01:32:41,1.795,1.8,1.795,1.8,3300
2021-04-06 01:32:42,1.8,1.81,1.8,1.81,4500
2021-04-06 01:32:45,1.8,1.8192,1.8,1.8192,200
2021-04-06 01:32:46,1.8,1.8005,1.8,1.8005,400
2021-04-06 01:32:47,1.81,1.82,1.81,1.82,1800
2021-04-06 01:32:48,1.815,1.8198,1.815,1.8198,200
2021-04-06 01:32:51,1.815,1.82,1.815,1.82,1600
2021-04-06 01:32:52,1.82,1.83,1.82,1.83,2260
2021-04-06 01:32:53,1.85,1.87,1.84,1.87,2800
2021-04-06 01:32:55,1.82,1.82,1.82,1.82,500
2021-04-06 01:32:56,1.81,1.81,1.8,1.8,2130
2021-04-06 01:32:57,1.79,1.8,1.79,1.8,1200
2021-04-06 01:32:58,1.79,1.8,1.79,1.8,8970
