Date,Open,High,Low,Close,Volume
2021-04-06 01:30:36,1.67,1.67,1.67,1.67,384
2021-04-06 01:31:17,1.67,1.67,1.67,1.67,543
2021-04-06 01:31:25,1.67,1.67,1.67,1.67,2014
2021-04-06 01:31:28,1.67,1.67,1.67,1.67,476
2021-04-06 01:31:37,1.67,1.67,1.67,1.67,100
2021-04-06 01:31:39,1.67,1.67,1.67,1.67,207
2021-04-06 01:31:40,1.675,1.6798,1.675,1.6798,200
2021-04-06 01:31:42,1.67,1.67,1.66,1.66,7510
2021-04-06 01:31:43,1.65,1.66,1.65,1.65,17526
2021-04-06 01:31:45,1.64,1.64,1.63,1.63,11162
2021-04-06 01:31:46,1.63,1.63,1.62,1.62,14070
2021-04-06 01:31:47,1.63,1.63,1.63,1.63,1505
2021-04-06 01:31:48,1.63,1.63,1.63,1.63,713
2021-04-06 01:31:50,1.62,1.625,1.62,1.62,2100
2021-04-06 01:31:52,1.63,1.63,1.63,1.63,509
2021-04-06 01:31:56,1.635,1.635,1.63,1.63,710
2021-04-06 01:32:03,1.64,1.64,1.62,1.62,4969
2021-04-06 01:32:05,1.62,1.62,1.62,1.62,231
2021-04-06 01:32:06,1.62,1.63,1.62,1.63,654
2021-04-06 01:32:07,1.62,1.62,1.62,1.62,200
2021-04-06 01:32:11,1.62,1.62,1.62,1.62,2000
2021-04-06 01:32:12,1.63,1.63,1.63,1.63,100
2021-04-06 01:32:14,1.64,1.64,1.64,1.64,600
2021-04-06 01:32:19,1.62,1.63,1.62,1.63,695
2021-04-06 01:32:23,1.6301,1.6301,1.63,1.63,598
2021-04-06 01:32:26,1.64,1.64,1.64,1.64,100
2021-04-06 01:32:27,1.64,1.64,1.64,1.64,100
2021-04-06 01:32:28,1.6399,1.64,1.6399,1.64,594
2021-04-06 01:32:32,1.6399,1.6399,1.6399,1.6399,109
2021-04-06 01:32:35,1.64,1.65,1.64,1.65,6304
2021-04-06 01:32:37,1.65,1.65,1.65,1.65,2257
2021-04-06 01:32:38,1.66,1.66,1.66,1.66,577
2021-04-06 01:32:40,1.67,1.67,1.67,1.67,234
2021-04-06 01:32:41,1.68,1.68,1.68,1.68,100
2021-04-06 01:32:42,1.68,1.68,1.68,1.68,1500
2021-04-06 01:32:43,1.68,1.68,1.66,1.66,4400
2021-04-06 01:32:44,1.67,1.67,1.67,1.67,950
2021-04-06 01:32:45,1.67,1.68,1.67,1.68,2667
2021-04-06 01:32:46,1.69,1.7,1.69,1.7,4933
2021-04-06 01:32:47,1.7001,1.7001,1.7001,1.7001,2000
2021-04-06 01:32:48,1.71,1.71,1.71,1.71,2000
2021-04-06 01:32:49,1.7,1.7,1.7,1.7,1150
2021-04-06 01:32:50,1.71,1.71,1.69,1.69,3324
2021-04-06 01:32:52,1.7,1.7,1.69,1.69,1300
2021-04-06 01:32:53,1.7,1.7,1.7,1.7,500
2021-04-06 01:32:54,1.7,1.7,1.7,1.7,2096
2021-04-06 01:32:56,1.7,1.7,1.7,1.7,100
2021-04-06 01:32:57,1.7,1.7,1.7,1.7,3500
2021-04-06 01:33:00,1.7,1.7,1.7,1.7,600
2021-04-06 01:33:01,1.7,1.7,1.7,1.7,1000
2021-04-06 01:33:02,1.7,1.7,1.69,1.7,2890
2021-04-06 01:33:03,1.71,1.71,1.71,1.71,1777
2021-04-06 01:33:04,1.7099,1.71,1.7099,1.71,2208
2021-04-06 01:33:09,1.72,1.72,1.72,1.72,1982
2021-04-06 01:33:12,1.72,1.72,1.72,1.72,200
2021-04-06 01:33:13,1.71,1.71,1.71,1.71,500
2021-04-06 01:33:15,1.72,1.72,1.72,1.72,900
2021-04-06 01:33:16,1.71,1.71,1.71,1.71,500
2021-04-06 01:33:19,1.71,1.71,1.71,1.71,1808
2021-04-06 01:33:24,1.71,1.71,1.71,1.71,908
2021-04-06 01:33:26,1.71,1.71,1.71,1.71,100
2021-04-06 01:33:29,1.71,1.71,1.7,1.7,1673
2021-04-06 01:33:30,1.68,1.7,1.68,1.68,3878
2021-04-06 01:33:31,1.68,1.69,1.675,1.675,2595
2021-04-06 01:33:32,1.7,1.7198,1.7,1.7198,4000
2021-04-06 01:33:33,1.715,1.72,1.715,1.72,1101
2021-04-06 01:33:34,1.72,1.72,1.72,1.72,4100
2021-04-06 01:33:35,1.72,1.72,1.72,1.72,1000
2021-04-06 01:33:37,1.72,1.72,1.72,1.72,3900
2021-04-06 01:33:38,1.72,1.72,1.72,1.72,2000
2021-04-06 01:33:39,1.72,1.72,1.72,1.72,1965
2021-04-06 01:33:41,1.72,1.72,1.72,1.72,2064
2021-04-06 01:33:44,1.72,1.72,1.72,1.72,100
2021-04-06 01:33:45,1.72,1.72,1.72,1.72,100
2021-04-06 01:33:46,1.71,1.71,1.71,1.71,500
2021-04-06 01:33:48,1.7,1.71,1.7,1.71,705
2021-04-06 01:33:49,1.71,1.72,1.71,1.72,1300
2021-04-06 01:33:50,1.72,1.72,1.72,1.72,2912
2021-04-06 01:33:51,1.72,1.735,1.72,1.73,2160
2021-04-06 01:33:53,1.735,1.735,1.73,1.73,200
2021-04-06 01:33:55,1.72,1.72,1.72,1.72,500
2021-04-06 01:33:57,1.725,1.73,1.725,1.73,2200
2021-04-06 01:34:01,1.73,1.73,1.73,1.73,1271
2021-04-06 01:34:02,1.73,1.73,1.73,1.73,652
2021-04-06 01:34:05,1.7301,1.7301,1.7301,1.7301,500
2021-04-06 01:34:06,1.74,1.74,1.74,1.74,2498
2021-04-06 01:34:07,1.74,1.75,1.74,1.75,34534
2021-04-06 01:34:12,1.75,1.75,1.75,1.75,571
2021-04-06 01:34:13,1.75,1.75,1.745,1.75,428
2021-04-06 01:34:14,1.74,1.75,1.74,1.75,750
2021-04-06 01:34:17,1.76,1.76,1.76,1.76,500
2021-04-06 01:34:26,1.74,1.74,1.74,1.74,379
2021-04-06 01:34:27,1.74,1.74,1.74,1.74,586
2021-04-06 01:34:30,1.74,1.75,1.74,1.75,1206
2021-04-06 01:34:32,1.74,1.74,1.74,1.74,114
2021-04-06 01:34:33,1.75,1.75,1.75,1.75,700
2021-04-06 01:34:34,1.74,1.74,1.74,1.74,204
2021-04-06 01:34:35,1.74,1.74,1.74,1.74,300
2021-04-06 01:34:39,1.74,1.74,1.74,1.74,200
2021-04-06 01:34:46,1.73,1.73,1.72,1.72,562
2021-04-06 01:34:47,1.72,1.72,1.72,1.72,206
2021-04-06 01:34:51,1.71,1.71,1.71,1.71,302
2021-04-06 01:34:53,1.7,1.7,1.7,1.7,200
2021-04-06 01:34:54,1.71,1.71,1.71,1.71,1000
2021-04-06 01:34:56,1.71,1.71,1.71,1.71,500
2021-04-06 01:34:58,1.71,1.71,1.7,1.7,300
2021-04-06 01:35:05,1.71,1.71,1.71,1.71,261
2021-04-06 01:35:07,1.71,1.7101,1.7,1.71,6044
2021-04-06 01:35:13,1.7,1.7,1.7,1.7,100
2021-04-06 01:35:15,1.7,1.7,1.7,1.7,1857
2021-04-06 01:35:18,1.705,1.71,1.705,1.71,400
2021-04-06 01:35:20,1.71,1.71,1.71,1.71,9775
2021-04-06 01:35:21,1.7,1.71,1.7,1.71,256
2021-04-06 01:35:22,1.7,1.7,1.7,1.7,200
2021-04-06 01:35:24,1.7,1.7,1.7,1.7,300
2021-04-06 01:35:26,1.7,1.71,1.7,1.71,200
2021-04-06 01:35:27,1.7,1.71,1.7,1.71,1600
2021-04-06 01:35:28,1.71,1.71,1.7,1.7,2000
2021-04-06 01:35:31,1.7,1.7,1.7,1.7,2500
2021-04-06 01:35:32,1.7,1.7,1.7,1.7,100
2021-04-06 01:35:36,1.7,1.7,1.7,1.7,1000
2021-04-06 01:35:37,1.7,1.71,1.69,1.69,5857
2021-04-06 01:35:43,1.7,1.7002,1.7,1.7002,392
2021-04-06 01:35:46,1.69,1.695,1.69,1.69,2604
2021-04-06 01:35:49,1.7,1.7,1.7,1.7,200
2021-04-06 01:35:50,1.695,1.7,1.695,1.7,1300
2021-04-06 01:35:51,1.7,1.7002,1.7,1.7002,852
2021-04-06 01:35:55,1.7,1.7,1.7,1.7,105
2021-04-06 01:35:58,1.71,1.71,1.71,1.71,452
2021-04-06 01:35:59,1.705,1.705,1.7,1.7,1000
2021-04-06 01:36:01,1.7,1.705,1.7,1.7,2670
2021-04-06 01:36:04,1.69,1.69,1.69,1.69,100
2021-04-06 01:36:10,1.7,1.7,1.7,1.7,1500
2021-04-06 01:36:11,1.69,1.69,1.69,1.69,100
2021-04-06 01:36:16,1.68,1.69,1.68,1.69,8700
2021-04-06 01:36:19,1.69,1.7,1.69,1.7,2552
2021-04-06 01:36:23,1.7,1.7,1.7,1.7,548
2021-04-06 01:36:42,1.7,1.7,1.7,1.7,1000
2021-04-06 01:36:43,1.7,1.7,1.7,1.7,1000
2021-04-06 01:36:54,1.69,1.69,1.69,1.69,200
2021-04-06 01:36:59,1.69,1.7,1.68,1.695,425977
2021-04-06 01:37:00,1.68,1.7,1.68,1.6826,4601
2021-04-06 01:37:01,1.69,1.6993,1.69,1.6993,4164
2021-04-06 01:37:02,1.69,1.69,1.69,1.69,251
2021-04-06 01:37:03,1.69,1.7,1.66,1.66,14654
2021-04-06 01:37:04,1.66,1.66,1.65,1.6531,7408
2021-04-06 01:37:05,1.65,1.65,1.64,1.6473,13434
2021-04-06 01:37:06,1.635,1.65,1.63,1.63,2437
2021-04-06 01:37:07,1.64,1.64,1.64,1.64,1157
2021-04-06 01:37:08,1.63,1.67,1.63,1.67,10869
2021-04-06 01:37:09,1.6501,1.6501,1.6501,1.6501,200
2021-04-06 01:37:10,1.66,1.66,1.65,1.66,4727
2021-04-06 01:37:11,1.66,1.66,1.65,1.6501,2635
2021-04-06 01:37:12,1.6688,1.6688,1.6688,1.6688,2039
2021-04-06 01:37:13,1.6521,1.66,1.6521,1.66,541
2021-04-06 01:37:14,1.6617,1.6617,1.66,1.66,507
2021-04-06 01:37:15,1.65,1.655,1.65,1.655,370
2021-04-06 01:37:17,1.65,1.65,1.64,1.64,503
2021-04-06 01:37:18,1.66,1.66,1.66,1.66,1000
2021-04-06 01:37:21,1.6531,1.66,1.6531,1.66,2405
2021-04-06 01:37:22,1.65,1.655,1.65,1.655,1737
2021-04-06 01:37:23,1.65,1.65,1.64,1.64,5218
2021-04-06 01:37:25,1.6492,1.65,1.6492,1.65,8313
2021-04-06 01:37:26,1.6484,1.65,1.6484,1.65,4117
