Date,Open,High,Low,Close,Volume
2021-04-07 01:30:45,2.945,2.96,2.85,2.85,125869
2021-04-07 01:30:46,2.855,2.8704,2.85,2.85,89550
2021-04-07 01:30:47,2.85,2.9,2.84,2.89,133425
2021-04-07 01:30:48,2.895,2.895,2.87,2.8801,35799
2021-04-07 01:30:49,2.885,2.89,2.86,2.88,85903
2021-04-07 01:30:50,2.88,2.89,2.85,2.87,43518
2021-04-07 01:30:51,2.88,2.89,2.87,2.87,20268
2021-04-07 01:30:52,2.875,2.88,2.84,2.84,22470
2021-04-07 01:30:53,2.8421,2.88,2.84,2.85,44491
2021-04-07 01:30:54,2.85,2.8573,2.82,2.8287,30432
2021-04-07 01:30:55,2.82,2.84,2.805,2.83,51182
2021-04-07 01:30:56,2.821,2.84,2.81,2.82,37673
2021-04-07 01:30:57,2.82,2.84,2.82,2.83,18271
2021-04-07 01:30:58,2.83,2.85,2.83,2.85,19339
2021-04-07 01:30:59,2.844,2.8599,2.83,2.8509,20320
2021-04-07 01:31:00,2.85,2.86,2.84,2.84,22154
2021-04-07 01:31:01,2.8571,2.86,2.84,2.84,22193
2021-04-07 01:31:02,2.85,2.85,2.82,2.82,11669
2021-04-07 01:31:03,2.82,2.83,2.74,2.74,183579
2021-04-07 01:31:04,2.7439,2.75,2.72,2.74,71928
2021-04-07 01:31:05,2.72,2.74,2.72,2.7202,61426
2021-04-07 01:31:06,2.72,2.83,2.72,2.75,90461
2021-04-07 01:31:07,2.77,2.79,2.75,2.7638,41483
2021-04-07 01:31:08,2.7686,2.78,2.75,2.75,39828
2021-04-07 01:31:09,2.761,2.77,2.73,2.739,17316
2021-04-07 01:31:10,2.73,2.74,2.71,2.715,55065
2021-04-07 01:31:11,2.715,2.73,2.7,2.72,91891
2021-04-07 01:31:12,2.72,2.72,2.69,2.7098,63195
2021-04-07 01:31:13,2.705,2.71,2.69,2.71,56262
2021-04-07 01:31:14,2.7001,2.71,2.6901,2.705,35675
2021-04-07 01:31:15,2.71,2.71,2.69,2.7,43163
2021-04-07 01:31:16,2.71,2.71,2.6933,2.71,40575
2021-04-07 01:31:17,2.705,2.71,2.7,2.71,22310
2021-04-07 01:31:18,2.71,2.72,2.7,2.705,58986
2021-04-07 01:31:19,2.71,2.71,2.7,2.71,16401
2021-04-07 01:31:20,2.71,2.71,2.7,2.7094,15512
2021-04-07 01:31:21,2.71,2.7134,2.7,2.7134,47299
2021-04-07 01:31:22,2.71,2.72,2.71,2.72,43840
2021-04-07 01:31:23,2.71,2.74,2.71,2.73,14433
2021-04-07 01:31:24,2.7293,2.74,2.72,2.72,40505
2021-04-07 01:31:25,2.73,2.74,2.72,2.73,37505
2021-04-07 01:31:26,2.7217,2.73,2.72,2.73,9186
2021-04-07 01:31:27,2.72,2.73,2.72,2.7299,12229
2021-04-07 01:31:28,2.72,2.73,2.715,2.7299,27265
2021-04-07 01:31:29,2.73,2.7395,2.71,2.71,36491
2021-04-07 01:31:30,2.7156,2.72,2.71,2.71,4350
2021-04-07 01:31:31,2.715,2.72,2.71,2.719,23882
2021-04-07 01:31:32,2.715,2.72,2.71,2.71,21930
2021-04-07 01:31:33,2.7133,2.7299,2.71,2.71,7060
2021-04-07 01:31:34,2.7122,2.7198,2.71,2.719,6334
2021-04-07 01:31:35,2.715,2.73,2.715,2.729,5086
2021-04-07 01:31:36,2.7236,2.73,2.71,2.72,25092
2021-04-07 01:31:37,2.7299,2.73,2.72,2.72,10927
2021-04-07 01:31:38,2.7285,2.7398,2.72,2.73,27874
2021-04-07 01:31:39,2.737,2.74,2.725,2.735,11980
2021-04-07 01:31:40,2.74,2.74,2.73,2.735,32017
2021-04-07 01:31:41,2.7349,2.735,2.7312,2.7313,2860
2021-04-07 01:31:42,2.7338,2.74,2.73,2.73,11692
2021-04-07 01:31:43,2.73,2.74,2.72,2.7301,27606
2021-04-07 01:31:44,2.725,2.73,2.72,2.7288,7940
2021-04-07 01:31:45,2.729,2.73,2.72,2.72,20552
2021-04-07 01:31:46,2.72,2.73,2.72,2.72,12465
2021-04-07 01:31:47,2.725,2.73,2.72,2.73,5975
2021-04-07 01:31:48,2.7279,2.73,2.72,2.72,11224
2021-04-07 01:31:49,2.72,2.725,2.7,2.71,101917
2021-04-07 01:31:50,2.71,2.71,2.68,2.6866,111115
2021-04-07 01:31:51,2.6889,2.7,2.68,2.685,46620
2021-04-07 01:31:52,2.685,2.7,2.68,2.69,33115
2021-04-07 01:31:53,2.68,2.7,2.68,2.7,37112
2021-04-07 01:31:54,2.7,2.71,2.69,2.7,50966
2021-04-07 01:31:55,2.7,2.72,2.6982,2.72,55004
2021-04-07 01:31:56,2.71,2.72,2.71,2.7199,21807
2021-04-07 01:31:57,2.719,2.72,2.7128,2.72,4507
2021-04-07 01:31:58,2.718,2.725,2.71,2.72,26952
2021-04-07 01:31:59,2.72,2.72,2.71,2.7198,20415
2021-04-07 01:32:00,2.71,2.72,2.7,2.7082,16306
2021-04-07 01:32:01,2.71,2.71,2.7,2.71,12223
2021-04-07 01:32:02,2.71,2.72,2.7,2.7,31320
2021-04-07 01:32:03,2.71,2.71,2.7,2.71,7688
2021-04-07 01:32:04,2.71,2.71,2.69,2.7,82069
2021-04-07 01:32:05,2.7,2.7,2.69,2.7,41096
2021-04-07 01:32:06,2.69,2.7,2.69,2.7,22414
2021-04-07 01:32:07,2.7,2.7,2.69,2.699,6500
2021-04-07 01:32:08,2.7,2.71,2.69,2.71,62607
2021-04-07 01:32:09,2.7,2.71,2.7,2.71,22427
2021-04-07 01:32:10,2.71,2.71,2.7,2.7082,14434
2021-04-07 01:32:11,2.71,2.71,2.7056,2.71,9559
2021-04-07 01:32:12,2.71,2.72,2.7,2.71,21170
2021-04-07 01:32:13,2.71,2.71,2.695,2.695,21950
2021-04-07 01:32:14,2.69,2.7,2.69,2.6999,9999
2021-04-07 01:32:15,2.69,2.7,2.69,2.69,12644
2021-04-07 01:32:16,2.69,2.7,2.69,2.69,17703
2021-04-07 01:32:17,2.7,2.7,2.69,2.69,4427
2021-04-07 01:32:18,2.695,2.7,2.69,2.692,6953
2021-04-07 01:32:19,2.7,2.7,2.69,2.7,14370
