Date,Open,High,Low,Close,Volume
2021-04-07 01:30:45,5.621,5.63,5.61,5.615,86476
2021-04-07 01:30:46,5.6185,5.62,5.61,5.6166,24744
2021-04-07 01:30:47,5.6199,5.62,5.61,5.6105,35019
2021-04-07 01:30:48,5.6134,5.6186,5.6,5.6012,104935
2021-04-07 01:30:49,5.61,5.61,5.6,5.605,48925
2021-04-07 01:30:50,5.6008,5.61,5.6,5.6054,57267
2021-04-07 01:30:51,5.61,5.61,5.6,5.6012,41609
2021-04-07 01:30:52,5.6,5.62,5.6,5.62,54846
2021-04-07 01:30:53,5.62,5.62,5.6,5.62,132613
2021-04-07 01:30:54,5.62,5.64,5.61,5.64,33623
2021-04-07 01:30:55,5.6399,5.65,5.63,5.65,26047
2021-04-07 01:30:56,5.65,5.66,5.64,5.651,59833
2021-04-07 01:30:57,5.6599,5.67,5.65,5.66,51438
2021-04-07 01:30:58,5.66,5.67,5.61,5.65,163816
2021-04-07 01:30:59,5.65,5.66,5.63,5.64,29437
2021-04-07 01:31:00,5.6308,5.645,5.63,5.64,20785
2021-04-07 01:31:01,5.64,5.65,5.6312,5.64,30279
2021-04-07 01:31:02,5.631,5.64,5.63,5.64,41237
2021-04-07 01:31:03,5.6301,5.64,5.62,5.62,29292
2021-04-07 01:31:04,5.63,5.63,5.6201,5.6291,20779
2021-04-07 01:31:05,5.625,5.63,5.62,5.63,18955
2021-04-07 01:31:06,5.63,5.63,5.6201,5.625,19761
2021-04-07 01:31:07,5.6244,5.63,5.62,5.625,60545
2021-04-07 01:31:08,5.6201,5.63,5.62,5.627,24499
2021-04-07 01:31:09,5.6209,5.63,5.61,5.6288,54013
2021-04-07 01:31:10,5.6201,5.64,5.62,5.6351,19094
2021-04-07 01:31:11,5.64,5.64,5.63,5.6366,24183
2021-04-07 01:31:12,5.64,5.65,5.635,5.65,21999
2021-04-07 01:31:13,5.6414,5.65,5.64,5.6499,31021
2021-04-07 01:31:14,5.6456,5.65,5.64,5.649,95970
2021-04-07 01:31:15,5.645,5.66,5.64,5.66,45030
2021-04-07 01:31:16,5.66,5.6652,5.6419,5.6491,44962
2021-04-07 01:31:17,5.65,5.66,5.645,5.66,33738
2021-04-07 01:31:18,5.6515,5.67,5.65,5.66,45311
2021-04-07 01:31:19,5.66,5.67,5.66,5.6687,26963
2021-04-07 01:31:20,5.66,5.67,5.65,5.6563,32066
2021-04-07 01:31:21,5.66,5.67,5.65,5.655,40336
2021-04-07 01:31:22,5.655,5.66,5.65,5.6591,28157
2021-04-07 01:31:23,5.6511,5.66,5.65,5.66,27171
2021-04-07 01:31:24,5.652,5.67,5.652,5.67,33796
2021-04-07 01:31:25,5.66,5.68,5.66,5.6716,108530
2021-04-07 01:31:26,5.68,5.72,5.675,5.72,69095
2021-04-07 01:31:27,5.72,5.72,5.7,5.7098,43339
2021-04-07 01:31:28,5.71,5.71,5.69,5.6992,56421
2021-04-07 01:31:29,5.695,5.71,5.69,5.6982,51638
2021-04-07 01:31:30,5.699,5.7,5.67,5.675,55269
2021-04-07 01:31:31,5.6722,5.69,5.66,5.66,54283
2021-04-07 01:31:32,5.6692,5.67,5.66,5.6612,36399
2021-04-07 01:31:33,5.6655,5.67,5.6501,5.6601,48518
2021-04-07 01:31:34,5.67,5.67,5.65,5.6591,35039
2021-04-07 01:31:35,5.6592,5.67,5.65,5.6601,22838
2021-04-07 01:31:36,5.665,5.67,5.66,5.665,41308
2021-04-07 01:31:37,5.665,5.68,5.6601,5.6798,16258
2021-04-07 01:31:38,5.6702,5.7,5.6702,5.6961,50410
2021-04-07 01:31:39,5.7,5.7,5.69,5.7,33597
2021-04-07 01:31:40,5.7,5.72,5.7,5.71,34880
2021-04-07 01:31:41,5.7092,5.71,5.7,5.7089,16759
2021-04-07 01:31:42,5.705,5.71,5.7,5.7092,35445
2021-04-07 01:31:43,5.7056,5.72,5.7,5.7092,57826
2021-04-07 01:31:44,5.7015,5.71,5.7,5.7001,29022
2021-04-07 01:31:45,5.7,5.71,5.7,5.705,33798
2021-04-07 01:31:46,5.7069,5.71,5.7,5.7094,27221
2021-04-07 01:31:47,5.7092,5.71,5.7,5.7007,31361
2021-04-07 01:31:48,5.71,5.71,5.7,5.7,38007
2021-04-07 01:31:49,5.7099,5.71,5.7004,5.71,39150
2021-04-07 01:31:50,5.71,5.75,5.7,5.72,144192
2021-04-07 01:31:51,5.7293,5.73,5.7,5.705,51032
2021-04-07 01:31:52,5.7,5.71,5.7,5.7098,51374
2021-04-07 01:31:53,5.7093,5.71,5.7,5.705,47067
2021-04-07 01:31:54,5.71,5.71,5.7,5.705,24658
2021-04-07 01:31:55,5.709,5.71,5.6744,5.68,102189
2021-04-07 01:31:56,5.6712,5.68,5.67,5.6773,42204
2021-04-07 01:31:57,5.6788,5.69,5.67,5.675,56344
2021-04-07 01:31:58,5.675,5.7,5.67,5.69,28133
2021-04-07 01:31:59,5.69,5.7,5.68,5.695,29954
2021-04-07 01:32:00,5.695,5.7,5.68,5.6888,50765
2021-04-07 01:32:01,5.685,5.69,5.68,5.6811,15904
2021-04-07 01:32:02,5.6899,5.7,5.6701,5.7,150305
2021-04-07 01:32:03,5.7,5.7,5.69,5.695,126165
2021-04-07 01:32:04,5.6901,5.7,5.6901,5.7,53584
2021-04-07 01:32:05,5.71,5.73,5.71,5.72,78430
2021-04-07 01:32:06,5.71,5.72,5.7,5.715,26157
2021-04-07 01:32:07,5.7155,5.72,5.71,5.7163,27185
2021-04-07 01:32:08,5.72,5.735,5.72,5.725,34503
2021-04-07 01:32:09,5.7201,5.74,5.72,5.729,39890
2021-04-07 01:32:10,5.7201,5.74,5.72,5.7382,53433
2021-04-07 01:32:11,5.739,5.75,5.7301,5.75,28708
2021-04-07 01:32:12,5.7413,5.77,5.7401,5.77,72898
2021-04-07 01:32:13,5.765,5.77,5.7501,5.7586,60370
2021-04-07 01:32:14,5.755,5.76,5.75,5.76,150903
2021-04-07 01:32:15,5.76,5.77,5.75,5.7659,42264
2021-04-07 01:32:16,5.7612,5.77,5.76,5.765,70029
2021-04-07 01:32:17,5.7601,5.78,5.76,5.78,76558
2021-04-07 01:32:18,5.775,5.8,5.77,5.7999,97421
2021-04-07 01:32:19,5.79,5.81,5.79,5.8099,115293
2021-04-07 01:32:20,5.8093,5.82,5.8001,5.819,100386
2021-04-07 01:32:21,5.82,5.84,5.8116,5.8282,98149
2021-04-07 01:32:22,5.8293,5.85,5.825,5.8402,152494
2021-04-07 01:32:23,5.845,5.87,5.82,5.859,142079
2021-04-07 01:32:24,5.8552,5.9,5.85,5.895,152594
2021-04-07 01:32:25,5.8999,5.93,5.88,5.9288,268677
2021-04-07 01:32:26,5.93,5.95,5.9101,5.95,91495
2021-04-07 01:32:27,5.949,5.96,5.94,5.96,150009
2021-04-07 01:32:28,5.957,5.98,5.942,5.96,94071
2021-04-07 01:32:29,5.9699,5.98,5.96,5.979,107558
2021-04-07 01:32:30,5.9786,5.99,5.96,5.99,192494
2021-04-07 01:32:31,5.99,6,5.97,6,142649
2021-04-07 01:32:32,6,6,5.9819,6,144844
2021-04-07 01:32:33,6,6,5.99,5.9901,323470
2021-04-07 01:32:34,6,6,5.98,5.9801,61197
2021-04-07 01:32:35,5.9802,5.985,5.94,5.95,145080
2021-04-07 01:32:36,5.9488,5.95,5.93,5.93,106808
2021-04-07 01:32:37,5.935,5.938,5.9,5.9002,77492
2021-04-07 01:32:38,5.905,5.91,5.9,5.9087,78690
2021-04-07 01:32:39,5.905,5.91,5.89,5.8901,113296
2021-04-07 01:32:40,5.8901,5.9,5.89,5.895,80484
2021-04-07 01:32:41,5.895,5.9,5.89,5.89,97223
2021-04-07 01:32:42,5.89,5.9,5.89,5.8901,87557
2021-04-07 01:32:43,5.9,5.92,5.8801,5.915,91173
2021-04-07 01:32:44,5.92,5.94,5.92,5.9301,67155
2021-04-07 01:32:45,5.9301,5.95,5.9301,5.945,61644
2021-04-07 01:32:46,5.949,5.97,5.94,5.97,123034
2021-04-07 01:32:47,5.9593,5.9699,5.94,5.9501,61983
2021-04-07 01:32:48,5.9586,5.97,5.95,5.9601,53921
2021-04-07 01:32:49,5.9608,5.97,5.96,5.9609,83701
2021-04-07 01:32:50,5.9601,5.98,5.96,5.9701,47652
2021-04-07 01:32:51,5.971,5.98,5.97,5.98,68769
2021-04-07 01:32:52,5.9794,5.99,5.9701,5.985,69162
2021-04-07 01:32:53,5.9878,6,5.98,5.9944,93277
2021-04-07 01:32:54,5.995,6.02,5.99,6.019,319654
2021-04-07 01:32:55,6.02,6.03,6,6.0202,106173
2021-04-07 01:32:56,6.025,6.03,6.01,6.0298,149543
2021-04-07 01:32:57,6.02,6.03,6.02,6.0295,103067
2021-04-07 01:32:58,6.03,6.03,6.01,6.0299,80950
2021-04-07 01:32:59,6.025,6.04,6.02,6.0393,111070
2021-04-07 01:33:00,6.035,6.04,6.01,6.0291,139947
2021-04-07 01:33:01,6.025,6.03,6.015,6.025,79174
2021-04-07 01:33:02,6.025,6.04,6.02,6.0248,80112
2021-04-07 01:33:03,6.03,6.03,6.02,6.0278,93934
2021-04-07 01:33:04,6.0252,6.0299,6.01,6.0101,48287
2021-04-07 01:33:05,6.015,6.02,6,6.0093,82783
2021-04-07 01:33:06,6,6.01,6,6.0079,96084
2021-04-07 01:33:07,6.005,6.01,5.9901,5.995,61649
2021-04-07 01:33:08,6,6,5.99,5.995,50439
2021-04-07 01:33:09,5.995,6,5.98,5.9848,37099
2021-04-07 01:33:10,5.985,5.99,5.9785,5.98,64824
2021-04-07 01:33:11,5.975,5.98,5.96,5.9615,63415
