Date,Open,High,Low,Close,Volume
2021-04-07 01:30:45,2.41,2.42,2.4,2.41,25939
2021-04-07 01:30:46,2.41,2.4201,2.41,2.41,24332
2021-04-07 01:30:47,2.41,2.42,2.41,2.415,13081
2021-04-07 01:30:48,2.41,2.42,2.4,2.4,15766
2021-04-07 01:30:49,2.41,2.41,2.38,2.39,18319
2021-04-07 01:30:50,2.3971,2.42,2.39,2.4,34781
2021-04-07 01:30:51,2.4,2.41,2.39,2.4001,16906
2021-04-07 01:30:52,2.4,2.42,2.39,2.39,19436
2021-04-07 01:30:53,2.39,2.42,2.39,2.4,10714
2021-04-07 01:30:54,2.405,2.41,2.4,2.405,5572
2021-04-07 01:30:55,2.4066,2.4066,2.39,2.39,19071
2021-04-07 01:30:56,2.3915,2.4,2.33,2.33,75516
2021-04-07 01:30:57,2.33,2.36,2.33,2.34,16814
2021-04-07 01:30:58,2.345,2.36,2.34,2.3417,30725
2021-04-07 01:30:59,2.344,2.37,2.34,2.35,35498
2021-04-07 01:31:00,2.3488,2.37,2.341,2.3514,18997
2021-04-07 01:31:01,2.35,2.368,2.35,2.36,3160
2021-04-07 01:31:02,2.3537,2.3699,2.35,2.35,4524
2021-04-07 01:31:03,2.35,2.3598,2.34,2.34,15622
2021-04-07 01:31:04,2.3406,2.35,2.33,2.33,17643
2021-04-07 01:31:05,2.33,2.335,2.3,2.3,49090
2021-04-07 01:31:06,2.31,2.3237,2.3,2.3158,86678
2021-04-07 01:31:07,2.312,2.325,2.31,2.32,27060
2021-04-07 01:31:08,2.31,2.31,2.3,2.31,10936
2021-04-07 01:31:09,2.31,2.31,2.29,2.2949,24717
2021-04-07 01:31:10,2.3,2.3,2.28,2.29,15685
2021-04-07 01:31:11,2.285,2.29,2.26,2.26,69220
2021-04-07 01:31:12,2.265,2.27,2.26,2.26,10612
2021-04-07 01:31:13,2.2621,2.2911,2.26,2.2911,11758
2021-04-07 01:31:14,2.29,2.31,2.28,2.3,39372
2021-04-07 01:31:15,2.295,2.3012,2.29,2.3,9971
2021-04-07 01:31:16,2.3,2.31,2.29,2.3,26705
2021-04-07 01:31:17,2.29,2.3,2.28,2.295,12327
2021-04-07 01:31:18,2.3,2.3,2.295,2.2954,980
2021-04-07 01:31:19,2.3,2.3,2.295,2.295,4140
2021-04-07 01:31:20,2.29,2.295,2.29,2.295,3343
2021-04-07 01:31:21,2.2979,2.3,2.29,2.29,4337
2021-04-07 01:31:22,2.29,2.3,2.29,2.29,1260
2021-04-07 01:31:23,2.295,2.31,2.29,2.3,17343
2021-04-07 01:31:24,2.29,2.295,2.29,2.29,2546
2021-04-07 01:31:25,2.2921,2.3,2.28,2.29,8264
2021-04-07 01:31:26,2.29,2.29,2.28,2.285,5154
2021-04-07 01:31:27,2.29,2.29,2.285,2.29,4515
2021-04-07 01:31:28,2.28,2.29,2.28,2.285,2142
2021-04-07 01:31:29,2.2892,2.295,2.28,2.295,7781
2021-04-07 01:31:30,2.295,2.3,2.29,2.29,10394
2021-04-07 01:31:31,2.29,2.31,2.29,2.31,31634
2021-04-07 01:31:32,2.3026,2.3091,2.3,2.3091,1570
2021-04-07 01:31:33,2.307,2.31,2.307,2.31,4452
2021-04-07 01:31:34,2.3101,2.32,2.31,2.315,33230
2021-04-07 01:31:35,2.315,2.32,2.31,2.3137,9830
2021-04-07 01:31:36,2.316,2.32,2.31,2.32,3059
2021-04-07 01:31:37,2.32,2.32,2.3179,2.3189,16082
2021-04-07 01:31:38,2.32,2.3219,2.31,2.32,15455
2021-04-07 01:31:39,2.32,2.33,2.32,2.32,7800
2021-04-07 01:31:40,2.33,2.33,2.32,2.32,2193
2021-04-07 01:31:41,2.3261,2.33,2.32,2.33,13582
2021-04-07 01:31:42,2.32,2.325,2.31,2.31,33788
2021-04-07 01:31:43,2.32,2.32,2.31,2.31,811
2021-04-07 01:31:44,2.31,2.33,2.31,2.33,5849
2021-04-07 01:31:45,2.33,2.34,2.32,2.33,10512
2021-04-07 01:31:46,2.338,2.338,2.32,2.3242,5278
2021-04-07 01:31:47,2.3307,2.3307,2.32,2.32,9030
2021-04-07 01:31:48,2.32,2.326,2.32,2.32,2755
2021-04-07 01:31:49,2.33,2.33,2.33,2.33,2159
2021-04-07 01:31:50,2.325,2.3399,2.325,2.3325,6825
2021-04-07 01:31:51,2.335,2.34,2.33,2.3383,4802
2021-04-07 01:31:52,2.33,2.3387,2.3201,2.335,9134
2021-04-07 01:31:53,2.3325,2.34,2.3325,2.3396,4872
2021-04-07 01:31:54,2.33,2.34,2.3204,2.33,24876
2021-04-07 01:31:55,2.32,2.3293,2.31,2.3182,18704
2021-04-07 01:31:56,2.315,2.32,2.315,2.3179,4248
2021-04-07 01:31:57,2.32,2.33,2.31,2.32,20763
2021-04-07 01:31:58,2.325,2.33,2.32,2.33,3378
2021-04-07 01:31:59,2.325,2.33,2.325,2.33,3237
2021-04-07 01:32:00,2.3278,2.33,2.32,2.32,9073
2021-04-07 01:32:01,2.33,2.33,2.32,2.32,2409
2021-04-07 01:32:02,2.33,2.34,2.32,2.34,9351
2021-04-07 01:32:03,2.34,2.34,2.3247,2.3384,7215
2021-04-07 01:32:04,2.3288,2.34,2.32,2.3399,10478
2021-04-07 01:32:05,2.335,2.34,2.33,2.34,3052
2021-04-07 01:32:06,2.34,2.35,2.34,2.3447,4628
2021-04-07 01:32:07,2.3499,2.3499,2.345,2.345,2100
2021-04-07 01:32:08,2.3445,2.35,2.34,2.3417,14967
2021-04-07 01:32:09,2.345,2.35,2.34,2.345,9471
2021-04-07 01:32:10,2.345,2.35,2.34,2.345,8474
2021-04-07 01:32:11,2.3499,2.3499,2.34,2.3484,13810
2021-04-07 01:32:12,2.3496,2.3499,2.34,2.34,2475
2021-04-07 01:32:13,2.3484,2.35,2.34,2.34,22205
2021-04-07 01:32:14,2.3494,2.37,2.3494,2.37,31281
2021-04-07 01:32:15,2.365,2.37,2.365,2.3697,12274
2021-04-07 01:32:16,2.365,2.37,2.35,2.36,27105
2021-04-07 01:32:17,2.37,2.38,2.36,2.38,14674
2021-04-07 01:32:18,2.375,2.38,2.36,2.37,12628
2021-04-07 01:32:19,2.375,2.38,2.37,2.37,13816
2021-04-07 01:32:20,2.37,2.4,2.37,2.4,23191
2021-04-07 01:32:21,2.3999,2.4,2.39,2.4,14235
2021-04-07 01:32:22,2.3923,2.41,2.39,2.405,47616
2021-04-07 01:32:23,2.4001,2.42,2.4,2.4,18296
2021-04-07 01:32:24,2.4099,2.42,2.4089,2.4093,37208
2021-04-07 01:32:25,2.405,2.42,2.405,2.42,28614
2021-04-07 01:32:26,2.4124,2.42,2.4,2.4,21047
2021-04-07 01:32:27,2.41,2.4159,2.4,2.4159,19704
2021-04-07 01:32:28,2.4183,2.42,2.41,2.42,6775
2021-04-07 01:32:29,2.411,2.4201,2.4,2.42,43499
2021-04-07 01:32:30,2.4175,2.42,2.4,2.419,17620
2021-04-07 01:32:31,2.4184,2.42,2.4,2.4,10486
2021-04-07 01:32:32,2.408,2.42,2.4,2.405,15175
2021-04-07 01:32:33,2.405,2.41,2.4,2.402,15167
2021-04-07 01:32:34,2.4,2.4,2.39,2.4,23101
2021-04-07 01:32:35,2.39,2.4,2.38,2.38,39612
2021-04-07 01:32:36,2.385,2.3899,2.35,2.35,31565
2021-04-07 01:32:37,2.3501,2.3855,2.35,2.37,29926
2021-04-07 01:32:38,2.38,2.38,2.36,2.37,6554
2021-04-07 01:32:39,2.38,2.38,2.36,2.38,17050
2021-04-07 01:32:40,2.3604,2.38,2.36,2.3799,6220
2021-04-07 01:32:41,2.37,2.38,2.37,2.37,7640
2021-04-07 01:32:42,2.37,2.38,2.37,2.37,8389
2021-04-07 01:32:43,2.3799,2.39,2.37,2.38,17122
2021-04-07 01:32:44,2.3774,2.39,2.37,2.39,9733
2021-04-07 01:32:45,2.3886,2.39,2.38,2.39,10427
2021-04-07 01:32:46,2.387,2.4,2.3783,2.38,29426
2021-04-07 01:32:47,2.3789,2.3999,2.3789,2.399,12623
2021-04-07 01:32:48,2.39,2.3999,2.37,2.3999,18739
2021-04-07 01:32:49,2.38,2.39,2.38,2.38,2630
2021-04-07 01:32:50,2.385,2.39,2.38,2.385,5110
2021-04-07 01:32:51,2.39,2.4,2.38,2.3901,9191
2021-04-07 01:32:52,2.39,2.4,2.38,2.395,9298
2021-04-07 01:32:53,2.399,2.3996,2.38,2.3806,11124
2021-04-07 01:32:54,2.39,2.4,2.39,2.39,14503
2021-04-07 01:32:55,2.395,2.4,2.38,2.39,25544
2021-04-07 01:32:56,2.38,2.393,2.38,2.393,4451
2021-04-07 01:32:57,2.3999,2.4,2.389,2.4,1784
