Date,Open,High,Low,Close,Volume
2021-04-08 01:30:54,2.1689,2.17,2.1689,2.17,2600
2021-04-08 01:30:55,2.16,2.1699,2.16,2.1699,2572
2021-04-08 01:31:00,2.1684,2.1684,2.1684,2.1684,200
2021-04-08 01:31:01,2.163,2.163,2.163,2.163,345
2021-04-08 01:31:03,2.17,2.17,2.1664,2.1664,1303
2021-04-08 01:31:05,2.16,2.16,2.15,2.16,1021
2021-04-08 01:31:08,2.159,2.159,2.159,2.159,500
2021-04-08 01:31:09,2.16,2.16,2.16,2.16,918
2021-04-08 01:31:11,2.1583,2.16,2.1583,2.16,300
2021-04-08 01:31:14,2.16,2.16,2.1599,2.16,3203
2021-04-08 01:31:15,2.16,2.16,2.1577,2.1577,601
2021-04-08 01:31:16,2.15,2.15,2.15,2.15,162
2021-04-08 01:31:17,2.16,2.1701,2.15,2.1701,3853
2021-04-08 01:31:20,2.18,2.18,2.1798,2.1798,676
2021-04-08 01:31:21,2.18,2.18,2.1782,2.1782,2060
2021-04-08 01:31:23,2.18,2.18,2.175,2.175,10593
2021-04-08 01:31:24,2.1899,2.19,2.1873,2.1885,12278
2021-04-08 01:31:25,2.19,2.21,2.181,2.2,40537
2021-04-08 01:31:26,2.21,2.23,2.21,2.229,14817
2021-04-08 01:31:27,2.23,2.23,2.2216,2.2216,3900
2021-04-08 01:31:28,2.2299,2.23,2.22,2.23,12461
2021-04-08 01:31:29,2.23,2.24,2.23,2.24,15827
2021-04-08 01:31:30,2.24,2.25,2.2304,2.2413,15074
2021-04-08 01:31:31,2.245,2.25,2.245,2.25,1655
2021-04-08 01:31:32,2.25,2.25,2.248,2.2499,2540
2021-04-08 01:31:33,2.25,2.255,2.2401,2.25,17095
2021-04-08 01:31:34,2.26,2.26,2.2543,2.2599,4623
2021-04-08 01:31:35,2.26,2.28,2.26,2.2758,11938
2021-04-08 01:31:36,2.28,2.28,2.26,2.2699,7099
2021-04-08 01:31:37,2.2793,2.28,2.26,2.27,8601
2021-04-08 01:31:38,2.2692,2.28,2.2692,2.2799,10296
2021-04-08 01:31:39,2.28,2.29,2.27,2.29,7913
2021-04-08 01:31:40,2.29,2.29,2.27,2.27,6768
2021-04-08 01:31:41,2.27,2.28,2.26,2.27,8834
2021-04-08 01:31:42,2.2766,2.29,2.27,2.29,5349
2021-04-08 01:31:43,2.274,2.2741,2.27,2.2741,3500
2021-04-08 01:31:44,2.29,2.29,2.26,2.26,3524
2021-04-08 01:31:45,2.25,2.26,2.24,2.2463,9657
2021-04-08 01:31:46,2.26,2.26,2.2455,2.26,2808
2021-04-08 01:31:47,2.2401,2.26,2.2401,2.26,2601
2021-04-08 01:31:48,2.2599,2.26,2.24,2.25,10721
2021-04-08 01:31:49,2.249,2.2565,2.249,2.2565,4987
2021-04-08 01:31:50,2.2596,2.26,2.2497,2.25,4590
2021-04-08 01:31:51,2.24,2.25,2.24,2.25,4577
2021-04-08 01:31:52,2.25,2.25,2.2492,2.25,1577
2021-04-08 01:31:53,2.24,2.24,2.2388,2.2398,1374
2021-04-08 01:31:54,2.2399,2.2399,2.23,2.23,733
2021-04-08 01:31:55,2.232,2.24,2.23,2.24,1273
2021-04-08 01:31:56,2.23,2.25,2.23,2.24,3344
2021-04-08 01:31:57,2.25,2.25,2.25,2.25,100
2021-04-08 01:31:58,2.235,2.235,2.2265,2.2265,1714
2021-04-08 01:31:59,2.225,2.25,2.223,2.25,8054
2021-04-08 01:32:00,2.24,2.25,2.24,2.25,6397
2021-04-08 01:32:01,2.25,2.27,2.2499,2.26,8480
2021-04-08 01:32:02,2.26,2.29,2.2585,2.29,5976
2021-04-08 01:32:03,2.27,2.2899,2.27,2.2799,3188
2021-04-08 01:32:04,2.28,2.28,2.27,2.27,4482
2021-04-08 01:32:05,2.2612,2.28,2.2612,2.2633,9105
2021-04-08 01:32:06,2.27,2.28,2.26,2.28,11940
2021-04-08 01:32:07,2.27,2.28,2.27,2.28,965
2021-04-08 01:32:08,2.2799,2.2799,2.26,2.2799,15664
2021-04-08 01:32:09,2.27,2.28,2.26,2.27,3578
2021-04-08 01:32:10,2.2708,2.28,2.27,2.28,4793
2021-04-08 01:32:11,2.27,2.27,2.2673,2.2673,758
2021-04-08 01:32:12,2.27,2.27,2.27,2.27,508
2021-04-08 01:32:13,2.2601,2.27,2.2601,2.27,6150
2021-04-08 01:32:14,2.27,2.27,2.27,2.27,998
2021-04-08 01:32:15,2.27,2.28,2.27,2.2703,6241
2021-04-08 01:32:16,2.275,2.28,2.275,2.28,3535
2021-04-08 01:32:17,2.2754,2.28,2.2754,2.2786,4611
2021-04-08 01:32:18,2.27,2.28,2.27,2.275,6470
2021-04-08 01:32:19,2.27,2.29,2.27,2.28,13003
2021-04-08 01:32:20,2.29,2.3,2.29,2.3,16245
2021-04-08 01:32:21,2.3,2.3,2.29,2.2998,9759
2021-04-08 01:32:22,2.3,2.32,2.2998,2.31,25372
2021-04-08 01:32:23,2.31,2.32,2.3,2.31,29201
2021-04-08 01:32:24,2.3,2.31,2.2901,2.2901,10174
2021-04-08 01:32:25,2.291,2.3,2.285,2.3,10560
2021-04-08 01:32:26,2.2803,2.289,2.28,2.28,14597
2021-04-08 01:32:27,2.28,2.28,2.24,2.24,21395
2021-04-08 01:32:28,2.2306,2.25,2.22,2.22,12886
2021-04-08 01:32:29,2.235,2.2499,2.2201,2.2499,6342
2021-04-08 01:32:30,2.226,2.24,2.22,2.23,5589
2021-04-08 01:32:31,2.2346,2.25,2.2346,2.2499,5900
2021-04-08 01:32:32,2.2499,2.2499,2.24,2.24,4800
2021-04-08 01:32:33,2.24,2.25,2.23,2.23,6733
2021-04-08 01:32:34,2.239,2.239,2.235,2.235,1171
2021-04-08 01:32:35,2.231,2.231,2.2267,2.2267,5385
2021-04-08 01:32:36,2.225,2.225,2.2028,2.2128,5738
2021-04-08 01:32:37,2.2131,2.22,2.2001,2.2172,1675
2021-04-08 01:32:38,2.2,2.2,2.18,2.2,17585
2021-04-08 01:32:39,2.2,2.2,2.18,2.18,4516
2021-04-08 01:32:40,2.1999,2.2,2.1999,2.2,1660
2021-04-08 01:32:41,2.1988,2.2,2.19,2.2,2940
2021-04-08 01:32:42,2.18,2.1932,2.18,2.1932,1727
2021-04-08 01:32:43,2.1968,2.1968,2.1968,2.1968,102
2021-04-08 01:32:44,2.1968,2.1968,2.1968,2.1968,100
2021-04-08 01:32:45,2.18,2.18,2.17,2.17,2360
2021-04-08 01:32:46,2.175,2.18,2.175,2.1797,8003
2021-04-08 01:32:47,2.18,2.18,2.18,2.18,3566
