Date,Open,High,Low,Close,Volume
2021-04-08 01:30:51,3.58,3.581,3.58,3.581,7586
2021-04-08 01:30:52,3.585,3.585,3.585,3.585,250
2021-04-08 01:30:53,3.59,3.6,3.55,3.59,14672
2021-04-08 01:30:54,3.55,3.57,3.55,3.55,1440
2021-04-08 01:30:55,3.5648,3.57,3.55,3.57,5205
2021-04-08 01:30:56,3.564,3.5671,3.55,3.56,3330
2021-04-08 01:30:57,3.57,3.57,3.56,3.56,3600
2021-04-08 01:30:59,3.56,3.56,3.56,3.56,500
2021-04-08 01:31:00,3.56,3.56,3.56,3.56,5050
2021-04-08 01:31:02,3.5731,3.5731,3.5731,3.5731,1000
2021-04-08 01:31:03,3.5799,3.59,3.5799,3.59,4048
2021-04-08 01:31:04,3.58,3.58,3.57,3.57,1220
2021-04-08 01:31:05,3.56,3.56,3.55,3.555,15323
2021-04-08 01:31:06,3.56,3.56,3.56,3.56,180
2021-04-08 01:31:08,3.56,3.56,3.5595,3.56,4708
2021-04-08 01:31:09,3.56,3.56,3.55,3.55,2488
2021-04-08 01:31:10,3.5501,3.559,3.55,3.55,700
2021-04-08 01:31:12,3.5501,3.56,3.55,3.55,3816
2021-04-08 01:31:13,3.55,3.55,3.53,3.5334,46844
2021-04-08 01:31:14,3.54,3.54,3.5289,3.53,13902
2021-04-08 01:31:15,3.5208,3.5295,3.5201,3.5295,4530
2021-04-08 01:31:16,3.529,3.54,3.5238,3.54,4438
2021-04-08 01:31:17,3.54,3.549,3.54,3.544,2031
2021-04-08 01:31:18,3.545,3.545,3.545,3.545,1000
2021-04-08 01:31:19,3.54,3.57,3.54,3.57,2990
2021-04-08 01:31:20,3.57,3.57,3.54,3.54,4300
2021-04-08 01:31:21,3.5497,3.5497,3.5497,3.5497,2001
2021-04-08 01:31:22,3.54,3.54,3.54,3.54,164
2021-04-08 01:31:24,3.55,3.56,3.54,3.55,2271
2021-04-08 01:31:25,3.55,3.55,3.52,3.5215,10338
2021-04-08 01:31:26,3.53,3.5399,3.53,3.5399,347
2021-04-08 01:31:27,3.539,3.539,3.52,3.52,600
2021-04-08 01:31:28,3.54,3.56,3.54,3.56,5750
2021-04-08 01:31:29,3.56,3.56,3.52,3.54,7304
2021-04-08 01:31:30,3.54,3.54,3.5383,3.5383,600
2021-04-08 01:31:31,3.54,3.54,3.5393,3.54,1348
2021-04-08 01:31:32,3.54,3.55,3.54,3.55,800
2021-04-08 01:31:33,3.54,3.54,3.54,3.54,410
2021-04-08 01:31:35,3.55,3.55,3.5491,3.55,1000
2021-04-08 01:31:36,3.54,3.54,3.54,3.54,104
2021-04-08 01:31:37,3.56,3.56,3.5422,3.5422,228
2021-04-08 01:31:38,3.54,3.54,3.54,3.54,401
2021-04-08 01:31:40,3.548,3.5489,3.548,3.5489,2001
2021-04-08 01:31:41,3.545,3.545,3.545,3.545,505
2021-04-08 01:31:42,3.5458,3.5458,3.54,3.54,1800
2021-04-08 01:31:43,3.55,3.57,3.5499,3.56,11165
2021-04-08 01:31:44,3.56,3.56,3.55,3.55,780
2021-04-08 01:31:45,3.559,3.56,3.559,3.56,1001
2021-04-08 01:31:46,3.56,3.56,3.5501,3.56,4200
2021-04-08 01:31:47,3.56,3.56,3.56,3.56,525
2021-04-08 01:31:48,3.555,3.56,3.555,3.56,350
2021-04-08 01:31:49,3.5518,3.5665,3.5518,3.5665,1501
2021-04-08 01:31:50,3.57,3.57,3.5601,3.565,3920
2021-04-08 01:31:51,3.56,3.57,3.56,3.57,1133
2021-04-08 01:31:52,3.57,3.57,3.565,3.565,2623
2021-04-08 01:31:56,3.57,3.57,3.565,3.565,900
2021-04-08 01:31:57,3.57,3.57,3.5698,3.5698,1400
2021-04-08 01:32:00,3.5607,3.57,3.5607,3.565,4950
2021-04-08 01:32:01,3.57,3.57,3.57,3.57,1403
2021-04-08 01:32:03,3.5618,3.5618,3.5618,3.5618,200
2021-04-08 01:32:05,3.56,3.57,3.56,3.56,4120
2021-04-08 01:32:06,3.565,3.565,3.565,3.565,286
2021-04-08 01:32:07,3.56,3.566,3.54,3.54,10830
2021-04-08 01:32:08,3.54,3.56,3.54,3.56,1504
2021-04-08 01:32:09,3.5699,3.5699,3.565,3.565,1189
2021-04-08 01:32:10,3.561,3.561,3.561,3.561,100
2021-04-08 01:32:11,3.57,3.57,3.56,3.57,676
2021-04-08 01:32:12,3.565,3.565,3.565,3.565,145
2021-04-08 01:32:13,3.5617,3.5617,3.5617,3.5617,446
2021-04-08 01:32:14,3.57,3.57,3.55,3.55,4377
2021-04-08 01:32:15,3.56,3.56,3.56,3.56,798
2021-04-08 01:32:16,3.56,3.58,3.5519,3.58,9868
2021-04-08 01:32:17,3.57,3.57,3.57,3.57,139
2021-04-08 01:32:19,3.5793,3.5793,3.5793,3.5793,687
2021-04-08 01:32:20,3.58,3.58,3.568,3.568,1552
2021-04-08 01:32:21,3.5608,3.5699,3.5608,3.5699,1714
2021-04-08 01:32:23,3.561,3.59,3.56,3.59,11675
2021-04-08 01:32:25,3.58,3.5803,3.58,3.5803,2004
2021-04-08 01:32:26,3.58,3.5803,3.58,3.5803,2001
2021-04-08 01:32:27,3.58,3.58,3.57,3.57,1092
2021-04-08 01:32:28,3.57,3.595,3.56,3.59,10553
2021-04-08 01:32:29,3.5999,3.5999,3.5999,3.5999,570
2021-04-08 01:32:30,3.585,3.585,3.585,3.585,210
2021-04-08 01:32:31,3.5816,3.59,3.5816,3.583,2476
2021-04-08 01:32:32,3.59,3.59,3.59,3.59,236
2021-04-08 01:32:33,3.5819,3.5885,3.5819,3.5885,396
2021-04-08 01:32:34,3.585,3.585,3.585,3.585,1000
2021-04-08 01:32:35,3.5875,3.5875,3.5875,3.5875,651
2021-04-08 01:32:38,3.5899,3.5899,3.5835,3.5835,1648
2021-04-08 01:32:39,3.5883,3.5883,3.5883,3.5883,104
2021-04-08 01:32:41,3.5869,3.5869,3.5869,3.5869,100
2021-04-08 01:32:42,3.58,3.58,3.58,3.58,301
2021-04-08 01:32:43,3.585,3.585,3.585,3.585,2000
2021-04-08 01:32:44,3.59,3.59,3.58,3.5895,833
2021-04-08 01:32:45,3.58,3.58,3.58,3.58,4857
2021-04-08 01:32:46,3.58,3.59,3.58,3.59,1331
2021-04-08 01:32:47,3.59,3.59,3.585,3.589,1700
2021-04-08 01:32:49,3.59,3.6,3.59,3.6,2295
2021-04-08 01:32:50,3.59,3.59,3.59,3.59,205
2021-04-08 01:32:51,3.6,3.6,3.6,3.6,200
2021-04-08 01:32:53,3.59,3.59,3.59,3.59,527
2021-04-08 01:32:54,3.58,3.5985,3.58,3.5985,1211
2021-04-08 01:32:55,3.5985,3.6,3.5985,3.6,1189
2021-04-08 01:32:56,3.59,3.59,3.59,3.59,355
2021-04-08 01:32:57,3.595,3.61,3.595,3.6,22826
2021-04-08 01:32:58,3.595,3.6,3.595,3.6,10100
2021-04-08 01:32:59,3.6,3.6,3.5968,3.5968,400
2021-04-08 01:33:00,3.6,3.6,3.59,3.595,2000
2021-04-08 01:33:01,3.59,3.59,3.59,3.59,166
2021-04-08 01:33:02,3.59,3.6,3.59,3.59,2920
2021-04-08 01:33:03,3.5999,3.6,3.5977,3.5977,525
2021-04-08 01:33:04,3.5995,3.6,3.5995,3.5999,1780
2021-04-08 01:33:05,3.6,3.6,3.59,3.59,860
2021-04-08 01:33:06,3.6,3.6,3.5999,3.5999,500
2021-04-08 01:33:07,3.595,3.6,3.595,3.5982,2447
2021-04-08 01:33:08,3.6,3.6,3.6,3.6,147
2021-04-08 01:33:09,3.59,3.59,3.59,3.59,370
2021-04-08 01:33:10,3.6,3.6,3.59,3.59,4593
2021-04-08 01:33:11,3.599,3.599,3.59,3.59,414
2021-04-08 01:33:12,3.59,3.5997,3.59,3.5997,1800
2021-04-08 01:33:13,3.595,3.6,3.58,3.58,12599
2021-04-08 01:33:14,3.6,3.6,3.57,3.59,2985
2021-04-08 01:33:15,3.58,3.59,3.57,3.5703,5698
2021-04-08 01:33:16,3.5877,3.5899,3.5703,3.5899,6450
2021-04-08 01:33:17,3.57,3.5883,3.57,3.57,1511
2021-04-08 01:33:18,3.5749,3.5749,3.5749,3.5749,1200
2021-04-08 01:33:19,3.5816,3.5816,3.5816,3.5816,1169
2021-04-08 01:33:20,3.5896,3.5896,3.5896,3.5896,1000
2021-04-08 01:33:21,3.59,3.59,3.576,3.576,2236
2021-04-08 01:33:22,3.58,3.58,3.58,3.58,400
2021-04-08 01:33:24,3.581,3.582,3.58,3.58,2831
2021-04-08 01:33:25,3.57,3.57,3.56,3.56,4874
2021-04-08 01:33:26,3.579,3.579,3.56,3.56,1566
2021-04-08 01:33:27,3.56,3.574,3.56,3.574,2030
2021-04-08 01:33:29,3.5769,3.5769,3.5769,3.5769,430
2021-04-08 01:33:31,3.57,3.57,3.57,3.57,409
2021-04-08 01:33:32,3.5699,3.5699,3.5699,3.5699,200
2021-04-08 01:33:34,3.561,3.561,3.56,3.561,1000
2021-04-08 01:33:35,3.56,3.56,3.54,3.54,9818
2021-04-08 01:33:36,3.5401,3.5401,3.53,3.54,3457
2021-04-08 01:33:37,3.548,3.548,3.52,3.535,5089
2021-04-08 01:33:39,3.52,3.5377,3.52,3.52,2621
2021-04-08 01:33:40,3.52,3.53,3.52,3.53,450
2021-04-08 01:33:41,3.5377,3.5377,3.52,3.5244,1644
2021-04-08 01:33:42,3.52,3.52,3.52,3.52,474
2021-04-08 01:33:43,3.52,3.5299,3.51,3.51,9572
2021-04-08 01:33:44,3.5112,3.52,3.51,3.51,2830
2021-04-08 01:33:45,3.53,3.53,3.51,3.51,5168
2021-04-08 01:33:46,3.51,3.51,3.51,3.51,1424
2021-04-08 01:33:47,3.5213,3.5213,3.5213,3.5213,800
2021-04-08 01:33:48,3.52,3.52,3.51,3.51,2605
2021-04-08 01:33:49,3.51,3.51,3.51,3.51,2296
2021-04-08 01:33:50,3.5199,3.5199,3.51,3.51,2322
2021-04-08 01:33:51,3.51,3.51,3.51,3.51,2096
2021-04-08 01:33:52,3.515,3.52,3.51,3.5127,22272
2021-04-08 01:33:53,3.5116,3.5116,3.5116,3.5116,350
2021-04-08 01:33:54,3.51,3.5197,3.51,3.517,6935
2021-04-08 01:33:55,3.515,3.515,3.515,3.515,100
2021-04-08 01:33:56,3.515,3.5197,3.5116,3.5116,4314
2021-04-08 01:33:57,3.52,3.52,3.51,3.51,1213
2021-04-08 01:33:58,3.5106,3.5106,3.5106,3.5106,1257
2021-04-08 01:33:59,3.51,3.52,3.51,3.51,2951
2021-04-08 01:34:00,3.51,3.51,3.51,3.51,317
2021-04-08 01:34:01,3.51,3.52,3.51,3.51,6966
2021-04-08 01:34:02,3.5107,3.5107,3.5103,3.5103,1105
2021-04-08 01:34:03,3.51,3.5117,3.47,3.47,94890
2021-04-08 01:34:04,3.47,3.47,3.46,3.46,6248
