Date,Open,High,Low,Close,Volume
2021-04-08 01:30:51,1.64,1.65,1.64,1.65,14840
2021-04-08 01:30:52,1.63,1.63,1.6206,1.6206,8655
2021-04-08 01:30:53,1.6298,1.63,1.62,1.63,8373
2021-04-08 01:30:54,1.62,1.6293,1.62,1.62,6628
2021-04-08 01:30:55,1.62,1.6299,1.62,1.6203,19400
2021-04-08 01:30:56,1.6299,1.6299,1.625,1.6291,5379
2021-04-08 01:30:57,1.63,1.63,1.62,1.625,33976
2021-04-08 01:30:58,1.6293,1.63,1.62,1.6216,40721
2021-04-08 01:30:59,1.62,1.63,1.62,1.63,4487
2021-04-08 01:31:00,1.635,1.679,1.635,1.67,62559
2021-04-08 01:31:01,1.67,1.68,1.67,1.675,12629
2021-04-08 01:31:02,1.67,1.67,1.67,1.67,826
2021-04-08 01:31:03,1.6799,1.68,1.67,1.678,26257
2021-04-08 01:31:04,1.67,1.68,1.67,1.6793,19679
2021-04-08 01:31:05,1.675,1.7,1.67,1.7,75797
2021-04-08 01:31:06,1.7,1.7,1.6905,1.7,66738
2021-04-08 01:31:07,1.7,1.7,1.69,1.6998,42524
2021-04-08 01:31:08,1.6987,1.72,1.69,1.72,48160
2021-04-08 01:31:09,1.6999,1.72,1.6999,1.72,52224
2021-04-08 01:31:10,1.71,1.72,1.71,1.72,36500
2021-04-08 01:31:11,1.715,1.72,1.71,1.7182,26611
2021-04-08 01:31:12,1.72,1.73,1.71,1.72,15963
2021-04-08 01:31:13,1.715,1.73,1.71,1.72,28189
2021-04-08 01:31:14,1.72,1.72,1.71,1.72,33438
2021-04-08 01:31:15,1.72,1.72,1.71,1.72,20872
2021-04-08 01:31:16,1.715,1.73,1.71,1.7293,34440
2021-04-08 01:31:17,1.72,1.74,1.72,1.73,57307
2021-04-08 01:31:18,1.73,1.74,1.725,1.74,72207
2021-04-08 01:31:19,1.74,1.75,1.74,1.75,18549
2021-04-08 01:31:20,1.748,1.75,1.73,1.75,76014
2021-04-08 01:31:21,1.7482,1.75,1.74,1.745,28123
2021-04-08 01:31:22,1.7431,1.75,1.74,1.7401,63089
2021-04-08 01:31:23,1.75,1.75,1.74,1.75,47432
2021-04-08 01:31:24,1.75,1.75,1.74,1.749,52269
2021-04-08 01:31:25,1.75,1.75,1.74,1.745,28466
2021-04-08 01:31:26,1.74,1.75,1.73,1.73,37991
2021-04-08 01:31:27,1.73,1.73,1.7,1.71,60861
2021-04-08 01:31:28,1.7,1.71,1.7,1.705,47887
2021-04-08 01:31:29,1.71,1.75,1.71,1.7201,57501
2021-04-08 01:31:30,1.73,1.76,1.72,1.7399,51623
2021-04-08 01:31:31,1.73,1.75,1.7292,1.74,21429
2021-04-08 01:31:32,1.74,1.76,1.73,1.75,44865
2021-04-08 01:31:33,1.7486,1.75,1.73,1.74,13244
2021-04-08 01:31:34,1.75,1.75,1.74,1.745,12669
2021-04-08 01:31:35,1.75,1.75,1.74,1.74,19604
2021-04-08 01:31:36,1.745,1.75,1.73,1.75,44587
2021-04-08 01:31:37,1.745,1.75,1.73,1.74,16834
2021-04-08 01:31:38,1.74,1.75,1.73,1.75,24503
2021-04-08 01:31:39,1.749,1.75,1.73,1.7305,11682
2021-04-08 01:31:40,1.74,1.75,1.73,1.74,35535
2021-04-08 01:31:41,1.74,1.75,1.73,1.7493,30141
2021-04-08 01:31:42,1.74,1.7499,1.71,1.7299,98049
2021-04-08 01:31:43,1.7391,1.7391,1.72,1.73,40901
2021-04-08 01:31:44,1.72,1.725,1.71,1.72,23204
2021-04-08 01:31:45,1.72,1.72,1.71,1.7199,39232
2021-04-08 01:31:46,1.7104,1.72,1.71,1.7199,18825
2021-04-08 01:31:47,1.71,1.7122,1.705,1.7114,29389
2021-04-08 01:31:48,1.71,1.72,1.7,1.72,57901
2021-04-08 01:31:49,1.71,1.72,1.7,1.7158,22121
2021-04-08 01:31:50,1.7199,1.7199,1.68,1.68,71491
2021-04-08 01:31:51,1.6805,1.7,1.66,1.66,50871
2021-04-08 01:31:52,1.66,1.68,1.63,1.6301,68860
2021-04-08 01:31:53,1.63,1.7,1.63,1.6901,79344
2021-04-08 01:31:54,1.69,1.7,1.65,1.66,30973
2021-04-08 01:31:55,1.66,1.69,1.64,1.66,72236
2021-04-08 01:31:56,1.66,1.665,1.6499,1.655,6911
2021-04-08 01:31:57,1.6591,1.67,1.65,1.66,28485
2021-04-08 01:31:58,1.665,1.6699,1.64,1.65,18648
2021-04-08 01:31:59,1.65,1.65,1.63,1.63,30550
2021-04-08 01:32:00,1.635,1.64,1.63,1.63,5454
2021-04-08 01:32:01,1.63,1.64,1.63,1.6304,24979
2021-04-08 01:32:02,1.63,1.64,1.62,1.62,25435
2021-04-08 01:32:03,1.62,1.63,1.62,1.62,42396
2021-04-08 01:32:04,1.62,1.63,1.62,1.62,21406
2021-04-08 01:32:05,1.629,1.63,1.62,1.6299,17844
2021-04-08 01:32:06,1.6235,1.63,1.62,1.6214,18372
2021-04-08 01:32:07,1.63,1.65,1.62,1.64,36548
2021-04-08 01:32:08,1.645,1.645,1.63,1.64,26171
2021-04-08 01:32:09,1.6494,1.65,1.64,1.645,14839
2021-04-08 01:32:10,1.645,1.65,1.64,1.64,15791
2021-04-08 01:32:11,1.645,1.655,1.645,1.65,38746
2021-04-08 01:32:12,1.6411,1.65,1.6403,1.645,5525
2021-04-08 01:32:13,1.64,1.67,1.64,1.6605,54492
2021-04-08 01:32:14,1.66,1.67,1.66,1.665,7805
2021-04-08 01:32:15,1.6699,1.67,1.66,1.6648,5190
2021-04-08 01:32:16,1.6601,1.67,1.66,1.67,14216
2021-04-08 01:32:17,1.6644,1.669,1.6601,1.669,2100
2021-04-08 01:32:18,1.67,1.67,1.66,1.6603,5312
2021-04-08 01:32:19,1.6652,1.67,1.66,1.67,16853
2021-04-08 01:32:20,1.66,1.6698,1.66,1.665,18206
2021-04-08 01:32:21,1.66,1.66,1.65,1.6505,13614
2021-04-08 01:32:22,1.65,1.66,1.65,1.655,6029
2021-04-08 01:32:23,1.6598,1.6598,1.63,1.6354,32680
2021-04-08 01:32:24,1.63,1.6332,1.63,1.63,8746
2021-04-08 01:32:25,1.63,1.6303,1.62,1.6249,24126
2021-04-08 01:32:26,1.62,1.6201,1.6,1.6,154468
2021-04-08 01:32:27,1.6099,1.61,1.6,1.6001,25866
2021-04-08 01:32:28,1.6004,1.61,1.59,1.59,24870
2021-04-08 01:32:29,1.6,1.61,1.58,1.6,90652
2021-04-08 01:32:30,1.59,1.6,1.59,1.59,6758
2021-04-08 01:32:31,1.59,1.6,1.59,1.6,34407
2021-04-08 01:32:32,1.5916,1.61,1.59,1.6097,25588
2021-04-08 01:32:33,1.6,1.61,1.6,1.6,20242
2021-04-08 01:32:34,1.61,1.62,1.6,1.61,36271
2021-04-08 01:32:35,1.61,1.62,1.6,1.61,22114
2021-04-08 01:32:36,1.61,1.63,1.6098,1.63,92366
2021-04-08 01:32:37,1.621,1.63,1.62,1.6202,4757
2021-04-08 01:32:38,1.6292,1.65,1.625,1.64,29923
2021-04-08 01:32:39,1.64,1.65,1.64,1.6409,9002
2021-04-08 01:32:40,1.6401,1.65,1.64,1.64,29875
2021-04-08 01:32:41,1.6352,1.64,1.63,1.639,9713
2021-04-08 01:32:42,1.63,1.6399,1.63,1.6306,26677
2021-04-08 01:32:43,1.63,1.64,1.61,1.63,20446
2021-04-08 01:32:44,1.63,1.63,1.62,1.626,13706
2021-04-08 01:32:45,1.62,1.62,1.61,1.615,11617
2021-04-08 01:32:46,1.61,1.62,1.61,1.62,306
2021-04-08 01:32:47,1.61,1.6106,1.61,1.61,8425
2021-04-08 01:32:48,1.61,1.63,1.61,1.625,9840
2021-04-08 01:32:49,1.62,1.6251,1.62,1.6251,3855
2021-04-08 01:32:50,1.62,1.63,1.62,1.63,644
2021-04-08 01:32:51,1.62,1.6298,1.62,1.6298,8887
2021-04-08 01:32:52,1.6284,1.6298,1.6256,1.6298,10104
2021-04-08 01:32:53,1.62,1.625,1.61,1.61,12631
2021-04-08 01:32:54,1.615,1.62,1.612,1.612,4016
2021-04-08 01:32:55,1.61,1.62,1.61,1.62,6100
