Date,Open,High,Low,Close,Volume
2021-04-09 01:30:30,5.55,5.5505,5.55,5.5505,5730
2021-04-09 01:30:31,5.5584,5.57,5.5561,5.57,1273
2021-04-09 01:30:32,5.55,5.5503,5.55,5.5503,2050
2021-04-09 01:30:33,5.55,5.55,5.55,5.55,600
2021-04-09 01:30:37,5.5694,5.5694,5.5694,5.5694,400
2021-04-09 01:30:38,5.5695,5.5695,5.56,5.56,1262
2021-04-09 01:30:39,5.5582,5.5582,5.55,5.55,267
2021-04-09 01:30:40,5.5599,5.5599,5.5599,5.5599,108
2021-04-09 01:30:41,5.56,5.56,5.55,5.55,1075
2021-04-09 01:30:42,5.55,5.56,5.55,5.5584,4253
2021-04-09 01:30:44,5.55,5.55,5.53,5.53,1184
2021-04-09 01:30:45,5.5301,5.5301,5.53,5.5301,2637
2021-04-09 01:30:47,5.53,5.53,5.52,5.5204,5524
2021-04-09 01:30:48,5.52,5.52,5.52,5.52,1041
2021-04-09 01:30:49,5.52,5.52,5.48,5.48,7663
2021-04-09 01:30:50,5.48,5.49,5.46,5.46,2400
2021-04-09 01:30:51,5.47,5.47,5.45,5.46,3336
2021-04-09 01:30:52,5.4616,5.465,5.46,5.46,791
2021-04-09 01:30:53,5.46,5.47,5.46,5.47,2225
2021-04-09 01:30:54,5.47,5.47,5.44,5.44,5020
2021-04-09 01:30:56,5.4553,5.48,5.4553,5.46,5162
2021-04-09 01:30:57,5.48,5.48,5.4601,5.4601,419
2021-04-09 01:30:58,5.4773,5.48,5.4732,5.4797,2286
2021-04-09 01:30:59,5.48,5.49,5.48,5.49,1811
2021-04-09 01:31:00,5.49,5.55,5.49,5.55,3307
2021-04-09 01:31:01,5.55,5.55,5.54,5.54,700
2021-04-09 01:31:02,5.55,5.55,5.5,5.5003,8600
2021-04-09 01:31:03,5.5264,5.5299,5.5264,5.5299,1005
2021-04-09 01:31:04,5.5099,5.5099,5.5099,5.5099,510
2021-04-09 01:31:05,5.5,5.5,5.43,5.4599,3790
2021-04-09 01:31:06,5.46,5.46,5.4547,5.4547,1125
2021-04-09 01:31:08,5.44,5.44,5.44,5.44,679
2021-04-09 01:31:09,5.47,5.47,5.46,5.46,255
2021-04-09 01:31:12,5.45,5.45,5.41,5.41,9366
2021-04-09 01:31:13,5.4247,5.4247,5.4247,5.4247,400
2021-04-09 01:31:14,5.4,5.42,5.36,5.39,7379
2021-04-09 01:31:15,5.361,5.3799,5.36,5.3799,1948
2021-04-09 01:31:16,5.39,5.42,5.39,5.394,3068
2021-04-09 01:31:17,5.38,5.3801,5.38,5.3801,2685
2021-04-09 01:31:18,5.4195,5.42,5.4195,5.42,1079
2021-04-09 01:31:20,5.43,5.44,5.43,5.44,2410
2021-04-09 01:31:21,5.45,5.48,5.45,5.4799,2430
2021-04-09 01:31:24,5.48,5.4818,5.48,5.4818,791
2021-04-09 01:31:25,5.4842,5.4842,5.48,5.48,591
2021-04-09 01:31:26,5.4821,5.4821,5.4821,5.4821,250
2021-04-09 01:31:29,5.49,5.49,5.49,5.49,272
2021-04-09 01:31:30,5.48,5.5,5.47,5.5,4634
2021-04-09 01:31:31,5.4934,5.4934,5.4934,5.4934,106
2021-04-09 01:31:32,5.4601,5.4601,5.4601,5.4601,2050
2021-04-09 01:31:33,5.46,5.46,5.46,5.46,204
2021-04-09 01:31:34,5.4768,5.4797,5.4768,5.4797,374
2021-04-09 01:31:39,5.48,5.48,5.47,5.47,5000
2021-04-09 01:31:41,5.493,5.5,5.493,5.5,302
2021-04-09 01:31:43,5.5,5.5,5.5,5.5,4014
2021-04-09 01:31:45,5.47,5.47,5.43,5.43,20000
2021-04-09 01:31:46,5.455,5.455,5.455,5.455,191
2021-04-09 01:31:48,5.44,5.44,5.4,5.4,4522
2021-04-09 01:31:52,5.4,5.41,5.4,5.4095,428
2021-04-09 01:31:53,5.41,5.41,5.3998,5.3998,2730
2021-04-09 01:31:54,5.4,5.4,5.4,5.4,3015
2021-04-09 01:31:55,5.41,5.51,5.41,5.51,9723
2021-04-09 01:31:56,5.515,5.6,5.51,5.57,7451
2021-04-09 01:31:57,5.6,5.6,5.55,5.57,2236
2021-04-09 01:31:58,5.6,5.6,5.575,5.5994,1890
2021-04-09 01:31:59,5.589,5.5899,5.5754,5.5899,1110
2021-04-09 01:32:00,5.56,5.56,5.56,5.56,312
2021-04-09 01:32:01,5.59,5.6,5.58,5.6,1135
2021-04-09 01:32:02,5.56,5.56,5.41,5.41,4647
2021-04-09 01:32:04,5.48,5.54,5.48,5.54,720
2021-04-09 01:32:06,5.5,5.51,5.45,5.45,1002
2021-04-09 01:32:07,5.46,5.51,5.46,5.51,396
2021-04-09 01:32:08,5.5186,5.5186,5.5186,5.5186,100
2021-04-09 01:32:09,5.47,5.47,5.45,5.4547,2892
2021-04-09 01:32:11,5.4642,5.5,5.4642,5.5,389
2021-04-09 01:32:12,5.5,5.5,5.5,5.5,280
2021-04-09 01:32:14,5.5,5.5,5.5,5.5,100
2021-04-09 01:32:15,5.46,5.47,5.46,5.46,400
2021-04-09 01:32:16,5.4999,5.4999,5.45,5.45,5389
2021-04-09 01:32:17,5.4398,5.45,5.4398,5.45,1427
2021-04-09 01:32:18,5.42,5.42,5.39,5.39,7751
2021-04-09 01:32:19,5.38,5.39,5.36,5.36,2708
2021-04-09 01:32:20,5.3752,5.3752,5.3752,5.3752,110
2021-04-09 01:32:21,5.36,5.36,5.36,5.36,2001
2021-04-09 01:32:22,5.37,5.37,5.33,5.35,4410
2021-04-09 01:32:23,5.34,5.34,5.33,5.33,345
2021-04-09 01:32:24,5.33,5.37,5.33,5.37,926
2021-04-09 01:32:25,5.34,5.35,5.34,5.347,3750
2021-04-09 01:32:26,5.36,5.36,5.3594,5.3594,2510
2021-04-09 01:32:27,5.33,5.36,5.33,5.3599,3065
2021-04-09 01:32:28,5.37,5.37,5.3699,5.37,2233
2021-04-09 01:32:29,5.37,5.37,5.3697,5.3697,2180
2021-04-09 01:32:30,5.37,5.37,5.37,5.37,740
2021-04-09 01:32:31,5.365,5.37,5.365,5.37,1404
2021-04-09 01:32:32,5.37,5.39,5.3697,5.37,6218
2021-04-09 01:32:33,5.37,5.37,5.36,5.37,1304
2021-04-09 01:32:34,5.37,5.37,5.37,5.37,590
2021-04-09 01:32:35,5.37,5.37,5.33,5.33,5066
2021-04-09 01:32:36,5.34,5.34,5.34,5.34,120
2021-04-09 01:32:37,5.36,5.36,5.33,5.355,3075
2021-04-09 01:32:38,5.36,5.37,5.35,5.37,1962
2021-04-09 01:32:39,5.36,5.36,5.3523,5.3523,959
2021-04-09 01:32:40,5.37,5.37,5.3655,5.3699,4830
2021-04-09 01:32:41,5.37,5.37,5.3522,5.3522,8137
2021-04-09 01:32:42,5.37,5.37,5.356,5.356,2403
2021-04-09 01:32:44,5.37,5.37,5.37,5.37,2566
2021-04-09 01:32:47,5.3513,5.3513,5.3513,5.3513,552
2021-04-09 01:32:48,5.37,5.37,5.367,5.367,3200
2021-04-09 01:32:50,5.37,5.37,5.37,5.37,3888
2021-04-09 01:32:51,5.37,5.37,5.3699,5.3699,2658
2021-04-09 01:32:53,5.37,5.37,5.37,5.37,500
2021-04-09 01:32:55,5.37,5.37,5.3699,5.3699,311
2021-04-09 01:32:56,5.3631,5.3631,5.3631,5.3631,110
2021-04-09 01:32:57,5.3833,5.39,5.3833,5.39,876
2021-04-09 01:32:58,5.39,5.39,5.3895,5.39,650
2021-04-09 01:32:59,5.38,5.39,5.3777,5.3897,1343
2021-04-09 01:33:00,5.39,5.39,5.3897,5.3897,1105
2021-04-09 01:33:01,5.371,5.39,5.371,5.39,720
2021-04-09 01:33:02,5.39,5.39,5.371,5.371,1176
2021-04-09 01:33:03,5.39,5.39,5.3896,5.39,806
2021-04-09 01:33:05,5.39,5.39,5.3896,5.3896,3788
2021-04-09 01:33:06,5.3805,5.3805,5.3703,5.3703,620
2021-04-09 01:33:08,5.3854,5.3854,5.3854,5.3854,508
2021-04-09 01:33:12,5.39,5.39,5.3877,5.3877,412
2021-04-09 01:33:13,5.39,5.39,5.38,5.39,1053
2021-04-09 01:33:14,5.39,5.39,5.39,5.39,380
2021-04-09 01:33:15,5.39,5.39,5.39,5.39,450
2021-04-09 01:33:17,5.39,5.39,5.3879,5.3879,3156
2021-04-09 01:33:18,5.39,5.39,5.3898,5.3898,669
2021-04-09 01:33:21,5.39,5.43,5.3899,5.43,4410
2021-04-09 01:33:22,5.44,5.44,5.44,5.44,500
2021-04-09 01:33:24,5.41,5.41,5.41,5.41,105
