Date,Open,High,Low,Close,Volume
2021-04-09 01:30:30,2.0999,2.0999,2.0999,2.0999,154
2021-04-09 01:30:31,2.0901,2.1,2.09,2.0999,1550
2021-04-09 01:30:32,2.1,2.1,2.095,2.1,1902
2021-04-09 01:30:34,2.1,2.1,2.0994,2.1,7925
2021-04-09 01:30:35,2.1099,2.1099,2.1001,2.1099,5178
2021-04-09 01:30:36,2.1,2.12,2.1,2.115,10609
2021-04-09 01:30:37,2.12,2.12,2.1152,2.1199,7204
2021-04-09 01:30:38,2.12,2.12,2.1,2.1,31453
2021-04-09 01:30:39,2.11,2.12,2.11,2.1184,10458
2021-04-09 01:30:40,2.1139,2.12,2.1139,2.1199,15776
2021-04-09 01:30:41,2.12,2.12,2.1198,2.12,5750
2021-04-09 01:30:42,2.12,2.12,2.1116,2.1195,6287
2021-04-09 01:30:43,2.1184,2.12,2.115,2.12,5084
2021-04-09 01:30:44,2.12,2.12,2.1,2.1,18395
2021-04-09 01:30:45,2.11,2.11,2.0975,2.1,11168
2021-04-09 01:30:46,2.11,2.11,2.09,2.1,3535
2021-04-09 01:30:47,2.0907,2.1099,2.09,2.1,10492
2021-04-09 01:30:48,2.095,2.1,2.095,2.0982,2515
2021-04-09 01:30:49,2.1,2.1,2.09,2.0901,1724
2021-04-09 01:30:50,2.09,2.0901,2.08,2.08,13010
2021-04-09 01:30:51,2.08,2.0821,2.06,2.06,44252
2021-04-09 01:30:52,2.055,2.0599,2.03,2.04,40520
2021-04-09 01:30:53,2.03,2.04,2.03,2.0303,3781
2021-04-09 01:30:54,2.04,2.05,2.03,2.0301,18313
2021-04-09 01:30:55,2.0384,2.05,2.0301,2.0413,11821
2021-04-09 01:30:56,2.05,2.05,2.0497,2.0497,6467
2021-04-09 01:30:57,2.04,2.049,2.04,2.049,4840
2021-04-09 01:30:58,2.0499,2.05,2.04,2.0425,9277
2021-04-09 01:30:59,2.047,2.05,2.04,2.04,9381
2021-04-09 01:31:00,2.04,2.0496,2.04,2.0496,5290
2021-04-09 01:31:01,2.04,2.05,2.04,2.05,6005
2021-04-09 01:31:02,2.0499,2.05,2.04,2.04,3855
2021-04-09 01:31:03,2.05,2.05,2.04,2.0402,1587
2021-04-09 01:31:04,2.04,2.04,2.0341,2.0385,6008
2021-04-09 01:31:05,2.03,2.04,2.03,2.04,785
2021-04-09 01:31:06,2.0399,2.04,2.035,2.04,1363
2021-04-09 01:31:07,2.035,2.04,2.0301,2.0301,15475
2021-04-09 01:31:08,2.04,2.04,2.03,2.0358,6913
2021-04-09 01:31:09,2.04,2.0485,2.03,2.0485,18963
2021-04-09 01:31:10,2.0446,2.06,2.0446,2.0565,19549
2021-04-09 01:31:11,2.06,2.09,2.0599,2.09,13913
2021-04-09 01:31:12,2.09,2.09,2.0803,2.0803,8732
2021-04-09 01:31:13,2.09,2.09,2.08,2.089,4213
2021-04-09 01:31:14,2.08,2.09,2.08,2.088,3528
2021-04-09 01:31:15,2.0899,2.09,2.08,2.085,4023
2021-04-09 01:31:16,2.085,2.085,2.085,2.085,310
2021-04-09 01:31:17,2.08,2.08,2.0611,2.07,4750
2021-04-09 01:31:18,2.08,2.08,2.0666,2.0666,4100
2021-04-09 01:31:19,2.065,2.08,2.065,2.08,8771
2021-04-09 01:31:20,2.0899,2.09,2.0897,2.0897,10708
2021-04-09 01:31:21,2.085,2.09,2.0808,2.0899,7287
2021-04-09 01:31:22,2.085,2.089,2.0814,2.0858,4450
2021-04-09 01:31:23,2.085,2.0899,2.085,2.085,5851
2021-04-09 01:31:24,2.0804,2.1,2.0804,2.0999,18556
2021-04-09 01:31:25,2.1,2.12,2.1,2.119,21448
2021-04-09 01:31:26,2.12,2.17,2.113,2.17,63579
2021-04-09 01:31:27,2.165,2.19,2.15,2.18,29837
2021-04-09 01:31:28,2.1706,2.2,2.1701,2.1877,42771
2021-04-09 01:31:29,2.185,2.2,2.1708,2.2,35705
2021-04-09 01:31:30,2.1954,2.2,2.18,2.18,32644
2021-04-09 01:31:31,2.1801,2.19,2.13,2.14,86162
2021-04-09 01:31:32,2.1712,2.18,2.16,2.18,12079
2021-04-09 01:31:33,2.179,2.179,2.17,2.175,6321
2021-04-09 01:31:34,2.1799,2.19,2.17,2.17,21510
2021-04-09 01:31:35,2.165,2.18,2.165,2.18,52349
2021-04-09 01:31:36,2.17,2.18,2.17,2.18,7802
2021-04-09 01:31:37,2.171,2.18,2.17,2.173,19407
2021-04-09 01:31:38,2.175,2.175,2.15,2.15,31385
2021-04-09 01:31:39,2.15,2.15,2.12,2.145,16632
2021-04-09 01:31:40,2.1454,2.16,2.1302,2.15,17155
2021-04-09 01:31:41,2.14,2.15,2.12,2.1301,18212
2021-04-09 01:31:42,2.135,2.135,2.09,2.095,19990
2021-04-09 01:31:43,2.1,2.13,2.09,2.1266,14923
2021-04-09 01:31:44,2.12,2.14,2.12,2.13,8589
2021-04-09 01:31:45,2.1389,2.14,2.12,2.13,4852
2021-04-09 01:31:46,2.14,2.14,2.128,2.1303,1942
2021-04-09 01:31:47,2.13,2.1399,2.12,2.138,4078
2021-04-09 01:31:48,2.14,2.14,2.13,2.1386,13672
2021-04-09 01:31:49,2.1396,2.14,2.13,2.1399,17647
2021-04-09 01:31:50,2.135,2.14,2.12,2.13,12844
2021-04-09 01:31:51,2.1396,2.14,2.1201,2.135,14980
2021-04-09 01:31:52,2.1382,2.17,2.1382,2.1699,15166
2021-04-09 01:31:53,2.165,2.17,2.14,2.1599,19301
2021-04-09 01:31:54,2.1599,2.18,2.1423,2.175,29874
2021-04-09 01:31:55,2.18,2.19,2.17,2.17,28777
2021-04-09 01:31:56,2.1785,2.19,2.1501,2.1893,23381
2021-04-09 01:31:57,2.186,2.19,2.17,2.176,14569
2021-04-09 01:31:58,2.19,2.2,2.18,2.195,26036
2021-04-09 01:31:59,2.195,2.2,2.18,2.2,44943
2021-04-09 01:32:00,2.1901,2.2,2.19,2.1999,14539
2021-04-09 01:32:01,2.195,2.2,2.19,2.2,28696
2021-04-09 01:32:02,2.195,2.2,2.18,2.1894,24020
2021-04-09 01:32:03,2.1801,2.19,2.17,2.1784,28605
2021-04-09 01:32:04,2.18,2.19,2.17,2.1898,34466
2021-04-09 01:32:05,2.1801,2.2,2.18,2.2,23629
2021-04-09 01:32:06,2.1997,2.2,2.19,2.1901,57744
2021-04-09 01:32:07,2.1996,2.2,2.185,2.19,26676
2021-04-09 01:32:08,2.185,2.19,2.17,2.1899,62128
2021-04-09 01:32:09,2.1838,2.185,2.16,2.17,15207
2021-04-09 01:32:10,2.18,2.19,2.17,2.19,11288
2021-04-09 01:32:11,2.18,2.19,2.17,2.18,20589
2021-04-09 01:32:12,2.18,2.2,2.18,2.19,22099
2021-04-09 01:32:13,2.198,2.2,2.1801,2.2,25993
2021-04-09 01:32:14,2.1994,2.24,2.1915,2.23,74636
2021-04-09 01:32:15,2.2346,2.24,2.22,2.225,36200
2021-04-09 01:32:16,2.2297,2.2297,2.19,2.2099,40191
2021-04-09 01:32:17,2.215,2.23,2.2,2.21,26100
2021-04-09 01:32:18,2.225,2.23,2.22,2.2294,19098
2021-04-09 01:32:19,2.225,2.23,2.2,2.2,47519
2021-04-09 01:32:20,2.2097,2.22,2.2,2.22,13801
2021-04-09 01:32:21,2.2199,2.23,2.2,2.23,34108
2021-04-09 01:32:22,2.225,2.2298,2.2,2.205,10401
2021-04-09 01:32:23,2.205,2.22,2.2,2.2001,19433
2021-04-09 01:32:24,2.2084,2.21,2.2,2.2099,21585
2021-04-09 01:32:25,2.21,2.22,2.21,2.22,21799
2021-04-09 01:32:26,2.211,2.22,2.21,2.21,8506
2021-04-09 01:32:27,2.21,2.22,2.2,2.215,19291
2021-04-09 01:32:28,2.2147,2.22,2.2,2.206,30567
2021-04-09 01:32:29,2.21,2.22,2.2,2.2166,7782
2021-04-09 01:32:30,2.2099,2.22,2.2,2.2199,11443
2021-04-09 01:32:31,2.21,2.22,2.21,2.22,10244
2021-04-09 01:32:32,2.22,2.22,2.21,2.2196,4395
2021-04-09 01:32:33,2.2184,2.22,2.21,2.2198,21922
2021-04-09 01:32:34,2.21,2.22,2.2,2.2,35749
2021-04-09 01:32:35,2.21,2.21,2.2,2.2046,17978
2021-04-09 01:32:36,2.2016,2.2016,2.17,2.17,70372
2021-04-09 01:32:37,2.17,2.18,2.17,2.1789,23132
2021-04-09 01:32:38,2.1706,2.2,2.16,2.165,66663
2021-04-09 01:32:39,2.1607,2.18,2.16,2.18,50986
2021-04-09 01:32:40,2.17,2.19,2.17,2.1894,3667
2021-04-09 01:32:41,2.19,2.195,2.1818,2.1818,7909
2021-04-09 01:32:42,2.19,2.1992,2.1827,2.19,4688
2021-04-09 01:32:43,2.195,2.1999,2.19,2.19,11339
2021-04-09 01:32:44,2.198,2.2,2.19,2.1984,12627
2021-04-09 01:32:45,2.1999,2.2,2.195,2.2,10392
2021-04-09 01:32:46,2.2,2.22,2.2,2.211,29230
2021-04-09 01:32:47,2.215,2.22,2.21,2.2182,8710
2021-04-09 01:32:48,2.218,2.22,2.2101,2.2166,14756
2021-04-09 01:32:49,2.21,2.22,2.21,2.2101,6851
2021-04-09 01:32:50,2.22,2.22,2.1911,2.1998,10949
2021-04-09 01:32:51,2.194,2.21,2.1901,2.1901,7687
2021-04-09 01:32:52,2.2016,2.21,2.2,2.2016,21654
2021-04-09 01:32:53,2.2,2.205,2.19,2.1965,11823
2021-04-09 01:32:54,2.2,2.209,2.195,2.1993,2585
2021-04-09 01:32:55,2.1934,2.1965,2.1915,2.1919,1408
2021-04-09 01:32:56,2.2,2.2,2.19,2.2,12659
2021-04-09 01:32:57,2.2,2.21,2.1901,2.21,5926
2021-04-09 01:32:58,2.2,2.21,2.193,2.2082,18539
2021-04-09 01:32:59,2.21,2.22,2.2,2.2099,7936
