Date,Open,High,Low,Close,Volume
2021-04-14 01:30:41,2.745,2.745,2.73,2.73,10691
2021-04-14 01:30:42,2.73,2.74,2.73,2.731,20890
2021-04-14 01:30:43,2.7399,2.74,2.73,2.7399,8209
2021-04-14 01:30:44,2.74,2.74,2.73,2.7325,12978
2021-04-14 01:30:45,2.735,2.74,2.73,2.735,5031
2021-04-14 01:30:46,2.74,2.74,2.73,2.735,21425
2021-04-14 01:30:47,2.73,2.74,2.73,2.7329,4800
2021-04-14 01:30:48,2.73,2.74,2.73,2.7353,16924
2021-04-14 01:30:49,2.739,2.74,2.73,2.74,20731
2021-04-14 01:30:50,2.735,2.74,2.73,2.73,18090
2021-04-14 01:30:51,2.7399,2.7406,2.73,2.74,43928
2021-04-14 01:30:52,2.74,2.76,2.735,2.76,50355
2021-04-14 01:30:53,2.745,2.78,2.745,2.775,34703
2021-04-14 01:30:54,2.78,2.78,2.77,2.78,63792
2021-04-14 01:30:55,2.77,2.78,2.7627,2.78,14771
2021-04-14 01:30:56,2.7701,2.78,2.76,2.78,16800
2021-04-14 01:30:57,2.78,2.78,2.76,2.77,10229
2021-04-14 01:30:58,2.7796,2.78,2.7684,2.77,3881
2021-04-14 01:30:59,2.7701,2.78,2.76,2.77,15952
2021-04-14 01:31:00,2.7799,2.78,2.77,2.78,11615
2021-04-14 01:31:01,2.78,2.79,2.77,2.78,17976
2021-04-14 01:31:02,2.77,2.79,2.76,2.79,20022
2021-04-14 01:31:03,2.7899,2.79,2.78,2.79,27139
2021-04-14 01:31:04,2.79,2.79,2.78,2.7898,21974
2021-04-14 01:31:05,2.79,2.79,2.78,2.78,37736
2021-04-14 01:31:06,2.79,2.79,2.78,2.7878,29624
2021-04-14 01:31:07,2.79,2.79,2.78,2.781,19177
2021-04-14 01:31:08,2.785,2.79,2.78,2.79,9844
2021-04-14 01:31:09,2.785,2.79,2.77,2.77,11153
2021-04-14 01:31:10,2.77,2.78,2.73,2.73,95163
2021-04-14 01:31:11,2.73,2.74,2.73,2.73,26985
2021-04-14 01:31:12,2.73,2.74,2.71,2.71,119255
2021-04-14 01:31:13,2.71,2.73,2.7,2.7175,63491
2021-04-14 01:31:14,2.7,2.72,2.7,2.715,41119
2021-04-14 01:31:15,2.7124,2.73,2.7,2.71,38712
2021-04-14 01:31:16,2.72,2.73,2.71,2.715,36888
2021-04-14 01:31:17,2.71,2.72,2.71,2.72,8133
2021-04-14 01:31:18,2.72,2.73,2.716,2.72,22334
2021-04-14 01:31:19,2.729,2.73,2.72,2.7225,21394
2021-04-14 01:31:20,2.73,2.73,2.72,2.729,4021
2021-04-14 01:31:21,2.73,2.73,2.72,2.73,10240
2021-04-14 01:31:22,2.725,2.7276,2.72,2.72,3013
2021-04-14 01:31:23,2.72,2.73,2.71,2.7182,23738
2021-04-14 01:31:24,2.72,2.72,2.71,2.71,7593
2021-04-14 01:31:25,2.71,2.72,2.7,2.7079,39453
2021-04-14 01:31:26,2.7012,2.72,2.7,2.7,90517
2021-04-14 01:31:27,2.705,2.71,2.7,2.7041,38717
2021-04-14 01:31:28,2.705,2.705,2.69,2.7,27470
2021-04-14 01:31:29,2.69,2.7,2.69,2.69,19675
