Date,Open,High,Low,Close,Volume
2021-04-14 01:30:41,1.82,1.82,1.81,1.81,1334
2021-04-14 01:30:42,1.8086,1.82,1.8086,1.82,2902
2021-04-14 01:30:43,1.81,1.81,1.8,1.8,2738
2021-04-14 01:30:44,1.8,1.8,1.79,1.8,8638
2021-04-14 01:30:46,1.79,1.79,1.78,1.78,1066
2021-04-14 01:30:47,1.786,1.786,1.78,1.78,630
2021-04-14 01:30:48,1.785,1.785,1.78,1.78,446
2021-04-14 01:30:49,1.7868,1.79,1.7801,1.7864,1929
2021-04-14 01:30:50,1.785,1.79,1.785,1.79,6083
2021-04-14 01:30:52,1.795,1.8,1.795,1.8,939
2021-04-14 01:30:53,1.7976,1.8,1.795,1.8,3662
2021-04-14 01:30:54,1.8,1.8097,1.7997,1.8097,2280
2021-04-14 01:30:56,1.8,1.81,1.8,1.81,2599
2021-04-14 01:30:57,1.81,1.81,1.8,1.8087,2456
2021-04-14 01:30:58,1.805,1.81,1.7999,1.81,8916
2021-04-14 01:30:59,1.81,1.81,1.81,1.81,465
2021-04-14 01:31:00,1.8001,1.81,1.8001,1.81,250
2021-04-14 01:31:01,1.81,1.81,1.8077,1.81,886
2021-04-14 01:31:02,1.82,1.83,1.82,1.83,6456
2021-04-14 01:31:03,1.82,1.85,1.82,1.84,23309
2021-04-14 01:31:04,1.84,1.86,1.84,1.8599,11680
2021-04-14 01:31:05,1.855,1.86,1.85,1.855,9571
2021-04-14 01:31:06,1.86,1.87,1.86,1.87,6345
2021-04-14 01:31:07,1.8608,1.87,1.86,1.87,4929
2021-04-14 01:31:08,1.8693,1.88,1.8675,1.875,8951
2021-04-14 01:31:09,1.88,1.89,1.87,1.885,19460
2021-04-14 01:31:10,1.8836,1.89,1.88,1.8882,28477
2021-04-14 01:31:11,1.89,1.89,1.88,1.89,6018
2021-04-14 01:31:12,1.89,1.89,1.88,1.89,22387
2021-04-14 01:31:13,1.885,1.9,1.885,1.89,17183
2021-04-14 01:31:14,1.8942,1.9,1.89,1.89,21115
2021-04-14 01:31:15,1.9,1.9,1.89,1.89,12657
2021-04-14 01:31:16,1.9,1.9,1.89,1.9,24485
2021-04-14 01:31:17,1.9,1.91,1.89,1.91,23279
2021-04-14 01:31:18,1.91,1.92,1.89,1.9101,22082
2021-04-14 01:31:19,1.91,1.92,1.91,1.9131,11933
2021-04-14 01:31:20,1.91,1.93,1.91,1.91,28662
2021-04-14 01:31:21,1.92,1.95,1.92,1.95,44875
2021-04-14 01:31:22,1.945,1.96,1.94,1.9598,21453
2021-04-14 01:31:23,1.95,1.97,1.95,1.97,25805
2021-04-14 01:31:24,1.97,1.97,1.96,1.97,12060
2021-04-14 01:31:25,1.96,1.97,1.96,1.97,13691
2021-04-14 01:31:26,1.97,1.98,1.96,1.98,15863
2021-04-14 01:31:27,1.97,1.98,1.97,1.98,23793
2021-04-14 01:31:28,1.98,1.98,1.97,1.97,22179
2021-04-14 01:31:29,1.98,1.98,1.97,1.9795,21386
2021-04-14 01:31:30,1.98,1.98,1.97,1.98,21039
2021-04-14 01:31:31,1.9745,1.98,1.96,1.96,21456
2021-04-14 01:31:32,1.9695,1.97,1.96,1.96,18780
2021-04-14 01:31:33,1.97,1.97,1.95,1.9597,11317
2021-04-14 01:31:34,1.95,1.96,1.95,1.955,11680
2021-04-14 01:31:35,1.9495,1.95,1.93,1.945,22112
2021-04-14 01:31:36,1.949,1.95,1.93,1.9395,13734
2021-04-14 01:31:37,1.935,1.95,1.93,1.9306,25840
2021-04-14 01:31:38,1.935,1.94,1.92,1.93,9142
2021-04-14 01:31:39,1.9325,1.95,1.93,1.9402,4438
2021-04-14 01:31:40,1.94,1.94,1.93,1.93,8994
2021-04-14 01:31:41,1.9307,1.94,1.93,1.935,8620
2021-04-14 01:31:42,1.9396,1.94,1.93,1.9366,10253
2021-04-14 01:31:43,1.94,1.94,1.93,1.9384,6019
2021-04-14 01:31:44,1.9363,1.9408,1.93,1.9408,3431
2021-04-14 01:31:45,1.93,1.94,1.93,1.94,2279
2021-04-14 01:31:46,1.94,1.94,1.93,1.94,5232
2021-04-14 01:31:47,1.9358,1.95,1.9313,1.9401,5018
2021-04-14 01:31:48,1.945,1.95,1.94,1.95,4981
2021-04-14 01:31:49,1.944,1.955,1.94,1.95,11792
2021-04-14 01:31:50,1.95,1.96,1.94,1.95,14877
2021-04-14 01:31:51,1.955,1.96,1.95,1.9599,12183
2021-04-14 01:31:52,1.95,1.97,1.95,1.96,10577
2021-04-14 01:31:53,1.9692,1.97,1.95,1.9699,31233
2021-04-14 01:31:54,1.9697,1.97,1.95,1.95,10382
2021-04-14 01:31:55,1.9582,1.97,1.95,1.9598,20691
2021-04-14 01:31:56,1.95,1.96,1.94,1.95,16888
2021-04-14 01:31:57,1.94,1.96,1.94,1.94,21508
2021-04-14 01:31:58,1.9535,1.9599,1.94,1.95,11771
2021-04-14 01:31:59,1.9494,1.98,1.93,1.95,56723
2021-04-14 01:32:00,1.93,1.95,1.93,1.93,26782
2021-04-14 01:32:01,1.93,1.93,1.91,1.915,13573
2021-04-14 01:32:02,1.91,1.9184,1.89,1.891,25052
2021-04-14 01:32:03,1.9,1.9,1.88,1.885,32060
2021-04-14 01:32:04,1.89,1.89,1.88,1.8809,36334
2021-04-14 01:32:05,1.8892,1.8892,1.8798,1.88,20022
2021-04-14 01:32:06,1.89,1.89,1.87,1.88,19598
2021-04-14 01:32:07,1.88,1.88,1.87,1.87,18163
2021-04-14 01:32:08,1.88,1.9,1.87,1.89,29545
2021-04-14 01:32:09,1.9,1.9,1.89,1.9,10624
2021-04-14 01:32:10,1.8983,1.9,1.89,1.8992,14239
2021-04-14 01:32:11,1.8986,1.9,1.89,1.8996,9886
2021-04-14 01:32:12,1.9,1.9,1.88,1.888,22996
2021-04-14 01:32:13,1.8784,1.88,1.87,1.88,5066
2021-04-14 01:32:14,1.8799,1.88,1.86,1.8756,9860
2021-04-14 01:32:15,1.86,1.87,1.86,1.87,3669
2021-04-14 01:32:16,1.86,1.88,1.86,1.869,6699
2021-04-14 01:32:17,1.865,1.88,1.86,1.88,17084
2021-04-14 01:32:18,1.87,1.88,1.87,1.87,6961
2021-04-14 01:32:19,1.8775,1.88,1.86,1.86,23209
2021-04-14 01:32:20,1.86,1.86,1.85,1.86,10622
2021-04-14 01:32:21,1.85,1.86,1.85,1.86,14371
2021-04-14 01:32:22,1.86,1.865,1.8597,1.86,5329
2021-04-14 01:32:23,1.86,1.86,1.85,1.86,5045
2021-04-14 01:32:24,1.86,1.86,1.8598,1.86,19046
2021-04-14 01:32:25,1.869,1.87,1.86,1.87,5191
2021-04-14 01:32:26,1.87,1.8798,1.86,1.8783,14253
2021-04-14 01:32:27,1.87,1.88,1.86,1.8715,26448
2021-04-14 01:32:28,1.88,1.885,1.87,1.8786,9030
2021-04-14 01:32:29,1.8754,1.89,1.87,1.88,28699
2021-04-14 01:32:30,1.889,1.89,1.88,1.89,10771
2021-04-14 01:32:31,1.8899,1.89,1.88,1.89,41441
2021-04-14 01:32:32,1.89,1.9,1.885,1.9,17182
2021-04-14 01:32:33,1.8999,1.9,1.89,1.893,9490
2021-04-14 01:32:34,1.9,1.91,1.893,1.9092,19662
2021-04-14 01:32:35,1.91,1.93,1.91,1.93,16159
2021-04-14 01:32:36,1.93,1.93,1.92,1.92,15005
2021-04-14 01:32:37,1.93,1.94,1.9098,1.9176,24631
2021-04-14 01:32:38,1.9187,1.92,1.91,1.9113,23602
2021-04-14 01:32:39,1.92,1.92,1.91,1.92,4561
2021-04-14 01:32:40,1.92,1.93,1.91,1.93,7718
2021-04-14 01:32:41,1.91,1.92,1.9,1.9,2901
2021-04-14 01:32:42,1.9299,1.93,1.91,1.91,15121
2021-04-14 01:32:43,1.91,1.92,1.895,1.92,15329
2021-04-14 01:32:44,1.91,1.9296,1.9,1.9,13247
2021-04-14 01:32:45,1.9138,1.92,1.91,1.91,7036
2021-04-14 01:32:46,1.9199,1.93,1.91,1.93,12965
2021-04-14 01:32:47,1.91,1.93,1.91,1.915,9450
2021-04-14 01:32:48,1.915,1.92,1.9101,1.9184,6163
2021-04-14 01:32:49,1.92,1.92,1.9192,1.9192,823
2021-04-14 01:32:50,1.92,1.93,1.9198,1.92,8631
2021-04-14 01:32:51,1.92,1.93,1.9197,1.93,4774
2021-04-14 01:32:52,1.91,1.93,1.91,1.9287,6052
2021-04-14 01:32:53,1.92,1.93,1.92,1.9201,6611
2021-04-14 01:32:54,1.9284,1.93,1.92,1.93,18711
2021-04-14 01:32:55,1.93,1.93,1.921,1.9217,8263
2021-04-14 01:32:56,1.93,1.95,1.93,1.9499,20412
2021-04-14 01:32:57,1.95,1.96,1.94,1.9599,25805
2021-04-14 01:32:58,1.96,1.98,1.96,1.98,26832
2021-04-14 01:32:59,1.9797,1.99,1.96,1.99,56647
2021-04-14 01:33:00,1.985,1.99,1.9699,1.97,30633
2021-04-14 01:33:01,1.97,1.985,1.96,1.975,24617
2021-04-14 01:33:02,1.97,1.99,1.97,1.975,25375
2021-04-14 01:33:03,1.975,1.99,1.97,1.9858,12844
2021-04-14 01:33:04,1.98,1.99,1.96,1.97,18955
2021-04-14 01:33:05,1.975,1.98,1.97,1.9771,15739
2021-04-14 01:33:06,1.9799,1.98,1.96,1.9603,28436
2021-04-14 01:33:07,1.97,1.97,1.95,1.96,9854
2021-04-14 01:33:08,1.97,1.97,1.95,1.9517,19412
2021-04-14 01:33:09,1.9558,1.9654,1.95,1.96,7188
2021-04-14 01:33:10,1.95,1.97,1.95,1.95,21503
2021-04-14 01:33:11,1.9584,1.96,1.95,1.9599,10055
2021-04-14 01:33:12,1.9599,1.96,1.95,1.951,5080
2021-04-14 01:33:13,1.95,1.97,1.95,1.97,11002
2021-04-14 01:33:14,1.96,1.9682,1.95,1.95,2522
2021-04-14 01:33:15,1.951,1.97,1.95,1.96,4267
2021-04-14 01:33:16,1.97,1.98,1.9601,1.975,5428
2021-04-14 01:33:17,1.9793,2,1.9776,1.99,27646
2021-04-14 01:33:18,1.99,2,1.98,2,61658
2021-04-14 01:33:19,2,2.03,1.9903,2.01,87432
2021-04-14 01:33:20,2.0299,2.03,2,2.01,38186
2021-04-14 01:33:21,2.01,2.02,2,2.015,24547
2021-04-14 01:33:22,2.0116,2.02,1.97,1.971,65766
2021-04-14 01:33:23,1.98,2.01,1.95,2.0093,45435
2021-04-14 01:33:24,2.01,2.01,1.97,1.971,50411
2021-04-14 01:33:25,1.9723,2.005,1.97,2.005,12663
2021-04-14 01:33:26,2.007,2.0092,1.99,2,9330
2021-04-14 01:33:27,1.9996,2,1.98,1.9801,18503
2021-04-14 01:33:28,1.9869,1.99,1.97,1.989,9985
2021-04-14 01:33:29,1.98,1.99,1.9601,1.9885,18144
2021-04-14 01:33:30,1.9801,2,1.97,1.98,21510
2021-04-14 01:33:31,1.98,1.99,1.97,1.97,4529
2021-04-14 01:33:32,1.9875,1.9893,1.97,1.97,16102
2021-04-14 01:33:33,1.97,1.98,1.97,1.97,8750
2021-04-14 01:33:34,1.97,1.99,1.96,1.975,13100
2021-04-14 01:33:35,1.97,1.9784,1.97,1.9741,3302
2021-04-14 01:33:36,1.971,1.98,1.96,1.9799,18587
2021-04-14 01:33:37,1.9613,1.98,1.96,1.96,10049
2021-04-14 01:33:38,1.96,1.98,1.96,1.96,22082
2021-04-14 01:33:39,1.96,1.97,1.96,1.9667,15868
2021-04-14 01:33:40,1.978,1.98,1.96,1.98,12557
2021-04-14 01:33:41,1.961,1.98,1.96,1.975,22664
2021-04-14 01:33:42,1.9799,1.98,1.9748,1.9797,3284
2021-04-14 01:33:43,1.9786,1.98,1.97,1.9798,6671
2021-04-14 01:33:44,1.9733,1.98,1.9701,1.9701,4147
2021-04-14 01:33:45,1.98,1.98,1.97,1.97,6093
2021-04-14 01:33:46,1.97,1.98,1.97,1.9716,3949
2021-04-14 01:33:47,1.97,1.98,1.97,1.9741,6978
2021-04-14 01:33:48,1.98,1.9875,1.97,1.9875,10165
2021-04-14 01:33:49,1.98,1.99,1.98,1.98,5732
2021-04-14 01:33:50,1.9758,1.98,1.97,1.98,7596
2021-04-14 01:33:51,1.98,2,1.98,1.99,18586
2021-04-14 01:33:52,1.98,2,1.98,1.99,10215
2021-04-14 01:33:53,1.9816,1.99,1.98,1.9893,4437
2021-04-14 01:33:54,1.99,2,1.985,1.9946,6780
2021-04-14 01:33:55,1.995,2,1.98,2,18201
2021-04-14 01:33:56,1.995,2,1.991,1.9999,6428
2021-04-14 01:33:57,1.9905,2,1.99,1.9982,9908
2021-04-14 01:33:58,1.991,2,1.99,2,7990
2021-04-14 01:33:59,1.99,2,1.99,1.99,9680
2021-04-14 01:34:00,1.9999,2,1.99,1.99,16183
2021-04-14 01:34:01,1.99,2,1.99,1.9908,18883
2021-04-14 01:34:02,1.995,2,1.985,1.991,16873
2021-04-14 01:34:03,2,2,1.98,1.98,10522
2021-04-14 01:34:04,1.98,1.99,1.98,1.9824,13642
2021-04-14 01:34:05,1.99,1.99,1.98,1.98,22374
2021-04-14 01:34:06,1.98,1.9842,1.9301,1.96,67539
2021-04-14 01:34:07,1.96,1.965,1.93,1.95,19089
2021-04-14 01:34:08,1.95,1.97,1.94,1.96,13740
2021-04-14 01:34:09,1.941,1.959,1.941,1.95,6452
2021-04-14 01:34:10,1.95,1.95,1.93,1.9413,9953
2021-04-14 01:34:11,1.9497,1.95,1.93,1.941,9262
2021-04-14 01:34:12,1.94,1.95,1.92,1.94,29574
2021-04-14 01:34:13,1.94,1.9475,1.93,1.94,9978
2021-04-14 01:34:14,1.93,1.95,1.92,1.94,14438
2021-04-14 01:34:15,1.94,1.95,1.915,1.9199,47793
2021-04-14 01:34:16,1.915,1.93,1.91,1.91,24659
2021-04-14 01:34:17,1.9284,1.94,1.92,1.94,7653
2021-04-14 01:34:18,1.93,1.9399,1.92,1.93,8802
2021-04-14 01:34:19,1.938,1.945,1.93,1.945,9170
2021-04-14 01:34:20,1.94,1.94,1.93,1.94,7623
2021-04-14 01:34:21,1.93,1.94,1.93,1.93,6454
2021-04-14 01:34:22,1.9386,1.9392,1.9309,1.9348,1901
2021-04-14 01:34:23,1.93,1.94,1.93,1.94,6099
2021-04-14 01:34:24,1.935,1.94,1.93,1.93,13653
2021-04-14 01:34:25,1.935,1.945,1.93,1.9399,29758
2021-04-14 01:34:26,1.939,1.94,1.933,1.94,8970
2021-04-14 01:34:27,1.94,1.94,1.9303,1.9303,2775
2021-04-14 01:34:28,1.938,1.94,1.93,1.94,15450
2021-04-14 01:34:29,1.94,1.94,1.93,1.9399,3596
2021-04-14 01:34:30,1.94,1.94,1.935,1.94,6500
2021-04-14 01:34:31,1.9301,1.9399,1.93,1.9399,3226
2021-04-14 01:34:32,1.93,1.93,1.92,1.93,1979
2021-04-14 01:34:33,1.93,1.9363,1.93,1.93,14156
2021-04-14 01:34:35,1.9304,1.94,1.9304,1.9342,3455
2021-04-14 01:34:36,1.94,1.94,1.9397,1.9397,517
2021-04-14 01:34:37,1.935,1.94,1.93,1.93,2902
2021-04-14 01:34:38,1.93,1.94,1.93,1.9305,23026
2021-04-14 01:34:39,1.9399,1.94,1.9399,1.94,6303
2021-04-14 01:34:40,1.94,1.94,1.9363,1.9363,7327
2021-04-14 01:34:41,1.94,1.94,1.9388,1.9395,8116
2021-04-14 01:34:42,1.94,1.94,1.93,1.9399,9990
2021-04-14 01:34:43,1.9386,1.94,1.9337,1.94,1865
2021-04-14 01:34:44,1.94,1.94,1.93,1.94,4070
2021-04-14 01:34:45,1.9399,1.94,1.9399,1.94,752
2021-04-14 01:34:47,1.94,1.94,1.935,1.94,7008
2021-04-14 01:34:48,1.935,1.95,1.93,1.93,4799
2021-04-14 01:34:49,1.94,1.95,1.94,1.95,7314
2021-04-14 01:34:50,1.94,1.9499,1.94,1.9484,8768
2021-04-14 01:34:51,1.95,1.96,1.949,1.95,23366
2021-04-14 01:34:52,1.95,1.96,1.9482,1.96,42112
2021-04-14 01:34:53,1.96,1.96,1.95,1.95,4712
2021-04-14 01:34:54,1.9585,1.97,1.955,1.96,19141
2021-04-14 01:34:55,1.955,1.975,1.955,1.97,15268
2021-04-14 01:34:56,1.97,1.97,1.94,1.95,12885
2021-04-14 01:34:57,1.95,1.9587,1.945,1.9587,5352
2021-04-14 01:34:58,1.95,1.96,1.95,1.96,10210
2021-04-14 01:34:59,1.9575,1.97,1.9575,1.9685,4700
2021-04-14 01:35:00,1.96,1.9699,1.96,1.9699,1287
2021-04-14 01:35:01,1.96,1.9699,1.94,1.9499,21948
2021-04-14 01:35:02,1.95,1.95,1.94,1.95,9221
2021-04-14 01:35:03,1.9476,1.9476,1.92,1.94,26490
2021-04-14 01:35:04,1.9599,1.97,1.94,1.9637,19346
2021-04-14 01:35:05,1.96,1.96,1.96,1.96,1431
2021-04-14 01:35:06,1.9537,1.9582,1.95,1.95,1370
2021-04-14 01:35:07,1.95,1.95,1.94,1.945,4242
2021-04-14 01:35:08,1.9402,1.945,1.92,1.9206,31226
2021-04-14 01:35:09,1.923,1.93,1.91,1.91,23331
2021-04-14 01:35:10,1.91,1.9198,1.91,1.915,3649
2021-04-14 01:35:11,1.92,1.925,1.9101,1.9101,14684
2021-04-14 01:35:12,1.92,1.93,1.91,1.91,16894
2021-04-14 01:35:13,1.91,1.92,1.91,1.915,12631
2021-04-14 01:35:14,1.91,1.92,1.91,1.9177,1438
2021-04-14 01:35:15,1.9293,1.93,1.92,1.925,3047
2021-04-14 01:35:16,1.9254,1.9254,1.9254,1.9254,471
2021-04-14 01:35:17,1.92,1.93,1.92,1.93,221
2021-04-14 01:35:18,1.92,1.925,1.919,1.919,5182
2021-04-14 01:35:19,1.915,1.92,1.915,1.9184,855
2021-04-14 01:35:20,1.9101,1.93,1.9101,1.93,6795
2021-04-14 01:35:21,1.925,1.93,1.92,1.93,1418
2021-04-14 01:35:22,1.93,1.93,1.92,1.925,1616
2021-04-14 01:35:23,1.93,1.93,1.92,1.93,1749
2021-04-14 01:35:24,1.9284,1.9298,1.925,1.925,2580
2021-04-14 01:35:25,1.925,1.9299,1.925,1.9299,651
2021-04-14 01:35:26,1.93,1.93,1.93,1.93,1037
2021-04-14 01:35:27,1.925,1.925,1.923,1.923,2632
2021-04-14 01:35:28,1.92,1.94,1.92,1.94,17467
