Date,Open,High,Low,Close,Volume
2021-04-15 01:30:23,7.36,7.37,7.33,7.34,17912
2021-04-15 01:30:24,7.3305,7.365,7.33,7.365,5380
2021-04-15 01:30:25,7.36,7.3695,7.3397,7.35,7437
2021-04-15 01:30:26,7.37,7.45,7.37,7.45,27228
2021-04-15 01:30:27,7.4497,7.45,7.4,7.415,11348
2021-04-15 01:30:28,7.43,7.43,7.4,7.4025,4001
2021-04-15 01:30:29,7.4,7.42,7.38,7.42,10532
2021-04-15 01:30:30,7.4,7.4099,7.3701,7.3796,7803
2021-04-15 01:30:31,7.37,7.3899,7.36,7.3899,5600
2021-04-15 01:30:32,7.39,7.39,7.3701,7.3701,792
2021-04-15 01:30:33,7.38,7.3899,7.365,7.3793,7147
2021-04-15 01:30:34,7.3793,7.38,7.3501,7.37,2630
2021-04-15 01:30:35,7.36,7.37,7.3501,7.37,1930
2021-04-15 01:30:36,7.38,7.4,7.35,7.3901,11614
2021-04-15 01:30:37,7.4181,7.42,7.3801,7.4199,7900
2021-04-15 01:30:38,7.4206,7.5,7.42,7.45,24918
2021-04-15 01:30:39,7.43,7.48,7.42,7.42,11039
2021-04-15 01:30:40,7.435,7.4494,7.42,7.4205,4898
2021-04-15 01:30:41,7.45,7.465,7.435,7.4641,5806
2021-04-15 01:30:42,7.46,7.47,7.45,7.46,6223
2021-04-15 01:30:43,7.455,7.52,7.4501,7.505,36015
2021-04-15 01:30:44,7.5199,7.52,7.48,7.52,26324
2021-04-15 01:30:45,7.52,7.52,7.48,7.5,14115
2021-04-15 01:30:46,7.51,7.51,7.4905,7.4994,6330
2021-04-15 01:30:47,7.5,7.5,7.47,7.47,5543
2021-04-15 01:30:48,7.4796,7.4796,7.41,7.415,7743
2021-04-15 01:30:49,7.41,7.4599,7.38,7.385,8698
2021-04-15 01:30:50,7.385,7.4,7.38,7.385,5198
2021-04-15 01:30:51,7.385,7.39,7.3801,7.385,6360
2021-04-15 01:30:52,7.3899,7.4,7.3801,7.3801,4208
2021-04-15 01:30:53,7.4,7.46,7.4,7.4455,5557
2021-04-15 01:30:54,7.435,7.46,7.43,7.43,6261
2021-04-15 01:30:55,7.431,7.44,7.41,7.41,4148
2021-04-15 01:30:56,7.416,7.44,7.415,7.42,1401
2021-04-15 01:30:57,7.401,7.4226,7.401,7.4226,4203
2021-04-15 01:30:58,7.4101,7.42,7.4101,7.42,3712
2021-04-15 01:30:59,7.44,7.44,7.425,7.4399,4312
2021-04-15 01:31:00,7.4101,7.4355,7.4,7.4,5268
2021-04-15 01:31:01,7.395,7.4062,7.39,7.4062,2062
2021-04-15 01:31:02,7.41,7.41,7.3901,7.395,2041
2021-04-15 01:31:03,7.395,7.395,7.38,7.38,739
2021-04-15 01:31:04,7.3877,7.39,7.385,7.39,2428
2021-04-15 01:31:05,7.3882,7.39,7.38,7.385,2620
2021-04-15 01:31:06,7.385,7.39,7.38,7.39,3795
2021-04-15 01:31:07,7.39,7.39,7.37,7.37,11562
2021-04-15 01:31:08,7.365,7.37,7.35,7.355,9510
2021-04-15 01:31:09,7.36,7.36,7.33,7.3314,6121
2021-04-15 01:31:10,7.3499,7.3499,7.31,7.31,14695
2021-04-15 01:31:11,7.31,7.35,7.31,7.32,11266
2021-04-15 01:31:12,7.31,7.33,7.17,7.2441,52738
2021-04-15 01:31:13,7.215,7.24,7.17,7.21,13654
2021-04-15 01:31:14,7.2,7.26,7.18,7.25,13177
2021-04-15 01:31:15,7.2497,7.25,7.21,7.24,12215
2021-04-15 01:31:16,7.24,7.24,7.18,7.2,9553
2021-04-15 01:31:17,7.19,7.2199,7.18,7.2199,12684
2021-04-15 01:31:18,7.1948,7.23,7.1852,7.209,3036
2021-04-15 01:31:19,7.21,7.25,7.2001,7.23,5513
2021-04-15 01:31:20,7.2059,7.24,7.205,7.2269,8020
2021-04-15 01:31:21,7.2205,7.25,7.2201,7.25,3389
2021-04-15 01:31:22,7.2497,7.25,7.236,7.2499,3916
2021-04-15 01:31:23,7.2499,7.25,7.2238,7.235,3412
2021-04-15 01:31:24,7.2428,7.25,7.22,7.25,2985
2021-04-15 01:31:25,7.235,7.24,7.22,7.23,3833
2021-04-15 01:31:26,7.239,7.24,7.22,7.22,1292
2021-04-15 01:31:27,7.225,7.23,7.225,7.23,1495
2021-04-15 01:31:28,7.22,7.22,7.21,7.21,4477
2021-04-15 01:31:29,7.22,7.24,7.2101,7.2121,2544
2021-04-15 01:31:30,7.211,7.23,7.211,7.23,2251
2021-04-15 01:31:31,7.21,7.23,7.21,7.2101,2069
2021-04-15 01:31:32,7.22,7.27,7.22,7.27,13345
2021-04-15 01:31:33,7.265,7.32,7.25,7.2879,25384
