Date,Open,High,Low,Close,Volume
2021-04-16 01:30:18,5.41,5.41,5.4,5.41,33978
2021-04-16 01:30:19,5.41,5.42,5.4,5.41,11995
2021-04-16 01:30:20,5.405,5.44,5.402,5.44,31449
2021-04-16 01:30:21,5.439,5.47,5.39,5.4699,36272
2021-04-16 01:30:22,5.46,5.52,5.46,5.52,36259
2021-04-16 01:30:23,5.55,5.6,5.54,5.6,37222
2021-04-16 01:30:24,5.59,5.63,5.5877,5.63,34184
2021-04-16 01:30:25,5.61,5.67,5.61,5.66,82038
2021-04-16 01:30:26,5.63,5.67,5.63,5.65,34454
2021-04-16 01:30:27,5.65,5.68,5.58,5.5984,48713
2021-04-16 01:30:28,5.6,5.6,5.47,5.52,39521
2021-04-16 01:30:29,5.52,5.55,5.43,5.4301,37054
2021-04-16 01:30:30,5.4303,5.48,5.42,5.42,51501
2021-04-16 01:30:31,5.43,5.44,5.41,5.42,13903
2021-04-16 01:30:32,5.42,5.43,5.37,5.37,38179
2021-04-16 01:30:33,5.37,5.3799,5.34,5.34,47889
2021-04-16 01:30:34,5.34,5.36,5.3,5.3016,56790
2021-04-16 01:30:35,5.31,5.32,5.28,5.28,48546
2021-04-16 01:30:36,5.2894,5.31,5.26,5.29,71540
2021-04-16 01:30:37,5.295,5.32,5.28,5.28,78576
2021-04-16 01:30:38,5.28,5.34,5.27,5.31,49431
2021-04-16 01:30:39,5.31,5.33,5.3,5.32,34549
2021-04-16 01:30:40,5.32,5.33,5.3,5.32,16526
2021-04-16 01:30:41,5.3184,5.32,5.3,5.31,25899
2021-04-16 01:30:42,5.305,5.31,5.27,5.27,18297
2021-04-16 01:30:43,5.2799,5.28,5.25,5.26,37605
2021-04-16 01:30:44,5.25,5.285,5.25,5.25,24258
2021-04-16 01:30:45,5.25,5.28,5.25,5.27,26004
2021-04-16 01:30:46,5.2616,5.27,5.24,5.2499,44097
2021-04-16 01:30:47,5.2499,5.26,5.21,5.23,47113
2021-04-16 01:30:48,5.24,5.25,5.21,5.22,27992
2021-04-16 01:30:49,5.21,5.24,5.21,5.23,20276
2021-04-16 01:30:50,5.23,5.25,5.22,5.2479,21486
2021-04-16 01:30:51,5.2422,5.25,5.24,5.2497,26271
2021-04-16 01:30:52,5.2416,5.27,5.24,5.26,26455
2021-04-16 01:30:53,5.255,5.27,5.255,5.27,9859
2021-04-16 01:30:54,5.27,5.27,5.265,5.2693,19883
2021-04-16 01:30:55,5.27,5.28,5.26,5.26,25931
2021-04-16 01:30:56,5.26,5.26,5.25,5.25,14524
2021-04-16 01:30:57,5.25,5.25,5.24,5.24,9830
2021-04-16 01:30:58,5.24,5.26,5.24,5.24,37325
2021-04-16 01:30:59,5.25,5.26,5.24,5.24,7701
2021-04-16 01:31:00,5.26,5.26,5.2401,5.2501,21990
2021-04-16 01:31:01,5.26,5.27,5.25,5.27,11241
2021-04-16 01:31:02,5.27,5.29,5.26,5.2807,21889
2021-04-16 01:31:03,5.2893,5.29,5.27,5.27,23004
2021-04-16 01:31:04,5.28,5.28,5.26,5.2603,12136
2021-04-16 01:31:05,5.2759,5.28,5.26,5.26,14380
2021-04-16 01:31:06,5.26,5.28,5.24,5.28,51643
2021-04-16 01:31:07,5.27,5.28,5.26,5.2701,15940
2021-04-16 01:31:08,5.26,5.27,5.2414,5.26,18278
2021-04-16 01:31:09,5.26,5.26,5.24,5.26,13162
2021-04-16 01:31:10,5.25,5.2599,5.24,5.25,12283
2021-04-16 01:31:11,5.24,5.25,5.21,5.2303,30376
2021-04-16 01:31:12,5.22,5.23,5.13,5.16,87339
2021-04-16 01:31:13,5.17,5.17,5.13,5.15,38737
2021-04-16 01:31:14,5.16,5.18,5.15,5.16,37285
2021-04-16 01:31:15,5.1501,5.18,5.14,5.18,29530
2021-04-16 01:31:16,5.175,5.2,5.16,5.1616,26991
2021-04-16 01:31:17,5.1665,5.22,5.16,5.19,32085
2021-04-16 01:31:18,5.19,5.2,5.17,5.19,26446
2021-04-16 01:31:19,5.1882,5.2,5.18,5.2,25916
2021-04-16 01:31:20,5.18,5.2,5.155,5.18,28510
2021-04-16 01:31:21,5.18,5.18,5.17,5.1799,5429
2021-04-16 01:31:22,5.1799,5.21,5.1799,5.2,13438
2021-04-16 01:31:23,5.2008,5.23,5.2,5.2296,23482
2021-04-16 01:31:24,5.2299,5.24,5.21,5.23,27851
2021-04-16 01:31:25,5.23,5.24,5.22,5.2399,7544
2021-04-16 01:31:26,5.24,5.24,5.23,5.24,16556
2021-04-16 01:31:27,5.23,5.25,5.23,5.2497,23593
2021-04-16 01:31:28,5.24,5.25,5.23,5.235,11390
2021-04-16 01:31:29,5.24,5.26,5.24,5.25,20692
2021-04-16 01:31:30,5.25,5.25,5.21,5.21,38945
2021-04-16 01:31:31,5.2117,5.23,5.21,5.22,22595
2021-04-16 01:31:32,5.22,5.23,5.21,5.2139,6134
2021-04-16 01:31:33,5.21,5.22,5.2,5.2182,6691
2021-04-16 01:31:34,5.21,5.21,5.2,5.2,3292
2021-04-16 01:31:35,5.2,5.22,5.2,5.21,30308
