Date,Open,High,Low,Close,Volume
2021-04-19 05:22:44,2.98,2.98,2.98,2.98,100
2021-04-19 05:22:46,2.98,2.98,2.98,2.98,100
2021-04-19 05:22:47,2.95,2.95,2.95,2.95,272
2021-04-19 05:22:52,2.95,2.95,2.95,2.95,100
2021-04-19 05:22:53,2.95,2.95,2.95,2.95,400
2021-04-19 05:22:54,2.94,2.94,2.94,2.94,300
2021-04-19 05:22:56,2.98,2.98,2.98,2.98,100
2021-04-19 05:22:58,2.97,2.97,2.97,2.97,100
2021-04-19 05:22:59,2.97,2.97,2.97,2.97,100
2021-04-19 05:23:01,2.97,2.97,2.97,2.97,100
2021-04-19 05:23:02,2.98,2.98,2.98,2.98,100
2021-04-19 05:23:04,2.97,2.97,2.93,2.94,499
2021-04-19 05:23:05,2.93,2.93,2.91,2.91,654
2021-04-19 05:23:08,2.91,2.93,2.9,2.9,1677
2021-04-19 05:23:09,2.9,2.9,2.9,2.9,2132
2021-04-19 05:23:13,2.9,2.9,2.9,2.9,1570
2021-04-19 05:23:19,2.97,2.97,2.88,2.88,2200
2021-04-19 05:23:24,2.96,2.96,2.92,2.92,200
2021-04-19 05:23:26,2.96,2.96,2.96,2.96,100
2021-04-19 05:23:27,2.93,2.93,2.93,2.93,100
2021-04-19 05:23:29,2.93,2.93,2.93,2.93,100
2021-04-19 05:23:30,2.93,2.93,2.93,2.93,100
2021-04-19 05:23:32,2.93,2.93,2.93,2.93,100
2021-04-19 05:23:34,2.95,2.95,2.91,2.91,200
2021-04-19 05:23:35,2.91,2.91,2.91,2.91,100
2021-04-19 05:23:36,2.91,2.91,2.91,2.91,400
2021-04-19 05:23:37,2.91,2.91,2.91,2.91,200
2021-04-19 05:23:38,2.91,2.91,2.91,2.91,100
2021-04-19 05:23:40,2.94,2.94,2.94,2.94,100
2021-04-19 05:23:41,2.94,2.94,2.94,2.94,100
2021-04-19 05:23:43,2.94,2.94,2.94,2.94,100
2021-04-19 05:23:44,2.94,2.94,2.94,2.94,100
2021-04-19 05:23:45,2.91,2.91,2.9,2.9,431
2021-04-19 05:23:46,2.91,2.91,2.9,2.9,863
2021-04-19 05:23:47,2.91,2.91,2.91,2.91,100
2021-04-19 05:23:48,2.91,2.91,2.91,2.91,400
2021-04-19 05:23:49,2.92,2.92,2.92,2.92,200
2021-04-19 05:23:50,2.91,2.92,2.91,2.92,600
2021-04-19 05:23:51,2.92,2.92,2.92,2.92,100
2021-04-19 05:23:52,2.93,2.93,2.93,2.93,200
2021-04-19 05:23:53,2.93,2.93,2.93,2.93,100
2021-04-19 05:23:54,2.93,2.93,2.93,2.93,200
2021-04-19 05:23:55,2.93,2.93,2.93,2.93,159
2021-04-19 05:23:56,2.93,2.93,2.93,2.93,100
2021-04-19 05:23:57,2.93,2.93,2.93,2.93,100
2021-04-19 05:23:58,2.93,2.93,2.93,2.93,262
2021-04-19 05:23:59,2.9288,2.93,2.9288,2.93,200
2021-04-19 05:24:01,2.94,2.94,2.94,2.94,100
2021-04-19 05:24:02,2.94,2.94,2.94,2.94,100
2021-04-19 05:24:03,2.94,2.94,2.94,2.94,100
2021-04-19 05:24:04,2.94,2.94,2.94,2.94,300
2021-04-19 05:24:05,2.97,2.97,2.97,2.97,100
2021-04-19 05:24:16,2.98,2.98,2.98,2.98,100
2021-04-19 05:24:17,2.96,2.96,2.96,2.96,100
2021-04-19 05:24:19,2.97,2.97,2.97,2.97,100
2021-04-19 05:24:20,2.97,2.97,2.97,2.97,100
2021-04-19 05:24:21,2.97,2.97,2.96,2.97,500
2021-04-19 05:24:22,2.97,2.97,2.97,2.97,100
2021-04-19 05:24:23,2.97,2.97,2.97,2.97,1100
2021-04-19 05:24:25,2.96,2.96,2.96,2.96,100
2021-04-19 05:24:26,2.96,2.96,2.96,2.96,100
2021-04-19 05:24:28,2.96,2.96,2.96,2.96,100
2021-04-19 05:24:29,2.96,2.96,2.96,2.96,100
2021-04-19 05:24:31,2.96,2.96,2.96,2.96,100
