Date,Open,High,Low,Close,Volume
2021-04-20 01:40:47,7.6,7.65,7.52,7.57,112765
2021-04-20 01:40:48,7.57,7.69,7.55,7.56,60496
2021-04-20 01:40:49,7.55,7.56,7.5,7.51,39621
2021-04-20 01:40:50,7.5001,7.51,7.4,7.41,39234
2021-04-20 01:40:51,7.41,7.51,7.4,7.4983,54047
2021-04-20 01:40:52,7.5,7.69,7.49,7.69,106532
2021-04-20 01:40:53,7.6899,7.85,7.59,7.82,68857
2021-04-20 01:40:54,7.82,7.89,7.7506,7.81,104710
2021-04-20 01:40:55,7.81,7.85,7.7,7.7626,87515
2021-04-20 01:40:56,7.76,7.8,7.6401,7.65,56281
2021-04-20 01:40:57,7.645,7.69,7.55,7.59,35432
2021-04-20 01:40:58,7.59,7.66,7.59,7.66,36590
2021-04-20 01:40:59,7.6501,7.66,7.63,7.63,28968
2021-04-20 01:41:00,7.635,7.64,7.5,7.505,32814
2021-04-20 01:41:01,7.505,7.51,7.3505,7.3505,34007
2021-04-20 01:41:02,7.35,7.36,7.29,7.32,38203
2021-04-20 01:41:03,7.29,7.34,7.25,7.34,20238
2021-04-20 01:41:04,7.34,7.46,7.3,7.3688,53250
2021-04-20 01:41:05,7.36,7.46,7.36,7.3788,35834
2021-04-20 01:41:06,7.38,7.38,7.2,7.26,51578
2021-04-20 01:41:07,7.27,7.27,7.2,7.2,21182
2021-04-20 01:41:08,7.2,7.2,7.14,7.1888,30332
2021-04-20 01:41:09,7.16,7.19,7.15,7.165,26753
2021-04-20 01:41:10,7.17,7.2344,7.16,7.2344,30206
2021-04-20 01:41:11,7.24,7.25,7.2,7.2414,43980
2021-04-20 01:41:12,7.25,7.3,7.2,7.29,67332
2021-04-20 01:41:13,7.29,7.3,7.2401,7.2718,27091
2021-04-20 01:41:14,7.3,7.39,7.25,7.3501,26948
2021-04-20 01:41:15,7.41,7.41,7.3,7.35,29046
2021-04-20 01:41:16,7.36,7.36,7.31,7.35,33349
2021-04-20 01:41:17,7.36,7.4,7.31,7.3343,21468
2021-04-20 01:41:18,7.38,7.46,7.3375,7.46,19332
2021-04-20 01:41:19,7.46,7.46,7.4063,7.4201,18430
2021-04-20 01:41:20,7.45,7.45,7.31,7.31,39750
2021-04-20 01:41:21,7.31,7.315,7.25,7.25,22825
2021-04-20 01:41:22,7.25,7.28,7.23,7.28,19061
2021-04-20 01:41:23,7.28,7.28,7.25,7.28,16262
2021-04-20 01:41:24,7.28,7.28,7.25,7.2782,20721
2021-04-20 01:41:25,7.2775,7.29,7.27,7.29,12727
2021-04-20 01:41:26,7.31,7.4,7.3,7.3912,15681
2021-04-20 01:41:27,7.4,7.4,7.35,7.36,14278
2021-04-20 01:41:28,7.375,7.39,7.33,7.38,13569
2021-04-20 01:41:29,7.39,7.4,7.37,7.3901,16605
2021-04-20 01:41:30,7.4,7.4,7.37,7.3901,14872
2021-04-20 01:41:31,7.3901,7.4,7.38,7.3801,13851
2021-04-20 01:41:32,7.38,7.38,7.37,7.37,1933
2021-04-20 01:41:33,7.3701,7.38,7.3,7.3012,10995
2021-04-20 01:41:34,7.305,7.305,7.23,7.2301,14886
2021-04-20 01:41:35,7.23,7.24,7.22,7.23,22039
2021-04-20 01:41:36,7.23,7.3,7.22,7.3,29005
2021-04-20 01:41:37,7.3,7.31,7.3,7.3009,53307
2021-04-20 01:41:38,7.3011,7.3011,7.23,7.2636,21267
2021-04-20 01:41:39,7.2873,7.29,7.25,7.29,15248
2021-04-20 01:41:40,7.29,7.29,7.2501,7.26,6876
2021-04-20 01:41:41,7.259,7.259,7.2,7.2,11077
2021-04-20 01:41:42,7.2,7.217,7.15,7.16,12667
2021-04-20 01:41:43,7.15,7.17,7.11,7.165,19762
2021-04-20 01:41:44,7.16,7.25,7.15,7.2498,29440
2021-04-20 01:41:45,7.26,7.29,7.23,7.25,20912
2021-04-20 01:41:46,7.25,7.28,7.25,7.255,2704
2021-04-20 01:41:47,7.2501,7.29,7.16,7.1762,23387
2021-04-20 01:41:48,7.1605,7.2,7.16,7.19,13996
2021-04-20 01:41:49,7.16,7.2,7.15,7.199,8834
2021-04-20 01:41:50,7.2,7.2,7.16,7.2,9422
2021-04-20 01:41:51,7.2,7.2,7.1802,7.1998,5306
2021-04-20 01:41:52,7.2,7.23,7.1998,7.23,15347
2021-04-20 01:41:53,7.23,7.3,7.2,7.3,25168
2021-04-20 01:41:54,7.2701,7.3,7.26,7.2698,7529
2021-04-20 01:41:55,7.2501,7.26,7.1932,7.21,9300
2021-04-20 01:41:56,7.2243,7.23,7.1901,7.22,2712
2021-04-20 01:41:57,7.2252,7.2481,7.2101,7.2101,7668
2021-04-20 01:41:58,7.22,7.27,7.22,7.27,10326
2021-04-20 01:41:59,7.27,7.35,7.27,7.35,23601
2021-04-20 01:42:00,7.3101,7.36,7.31,7.36,15225
2021-04-20 01:42:01,7.335,7.37,7.305,7.31,9204
2021-04-20 01:42:02,7.34,7.35,7.31,7.3291,6013
2021-04-20 01:42:03,7.32,7.3899,7.27,7.33,23267
2021-04-20 01:42:04,7.33,7.3637,7.2801,7.35,22964
2021-04-20 01:42:05,7.35,7.47,7.3101,7.47,20299
2021-04-20 01:42:06,7.5,7.64,7.36,7.59,53984
2021-04-20 01:42:07,7.51,7.6,7.4401,7.49,78778
2021-04-20 01:42:08,7.4401,7.4894,7.3301,7.37,43636
2021-04-20 01:42:09,7.37,7.41,7.35,7.401,9690
2021-04-20 01:42:10,7.3706,7.47,7.3701,7.47,14267
2021-04-20 01:42:11,7.47,7.5,7.41,7.4807,16682
2021-04-20 01:42:12,7.4683,7.4683,7.4,7.4194,16987
2021-04-20 01:42:13,7.3801,7.42,7.26,7.26,18735
2021-04-20 01:42:14,7.26,7.3,7.2,7.21,21311
2021-04-20 01:42:15,7.26,7.26,7.2,7.2,27377
2021-04-20 01:42:16,7.22,7.26,7.22,7.25,7300
2021-04-20 01:42:17,7.25,7.26,7.2401,7.26,9029
2021-04-20 01:42:18,7.26,7.29,7.24,7.24,13317
2021-04-20 01:42:19,7.25,7.26,7.2,7.22,19709
2021-04-20 01:42:20,7.2,7.23,7.17,7.23,18998
2021-04-20 01:42:21,7.23,7.2378,7.2,7.22,6735
2021-04-20 01:42:22,7.24,7.31,7.23,7.3049,13718
2021-04-20 01:42:23,7.3,7.3499,7.2601,7.2605,10412
2021-04-20 01:42:24,7.35,7.35,7.28,7.28,7599
2021-04-20 01:42:25,7.2688,7.27,7.2177,7.22,7887
2021-04-20 01:42:26,7.22,7.2627,7.18,7.2001,12785
2021-04-20 01:42:27,7.2565,7.265,7.21,7.22,9440
2021-04-20 01:42:28,7.26,7.26,7.21,7.25,4773
2021-04-20 01:42:29,7.2588,7.26,7.2501,7.2583,12262
2021-04-20 01:42:30,7.2501,7.26,7.2501,7.2501,1489
2021-04-20 01:42:31,7.26,7.26,7.22,7.25,8855
2021-04-20 01:42:32,7.23,7.24,7.2001,7.24,12987
2021-04-20 01:42:33,7.24,7.27,7.2394,7.2401,8364
2021-04-20 01:42:34,7.25,7.25,7.243,7.2498,14897
2021-04-20 01:42:35,7.25,7.25,7.24,7.2494,3948
2021-04-20 01:42:36,7.2401,7.29,7.24,7.29,7501
2021-04-20 01:42:37,7.3,7.3,7.2456,7.25,12301
2021-04-20 01:42:38,7.25,7.29,7.2401,7.26,6724
2021-04-20 01:42:39,7.25,7.26,7.2401,7.2401,1257
2021-04-20 01:42:40,7.2501,7.2724,7.2501,7.2501,3808
2021-04-20 01:42:41,7.255,7.26,7.24,7.2475,8740
2021-04-20 01:42:42,7.25,7.25,7.205,7.2085,12812
2021-04-20 01:42:43,7.2,7.21,7.19,7.2,12139
2021-04-20 01:42:44,7.19,7.19,7.17,7.17,5339
2021-04-20 01:42:45,7.175,7.18,7.17,7.18,7371
2021-04-20 01:42:46,7.1999,7.22,7.1701,7.22,17839
2021-04-20 01:42:47,7.2388,7.26,7.2101,7.2501,13047
2021-04-20 01:42:48,7.25,7.27,7.22,7.26,11550
2021-04-20 01:42:49,7.245,7.26,7.22,7.2201,8262
2021-04-20 01:42:50,7.22,7.23,7.22,7.22,6210
2021-04-20 01:42:51,7.23,7.26,7.22,7.225,4558
2021-04-20 01:42:52,7.23,7.23,7.2299,7.2299,11320
2021-04-20 01:42:53,7.22,7.23,7.22,7.22,5828
2021-04-20 01:42:54,7.22,7.22,7.15,7.15,19269
2021-04-20 01:42:55,7.15,7.16,6.69,6.7,116471
2021-04-20 01:42:56,6.69,6.74,6.69,6.73,40176
2021-04-20 01:42:57,6.72,6.91,6.7,6.86,54674
2021-04-20 01:42:58,6.87,6.88,6.8,6.81,25568
2021-04-20 01:42:59,6.8122,6.82,6.78,6.7884,38472
2021-04-20 01:43:00,6.79,6.79,6.71,6.71,15324
2021-04-20 01:43:01,6.7,6.75,6.7,6.705,27162
2021-04-20 01:43:02,6.71,6.75,6.69,6.7,21521
2021-04-20 01:43:03,6.71,6.76,6.7,6.7001,25694
2021-04-20 01:43:04,6.73,6.76,6.7,6.76,14356
2021-04-20 01:43:05,6.75,6.7599,6.72,6.75,16748
