Date,Open,High,Low,Close,Volume
2021-04-21 01:30:18,1.46,1.46,1.455,1.46,20911
2021-04-21 01:30:19,1.46,1.46,1.4515,1.4515,2471
2021-04-21 01:30:20,1.46,1.46,1.46,1.46,10902
2021-04-21 01:30:21,1.4585,1.46,1.4585,1.46,18302
2021-04-21 01:30:22,1.46,1.46,1.4503,1.46,25921
2021-04-21 01:30:23,1.46,1.46,1.455,1.455,2842
2021-04-21 01:30:24,1.46,1.47,1.4595,1.46,49574
2021-04-21 01:30:25,1.46,1.47,1.46,1.47,13105
2021-04-21 01:30:26,1.46,1.4691,1.46,1.4691,875
2021-04-21 01:30:27,1.4699,1.47,1.46,1.4682,22093
2021-04-21 01:30:28,1.47,1.47,1.465,1.465,3797
2021-04-21 01:30:29,1.4699,1.4699,1.45,1.45,8358
2021-04-21 01:30:30,1.4554,1.46,1.45,1.4593,15215
2021-04-21 01:30:31,1.4599,1.46,1.45,1.45,10963
2021-04-21 01:30:32,1.4578,1.46,1.45,1.4591,9474
2021-04-21 01:30:33,1.455,1.455,1.455,1.455,564
2021-04-21 01:30:34,1.45,1.46,1.45,1.455,16068
2021-04-21 01:30:35,1.4556,1.46,1.45,1.4585,2258
2021-04-21 01:30:36,1.45,1.45,1.45,1.45,1555
2021-04-21 01:30:37,1.4578,1.46,1.45,1.46,2403
2021-04-21 01:30:38,1.45,1.46,1.45,1.46,7505
2021-04-21 01:30:39,1.45,1.45,1.4495,1.4495,12548
2021-04-21 01:30:40,1.46,1.46,1.45,1.455,5307
2021-04-21 01:30:41,1.4599,1.46,1.4578,1.46,1702
2021-04-21 01:30:42,1.4578,1.4599,1.45,1.45,2540
2021-04-21 01:30:43,1.455,1.46,1.455,1.46,1253
2021-04-21 01:30:44,1.4546,1.4546,1.4546,1.4546,140
2021-04-21 01:30:45,1.46,1.46,1.45,1.45,3300
2021-04-21 01:30:46,1.4577,1.4588,1.4577,1.4588,1193
2021-04-21 01:30:47,1.455,1.4596,1.45,1.4596,25357
2021-04-21 01:30:48,1.455,1.455,1.455,1.455,196
2021-04-21 01:30:50,1.45,1.4599,1.45,1.4599,8651
2021-04-21 01:30:51,1.4591,1.46,1.453,1.46,932
2021-04-21 01:30:52,1.45,1.4599,1.45,1.45,1254
2021-04-21 01:30:53,1.455,1.455,1.445,1.45,20050
2021-04-21 01:30:54,1.4401,1.45,1.4401,1.4401,14254
2021-04-21 01:30:55,1.445,1.45,1.44,1.44,3430
2021-04-21 01:30:56,1.4401,1.45,1.44,1.44,3000
