Date,Open,High,Low,Close,Volume
2021-04-22 02:20:43,1.2491,1.25,1.2485,1.25,5870
2021-04-22 02:20:44,1.2435,1.25,1.2401,1.2401,23731
2021-04-22 02:20:45,1.2487,1.2487,1.2487,1.2487,910
2021-04-22 02:20:46,1.2401,1.25,1.24,1.24,59028
2021-04-22 02:20:47,1.24,1.25,1.23,1.2417,71166
2021-04-22 02:20:48,1.2484,1.25,1.2402,1.241,11106
2021-04-22 02:20:49,1.2499,1.2499,1.2401,1.2401,3806
2021-04-22 02:20:50,1.245,1.25,1.245,1.245,5069
2021-04-22 02:20:51,1.245,1.245,1.24,1.24,1810
2021-04-22 02:20:52,1.2415,1.25,1.2415,1.2499,4331
2021-04-22 02:20:53,1.2487,1.25,1.2405,1.2405,8048
2021-04-22 02:20:54,1.24,1.245,1.24,1.2401,6185
2021-04-22 02:20:55,1.25,1.25,1.245,1.245,4110
2021-04-22 02:20:56,1.25,1.25,1.24,1.24,883
2021-04-22 02:20:57,1.2415,1.25,1.2415,1.25,2523
2021-04-22 02:20:58,1.25,1.25,1.2485,1.2485,5105
2021-04-22 02:20:59,1.25,1.25,1.25,1.25,14180
2021-04-22 02:21:00,1.2499,1.2499,1.2499,1.2499,3129
2021-04-22 02:21:01,1.245,1.25,1.24,1.25,4383
2021-04-22 02:21:02,1.24,1.24,1.24,1.24,155
2021-04-22 02:21:03,1.25,1.25,1.245,1.2483,14966
2021-04-22 02:21:04,1.24,1.25,1.24,1.2486,2508
2021-04-22 02:21:05,1.25,1.25,1.24,1.24,10542
2021-04-22 02:21:06,1.2499,1.25,1.245,1.245,5925
2021-04-22 02:21:07,1.2488,1.25,1.24,1.2413,2811
2021-04-22 02:21:08,1.2485,1.2485,1.2401,1.2485,10250
2021-04-22 02:21:10,1.2488,1.25,1.245,1.245,8055
2021-04-22 02:21:11,1.24,1.245,1.24,1.245,3455
2021-04-22 02:21:12,1.2488,1.2488,1.2488,1.2488,1000
2021-04-22 02:21:13,1.2401,1.2401,1.2401,1.2401,6078
2021-04-22 02:21:14,1.243,1.25,1.24,1.241,7020
2021-04-22 02:21:15,1.24,1.24,1.24,1.24,500
2021-04-22 02:21:16,1.245,1.2487,1.245,1.2487,3199
2021-04-22 02:21:17,1.245,1.245,1.245,1.245,315
2021-04-22 02:21:18,1.25,1.25,1.2401,1.2401,15700
2021-04-22 02:21:19,1.245,1.245,1.245,1.245,2240
2021-04-22 02:21:20,1.25,1.25,1.245,1.2491,20000
2021-04-22 02:21:21,1.248,1.25,1.24,1.25,1000
2021-04-22 02:21:22,1.24,1.24,1.24,1.24,609
2021-04-22 02:21:24,1.245,1.2499,1.245,1.2499,3411
2021-04-22 02:21:26,1.25,1.25,1.2406,1.2406,2950
2021-04-22 02:21:27,1.2487,1.2487,1.2417,1.2417,981
