Date,Open,High,Low,Close,Volume
2021-04-26 01:30:38,1.875,1.8789,1.875,1.8789,6538
2021-04-26 01:30:39,1.87,1.8769,1.87,1.8769,7000
2021-04-26 01:30:40,1.87,1.87,1.87,1.87,4930
2021-04-26 01:30:41,1.8706,1.8706,1.87,1.87,6189
2021-04-26 01:30:43,1.87,1.88,1.87,1.88,18023
2021-04-26 01:30:44,1.88,1.88,1.875,1.875,3833
2021-04-26 01:30:45,1.875,1.885,1.875,1.885,28205
2021-04-26 01:30:46,1.88,1.89,1.88,1.8804,9878
2021-04-26 01:30:47,1.8879,1.8899,1.88,1.8898,18769
2021-04-26 01:30:48,1.88,1.88,1.88,1.88,1114
2021-04-26 01:30:49,1.88,1.8837,1.88,1.8837,954
2021-04-26 01:30:50,1.88,1.8889,1.88,1.88,32976
2021-04-26 01:30:52,1.88,1.88,1.87,1.87,9111
2021-04-26 01:30:53,1.87,1.87,1.8607,1.87,17449
2021-04-26 01:30:54,1.87,1.87,1.8673,1.8673,633
2021-04-26 01:30:55,1.8654,1.8687,1.8654,1.8687,815
2021-04-26 01:30:56,1.87,1.87,1.8682,1.87,6417
2021-04-26 01:30:57,1.875,1.875,1.86,1.87,17270
2021-04-26 01:30:58,1.8748,1.8748,1.8748,1.8748,300
2021-04-26 01:30:59,1.8748,1.88,1.8748,1.88,1501
2021-04-26 01:31:00,1.8775,1.8775,1.8775,1.8775,375
2021-04-26 01:31:01,1.875,1.8799,1.85,1.85,22849
2021-04-26 01:31:02,1.85,1.86,1.85,1.8598,8420
2021-04-26 01:31:03,1.8596,1.8596,1.8561,1.8561,2000
2021-04-26 01:31:04,1.855,1.855,1.84,1.84,21570
2021-04-26 01:31:05,1.85,1.85,1.84,1.85,13039
2021-04-26 01:31:06,1.849,1.849,1.84,1.84,3491
2021-04-26 01:31:07,1.8482,1.8482,1.84,1.84,819
2021-04-26 01:31:08,1.849,1.849,1.8401,1.8401,5323
2021-04-26 01:31:09,1.845,1.8483,1.84,1.84,1503
2021-04-26 01:31:10,1.845,1.85,1.84,1.84,28094
2021-04-26 01:31:11,1.8483,1.8483,1.835,1.84,21041
2021-04-26 01:31:12,1.8376,1.8376,1.83,1.8301,1017
2021-04-26 01:31:13,1.84,1.84,1.83,1.83,3100
2021-04-26 01:31:14,1.84,1.84,1.8395,1.8395,608
2021-04-26 01:31:15,1.831,1.84,1.831,1.8329,2300
2021-04-26 01:31:17,1.835,1.835,1.835,1.835,150
2021-04-26 01:31:18,1.835,1.835,1.835,1.835,2000
2021-04-26 01:31:19,1.8386,1.8386,1.8386,1.8386,500
2021-04-26 01:31:20,1.84,1.84,1.84,1.84,700
2021-04-26 01:31:21,1.84,1.85,1.83,1.84,5728
2021-04-26 01:31:22,1.85,1.85,1.85,1.85,1500
2021-04-26 01:31:23,1.8414,1.85,1.8414,1.85,51041
2021-04-26 01:31:24,1.8499,1.8499,1.84,1.845,1702
2021-04-26 01:31:26,1.85,1.85,1.8477,1.8477,201
2021-04-26 01:31:27,1.8425,1.8425,1.8425,1.8425,200
2021-04-26 01:31:28,1.85,1.85,1.84,1.845,1910
2021-04-26 01:31:30,1.8446,1.8446,1.8446,1.8446,100
2021-04-26 01:31:32,1.845,1.845,1.8401,1.8401,5510
2021-04-26 01:31:33,1.8482,1.8482,1.845,1.845,700
2021-04-26 01:31:34,1.84,1.84,1.84,1.84,500
2021-04-26 01:31:36,1.84,1.84,1.84,1.84,315
2021-04-26 01:31:37,1.84,1.84,1.84,1.84,200
2021-04-26 01:31:38,1.8491,1.8491,1.8491,1.8491,2000
2021-04-26 01:31:39,1.85,1.85,1.84,1.84,25829
2021-04-26 01:31:40,1.837,1.837,1.83,1.83,9802
2021-04-26 01:31:41,1.83,1.83,1.83,1.83,118
2021-04-26 01:31:42,1.84,1.84,1.84,1.84,670
2021-04-26 01:31:43,1.83,1.8325,1.8219,1.823,19241
2021-04-26 01:31:44,1.82,1.825,1.81,1.81,23398
2021-04-26 01:31:45,1.81,1.81,1.81,1.81,51045
2021-04-26 01:31:46,1.81,1.81,1.8088,1.8088,11096
2021-04-26 01:31:47,1.8001,1.81,1.8,1.8029,4599
2021-04-26 01:31:48,1.81,1.81,1.8013,1.8013,5210
2021-04-26 01:31:49,1.81,1.81,1.8082,1.8082,1050
2021-04-26 01:31:50,1.805,1.81,1.8,1.8082,10842
2021-04-26 01:31:51,1.8023,1.81,1.8002,1.8013,21924
2021-04-26 01:31:52,1.809,1.81,1.8,1.805,21731
2021-04-26 01:31:53,1.8013,1.805,1.8013,1.805,6318
2021-04-26 01:31:54,1.81,1.81,1.8,1.8001,13014
2021-04-26 01:31:55,1.81,1.81,1.8,1.802,11434
2021-04-26 01:31:56,1.8099,1.8099,1.8,1.8,690
2021-04-26 01:31:57,1.8,1.8,1.8,1.8,3030
2021-04-26 01:31:58,1.805,1.81,1.8,1.805,1597
2021-04-26 01:31:59,1.8,1.81,1.8,1.805,1500
2021-04-26 01:32:00,1.8,1.81,1.8,1.8,1870
2021-04-26 01:32:01,1.81,1.82,1.8,1.81,72041
2021-04-26 01:32:03,1.82,1.82,1.81,1.81,1474
2021-04-26 01:32:04,1.8176,1.82,1.815,1.8198,5460
2021-04-26 01:32:05,1.8175,1.82,1.811,1.82,13935
2021-04-26 01:32:06,1.82,1.83,1.82,1.82,76363
2021-04-26 01:32:07,1.82,1.82,1.82,1.82,5000
2021-04-26 01:32:08,1.8299,1.8299,1.8299,1.8299,511
2021-04-26 01:32:10,1.8216,1.825,1.8216,1.825,2040
2021-04-26 01:32:11,1.8299,1.8299,1.8299,1.8299,1000
2021-04-26 01:32:12,1.82,1.82,1.82,1.82,3002
2021-04-26 01:32:13,1.82,1.8241,1.82,1.8241,2667
2021-04-26 01:32:14,1.82,1.82,1.82,1.82,500
2021-04-26 01:32:17,1.8225,1.8225,1.8225,1.8225,480
2021-04-26 01:32:19,1.8241,1.8241,1.8241,1.8241,1020
2021-04-26 01:32:20,1.82,1.82,1.82,1.82,200
2021-04-26 01:32:23,1.8222,1.8222,1.8222,1.8222,528
2021-04-26 01:32:24,1.8268,1.8299,1.825,1.8279,674
2021-04-26 01:32:25,1.82,1.82,1.82,1.82,184
2021-04-26 01:32:26,1.8275,1.8275,1.8275,1.8275,500
2021-04-26 01:32:27,1.828,1.828,1.828,1.828,500
2021-04-26 01:32:28,1.8272,1.8272,1.8272,1.8272,1801
2021-04-26 01:32:29,1.82,1.82,1.82,1.82,209
2021-04-26 01:32:30,1.83,1.83,1.83,1.83,250
2021-04-26 01:32:31,1.8299,1.8299,1.8299,1.8299,100
2021-04-26 01:32:32,1.821,1.8299,1.82,1.82,3901
2021-04-26 01:32:33,1.821,1.8217,1.82,1.8217,4503
2021-04-26 01:32:34,1.82,1.8217,1.82,1.8217,4000
2021-04-26 01:32:36,1.83,1.83,1.825,1.825,5799
2021-04-26 01:32:37,1.825,1.825,1.82,1.825,3600
2021-04-26 01:32:38,1.82,1.82,1.82,1.82,610
2021-04-26 01:32:39,1.828,1.828,1.828,1.828,1000
2021-04-26 01:32:40,1.825,1.83,1.82,1.83,1400
2021-04-26 01:32:41,1.82,1.82,1.82,1.82,19666
2021-04-26 01:32:45,1.81,1.82,1.8,1.82,30038
2021-04-26 01:32:47,1.8156,1.8156,1.8156,1.8156,150
2021-04-26 01:32:49,1.82,1.82,1.82,1.82,434
2021-04-26 01:32:51,1.82,1.82,1.82,1.82,300
2021-04-26 01:32:52,1.82,1.82,1.8163,1.8163,8174
2021-04-26 01:32:53,1.81,1.82,1.81,1.82,14784
2021-04-26 01:32:54,1.82,1.83,1.82,1.83,6706
2021-04-26 01:32:55,1.822,1.83,1.8219,1.8219,3920
2021-04-26 01:32:56,1.83,1.83,1.83,1.83,5480
2021-04-26 01:32:57,1.83,1.83,1.82,1.82,13852
2021-04-26 01:32:58,1.83,1.83,1.82,1.8259,2569
2021-04-26 01:33:00,1.825,1.825,1.825,1.825,528
2021-04-26 01:33:01,1.8226,1.8226,1.8226,1.8226,100
2021-04-26 01:33:02,1.829,1.829,1.829,1.829,248
2021-04-26 01:33:03,1.8212,1.8212,1.82,1.8207,7283
2021-04-26 01:33:05,1.82,1.82,1.82,1.82,724
2021-04-26 01:33:06,1.825,1.825,1.825,1.825,100
2021-04-26 01:33:07,1.8231,1.8231,1.82,1.82,12160
2021-04-26 01:33:08,1.81,1.81,1.81,1.81,1913
2021-04-26 01:33:09,1.8113,1.8113,1.8113,1.8113,3978
2021-04-26 01:33:10,1.82,1.82,1.81,1.81,18268
2021-04-26 01:33:11,1.8113,1.8113,1.81,1.81,9066
2021-04-26 01:33:12,1.81,1.81,1.8,1.81,1211
2021-04-26 01:33:13,1.8,1.8,1.8,1.8,1500
2021-04-26 01:33:14,1.81,1.81,1.8098,1.8098,2001
2021-04-26 01:33:15,1.81,1.81,1.81,1.81,231
2021-04-26 01:33:17,1.81,1.81,1.8,1.81,29725
2021-04-26 01:33:18,1.805,1.81,1.8,1.8,1600
2021-04-26 01:33:19,1.81,1.81,1.8082,1.8082,1000
2021-04-26 01:33:20,1.8,1.8,1.8,1.8,300
2021-04-26 01:33:21,1.81,1.81,1.8,1.8,2770
2021-04-26 01:33:22,1.8084,1.8084,1.8084,1.8084,300
2021-04-26 01:33:23,1.8,1.81,1.8,1.8,25149
2021-04-26 01:33:24,1.805,1.805,1.8,1.8,1006
2021-04-26 01:33:26,1.8082,1.8082,1.8082,1.8082,250
2021-04-26 01:33:29,1.81,1.8118,1.81,1.8101,3101
2021-04-26 01:33:30,1.815,1.815,1.815,1.815,528
2021-04-26 01:33:32,1.8173,1.8173,1.8173,1.8173,328
2021-04-26 01:33:33,1.815,1.82,1.815,1.82,200
2021-04-26 01:33:36,1.82,1.82,1.82,1.82,14221
2021-04-26 01:33:37,1.82,1.82,1.8182,1.8182,2240
2021-04-26 01:33:38,1.82,1.82,1.82,1.82,500
2021-04-26 01:33:39,1.8241,1.825,1.8241,1.825,800
2021-04-26 01:33:40,1.829,1.829,1.829,1.829,200
2021-04-26 01:33:41,1.8212,1.8212,1.82,1.8201,6191
2021-04-26 01:33:45,1.82,1.82,1.82,1.82,16885
