Date,Open,High,Low,Close,Volume
2021-04-27 01:30:32,1.289,1.29,1.28,1.29,10208
2021-04-27 01:30:33,1.29,1.29,1.2862,1.29,42081
2021-04-27 01:30:34,1.2893,1.2894,1.2861,1.2892,6395
2021-04-27 01:30:35,1.2894,1.29,1.2817,1.2894,28255
2021-04-27 01:30:36,1.286,1.29,1.2809,1.2894,5666
2021-04-27 01:30:37,1.2862,1.29,1.2811,1.2893,6517
2021-04-27 01:30:38,1.29,1.29,1.28,1.285,63411
2021-04-27 01:30:39,1.289,1.29,1.28,1.29,25369
2021-04-27 01:30:40,1.285,1.2896,1.2809,1.285,21645
2021-04-27 01:30:41,1.281,1.2895,1.281,1.2858,2749
2021-04-27 01:30:42,1.285,1.29,1.28,1.2891,22853
2021-04-27 01:30:43,1.289,1.2891,1.28,1.28,89440
2021-04-27 01:30:44,1.28,1.2891,1.28,1.285,20968
2021-04-27 01:30:45,1.2889,1.29,1.28,1.29,30764
2021-04-27 01:30:46,1.2879,1.2891,1.28,1.2891,53350
2021-04-27 01:30:47,1.285,1.285,1.2761,1.2795,4733
2021-04-27 01:30:48,1.2792,1.28,1.2705,1.2762,15420
2021-04-27 01:30:49,1.2799,1.28,1.2712,1.2791,6540
2021-04-27 01:30:50,1.272,1.2796,1.27,1.275,18005
2021-04-27 01:30:51,1.28,1.28,1.26,1.27,172748
2021-04-27 01:30:52,1.265,1.28,1.265,1.279,11085
2021-04-27 01:30:53,1.2796,1.2796,1.27,1.279,13423
2021-04-27 01:30:54,1.27,1.28,1.27,1.275,8560
2021-04-27 01:30:55,1.279,1.2791,1.2708,1.2739,2645
2021-04-27 01:30:56,1.27,1.28,1.27,1.28,5826
2021-04-27 01:30:57,1.28,1.28,1.27,1.2799,19780
2021-04-27 01:30:58,1.2705,1.28,1.27,1.2779,14753
2021-04-27 01:30:59,1.2792,1.28,1.27,1.2742,64097
2021-04-27 01:31:00,1.27,1.2795,1.27,1.2792,8179
2021-04-27 01:31:01,1.2793,1.2793,1.26,1.26,176935
2021-04-27 01:31:02,1.265,1.27,1.26,1.27,10717
2021-04-27 01:31:03,1.2694,1.2695,1.26,1.26,52621
2021-04-27 01:31:04,1.2695,1.27,1.265,1.27,11063
2021-04-27 01:31:05,1.27,1.27,1.2604,1.27,15892
2021-04-27 01:31:06,1.27,1.27,1.265,1.269,12929
2021-04-27 01:31:07,1.26,1.27,1.26,1.264,4353
2021-04-27 01:31:08,1.26,1.27,1.26,1.27,5122
2021-04-27 01:31:09,1.2694,1.2694,1.26,1.2691,3458
2021-04-27 01:31:10,1.261,1.27,1.261,1.265,6890
2021-04-27 01:31:11,1.2616,1.2699,1.26,1.266,13031
2021-04-27 01:31:12,1.261,1.2692,1.25,1.25,341645
2021-04-27 01:31:13,1.25,1.265,1.24,1.245,56646
2021-04-27 01:31:14,1.249,1.25,1.24,1.25,22036
2021-04-27 01:31:15,1.2449,1.25,1.2414,1.245,5923
2021-04-27 01:31:16,1.249,1.2495,1.24,1.245,32751
2021-04-27 01:31:17,1.2493,1.25,1.2422,1.2427,7160
2021-04-27 01:31:18,1.2453,1.25,1.24,1.25,15671
2021-04-27 01:31:19,1.245,1.26,1.2413,1.2539,161673
2021-04-27 01:31:20,1.2591,1.26,1.25,1.254,13863
2021-04-27 01:31:21,1.2584,1.2584,1.25,1.2508,7178
2021-04-27 01:31:22,1.251,1.2599,1.2501,1.255,23156
2021-04-27 01:31:23,1.251,1.26,1.2501,1.2597,17756
2021-04-27 01:31:24,1.2523,1.259,1.25,1.255,14611
2021-04-27 01:31:25,1.2544,1.26,1.2501,1.2593,14840
2021-04-27 01:31:26,1.2503,1.2597,1.25,1.25,24791
2021-04-27 01:31:27,1.255,1.26,1.25,1.26,16972
2021-04-27 01:31:28,1.2544,1.255,1.2544,1.255,2158
2021-04-27 01:31:29,1.2509,1.26,1.25,1.2592,43928
2021-04-27 01:31:30,1.2516,1.259,1.2507,1.255,7723
2021-04-27 01:31:31,1.251,1.251,1.2509,1.2509,7468
2021-04-27 01:31:32,1.251,1.2588,1.25,1.2588,6480
2021-04-27 01:31:33,1.251,1.2581,1.2507,1.2581,3623
2021-04-27 01:31:34,1.255,1.26,1.2505,1.255,20968
2021-04-27 01:31:35,1.255,1.26,1.25,1.26,9405
2021-04-27 01:31:36,1.2549,1.26,1.251,1.251,3433
2021-04-27 01:31:37,1.2587,1.26,1.25,1.259,18837
2021-04-27 01:31:38,1.2508,1.2593,1.2508,1.255,2746
2021-04-27 01:31:39,1.2509,1.26,1.25,1.255,28653
2021-04-27 01:31:40,1.2582,1.26,1.25,1.25,76116
2021-04-27 01:31:41,1.255,1.26,1.25,1.25,3463
2021-04-27 01:31:42,1.255,1.26,1.25,1.25,5005
2021-04-27 01:31:43,1.2551,1.26,1.25,1.2575,43441
2021-04-27 01:31:44,1.255,1.26,1.25,1.2515,27576
2021-04-27 01:31:45,1.2599,1.2599,1.25,1.2511,8372
2021-04-27 01:31:46,1.2555,1.26,1.25,1.25,4969
2021-04-27 01:31:47,1.2561,1.2589,1.2509,1.255,11448
2021-04-27 01:31:48,1.2584,1.26,1.2552,1.256,28283
2021-04-27 01:31:49,1.255,1.26,1.255,1.26,82654
2021-04-27 01:31:50,1.255,1.26,1.25,1.255,35509
2021-04-27 01:31:51,1.2516,1.2599,1.25,1.255,13804
2021-04-27 01:31:52,1.26,1.26,1.25,1.256,40823
2021-04-27 01:31:53,1.2585,1.26,1.2501,1.2594,22684
2021-04-27 01:31:54,1.25,1.2591,1.25,1.252,27939
2021-04-27 01:31:55,1.25,1.26,1.25,1.2516,38556
2021-04-27 01:31:56,1.255,1.26,1.25,1.2513,27056
2021-04-27 01:31:57,1.255,1.26,1.251,1.2588,4772
2021-04-27 01:31:58,1.2592,1.2592,1.2513,1.255,7788
2021-04-27 01:31:59,1.2544,1.26,1.25,1.26,60711
2021-04-27 01:32:00,1.25,1.2586,1.25,1.2586,12402
2021-04-27 01:32:01,1.2576,1.2599,1.2538,1.2538,14350
2021-04-27 01:32:02,1.251,1.2542,1.244,1.2495,47022
2021-04-27 01:32:03,1.2455,1.2492,1.24,1.2491,18610
2021-04-27 01:32:04,1.25,1.25,1.2401,1.2491,52576
2021-04-27 01:32:05,1.249,1.249,1.241,1.244,1830
2021-04-27 01:32:06,1.245,1.2492,1.245,1.2492,1294
